ticker,FLT US Equity,FLT US Equity,FLT US Equity,FLT US Equity,FLT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-04-18,33.76,33.97,33.694,32.1508,,UP,1
2011-04-19,34.22,33.84,33.88,32.225,,UP,1
2011-04-20,34.82,34.52,34.146,32.2982,,DOWN,0
2011-04-21,34.64,34.95,34.34,32.3654,,DOWN,0
2011-04-25,34.29,34.49,34.346,32.4258,,UP,1
2011-04-26,34.63,34.4,34.52,32.4882,,UP,1
2011-04-27,34.81,34.69,34.638,32.5644,,UP,1
2011-04-28,36.79,34.79,35.032,32.6802,,UP,1
2011-04-29,37.51,36.69,35.606,32.8008,,DOWN,0
2011-05-02,36.13,37.76,35.974,32.8734,,DOWN,0
2011-05-03,34.12,36.11,35.872,32.8856,,DOWN,0
2011-05-04,34.09,34.04,35.728,32.9282,,UP,1
2011-05-05,34.72,34.0,35.314,32.9826,,DOWN,0
2011-05-06,33.18,34.83,34.448,32.9964,,DOWN,0
2011-05-09,33.12,33.1,33.846,33.0176,,UP,1
2011-05-10,33.78,33.11,33.778,33.0534,,DOWN,0
2011-05-11,33.39,33.63,33.638,33.1072,,UP,1
2011-05-12,33.61,33.41,33.416,33.178,,UP,1
2011-05-13,35.38,33.66,33.856,33.2716,,DOWN,0
2011-05-16,35.15,35.21,34.262,33.3596,,DOWN,0
2011-05-17,34.07,35.14,34.32,33.4338,,UP,1
2011-05-18,35.0,34.01,34.642,33.525,,UP,1
2011-05-19,36.0,35.0,35.12,33.6416,,DOWN,0
2011-05-20,35.5,35.82,35.144,33.7466,,DOWN,0
2011-05-23,34.87,35.15,35.088,33.8338,,DOWN,0
2011-05-24,34.34,35.07,35.142,33.894,,DOWN,0
2011-05-25,33.72,34.32,34.886,33.9374,,DOWN,0
2011-05-26,33.69,33.5,34.424,33.9826,,DOWN,0
2011-05-27,33.37,33.9,33.998,34.023,,UP,1
2011-05-31,33.74,33.77,33.772,34.0662,,DOWN,0
2011-06-01,33.0,33.63,33.504,34.0632,,DOWN,0
2011-06-02,32.91,32.84,33.342,34.0668,,DOWN,0
2011-06-03,31.79,32.7,32.962,34.0364,,DOWN,0
2011-06-06,31.08,31.59,32.504,33.9946,,DOWN,0
2011-06-07,30.62,31.15,31.88,33.9452,,DOWN,0
2011-06-08,30.0,30.6,31.28,33.8572,,UP,1
2011-06-09,30.04,30.06,30.706,33.804,,DOWN,0
2011-06-10,29.16,29.85,30.18,33.7378,,UP,1
2011-06-13,30.01,28.99,29.966,33.6848,,UP,1
2011-06-14,30.16,30.18,29.874,33.6064,,DOWN,0
2011-06-15,30.09,29.92,29.892,33.5282,,DOWN,0
2011-06-16,30.07,30.02,29.898,33.4532,,UP,1
2011-06-17,30.23,30.12,30.112,33.402,,DOWN,0
2011-06-20,30.0,30.06,30.11,33.3354,,UP,1
2011-06-21,30.35,30.23,30.148,33.2806,,DOWN,0
2011-06-22,30.1,30.14,30.15,33.2152,,UP,1
2011-06-23,30.16,29.91,30.168,33.1526,,DOWN,0
2011-06-24,30.04,30.11,30.13,33.0836,,DOWN,0
2011-06-27,29.93,29.98,30.116,33.0088,,DOWN,0
2011-06-28,29.87,30.13,30.02,32.921,,DOWN,0
2011-06-29,29.53,29.93,29.906,32.8364,,UP,1
2011-06-30,29.64,29.52,29.802,32.7448,,UP,1
