ticker,SPGI US Equity,SPGI US Equity,SPGI US Equity,SPGI US Equity,SPGI US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,27.563,28.063,27.3061,28.3813,29.1952,UP,1
2000-02-10,27.75,27.5,27.3069,28.0438,29.1833,DOWN,0
2000-02-11,27.563,28.063,27.3064,27.8063,29.172,DOWN,0
2000-02-14,27.5,27.5,27.3058,27.6875,29.137,DOWN,0
2000-02-15,26.625,27.0,27.2989,27.4,29.0983,DOWN,0
2000-02-16,26.25,26.375,27.2922,27.1375,29.0327,DOWN,0
2000-02-17,25.813,26.25,27.2817,26.75,28.9544,DOWN,0
2000-02-18,25.094,25.688,27.2664,26.2563,28.8675,DOWN,0
2000-02-22,25.094,24.969,27.2514,25.775,28.7569,DOWN,0
2000-02-23,24.531,24.813,27.2355,25.3563,28.64,DOWN,0
2000-02-24,23.25,24.0,27.2139,24.7563,28.4931,DOWN,0
2000-02-25,23.219,23.875,27.1919,24.2375,28.3425,UP,1
2000-02-28,23.25,23.219,27.1713,23.8688,28.2037,UP,1
2000-02-29,25.438,24.5,27.1614,23.9375,28.11,DOWN,0
2000-03-01,25.063,25.313,27.1516,24.0438,28.0112,UP,1
2000-03-02,25.156,25.063,27.1424,24.425,27.9087,DOWN,0
2000-03-03,25.063,25.031,27.1371,24.7938,27.8125,DOWN,0
2000-03-06,24.656,24.75,27.1272,25.075,27.7037,DOWN,0
2000-03-07,24.5,24.531,27.1139,24.8875,27.5712,DOWN,0
2000-03-08,23.938,24.625,27.0975,24.6625,27.4437,UP,1
2000-03-09,24.906,23.906,27.0892,24.6125,27.3456,DOWN,0
2000-03-10,24.5,24.781,27.0763,24.5,27.24,DOWN,0
2000-03-13,22.875,23.875,27.0603,24.1438,27.0869,UP,1
2000-03-14,23.25,22.969,27.0469,23.8938,26.9356,DOWN,0
2000-03-15,23.188,22.938,27.0305,23.7438,26.815,UP,1
2000-03-16,25.375,23.719,27.0241,23.8375,26.765,DOWN,0
2000-03-17,24.656,25.125,27.0142,23.8688,26.7081,DOWN,0
2000-03-20,23.75,24.0,26.9974,24.0438,26.6481,DOWN,0
2000-03-21,22.906,23.5,26.9761,23.975,26.5662,UP,1
2000-03-22,23.719,23.438,26.9602,24.0813,26.4631,UP,1
2000-03-23,24.656,23.688,26.953,23.9375,26.3756,DOWN,0
2000-03-24,24.031,23.75,26.9392,23.8125,26.2712,DOWN,0
2000-03-27,23.063,23.906,26.9252,23.675,26.1206,DOWN,0
2000-03-28,22.5,23.25,26.9085,23.5938,25.9831,UP,1
2000-03-29,23.0,22.5,26.8947,23.45,25.875,UP,1
2000-03-30,23.313,22.875,26.8821,23.1813,25.7644,DOWN,0
2000-03-31,22.75,23.188,26.8646,22.925,25.6444,DOWN,0
2000-04-03,22.5,22.438,26.8452,22.8125,25.5119,UP,1
2000-04-04,23.0,22.875,26.8257,22.9125,25.41,UP,1
2000-04-05,23.438,23.438,26.808,23.0,25.3262,UP,1
2000-04-06,23.844,23.25,26.7944,23.1063,25.2137,DOWN,0
2000-04-07,23.438,23.813,26.7819,23.2438,25.0862,DOWN,0
2000-04-10,22.688,23.188,26.7669,23.2813,24.9575,DOWN,0
2000-04-11,22.156,22.563,26.7503,23.1125,24.84,UP,1
2000-04-12,22.625,22.406,26.7314,22.95,24.7319,DOWN,0
2000-04-13,21.469,22.625,26.7039,22.475,24.585,UP,1
2000-04-14,21.531,21.594,26.6769,22.0938,24.4269,DOWN,0
2000-04-17,21.375,21.313,26.6522,21.8313,24.2794,UP,1
2000-04-18,24.438,22.063,26.6433,22.2875,24.2062,UP,1
2000-04-19,24.906,24.625,26.6344,22.7438,24.1431,DOWN,0
2000-04-20,24.75,24.938,26.626,23.4,24.0869,UP,1
2000-04-24,25.938,24.25,26.6255,24.2813,24.0506,UP,1
2000-04-25,27.188,25.313,26.6299,25.4438,24.0431,UP,1
2000-04-26,27.5,26.688,26.6364,26.0563,24.0431,DOWN,0
2000-04-27,26.938,27.188,26.6452,26.4625,24.0494,DOWN,0
2000-04-28,26.25,26.813,26.6503,26.7625,24.0494,DOWN,0
2000-05-01,25.969,25.625,26.6519,26.7688,24.0525,DOWN,0
2000-05-02,25.969,26.0,26.6503,26.525,24.07,DOWN,0
2000-05-03,25.688,26.031,26.6475,26.1625,24.0819,UP,1
2000-05-04,25.938,25.563,26.6478,25.9625,24.11,UP,1
2000-05-05,26.094,25.719,26.6499,25.9313,24.1669,DOWN,0
2000-05-08,25.531,26.156,26.6488,25.8438,24.2131,DOWN,0
2000-05-09,25.344,25.719,26.6482,25.7188,24.255,DOWN,0
2000-05-10,25.25,25.094,26.6457,25.6313,24.2512,DOWN,0
2000-05-11,25.156,25.344,26.6428,25.475,24.2531,UP,1
2000-05-12,25.449,25.406,26.6423,25.3461,24.259,UP,1
2000-05-15,25.5,25.5,26.6426,25.3398,24.2677,DOWN,0
2000-05-16,25.313,25.313,26.6407,25.3336,24.2809,DOWN,0
2000-05-17,25.125,25.0,26.6407,25.3086,24.2934,UP,1
2000-05-18,25.5,25.125,26.642,25.3773,24.3246,DOWN,0
2000-05-19,25.063,25.188,26.6407,25.3,24.3277,DOWN,0
2000-05-22,24.75,25.313,26.6387,25.15,24.3327,UP,1
2000-05-23,24.906,25.063,26.6368,25.0688,24.3734,UP,1
2000-05-24,25.219,24.969,26.6368,25.0875,24.4127,UP,1
2000-05-25,25.5,25.5,26.6377,25.0875,24.459,UP,1
2000-05-26,25.781,25.938,26.6407,25.2313,24.4671,UP,1
2000-05-30,26.219,25.875,26.6454,25.525,24.4984,DOWN,0
2000-05-31,25.719,25.875,26.6473,25.6875,24.5377,DOWN,0
2000-06-01,25.719,25.844,26.6488,25.7875,24.594,UP,1
2000-06-02,26.219,26.094,26.6526,25.9313,24.644,DOWN,0
2000-06-05,26.219,26.031,26.6556,26.0188,24.6752,DOWN,0
2000-06-06,25.75,26.094,26.6545,25.925,24.7096,UP,1
2000-06-07,25.938,25.719,26.6488,25.9688,24.7671,UP,1
2000-06-08,26.063,25.5,26.6482,26.0375,24.8384,UP,1
2000-06-09,26.563,26.375,26.6496,26.1063,24.9096,DOWN,0
2000-06-12,26.281,26.563,26.6509,26.1188,24.969,UP,1
2000-06-13,26.781,26.406,26.6557,26.325,25.0496,UP,1
2000-06-14,27.375,26.844,26.6638,26.6125,25.1471,DOWN,0
2000-06-15,27.375,27.25,26.6715,26.875,25.2346,DOWN,0
2000-06-16,27.0,27.5,26.6773,26.9625,25.3059,UP,1
2000-06-19,27.219,26.813,26.6877,27.15,25.3734,UP,1
2000-06-20,28.813,27.844,26.6999,27.5563,25.4809,DOWN,0
2000-06-21,28.25,28.75,26.7104,27.7313,25.5921,UP,1
2000-06-22,29.594,28.219,26.7288,28.175,25.7409,DOWN,0
2000-06-23,29.375,29.594,26.7457,28.65,25.8759,DOWN,0
2000-06-26,27.781,28.875,26.7562,28.7625,26.0021,UP,1
2000-06-27,28.594,27.813,26.7698,28.7188,26.1434,UP,1
2000-06-28,29.242,28.563,26.7858,28.9172,26.3007,DOWN,0
2000-06-29,28.625,29.031,26.7997,28.7234,26.3845,DOWN,0
2000-06-30,27.0,28.5,26.8055,28.2484,26.4263,UP,1
2000-07-03,27.25,27.313,26.8124,28.1422,26.4763,UP,1
2000-07-05,27.281,27.5,26.8221,27.8797,26.5032,UP,1
2000-07-06,27.406,28.0,26.8338,27.5125,26.5076,UP,1
2000-07-07,28.0,27.531,26.8483,27.3875,26.5176,UP,1
2000-07-10,28.156,27.813,26.8652,27.6188,26.542,DOWN,0
2000-07-11,28.063,28.156,26.8849,27.7813,26.5782,DOWN,0
2000-07-12,28.063,27.938,26.9044,27.9375,26.6201,UP,1
2000-07-13,29.094,29.25,26.9275,28.275,26.6826,UP,1
2000-07-14,29.563,29.219,26.9563,28.5875,26.7601,DOWN,0
2000-07-17,29.0,29.375,26.9804,28.7563,26.8213,UP,1
2000-07-18,29.438,28.5,27.0018,29.0313,26.8882,DOWN,0
2000-07-19,29.25,29.813,27.0174,29.2688,26.9626,UP,1
2000-07-20,29.344,29.125,27.0341,29.3188,27.0426,DOWN,0
2000-07-21,29.156,29.438,27.0497,29.2375,27.1207,UP,1
2000-07-24,29.5,29.156,27.0671,29.3375,27.2076,DOWN,0
2000-07-25,29.313,29.281,27.0816,29.3125,27.2848,UP,1
2000-07-26,29.656,29.438,27.098,29.3938,27.368,UP,1
2000-07-27,30.75,29.906,27.1215,29.675,27.4767,DOWN,0
2000-07-28,30.406,30.75,27.1454,29.925,27.5823,DOWN,0
2000-07-31,29.719,30.281,27.1607,29.9688,27.6667,DOWN,0
2000-08-01,29.656,29.844,27.1791,30.0375,27.7586,UP,1
2000-08-02,29.781,29.656,27.1957,30.0625,27.8592,DOWN,0
2000-08-03,29.656,29.531,27.2138,29.8438,27.9542,UP,1
2000-08-04,29.719,29.469,27.2299,29.7063,28.0442,UP,1
2000-08-07,29.938,29.625,27.2415,29.75,28.133,DOWN,0
2000-08-08,29.438,29.813,27.2491,29.7063,28.2061,DOWN,0
2000-08-09,28.781,29.0,27.2446,29.5063,28.2573,DOWN,0
2000-08-10,28.5,28.906,27.2421,29.275,28.313,UP,1
2000-08-11,29.156,28.563,27.2435,29.1625,28.3817,UP,1
2000-08-14,29.75,29.406,27.246,29.125,28.4523,DOWN,0
2000-08-15,29.625,29.563,27.245,29.1625,28.5205,UP,1
2000-08-16,29.656,29.656,27.2416,29.3375,28.5986,DOWN,0
2000-08-17,29.281,29.719,27.2422,29.4938,28.6655,DOWN,0
2000-08-18,29.156,29.156,27.2441,29.4938,28.7273,UP,1
2000-08-21,29.281,29.219,27.245,29.4,28.7817,UP,1
2000-08-22,29.625,29.344,27.2463,29.4,28.8486,UP,1
2000-08-23,29.875,29.625,27.2485,29.4438,28.9105,UP,1
2000-08-24,29.906,29.75,27.2524,29.5688,28.9611,UP,1
2000-08-25,29.969,30.0,27.2555,29.7313,29.013,UP,1
2000-08-28,30.969,30.0,27.2672,30.0688,29.0923,DOWN,0
2000-08-29,30.75,30.906,27.2746,30.2938,29.163,UP,1
2000-08-30,31.625,30.75,27.2841,30.6438,29.2192,DOWN,0
2000-08-31,30.979,31.5,27.2906,30.8582,29.2738,DOWN,0
2000-09-01,30.844,31.219,27.2963,31.0332,29.2988,DOWN,0
2000-09-05,30.469,30.844,27.2979,30.9332,29.3207,DOWN,0
2000-09-06,29.844,30.0,27.2951,30.752,29.3619,UP,1
2000-09-07,30.188,29.969,27.2954,30.4645,29.3938,DOWN,0
2000-09-08,30.188,30.281,27.3034,30.3063,29.4127,UP,1
2000-09-11,31.781,30.563,27.3196,30.4938,29.4758,UP,1
2000-09-12,31.875,31.75,27.3381,30.775,29.5733,DOWN,0
2000-09-13,31.625,31.813,27.3548,31.1313,29.6608,UP,1
2000-09-14,31.781,31.719,27.372,31.45,29.7508,UP,1
2000-09-15,32.688,32.25,27.3948,31.95,29.8564,UP,1
2000-09-18,33.563,33.0,27.4164,32.3063,29.9677,DOWN,0
2000-09-19,32.719,33.438,27.4371,32.475,30.0589,DOWN,0
2000-09-20,32.313,32.563,27.451,32.6125,30.1439,DOWN,0
2000-09-21,32.219,32.5,27.4635,32.7,30.2271,UP,1
2000-09-22,32.281,31.938,27.4777,32.6188,30.2908,DOWN,0
2000-09-25,31.969,31.5,27.4844,32.3,30.3389,DOWN,0
2000-09-26,30.969,31.375,27.4874,31.95,30.3783,UP,1
2000-09-27,31.375,31.0,27.4913,31.7625,30.4171,UP,1
2000-09-28,32.313,31.5,27.4991,31.7813,30.4783,DOWN,0
2000-09-29,31.781,32.25,27.5071,31.6813,30.5271,UP,1
2000-10-02,32.531,31.938,27.5191,31.7938,30.5946,DOWN,0
2000-10-03,31.813,32.406,27.5282,31.9625,30.6408,DOWN,0
2000-10-04,31.313,31.75,27.5333,31.95,30.6808,DOWN,0
2000-10-05,30.531,31.0,27.5366,31.5938,30.6983,UP,1
2000-10-06,30.844,30.563,27.5404,31.4063,30.7002,UP,1
2000-10-09,31.594,30.844,27.5427,31.2188,30.7239,DOWN,0
2000-10-10,31.313,31.594,27.5477,31.1188,30.7558,DOWN,0
2000-10-11,31.0,31.5,27.5537,31.0563,30.7827,DOWN,0
2000-10-12,30.25,31.0,27.556,31.0,30.7921,DOWN,0
2000-10-13,30.0,30.188,27.5533,30.8313,30.7989,DOWN,0
2000-10-16,29.5,29.969,27.5468,30.4125,30.7946,UP,1
2000-10-17,29.813,29.125,27.5498,30.1125,30.7921,DOWN,0
2000-10-18,29.688,29.75,27.5588,29.85,30.7971,UP,1
2000-10-19,29.938,29.875,27.571,29.7875,30.8202,UP,1
2000-10-20,30.156,29.813,27.588,29.8188,30.8533,DOWN,0
2000-10-23,29.875,30.156,27.6024,29.8938,30.8677,UP,1
2000-10-24,30.0,29.875,27.608,29.9313,30.8727,DOWN,0
2000-10-25,29.938,30.125,27.6126,29.9813,30.8789,UP,1
2000-10-26,30.094,30.0,27.6168,30.0125,30.8877,UP,1
2000-10-27,30.938,30.031,27.6185,30.1688,30.9208,UP,1
2000-10-30,31.063,30.781,27.6269,30.4063,30.9589,UP,1
2000-10-31,32.094,31.063,27.6454,30.825,31.0152,UP,1
2000-11-01,32.375,32.0,27.663,31.3125,31.0702,UP,1
2000-11-02,32.469,32.281,27.6816,31.7875,31.1221,DOWN,0
2000-11-03,31.469,32.438,27.6933,31.8938,31.1533,UP,1
2000-11-06,31.5,31.625,27.7104,31.9813,31.1839,DOWN,0
2000-11-07,31.125,31.375,27.7279,31.7875,31.1871,DOWN,0
2000-11-08,30.906,31.219,27.7351,31.4938,31.1902,DOWN,0
2000-11-09,29.688,30.5,27.7344,30.9375,31.1514,UP,1
2000-11-10,30.031,29.75,27.739,30.65,31.1325,DOWN,0
2000-11-13,29.563,30.0,27.7466,30.2625,31.1069,UP,1
2000-11-14,30.25,29.938,27.7577,30.0875,31.1025,DOWN,0
2000-11-15,29.188,29.0,27.7596,29.7438,31.0894,DOWN,0
2000-11-16,28.656,28.813,27.7557,29.5375,31.0587,UP,1
2000-11-17,29.031,28.875,27.7571,29.3375,31.0356,DOWN,0
2000-11-20,28.906,28.906,27.7612,29.2063,30.9781,DOWN,0
2000-11-21,28.375,28.563,27.7627,28.8313,30.9081,DOWN,0
2000-11-22,27.219,28.406,27.761,28.4375,30.82,DOWN,0
2000-11-24,26.906,27.094,27.7568,28.0875,30.7225,UP,1
2000-11-27,27.313,27.125,27.7555,27.7438,30.615,DOWN,0
2000-11-28,26.938,27.5,27.7527,27.35,30.4825,UP,1
2000-11-29,26.969,27.0,27.7544,27.0688,30.3675,DOWN,0
2000-11-30,26.563,26.563,27.756,26.9375,30.2525,UP,1
2000-12-01,26.813,26.625,27.761,26.9188,30.1444,DOWN,0
2000-12-04,26.594,26.656,27.7685,26.775,30.0306,UP,1
2000-12-05,26.969,26.656,27.7779,26.7813,29.9306,DOWN,0
2000-12-06,26.875,27.063,27.7896,26.7625,29.8487,DOWN,0
2000-12-07,26.875,26.938,27.8077,26.825,29.7587,UP,1
2000-12-08,27.406,26.906,27.8287,26.9438,29.6606,UP,1
2000-12-11,27.469,27.5,27.8498,27.1188,29.5744,UP,1
2000-12-12,28.25,27.688,27.8638,27.375,29.4887,UP,1
2000-12-13,29.0,28.375,27.8835,27.8,29.4325,DOWN,0
2000-12-14,28.563,28.875,27.9005,28.1375,29.3775,UP,1
2000-12-15,28.719,28.125,27.9188,28.4,29.3412,DOWN,0
2000-12-18,28.25,28.594,27.9368,28.5563,29.2894,UP,1
2000-12-19,28.906,28.188,27.9588,28.6875,29.2356,DOWN,0
2000-12-20,28.25,28.688,27.9804,28.5375,29.1744,DOWN,0
2000-12-21,28.031,28.438,27.996,28.4313,29.115,DOWN,0
2000-12-22,28.031,28.156,28.0137,28.2938,29.0706,UP,1
2000-12-26,28.094,28.094,28.0398,28.2625,29.0325,UP,1
2000-12-27,28.219,28.188,28.0646,28.125,29.0069,UP,1
2000-12-28,29.094,28.25,28.0941,28.2938,28.9925,UP,1
2000-12-29,29.313,29.094,28.1138,28.55,28.985,DOWN,0
2001-01-02,28.375,29.25,28.1324,28.6188,28.9537,UP,1
2001-01-03,28.625,28.281,28.1568,28.725,28.9231,UP,1
2001-01-04,30.438,29.188,28.1944,29.1688,28.9344,DOWN,0
2001-01-05,29.938,30.375,28.2255,29.3375,28.9331,UP,1
2001-01-08,29.969,29.875,28.2521,29.4688,28.9337,DOWN,0
2001-01-09,29.125,29.688,28.2776,29.6188,28.9144,UP,1
2001-01-10,29.5,29.156,28.3098,29.7938,28.8856,UP,1
2001-01-11,29.906,29.438,28.3468,29.6875,28.8625,UP,1
2001-01-12,30.0,29.906,28.3818,29.7,28.8206,UP,1
2001-01-16,30.281,30.0,28.4166,29.7625,28.7787,UP,1
2001-01-17,31.125,30.875,28.4585,30.1625,28.7519,DOWN,0
2001-01-18,30.969,31.063,28.5008,30.4563,28.7419,UP,1
2001-01-19,31.031,31.063,28.541,30.6813,28.7325,DOWN,0
2001-01-22,30.156,30.938,28.5746,30.7125,28.7131,UP,1
2001-01-23,30.875,30.188,28.6098,30.8313,28.7125,DOWN,0
2001-01-24,30.75,30.75,28.6463,30.7563,28.7337,UP,1
2001-01-25,31.375,30.813,28.6898,30.8375,28.7606,DOWN,0
2001-01-26,30.875,31.0,28.7333,30.8063,28.7869,DOWN,0
2001-01-29,30.725,30.875,28.7738,30.92,28.7964,DOWN,0
2001-01-30,30.57,30.605,28.8194,30.859,28.824,UP,1
2001-01-31,31.925,31.1,28.8713,31.094,28.8894,DOWN,0
2001-02-01,31.58,31.805,28.9223,31.135,28.9404,UP,1
2001-02-02,32.04,31.625,28.9604,31.368,29.003,UP,1
2001-02-05,32.19,31.825,28.9968,31.661,29.0793,DOWN,0
2001-02-06,31.83,32.19,29.0322,31.913,29.1716,DOWN,0
2001-02-07,30.83,31.625,29.0566,31.694,29.25,UP,1
2001-02-08,30.845,30.78,29.0749,31.547,29.3207,UP,1
2001-02-09,31.17,31.125,29.0933,31.373,29.4053,UP,1
2001-02-12,31.43,31.375,29.1157,31.221,29.4946,DOWN,0
2001-02-13,31.275,30.75,29.1409,31.11,29.5888,DOWN,0
2001-02-14,29.075,30.8,29.1564,30.759,29.6341,UP,1
2001-02-15,29.625,29.125,29.1747,30.515,29.6947,UP,1
2001-02-16,29.875,29.6,29.1956,30.256,29.7528,DOWN,0
2001-02-20,29.575,29.875,29.2138,29.885,29.8068,UP,1
2001-02-21,30.555,29.65,29.2361,29.741,29.8804,DOWN,0
2001-02-22,29.82,30.5,29.2576,29.89,29.9287,DOWN,0
2001-02-23,29.38,29.75,29.2777,29.841,29.9669,DOWN,0
2001-02-26,29.035,29.3,29.2967,29.673,29.9826,UP,1
2001-02-27,29.925,29.5,29.3205,29.743,30.0011,DOWN,0
2001-02-28,29.48,30.1,29.3407,29.528,30.0195,UP,1
2001-03-01,29.68,29.49,29.3616,29.5,30.0387,UP,1
2001-03-02,30.34,29.725,29.3867,29.692,30.0805,DOWN,0
2001-03-05,29.625,30.45,29.4092,29.81,30.0949,UP,1
2001-03-06,29.915,29.625,29.4313,29.808,30.1282,DOWN,0
2001-03-07,29.05,29.875,29.4512,29.722,30.1485,UP,1
2001-03-08,29.62,29.15,29.4756,29.71,30.1803,UP,1
2001-03-09,29.71,29.62,29.4996,29.584,30.2126,DOWN,0
2001-03-12,28.045,29.55,29.5137,29.268,30.2092,UP,1
2001-03-13,28.55,28.075,29.529,28.995,30.1983,DOWN,0
2001-03-14,28.54,28.375,29.5428,28.893,30.1828,UP,1
2001-03-15,29.34,28.4,29.5584,28.837,30.2021,DOWN,0
2001-03-16,28.67,28.75,29.5731,28.629,30.203,DOWN,0
2001-03-19,28.415,28.67,29.5866,28.703,30.1626,DOWN,0
2001-03-20,28.3,28.35,29.597,28.653,30.1298,DOWN,0
2001-03-21,27.81,28.34,29.605,28.507,30.0867,UP,1
2001-03-22,27.915,27.81,29.6158,28.222,30.0625,UP,1
2001-03-23,28.19,27.825,29.627,28.126,30.0363,UP,1
2001-03-26,28.955,28.275,29.6415,28.234,30.0172,DOWN,0
2001-03-27,28.9,28.875,29.6532,28.354,29.9952,DOWN,0
2001-03-28,28.475,28.925,29.6642,28.487,29.9591,UP,1
2001-03-29,29.32,28.45,29.6769,28.768,29.923,UP,1
2001-03-30,29.825,29.415,29.6891,29.095,29.9001,DOWN,0
2001-04-02,29.485,29.525,29.6997,29.201,29.8692,DOWN,0
2001-04-03,28.975,29.485,29.7095,29.216,29.8456,UP,1
2001-04-04,29.425,29.075,29.7206,29.406,29.8166,UP,1
2001-04-05,30.76,29.75,29.7303,29.694,29.8168,DOWN,0
2001-04-06,29.52,29.925,29.7367,29.633,29.7797,UP,1
2001-04-09,29.78,29.75,29.7376,29.692,29.7578,UP,1
2001-04-10,30.49,29.9,29.7432,29.995,29.7531,DOWN,0
2001-04-11,30.15,31.25,29.755,30.14,29.7447,UP,1
2001-04-12,31.37,30.175,29.7689,30.262,29.7336,DOWN,0
2001-04-16,31.16,31.3,29.7785,30.59,29.7252,UP,1
2001-04-17,31.675,31.16,29.7937,30.969,29.7179,UP,1
2001-04-18,32.445,31.725,29.8209,31.36,29.723,DOWN,0
2001-04-19,31.98,32.49,29.8446,31.726,29.726,UP,1
2001-04-20,32.25,31.95,29.8694,31.902,29.7544,DOWN,0
2001-04-23,32.1,32.25,29.8929,32.09,29.7795,UP,1
2001-04-24,32.365,32.15,29.9147,32.228,29.8034,UP,1
2001-04-25,33.05,32.325,29.9392,32.349,29.8358,DOWN,0
2001-04-26,32.63,32.375,29.962,32.479,29.8629,UP,1
2001-04-27,32.875,32.65,29.9861,32.604,29.9389,DOWN,0
2001-04-30,32.39,32.975,30.0026,32.662,29.9942,UP,1
2001-05-01,32.82,32.265,30.0189,32.753,30.0531,DOWN,0
2001-05-02,32.705,32.7,30.0374,32.684,30.1157,UP,1
2001-05-03,32.735,32.6,30.0539,32.705,30.1593,UP,1
2001-05-04,32.985,32.62,30.0726,32.727,30.2226,DOWN,0
2001-05-07,32.75,32.86,30.0896,32.799,30.29,UP,1
2001-05-08,32.925,32.8,30.1084,32.82,30.3678,UP,1
2001-05-09,33.33,32.825,30.1276,32.945,30.4359,UP,1
2001-05-10,33.55,33.365,30.1488,33.108,30.5173,UP,1
2001-05-11,33.63,33.55,30.1686,33.237,30.5963,UP,1
2001-05-14,33.89,33.63,30.1843,33.465,30.6673,UP,1
2001-05-15,34.2,33.8,30.2033,33.72,30.7588,UP,1
2001-05-16,35.0,34.225,30.2297,34.054,30.8605,UP,1
2001-05-17,35.225,35.0,30.2576,34.389,30.984,DOWN,0
2001-05-18,34.385,34.8,30.2806,34.54,31.0793,DOWN,0
2001-05-21,33.85,34.0,30.3015,34.532,31.1621,UP,1
2001-05-22,34.0,33.95,30.323,34.492,31.2812,DOWN,0
2001-05-23,33.43,33.875,30.3404,34.178,31.3788,DOWN,0
2001-05-24,33.14,33.305,30.3589,33.761,31.4708,UP,1
2001-05-25,33.25,33.145,30.3813,33.534,31.549,UP,1
2001-05-29,33.36,33.625,30.4056,33.436,31.6428,DOWN,0
2001-05-30,33.03,33.5,30.4249,33.242,31.7351,DOWN,0
2001-05-31,32.07,32.84,30.4365,32.97,31.8105,UP,1
2001-06-01,32.83,32.075,30.4526,32.908,31.9109,UP,1
2001-06-04,33.05,32.83,30.4695,32.868,32.0136,UP,1
2001-06-05,33.785,33.25,30.4921,32.953,32.1255,UP,1
2001-06-06,33.925,34.25,30.5159,33.132,32.2249,UP,1
2001-06-07,34.135,33.95,30.5402,33.545,32.3296,DOWN,0
2001-06-08,34.1,34.135,30.5625,33.799,32.4421,UP,1
2001-06-11,34.23,34.1,30.5843,34.035,32.5403,DOWN,0
2001-06-12,33.42,34.105,30.6019,33.962,32.6122,DOWN,0
2001-06-13,33.3,33.35,30.6185,33.837,32.6885,DOWN,0
2001-06-14,33.255,33.375,30.63,33.661,32.7741,DOWN,0
2001-06-15,32.65,32.925,30.6395,33.371,32.8386,UP,1
2001-06-18,33.0,32.775,30.6463,33.125,32.8834,UP,1
2001-06-19,33.195,32.875,30.6574,33.08,32.9569,UP,1
2001-06-20,33.225,33.25,30.6693,33.065,33.0258,DOWN,0
2001-06-21,32.925,33.24,30.6816,32.999,33.0745,DOWN,0
2001-06-22,32.91,33.25,30.697,33.051,33.1297,DOWN,0
2001-06-25,32.455,32.925,30.7083,32.942,33.1514,UP,1
2001-06-26,32.775,32.0,30.7212,32.858,33.1837,DOWN,0
2001-06-27,32.4,33.05,30.7243,32.693,33.1982,UP,1
2001-06-28,33.175,32.85,30.7308,32.743,33.2128,DOWN,0
2001-06-29,33.075,33.125,30.7381,32.776,33.2347,UP,1
2001-07-02,33.175,33.1,30.745,32.92,33.2532,UP,1
2001-07-03,33.7,33.225,30.7501,33.105,33.2852,UP,1
2001-07-05,33.775,33.9,30.7512,33.38,33.3134,DOWN,0
2001-07-06,33.025,33.75,30.7527,33.35,33.3129,UP,1
2001-07-09,33.385,33.15,30.7581,33.412,33.328,DOWN,0
2001-07-10,32.62,33.4,30.7601,33.301,33.3229,DOWN,0
2001-07-11,32.45,32.615,30.7609,33.051,33.3241,UP,1
2001-07-12,32.94,32.35,30.7658,32.884,33.3265,UP,1
2001-07-13,32.98,32.7,30.7758,32.875,33.332,UP,1
2001-07-16,33.185,33.05,30.7849,32.835,33.341,DOWN,0
2001-07-17,32.7,33.275,30.7868,32.851,33.3353,DOWN,0
2001-07-18,32.275,32.525,30.7893,32.816,33.3258,UP,1
