ticker,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2010-10-25,1.39,1.396,1.3736,1.357,,UP,1
2010-10-26,1.424,1.387,1.3911,1.3604,,DOWN,0
2010-10-27,1.4,1.417,1.3957,1.3629,,UP,1
2010-10-28,1.413,1.426,1.4016,1.3661,,UP,1
2010-10-29,1.456,1.409,1.4165,1.3702,,DOWN,0
2010-11-01,1.427,1.463,1.424,1.3733,,DOWN,0
2010-11-02,1.417,1.445,1.4225,1.3748,,UP,1
2010-11-03,1.451,1.419,1.4328,1.3782,,UP,1
2010-11-04,1.66,1.507,1.4823,1.3849,,DOWN,0
2010-11-05,1.629,1.658,1.5169,1.3911,,UP,1
2010-11-08,1.665,1.633,1.5645,1.3982,,DOWN,0
2010-11-09,1.642,1.667,1.6096,1.4045,,UP,1
2010-11-10,1.957,1.632,1.7108,1.4177,,DOWN,0
2010-11-11,1.869,1.907,1.7526,1.4278,,UP,1
2010-11-12,1.989,1.883,1.8246,1.4395,,UP,1
2010-11-15,2.053,2.015,1.9022,1.4525,,DOWN,0
2010-11-16,1.978,2.067,1.9694,1.4647,,DOWN,0
2010-11-17,1.966,2.013,1.9711,1.4761,,UP,1
2010-11-18,1.993,2.045,1.9959,1.4884,,UP,1
2010-11-19,2.066,2.011,2.0112,1.5028,,UP,1
2010-11-22,2.227,2.105,2.0459,1.5197,,UP,1
2010-11-23,2.305,2.219,2.1112,1.5376,,UP,1
2010-11-24,2.365,2.351,2.1909,1.5556,,DOWN,0
2010-11-26,2.355,2.373,2.2633,1.5748,,DOWN,0
2010-11-29,2.289,2.361,2.3079,1.5936,,UP,1
2010-11-30,2.355,2.249,2.3336,1.6126,,DOWN,0
2010-12-01,2.29,2.391,2.3307,1.6307,,DOWN,0
2010-12-02,2.157,2.267,2.2891,1.6474,,DOWN,0
2010-12-03,2.099,2.134,2.238,1.6633,,DOWN,0
2010-12-06,2.021,2.09,2.1844,1.6769,,UP,1
2010-12-07,2.104,2.033,2.1341,1.6916,,UP,1
2010-12-08,2.158,2.165,2.1077,1.7062,,DOWN,0
2010-12-09,2.137,2.167,2.1037,1.7197,,DOWN,0
2010-12-10,2.101,2.137,2.1041,1.7345,,DOWN,0
2010-12-13,2.037,2.109,2.1073,1.7477,,DOWN,0
2010-12-14,1.902,2.019,2.0669,1.7578,,UP,1
2010-12-15,1.973,1.911,2.03,1.7691,,UP,1
2010-12-16,2.054,2.0,2.0135,1.7829,,UP,1
2010-12-17,2.091,2.089,2.0113,1.7975,,UP,1
2010-12-20,2.113,2.109,2.0267,1.8125,,UP,1
2010-12-21,2.151,2.12,2.0764,1.8285,,UP,1
2010-12-22,2.175,2.15,2.1168,1.845,,DOWN,0
2010-12-23,2.006,2.084,2.1072,1.8578,,DOWN,0
2010-12-27,1.703,1.868,2.0297,1.8642,,UP,1
2010-12-28,1.761,1.723,1.9592,1.872,,UP,1
2010-12-29,1.849,1.802,1.8988,1.882,,DOWN,0
2010-12-30,1.767,1.847,1.8171,1.8906,,UP,1
2010-12-31,1.775,1.771,1.7709,1.8986,,DOWN,0
2011-01-03,1.775,1.789,1.7852,1.9064,,UP,1
2011-01-04,1.778,1.777,1.7887,1.9143,,UP,1
2011-01-05,1.789,1.765,1.7767,1.9223,,UP,1
2011-01-06,1.859,1.789,1.7951,1.931,,UP,1
2011-01-07,1.883,1.867,1.8165,1.9407,,UP,1
2011-01-10,1.897,1.878,1.8409,1.9503,,DOWN,0
2011-01-11,1.797,1.906,1.8448,1.9572,,DOWN,0
2011-01-12,1.797,1.801,1.8465,1.9646,,DOWN,0
2011-01-13,1.748,1.797,1.8244,1.9712,,DOWN,0
2011-01-14,1.717,1.743,1.7912,1.9765,,DOWN,0
2011-01-18,1.709,1.699,1.7537,1.9775,,DOWN,0
2011-01-19,1.602,1.685,1.7147,1.9769,,DOWN,0
2011-01-20,1.508,1.602,1.6568,1.9738,,UP,1
2011-01-21,1.536,1.541,1.6144,1.9717,,UP,1
2011-01-24,1.633,1.569,1.5976,1.9652,,UP,1
2011-01-25,1.645,1.643,1.5848,1.9607,,UP,1
2011-01-26,1.65,1.647,1.5944,1.9539,,UP,1
2011-01-27,1.661,1.649,1.6251,1.9461,,DOWN,0
2011-01-28,1.601,1.659,1.638,1.9385,,UP,1
2011-01-31,1.607,1.603,1.6328,1.9313,,DOWN,0
2011-02-01,1.594,1.621,1.6225,1.9234,,UP,1
2011-02-02,1.596,1.611,1.6117,1.914,,DOWN,0
2011-02-03,1.575,1.588,1.5945,1.9009,,DOWN,0
2011-02-04,1.564,1.563,1.5872,1.8861,,DOWN,0
2011-02-07,1.538,1.551,1.5735,1.8696,,UP,1
2011-02-08,1.633,1.585,1.5812,1.8552,,DOWN,0
2011-02-09,1.547,1.609,1.5715,1.8403,,UP,1
2011-02-10,1.548,1.551,1.5659,1.8242,,UP,1
2011-02-11,1.55,1.55,1.5631,1.8094,,DOWN,0
2011-02-14,1.539,1.576,1.5633,1.797,,DOWN,0
2011-02-15,1.523,1.534,1.5413,1.7855,,UP,1
2011-02-16,1.649,1.54,1.5615,1.778,,DOWN,0
2011-02-17,1.573,1.642,1.5667,1.7674,,DOWN,0
2011-02-18,1.545,1.555,1.5657,1.7552,,DOWN,0
2011-02-22,1.458,1.525,1.5496,1.7416,,DOWN,0
2011-02-23,1.455,1.479,1.5361,1.7287,,UP,1
2011-02-24,1.502,1.452,1.5068,1.718,,UP,1
2011-02-25,1.574,1.521,1.5069,1.7114,,UP,1
2011-02-28,1.593,1.583,1.5164,1.7038,,UP,1
2011-03-01,1.596,1.603,1.544,1.6947,,UP,1
2011-03-02,1.601,1.588,1.5732,1.6849,,UP,1
2011-03-03,1.624,1.632,1.5976,1.6751,,UP,1
2011-03-04,1.663,1.632,1.6155,1.6653,,DOWN,0
2011-03-07,1.663,1.662,1.6295,1.6551,,DOWN,0
2011-03-08,1.644,1.64,1.6391,1.6478,,UP,1
2011-03-09,1.648,1.644,1.6484,1.6467,,DOWN,0
2011-03-10,1.601,1.629,1.6437,1.6435,,UP,1
2011-03-11,1.605,1.59,1.632,1.6387,,DOWN,0
2011-03-14,1.55,1.588,1.6095,1.6343,,DOWN,0
2011-03-15,1.53,1.48,1.5867,1.6294,,DOWN,0
2011-03-16,1.521,1.524,1.5613,1.6244,,DOWN,0
2011-03-17,1.521,1.549,1.5453,1.6192,,UP,1
2011-03-18,1.531,1.546,1.5305,1.614,,DOWN,0
2011-03-21,1.515,1.537,1.5236,1.6072,,DOWN,0
2011-03-22,1.479,1.515,1.5135,1.5991,,UP,1
2011-03-23,1.481,1.474,1.5053,1.5908,,UP,1
2011-03-24,1.489,1.476,1.4989,1.5846,,UP,1
2011-03-25,1.517,1.495,1.4961,1.579,,UP,1
2011-03-28,1.55,1.513,1.5031,1.575,,UP,1
2011-03-29,1.595,1.553,1.5261,1.5726,,DOWN,0
2011-03-30,1.581,1.607,1.5461,1.57,,UP,1
2011-03-31,1.85,1.77,1.6184,1.575,,DOWN,0
2011-04-01,1.777,1.83,1.6705,1.5804,,DOWN,0
2011-04-04,1.722,1.789,1.7049,1.5841,,UP,1
2011-04-05,1.78,1.727,1.742,1.587,,DOWN,0
2011-04-06,1.766,1.799,1.7791,1.5895,,UP,1
