ticker,MET US Equity,MET US Equity,MET US Equity,MET US Equity,MET US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-07-27,18.2126,18.5467,18.4465,17.9831,,DOWN,0
2000-07-28,18.1012,17.8784,18.3685,18.0054,,UP,1
2000-07-31,18.7138,18.2683,18.4576,18.0426,,UP,1
2000-08-01,18.8252,18.6581,18.4799,18.0949,,DOWN,0
2000-08-02,18.6024,18.7138,18.4911,18.1417,,DOWN,0
2000-08-03,17.9341,18.6024,18.4354,18.164,,UP,1
2000-08-04,18.1012,17.9341,18.4354,18.1807,,UP,1
2000-08-07,19.9391,18.4354,18.6804,18.2375,,UP,1
2000-08-08,20.7746,21.2758,19.0703,18.301,,DOWN,0
2000-08-09,20.2733,20.7189,19.4045,18.3522,,UP,1
2000-08-10,20.4961,20.4961,19.9169,18.3968,,UP,1
2000-08-11,21.3872,21.3872,20.5741,18.4681,,DOWN,0
2000-08-14,20.4961,21.3872,20.6855,18.5037,,UP,1
2000-08-15,21.2202,21.3315,20.7746,18.5616,,DOWN,0
2000-08-16,20.9417,21.3315,20.9083,18.6162,,UP,1
2000-08-17,21.3315,21.2758,21.0753,18.6742,,DOWN,0
2000-08-18,21.3315,20.9974,21.0642,18.7365,,DOWN,0
2000-08-21,20.9417,21.2202,21.1533,18.7811,,UP,1
2000-08-22,21.3872,21.2758,21.1867,18.8446,,UP,1
2000-08-23,22.2227,21.1645,21.4429,18.9181,,DOWN,0
2000-08-24,21.61,22.167,21.4986,18.9938,,DOWN,0
2000-08-25,21.0531,21.6657,21.4429,19.0585,,DOWN,0
2000-08-28,20.9417,20.9417,21.4429,19.1197,,UP,1
2000-08-29,21.3872,21.0531,21.4429,19.191,,UP,1
2000-08-30,22.1113,21.3872,21.4207,19.2979,,DOWN,0
2000-08-31,21.6657,22.1113,21.4318,19.4015,,UP,1
2000-09-01,22.167,21.8328,21.6546,19.5029,,DOWN,0
2000-09-05,21.61,21.7214,21.7883,19.5909,,UP,1
2000-09-06,21.8328,21.8328,21.8774,19.6856,,UP,1
2000-09-07,21.9442,22.0556,21.8439,19.7702,,UP,1
2000-09-08,22.3341,21.9999,21.9776,19.8672,,DOWN,0
2000-09-11,22.1113,22.5012,21.9665,19.9295,,DOWN,0
2000-09-12,21.9442,22.2227,22.0333,19.9948,,UP,1
2000-09-13,22.7239,21.9442,22.2115,20.0684,,DOWN,0
2000-09-14,22.2784,22.5012,22.2784,20.1374,,DOWN,0
2000-09-15,21.8885,22.2227,22.1893,20.1853,,DOWN,0
