ticker,NDAQ US Equity,NDAQ US Equity,NDAQ US Equity,NDAQ US Equity,NDAQ US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2002-10-28,2.3333,2.5,2.4833,3.1626,,UP,1
2002-10-29,2.5833,2.5,2.4667,3.1366,,DOWN,0
2002-10-30,2.5167,2.4333,2.45,3.1096,,DOWN,0
2002-10-31,2.5,2.5167,2.4667,3.0813,,DOWN,0
2002-11-01,2.5,2.45,2.4867,3.0579,,DOWN,0
2002-11-04,2.5,2.5667,2.52,3.0339,,DOWN,0
2002-11-05,2.5,2.5,2.5033,3.0115,,UP,1
2002-11-06,2.5333,2.5333,2.5067,2.9921,,DOWN,0
2002-11-07,2.5,2.5667,2.5067,2.9747,,UP,1
2002-11-11,2.6333,2.5667,2.5333,2.9594,,DOWN,0
2002-11-12,2.6333,2.6333,2.56,2.9454,,UP,1
2002-11-13,2.7933,2.6333,2.6187,2.9353,,UP,1
2002-11-14,2.8167,2.7933,2.6753,2.9296,,DOWN,0
2002-11-15,2.8,2.8333,2.7353,2.9236,,UP,1
2002-11-18,2.8333,2.8167,2.7753,2.9156,,DOWN,0
2002-11-19,2.7567,2.8,2.8,2.9054,,UP,1
2002-11-20,2.8,2.8,2.8013,2.8954,,DOWN,0
2002-11-21,2.8,2.8,2.798,2.8844,,DOWN,0
2002-11-22,2.8,2.7467,2.798,2.8744,,DOWN,0
2002-11-25,2.8,2.8,2.7913,2.8641,,UP,1
2002-11-26,3.1,2.8,2.86,2.8595,,UP,1
2002-11-27,3.3333,3.1,2.9667,2.8601,,DOWN,0
2002-11-29,3.3333,3.3333,3.0733,2.861,,UP,1
2002-12-02,3.3833,3.3333,3.19,2.8633,,DOWN,0
2002-12-04,3.35,3.35,3.3,2.8677,,UP,1
2002-12-05,3.5,3.35,3.38,2.873,,UP,1
2002-12-06,3.5667,3.4667,3.4267,2.8817,,DOWN,0
2002-12-09,3.4833,3.5,3.4567,2.8873,,UP,1
2002-12-10,3.5333,3.55,3.4867,2.8933,,DOWN,0
2002-12-11,3.5333,3.5033,3.5233,2.9007,,UP,1
2002-12-12,3.7,3.55,3.5633,2.9124,,DOWN,0
2002-12-13,3.6667,3.65,3.5833,2.9224,,UP,1
2002-12-16,3.6833,3.7333,3.6233,2.9329,,DOWN,0
2002-12-17,3.67,3.6833,3.6507,2.9427,,UP,1
2002-12-18,3.6833,3.67,3.6807,2.9527,,DOWN,0
2002-12-19,3.6833,3.6833,3.6773,2.963,,DOWN,0
2002-12-20,3.5,3.5,3.644,2.9713,,UP,1
2002-12-23,3.6,3.55,3.6273,2.9833,,DOWN,0
2002-12-26,3.5,3.5167,3.5933,2.9933,,UP,1
2002-12-30,3.5067,3.6,3.558,3.0035,,DOWN,0
2002-12-31,3.3333,3.6,3.488,3.0102,,UP,1
2003-01-02,3.4167,3.3367,3.4713,3.0209,,DOWN,0
2003-01-03,3.4167,3.42,3.4347,3.0335,,UP,1
2003-01-06,3.4667,3.4833,3.428,3.0479,,DOWN,0
2003-01-07,3.4333,3.4333,3.4133,3.0615,,DOWN,0
2003-01-08,3.4,3.4333,3.4267,3.0759,,DOWN,0
2003-01-09,3.1667,3.3833,3.3767,3.0859,,DOWN,0
2003-01-10,3.0833,3.0833,3.31,3.0955,,UP,1
2003-01-13,3.3367,3.0833,3.284,3.1139,,DOWN,0
2003-01-14,3.0667,3.0833,3.2107,3.1273,,UP,1
2003-01-15,3.2667,3.25,3.184,3.1459,,DOWN,0
2003-01-16,3.25,3.2833,3.2007,3.1593,,DOWN,0
2003-01-17,3.1667,3.1667,3.2173,3.1723,,DOWN,0
2003-01-21,3.1667,3.1667,3.1833,3.1856,,DOWN,0
2003-01-22,3.1167,3.1167,3.1933,3.1979,,DOWN,0
2003-01-23,3.0833,3.1167,3.1567,3.2096,,DOWN,0
2003-01-24,3.0667,3.0833,3.12,3.2209,,UP,1
2003-01-27,3.0967,3.0667,3.106,3.2322,,DOWN,0
2003-01-28,3.0667,3.07,3.086,3.2435,,DOWN,0
2003-01-29,3.0367,3.0667,3.07,3.2516,,DOWN,0
2003-01-30,3.0333,3.0367,3.06,3.2596,,DOWN,0
2003-01-31,3.0333,3.0333,3.0533,3.2644,,DOWN,0
2003-02-03,3.0333,3.0333,3.0407,3.2687,,UP,1
2003-02-04,3.0667,3.0333,3.0407,3.2741,,DOWN,0
2003-02-05,3.0333,3.0333,3.04,3.2781,,DOWN,0
2003-02-06,3.0267,3.0333,3.0387,3.2835,,UP,1
