ticker,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-08-14,39.93,40.19,40.11,35.1834,,UP,1
2012-08-15,40.36,40.54,40.152,35.3926,,UP,1
2012-08-16,41.18,40.53,40.324,35.5856,,UP,1
2012-08-17,42.77,41.62,40.878,35.8044,,UP,1
2012-08-20,43.07,42.87,41.462,36.0234,,DOWN,0
2012-08-21,41.55,43.38,41.786,36.2024,,DOWN,0
2012-08-22,41.48,41.36,42.01,36.3622,,DOWN,0
2012-08-23,41.33,41.48,42.04,36.5334,,UP,1
2012-08-24,41.36,41.15,41.758,36.69,,DOWN,0
2012-08-27,41.07,41.43,41.358,36.8134,,UP,1
2012-08-28,41.96,40.9,41.44,36.9754,,UP,1
2012-08-29,41.98,41.9,41.54,37.1378,,UP,1
2012-08-30,42.48,41.79,41.77,37.2942,,DOWN,0
2012-08-31,42.0,42.7,41.898,37.4646,,UP,1
2012-09-04,42.41,42.07,42.166,37.6296,,DOWN,0
2012-09-05,41.74,42.49,42.122,37.807,,UP,1
2012-09-06,43.42,42.16,42.41,38.0238,,UP,1
2012-09-07,44.26,43.48,42.766,38.2712,,UP,1
2012-09-10,44.54,43.93,43.274,38.5158,,UP,1
2012-09-11,45.59,44.64,43.91,38.7628,,UP,1
2012-09-12,46.28,46.14,44.818,39.0084,,UP,1
2012-09-13,46.64,46.3,45.462,39.2564,,UP,1
2012-09-14,46.73,47.16,45.956,39.515,,DOWN,0
2012-09-17,46.14,46.17,46.276,39.7704,,DOWN,0
2012-09-18,45.52,45.53,46.262,40.0158,,UP,1
2012-09-19,45.57,45.53,46.12,40.2736,,UP,1
2012-09-20,45.78,45.39,45.948,40.5196,,UP,1
2012-09-21,46.82,46.04,45.966,40.7958,,DOWN,0
2012-09-24,46.74,46.69,46.086,41.0318,,DOWN,0
2012-09-25,45.98,47.0,46.178,41.2294,,DOWN,0
2012-09-26,45.53,45.69,46.17,41.4062,,UP,1
2012-09-27,46.53,45.8,46.32,41.5948,,DOWN,0
2012-09-28,46.37,46.43,46.23,41.8102,,UP,1
2012-10-01,46.56,46.6,46.194,42.035,,DOWN,0
2012-10-02,46.42,46.68,46.282,42.263,,DOWN,0
2012-10-03,45.16,46.27,46.208,42.4616,,UP,1
2012-10-04,45.39,45.59,45.98,42.6614,,UP,1
2012-10-05,46.02,45.87,45.91,42.8626,,DOWN,0
2012-10-08,45.93,45.96,45.784,43.0508,,UP,1
2012-10-09,46.09,46.16,45.718,43.2196,,DOWN,0
2012-10-10,45.15,46.02,45.716,43.3706,,DOWN,0
2012-10-11,44.6,45.38,45.558,43.4972,,DOWN,0
2012-10-12,43.92,44.33,45.138,43.6096,,UP,1
2012-10-15,44.38,43.85,44.828,43.7038,,UP,1
2012-10-16,46.49,44.77,44.908,43.8322,,UP,1
2012-10-17,46.65,46.55,45.208,43.9698,,DOWN,0
2012-10-18,45.56,46.62,45.4,44.078,,DOWN,0
2012-10-19,44.64,45.53,45.544,44.1644,,UP,1
2012-10-22,45.58,44.73,45.784,44.276,,DOWN,0
2012-10-23,44.92,44.91,45.47,44.3714,,DOWN,0
2012-10-24,44.78,45.0,45.096,44.4684,,UP,1
2012-10-25,45.03,45.14,44.99,44.5618,,UP,1
2012-10-26,47.5,45.57,45.562,44.6882,,DOWN,0
2012-10-31,47.16,47.82,45.878,44.776,,UP,1
2012-11-01,47.38,47.0,46.37,44.8622,,DOWN,0
2012-11-02,46.21,48.01,46.656,44.9554,,UP,1
2012-11-05,47.76,46.23,47.202,45.081,,UP,1
2012-11-06,50.04,48.0,47.71,45.2552,,DOWN,0
2012-11-07,49.46,49.23,48.17,45.4172,,DOWN,0
2012-11-08,49.0,49.34,48.494,45.5758,,DOWN,0
2012-11-09,47.41,48.11,48.734,45.6848,,DOWN,0
2012-11-12,47.35,47.43,48.652,45.7922,,DOWN,0
2012-11-13,46.86,47.0,48.016,45.8798,,DOWN,0
2012-11-14,45.76,47.17,47.276,45.955,,DOWN,0
2012-11-15,45.34,45.53,46.544,46.0136,,UP,1
2012-11-16,45.77,45.56,46.216,46.0942,,UP,1
2012-11-19,48.12,46.4,46.37,46.1882,,UP,1
2012-11-20,49.06,48.19,46.81,46.2842,,UP,1
2012-11-21,49.39,49.32,47.536,46.3812,,UP,1
2012-11-23,49.82,49.58,48.432,46.4658,,DOWN,0
2012-11-26,49.56,49.55,49.19,46.5314,,UP,1
2012-11-27,50.06,49.51,49.578,46.5998,,UP,1
2012-11-28,51.0,49.66,49.966,46.6852,,UP,1
2012-11-29,51.56,51.2,50.4,46.7936,,UP,1
2012-11-30,52.37,51.68,50.91,46.9306,,DOWN,0
2012-12-03,51.56,52.65,51.31,47.0504,,DOWN,0
2012-12-04,51.56,51.48,51.61,47.166,,DOWN,0
2012-12-05,50.69,51.45,51.548,47.2434,,UP,1
2012-12-06,50.97,50.69,51.43,47.328,,UP,1
2012-12-07,52.34,51.19,51.424,47.4552,,UP,1
2012-12-10,53.58,52.21,51.828,47.6162,,DOWN,0
2012-12-11,53.04,53.72,52.124,47.7464,,UP,1
2012-12-12,53.05,53.33,52.596,47.88,,DOWN,0
2012-12-13,52.21,52.6,52.844,47.993,,UP,1
2012-12-14,53.47,52.0,53.07,48.134,,UP,1
2012-12-17,53.52,53.56,53.058,48.3012,,DOWN,0
2012-12-18,53.17,53.44,53.084,48.4568,,DOWN,0
2012-12-19,52.5,53.28,52.974,48.5864,,DOWN,0
2012-12-20,52.42,52.58,53.016,48.7162,,DOWN,0
2012-12-21,52.16,51.71,52.754,48.8376,,DOWN,0
2012-12-24,51.97,52.22,52.444,48.974,,DOWN,0
2012-12-26,51.36,52.16,52.082,49.1092,,UP,1
2012-12-27,51.56,51.5,51.894,49.262,,DOWN,0
2012-12-28,50.57,51.06,51.524,49.3858,,UP,1
2012-12-31,53.1,50.4,51.712,49.518,,UP,1
2013-01-02,55.26,54.25,52.37,49.6902,,DOWN,0
2013-01-03,53.19,55.03,52.736,49.8428,,DOWN,0
2013-01-04,53.14,53.12,53.052,50.0128,,DOWN,0
2013-01-07,51.36,52.48,53.21,50.1284,,UP,1
2013-01-08,51.59,51.2,52.908,50.2618,,DOWN,0
2013-01-09,51.32,51.56,52.12,50.3926,,UP,1
2013-01-10,51.51,51.64,51.784,50.5222,,DOWN,0
2013-01-11,50.58,51.28,51.272,50.5838,,UP,1
2013-01-14,51.35,50.67,51.27,50.6676,,UP,1
2013-01-15,52.24,51.35,51.4,50.7648,,UP,1
2013-01-16,54.52,52.13,52.04,50.931,,UP,1
2013-01-17,55.15,54.98,52.768,51.0788,,DOWN,0
2013-01-18,55.07,55.21,53.666,51.1794,,DOWN,0
2013-01-22,54.61,55.24,54.318,51.2824,,UP,1
2013-01-23,55.52,54.72,54.974,51.4128,,UP,1
2013-01-24,56.12,55.5,55.294,51.587,,UP,1
2013-01-25,56.81,56.5,55.626,51.7762,,UP,1
2013-01-28,57.09,57.09,56.03,51.9808,,UP,1
2013-01-29,59.88,58.0,57.084,52.2632,42.1086,UP,1
2013-01-30,60.76,62.38,58.132,52.5716,42.2424,DOWN,0
2013-01-31,60.57,60.37,59.022,52.8676,42.3602,UP,1
2013-02-01,62.75,62.0,60.21,53.1602,42.4912,DOWN,0
2013-02-04,61.22,62.13,61.036,53.4034,42.6173,DOWN,0
2013-02-05,61.01,61.72,61.262,53.6358,42.7424,UP,1
2013-02-06,61.72,60.79,61.454,53.8738,42.871,UP,1
2013-02-07,63.26,61.88,61.992,54.1478,43.0057,UP,1
2013-02-08,64.02,63.41,62.246,54.427,43.1474,UP,1
2013-02-11,64.18,64.0,62.838,54.6906,43.2945,UP,1
2013-02-12,64.43,64.62,63.522,54.948,43.4429,DOWN,0
2013-02-13,64.11,64.5,64.0,55.1828,43.5887,UP,1
2013-02-14,64.83,63.77,64.314,55.4482,43.7423,DOWN,0
2013-02-15,64.17,64.55,64.344,55.7004,43.8929,UP,1
2013-02-19,64.76,64.02,64.46,55.9818,44.0529,DOWN,0
2013-02-20,62.64,64.75,64.102,56.2152,44.2061,DOWN,0
2013-02-21,62.29,62.32,63.738,56.4142,44.3606,UP,1
2013-02-22,64.11,62.78,63.594,56.6248,44.5304,DOWN,0
2013-02-25,61.34,64.49,63.028,56.7908,44.6903,DOWN,0
2013-02-26,61.23,61.48,62.322,56.9544,44.846,UP,1
2013-02-27,62.99,61.3,62.392,57.17,44.9985,DOWN,0
2013-02-28,62.96,62.86,62.526,57.3598,45.1509,UP,1
2013-03-01,63.9,62.71,62.484,57.5674,45.3112,UP,1
2013-03-04,65.68,63.84,63.352,57.8176,45.483,UP,1
2013-03-05,65.77,66.04,64.26,58.083,45.6535,UP,1
2013-03-06,66.05,66.0,64.872,58.3556,45.8233,DOWN,0
2013-03-07,65.87,65.89,65.454,58.6298,45.9963,UP,1
2013-03-08,66.03,66.08,65.88,58.911,46.1696,DOWN,0
2013-03-11,65.69,65.9,65.882,59.1976,46.3371,UP,1
2013-03-12,66.22,65.66,65.972,59.4908,46.51,DOWN,0
2013-03-13,64.55,65.88,65.672,59.7704,46.6757,UP,1
2013-03-14,64.95,64.96,65.488,60.0074,46.8448,DOWN,0
2013-03-15,64.15,64.49,65.112,60.1852,47.0091,UP,1
2013-03-18,65.03,63.32,64.98,60.422,47.1792,UP,1
2013-03-19,65.41,64.88,64.818,60.6674,47.354,UP,1
2013-03-20,67.54,66.0,65.416,60.991,47.5416,DOWN,0
2013-03-21,66.82,67.0,65.79,61.2956,47.7261,UP,1
2013-03-22,67.55,66.97,66.47,61.6202,47.9162,DOWN,0
2013-03-25,66.86,67.94,66.836,61.9272,48.101,UP,1
2013-03-26,67.24,66.98,67.202,62.2604,48.2795,UP,1
2013-03-27,68.27,67.13,67.348,62.5988,48.4617,UP,1
2013-03-28,69.97,68.38,67.978,62.9534,48.651,DOWN,0
2013-04-01,69.36,70.0,68.34,63.2502,48.8348,DOWN,0
2013-04-02,66.84,70.17,68.336,63.484,49.0015,DOWN,0
2013-04-03,62.46,66.84,67.38,63.6318,49.15,DOWN,0
2013-04-04,62.39,62.57,66.204,63.7874,49.2943,DOWN,0
2013-04-05,62.31,61.26,64.672,63.9232,49.4313,UP,1
2013-04-08,63.62,62.29,63.524,64.0732,49.5801,UP,1
2013-04-09,64.66,63.95,63.088,64.2302,49.7341,DOWN,0
2013-04-10,63.86,64.78,63.368,64.3656,49.8801,DOWN,0
2013-04-11,62.01,63.81,63.292,64.4082,50.0228,DOWN,0
2013-04-12,60.67,61.37,62.964,64.4064,50.1553,DOWN,0
2013-04-15,57.52,59.18,61.744,64.3454,50.2786,UP,1
2013-04-16,59.28,58.15,60.668,64.276,50.4121,DOWN,0
2013-04-17,57.99,58.55,59.494,64.2114,50.5426,DOWN,0
2013-04-18,57.23,57.92,58.538,64.1358,50.6672,UP,1
2013-04-19,57.84,58.14,57.972,64.0582,50.7902,UP,1
2013-04-22,59.43,58.12,58.354,63.9816,50.9173,UP,1
2013-04-23,61.15,59.59,58.728,63.9242,51.0519,UP,1
2013-04-24,61.82,61.41,59.494,63.877,51.192,UP,1
2013-04-25,61.9,62.04,60.428,63.8264,51.3346,DOWN,0
2013-04-26,61.6,61.85,61.18,63.7762,51.4764,UP,1
2013-04-29,61.8,61.97,61.654,63.7156,51.622,DOWN,0
2013-04-30,60.95,61.93,61.614,63.6512,51.7593,DOWN,0
2013-05-01,59.67,61.11,61.184,63.5494,51.8926,UP,1
2013-05-02,60.3,60.07,60.864,63.5026,52.0194,UP,1
2013-05-03,62.18,60.8,60.98,63.5004,52.1498,UP,1
2013-05-06,63.87,62.49,61.394,63.4956,52.2857,UP,1
2013-05-07,64.48,64.25,62.1,63.5584,52.4226,DOWN,0
2013-05-08,63.41,64.23,62.848,63.602,52.5617,DOWN,0
2013-05-09,62.13,63.23,63.214,63.5848,52.6957,DOWN,0
2013-05-10,61.38,61.73,63.054,63.5532,52.8275,UP,1
2013-05-13,61.97,61.13,62.674,63.5146,52.9612,UP,1
2013-05-14,64.08,62.06,62.594,63.4826,53.1046,UP,1
2013-05-15,64.95,63.73,62.902,63.4662,53.2496,DOWN,0
2013-05-16,63.84,64.71,63.244,63.422,53.3862,UP,1
2013-05-17,65.46,64.2,64.06,63.4138,53.5252,UP,1
2013-05-20,65.96,65.32,64.858,63.4124,53.667,DOWN,0
2013-05-21,65.42,66.1,65.126,63.407,53.8028,DOWN,0
2013-05-22,65.39,65.3,65.214,63.3904,53.9382,DOWN,0
2013-05-23,65.25,64.44,65.496,63.4044,54.0661,UP,1
2013-05-24,65.47,64.77,65.498,63.4148,54.1931,UP,1
2013-05-28,66.52,66.39,65.61,63.4622,54.3269,UP,1
2013-05-29,66.84,66.21,65.894,63.4984,54.4603,DOWN,0
2013-05-30,66.77,66.35,66.17,63.5256,54.5926,DOWN,0
2013-05-31,66.57,66.64,66.434,63.5062,54.7254,DOWN,0
2013-06-03,66.08,67.04,66.556,63.4914,54.8551,DOWN,0
2013-06-04,65.18,65.8,66.288,63.444,54.9813,DOWN,0
2013-06-05,63.61,64.94,65.642,63.379,55.0976,UP,1
2013-06-06,65.0,63.68,65.288,63.3342,55.2167,UP,1
2013-06-07,65.87,65.44,65.148,63.2862,55.3322,DOWN,0
2013-06-10,65.11,65.93,64.954,63.189,55.4424,DOWN,0
2013-06-11,63.96,64.05,64.71,63.081,55.5544,DOWN,0
2013-06-12,63.31,64.88,64.65,63.0104,55.6636,UP,1
2013-06-13,64.51,63.09,64.552,63.0514,55.7795,DOWN,0
2013-06-14,63.81,64.71,64.14,63.0798,55.8917,UP,1
2013-06-17,64.26,64.2,63.97,63.1188,56.0077,UP,1
2013-06-18,64.39,64.48,64.056,63.1342,56.1198,DOWN,0
2013-06-19,63.63,64.27,64.12,63.1136,56.2281,DOWN,0
2013-06-20,60.39,62.58,63.296,63.0442,56.3176,DOWN,0
2013-06-21,59.25,61.02,62.384,62.989,56.4039,DOWN,0
2013-06-24,57.19,58.46,60.97,62.9194,56.4778,UP,1
2013-06-25,59.41,58.29,59.974,62.9572,56.5661,UP,1
2013-06-26,59.72,60.1,59.192,62.966,56.6476,DOWN,0
2013-06-27,59.22,60.32,58.958,62.9906,56.7224,DOWN,0
2013-06-28,58.91,59.14,58.89,63.0242,56.7943,DOWN,0
2013-07-01,58.9,59.24,59.232,63.0454,56.8608,DOWN,0
2013-07-02,57.08,58.85,58.766,62.9984,56.9148,UP,1
2013-07-03,57.68,56.75,58.358,62.929,56.97,DOWN,0
2013-07-05,57.24,57.84,57.962,62.8374,57.0226,UP,1
2013-07-08,58.75,57.71,57.93,62.7744,57.0856,DOWN,0
2013-07-09,58.51,59.02,57.852,62.7126,57.1506,DOWN,0
2013-07-10,56.09,58.41,57.654,62.5984,57.2032,UP,1
2013-07-11,57.76,57.05,57.67,62.5346,57.2631,UP,1
2013-07-12,59.09,56.9,58.04,62.523,57.3244,UP,1
2013-07-15,59.23,59.45,58.136,62.5016,57.3869,DOWN,0
2013-07-16,57.64,59.21,57.962,62.4108,57.4452,UP,1
2013-07-17,58.04,57.82,58.352,62.2942,57.5077,DOWN,0
2013-07-18,56.92,58.19,58.184,62.143,57.5597,UP,1
2013-07-19,57.49,57.44,57.864,62.0246,57.6153,UP,1
2013-07-22,57.96,57.88,57.61,61.9412,57.6722,UP,1
2013-07-23,59.49,58.47,57.98,61.9034,57.7376,DOWN,0
2013-07-24,58.84,59.65,58.14,61.8408,57.806,UP,1
2013-07-25,59.42,58.68,58.64,61.7476,57.8762,DOWN,0
2013-07-26,59.0,59.25,58.942,61.6286,57.9411,DOWN,0
2013-07-29,58.96,59.12,59.142,61.531,58.0062,DOWN,0
2013-07-30,58.47,59.05,58.938,61.3912,58.0681,UP,1
2013-07-31,61.5,57.32,59.47,61.302,58.1498,DOWN,0
2013-08-01,60.52,61.87,59.69,61.204,58.2294,DOWN,0
2013-08-02,58.41,60.13,59.572,61.0644,58.3019,DOWN,0
2013-08-05,57.8,58.28,59.34,60.9154,58.369,UP,1
2013-08-06,58.31,57.64,59.308,60.7722,58.4281,DOWN,0
2013-08-07,57.96,58.24,58.6,60.601,58.4846,UP,1
2013-08-08,59.0,58.02,58.296,60.4442,58.5518,DOWN,0
2013-08-09,58.92,59.0,58.398,60.2872,58.6232,DOWN,0
2013-08-12,58.17,58.44,58.472,60.1192,58.6862,UP,1
2013-08-13,59.09,58.39,58.628,59.9794,58.757,DOWN,0
2013-08-14,58.79,59.0,58.794,59.8516,58.8271,DOWN,0
2013-08-15,57.15,58.27,58.424,59.7224,58.8877,DOWN,0
2013-08-16,56.3,56.89,57.9,59.5484,58.9317,DOWN,0
2013-08-19,55.34,56.28,57.334,59.3378,58.9726,UP,1
2013-08-20,57.01,55.23,56.918,59.1758,59.0207,UP,1
2013-08-21,57.95,56.73,56.75,59.0556,59.0795,UP,1
2013-08-22,58.11,57.98,56.942,58.9516,59.1312,DOWN,0
2013-08-23,58.11,58.45,57.304,58.8236,59.1716,UP,1
2013-08-26,58.13,58.17,57.862,58.71,59.2149,DOWN,0
2013-08-27,57.1,57.71,57.88,58.5668,59.2554,UP,1
2013-08-28,58.03,57.2,57.896,58.4396,59.3085,DOWN,0
2013-08-29,57.72,57.87,57.818,58.3214,59.3604,DOWN,0
2013-08-30,57.1,57.95,57.616,58.2556,59.4116,UP,1
2013-09-03,58.11,57.76,57.612,58.2328,59.4733,UP,1
2013-09-04,59.03,57.92,57.998,58.2696,59.5418,DOWN,0
2013-09-05,57.8,58.68,57.952,58.2374,59.6019,DOWN,0
2013-09-06,57.42,57.91,57.892,58.1914,59.6484,UP,1
2013-09-09,57.47,57.07,57.966,58.1564,59.6904,DOWN,0
2013-09-10,56.79,57.44,57.702,58.114,59.7275,UP,1
2013-09-11,56.93,56.83,57.282,58.0746,59.763,DOWN,0
2013-09-12,56.45,56.99,57.012,58.062,59.7975,UP,1
2013-09-13,57.13,56.64,56.954,58.051,59.8328,DOWN,0
2013-09-16,56.83,57.62,56.826,58.0428,59.862,DOWN,0
2013-09-17,56.05,56.71,56.678,57.9888,59.8844,UP,1
2013-09-18,57.25,56.05,56.742,57.9636,59.9088,UP,1
2013-09-19,58.15,58.34,57.082,58.0048,59.9418,DOWN,0
2013-09-20,57.93,58.2112,57.242,58.0082,59.9736,DOWN,0
2013-09-23,57.41,57.73,57.358,57.9746,60.0072,UP,1
2013-09-24,57.77,57.24,57.702,57.9454,60.0412,UP,1
2013-09-25,58.05,57.82,57.862,57.9536,60.0698,UP,1
2013-09-26,58.48,58.01,57.928,57.9624,60.0943,UP,1
2013-09-27,58.53,58.1,58.048,57.9946,60.1217,DOWN,0
2013-09-30,57.82,58.01,58.13,58.0012,60.1456,UP,1
2013-10-01,57.9,57.65,58.156,58.0,60.174,UP,1
2013-10-02,59.18,57.59,58.382,57.9938,60.2026,UP,1
2013-10-03,59.56,58.86,58.598,58.0082,60.2328,DOWN,0
2013-10-04,59.17,59.0,58.726,58.0032,60.2628,DOWN,0
2013-10-07,57.9,58.76,58.742,57.9812,60.2898,DOWN,0
2013-10-08,56.89,57.92,58.54,57.9398,60.3121,UP,1
2013-10-09,56.9,56.82,58.084,57.9084,60.3358,UP,1
2013-10-10,58.57,57.67,57.886,57.8498,60.3688,UP,1
2013-10-11,59.93,58.55,58.038,57.838,60.4117,UP,1
2013-10-14,60.48,59.57,58.554,57.8794,60.4563,DOWN,0
2013-10-15,59.5,60.39,59.076,57.9134,60.5009,UP,1
2013-10-16,60.73,60.02,59.842,57.9618,60.5391,UP,1
2013-10-17,62.22,60.57,60.572,58.047,60.5738,UP,1
2013-10-18,63.48,62.51,61.282,58.1366,60.6253,UP,1
2013-10-21,63.91,63.77,61.968,58.2364,60.6791,UP,1
2013-10-22,64.88,64.34,63.044,58.3706,60.7467,DOWN,0
2013-10-23,64.66,64.37,63.83,58.482,60.8121,DOWN,0
2013-10-24,63.23,64.54,64.032,58.5708,60.8716,UP,1
2013-10-25,63.4,63.32,64.016,58.6958,60.9311,DOWN,0
2013-10-28,63.28,63.77,63.89,58.8354,60.9946,UP,1
2013-10-29,64.14,63.39,63.742,59.0114,61.0585,UP,1
2013-10-30,65.23,64.1,63.856,59.1758,61.1235,DOWN,0
2013-10-31,64.43,64.98,64.096,59.3054,61.173,DOWN,0
2013-11-01,64.13,64.47,64.242,59.4258,61.2179,UP,1
2013-11-04,64.44,64.28,64.474,59.5524,61.2648,DOWN,0
2013-11-05,64.27,64.25,64.5,59.6752,61.3131,UP,1
2013-11-06,64.36,64.75,64.326,59.8204,61.3573,DOWN,0
2013-11-07,63.84,64.28,64.208,59.9366,61.3959,UP,1
2013-11-08,65.36,63.92,64.454,60.0894,61.4386,UP,1
2013-11-11,65.49,65.15,64.664,60.2572,61.4806,DOWN,0
2013-11-12,65.41,64.93,64.892,60.4032,61.5083,UP,1
2013-11-13,66.05,65.28,65.23,60.5436,61.5347,UP,1
2013-11-14,67.56,66.24,65.974,60.7388,61.5697,DOWN,0
2013-11-15,67.1,67.3,66.322,60.9324,61.5914,UP,1
2013-11-18,67.21,67.62,66.666,61.1272,61.6214,UP,1
2013-11-19,67.77,67.14,67.138,61.3468,61.6552,DOWN,0
2013-11-20,67.03,68.22,67.334,61.5488,61.6817,UP,1
2013-11-21,67.5,67.06,67.322,61.7698,61.7029,UP,1
2013-11-22,68.48,67.85,67.598,61.9968,61.7252,UP,1
2013-11-25,68.64,68.48,67.884,62.233,61.7475,UP,1
2013-11-26,68.75,68.79,68.08,62.487,61.7691,UP,1
2013-11-27,70.12,68.6,68.698,62.7444,61.7992,DOWN,0
2013-11-29,69.61,70.03,69.12,62.9736,61.8231,UP,1
2013-12-02,71.36,70.0,69.696,63.2422,61.859,DOWN,0
2013-12-03,70.6,71.06,70.088,63.506,61.8882,DOWN,0
2013-12-04,69.59,69.7,70.256,63.7424,61.923,UP,1
2013-12-05,69.73,69.82,70.178,63.976,61.9602,UP,1
2013-12-06,71.24,70.33,70.504,64.2312,61.9958,UP,1
2013-12-09,71.83,72.3,70.598,64.4972,62.0483,DOWN,0
2013-12-10,71.61,71.25,70.8,64.773,62.1002,DOWN,0
2013-12-11,70.85,71.64,71.052,65.032,62.1395,UP,1
2013-12-12,71.22,70.8,71.35,65.2728,62.1808,UP,1
2013-12-13,71.6,71.25,71.422,65.5136,62.2193,UP,1
2013-12-16,72.61,71.68,71.578,65.7824,62.2539,DOWN,0
2013-12-17,72.6,72.61,71.776,66.0764,62.2881,UP,1
