ticker,HD US Equity,HD US Equity,HD US Equity,HD US Equity,HD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,58.75,61.313,48.069,60.075,60.8303,UP,1
2000-02-10,59.563,59.0,48.1612,59.8875,60.9657,UP,1
2000-02-11,60.063,59.5,48.2636,59.675,61.0828,UP,1
2000-02-14,60.313,59.5,48.366,59.9375,61.2054,DOWN,0
2000-02-15,59.75,60.063,48.4604,59.6875,61.2771,DOWN,0
2000-02-16,57.25,58.75,48.5491,59.3875,61.3108,DOWN,0
2000-02-17,54.5,57.25,48.6256,58.375,61.2908,DOWN,0
2000-02-18,53.75,54.563,48.7043,57.1125,61.2419,DOWN,0
2000-02-22,53.625,54.125,48.7814,55.775,61.151,UP,1
2000-02-23,54.813,54.188,48.8676,54.7875,61.0606,DOWN,0
2000-02-24,53.063,54.938,48.9354,53.95,60.907,DOWN,0
2000-02-25,53.0,53.5,49.0037,53.65,60.7337,UP,1
2000-02-28,56.813,53.75,49.0913,54.2625,60.6233,UP,1
2000-02-29,57.5,57.438,49.1851,55.0375,60.4841,DOWN,0
2000-03-01,55.625,57.813,49.2684,55.2,60.2799,DOWN,0
2000-03-02,55.125,55.563,49.3469,55.6125,60.0695,DOWN,0
2000-03-03,54.5,55.5,49.4267,55.9125,59.8821,DOWN,0
2000-03-06,53.875,54.375,49.5028,55.325,59.6754,DOWN,0
2000-03-07,52.375,55.0,49.5709,54.3,59.4279,UP,1
2000-03-08,52.5,52.313,49.6422,53.675,59.1738,UP,1
2000-03-09,55.313,53.313,49.7333,53.7125,58.9517,DOWN,0
2000-03-10,53.5,55.625,49.8089,53.5125,58.6767,DOWN,0
2000-03-13,53.0,52.625,49.8846,53.3375,58.4009,DOWN,0
2000-03-14,52.313,52.75,49.9576,53.325,58.0721,UP,1
2000-03-15,57.0,52.625,50.0565,54.225,57.9084,UP,1
2000-03-16,61.5,59.0,50.1751,55.4625,57.9034,UP,1
2000-03-17,63.188,61.5,50.2956,57.4,57.9071,UP,1
2000-03-20,63.625,63.438,50.4121,59.525,57.9796,DOWN,0
2000-03-21,63.5,63.625,50.5291,61.7625,57.9796,DOWN,0
2000-03-22,63.063,62.375,50.6499,62.975,57.9771,UP,1
2000-03-23,64.125,63.063,50.7726,63.5,58.0284,UP,1
2000-03-24,64.375,64.0,50.8982,63.7375,58.0946,DOWN,0
2000-03-27,64.375,64.375,51.0203,63.8875,58.1396,DOWN,0
2000-03-28,64.0,63.063,51.1465,63.9875,58.1809,UP,1
2000-03-29,68.5,64.875,51.2988,65.075,58.3409,DOWN,0
2000-03-30,67.0,68.0,51.4394,65.65,58.4434,DOWN,0
2000-03-31,64.5,67.0,51.5622,65.675,58.52,UP,1
2000-04-03,68.0,65.5,51.6988,66.4,58.68,DOWN,0
2000-04-04,64.625,67.75,51.8157,66.525,58.8125,DOWN,0
2000-04-05,64.0,63.5,51.9294,65.625,58.97,UP,1
2000-04-06,65.938,63.938,52.0558,65.4125,59.1413,DOWN,0
2000-04-07,64.125,66.125,52.1766,65.3375,59.2588,UP,1
2000-04-10,66.688,65.125,52.3092,65.075,59.48,UP,1
2000-04-11,67.375,65.688,52.4365,65.625,59.695,DOWN,0
2000-04-12,66.0,68.188,52.5532,66.025,59.775,DOWN,0
2000-04-13,62.5,66.313,52.6509,65.3375,59.81,DOWN,0
2000-04-14,60.25,60.0,52.7401,64.5625,59.805,DOWN,0
2000-04-17,57.25,56.375,52.813,62.675,59.7275,UP,1
2000-04-18,58.75,57.0,52.8915,60.95,59.7225,DOWN,0
2000-04-19,58.75,58.688,52.9667,59.5,59.6775,DOWN,0
2000-04-20,58.625,58.125,53.0415,58.725,59.675,UP,1
2000-04-24,59.563,58.0,53.12,58.5875,59.675,DOWN,0
2000-04-25,59.0,60.25,53.1971,58.9375,59.6538,UP,1
2000-04-26,60.5,59.5,53.2825,59.2875,59.6575,DOWN,0
2000-04-27,58.813,60.0,53.3565,59.3,59.6388,DOWN,0
2000-04-28,56.5,58.25,53.4059,58.875,59.6238,DOWN,0
2000-05-01,56.125,56.5,53.4544,58.1875,59.6563,UP,1
2000-05-02,56.813,57.25,53.5058,57.75,59.7175,DOWN,0
2000-05-03,54.0,55.5,53.5575,56.45,59.725,DOWN,0
2000-05-04,52.5,53.75,53.6006,55.1875,59.6788,UP,1
