ticker,FTNT US Equity,FTNT US Equity,FTNT US Equity,FTNT US Equity,FTNT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2010-03-19,1.71,1.718,1.6806,1.7496,,UP,1
2010-03-22,1.713,1.697,1.6966,1.745,,UP,1
2010-03-23,1.734,1.71,1.7138,1.7394,,DOWN,0
2010-03-24,1.721,1.73,1.7192,1.7338,,DOWN,0
2010-03-25,1.72,1.728,1.7196,1.7286,,DOWN,0
2010-03-26,1.705,1.721,1.7186,1.7238,,UP,1
2010-03-29,1.74,1.704,1.724,1.7188,,UP,1
2010-03-30,1.766,1.737,1.7304,1.7149,,DOWN,0
2010-03-31,1.758,1.763,1.7378,1.7104,,UP,1
2010-04-01,1.769,1.775,1.7476,1.7077,,DOWN,0
2010-04-05,1.731,1.779,1.7528,1.7055,,DOWN,0
2010-04-06,1.721,1.716,1.749,1.7042,,UP,1
2010-04-07,1.732,1.725,1.7422,1.7028,,DOWN,0
2010-04-08,1.701,1.729,1.7308,1.7002,,DOWN,0
2010-04-09,1.686,1.701,1.7142,1.6966,,UP,1
2010-04-12,1.702,1.681,1.7084,1.6951,,DOWN,0
2010-04-13,1.644,1.693,1.693,1.6935,,UP,1
2010-04-14,1.705,1.664,1.6876,1.6927,,DOWN,0
2010-04-15,1.646,1.701,1.6766,1.6913,,DOWN,0
2010-04-16,1.62,1.648,1.6634,1.6909,,UP,1
2010-04-19,1.625,1.618,1.648,1.692,,UP,1
2010-04-20,1.666,1.628,1.6524,1.6939,,DOWN,0
2010-04-21,1.642,1.668,1.6398,1.6949,,DOWN,0
2010-04-22,1.636,1.621,1.6378,1.6945,,UP,1
2010-04-23,1.658,1.639,1.6454,1.6939,,DOWN,0
2010-04-26,1.626,1.66,1.6456,1.6931,,UP,1
2010-04-27,1.643,1.622,1.641,1.6929,,UP,1
2010-04-28,1.682,1.665,1.649,1.6935,,UP,1
2010-04-29,1.78,1.734,1.6778,1.6953,,DOWN,0
2010-04-30,1.778,1.791,1.7018,1.6962,,UP,1
2010-05-03,1.863,1.781,1.7492,1.6988,,DOWN,0
2010-05-04,1.791,1.846,1.7788,1.7007,,DOWN,0
2010-05-05,1.763,1.785,1.795,1.7026,,DOWN,0
2010-05-06,1.719,1.746,1.7828,1.7038,,DOWN,0
2010-05-07,1.646,1.713,1.7564,1.7032,,UP,1
2010-05-10,1.69,1.736,1.7218,1.7027,,DOWN,0
2010-05-11,1.675,1.662,1.6986,1.7002,,UP,1
2010-05-12,1.717,1.688,1.6894,1.6996,,DOWN,0
2010-05-13,1.675,1.703,1.6806,1.6989,,DOWN,0
2010-05-14,1.614,1.651,1.6742,1.6975,,UP,1
2010-05-17,1.675,1.52,1.6712,1.6969,,DOWN,0
2010-05-18,1.657,1.664,1.6676,1.6955,,DOWN,0
2010-05-19,1.653,1.646,1.6548,1.6946,,DOWN,0
2010-05-20,1.622,1.635,1.6442,1.6937,,UP,1
2010-05-21,1.626,1.607,1.6466,1.6935,,DOWN,0
2010-05-24,1.604,1.626,1.6324,1.6929,,DOWN,0
2010-05-25,1.572,1.562,1.6154,1.6916,,UP,1
2010-05-26,1.62,1.57,1.6088,1.6911,,DOWN,0
2010-05-27,1.62,1.644,1.6084,1.6896,,UP,1
2010-05-28,1.632,1.612,1.6096,1.6879,,DOWN,0
2010-06-01,1.573,1.612,1.6034,1.6851,,UP,1
2010-06-02,1.6,1.588,1.609,1.6829,,DOWN,0
2010-06-03,1.578,1.598,1.6006,1.6798,,DOWN,0
2010-06-04,1.519,1.557,1.5804,1.6757,,DOWN,0
2010-06-07,1.504,1.527,1.5548,1.6714,,DOWN,0
2010-06-08,1.5,1.502,1.5402,1.6673,,UP,1
2010-06-09,1.51,1.508,1.5222,1.6627,,UP,1
2010-06-10,1.545,1.524,1.5156,1.6583,,UP,1
2010-06-11,1.58,1.539,1.5278,1.6547,,UP,1
2010-06-14,1.619,1.581,1.5508,1.6517,,UP,1
2010-06-15,1.642,1.622,1.5792,1.6499,,DOWN,0
2010-06-16,1.625,1.629,1.6022,1.648,,UP,1
2010-06-17,1.65,1.626,1.6232,1.6464,,UP,1
2010-06-18,1.714,1.659,1.65,1.6466,,DOWN,0
2010-06-21,1.705,1.715,1.6672,1.647,,DOWN,0
2010-06-22,1.698,1.699,1.6784,1.6469,,DOWN,0
2010-06-23,1.678,1.691,1.689,1.6476,,UP,1
2010-06-24,1.709,1.669,1.7008,1.6477,,UP,1
2010-06-25,1.755,1.712,1.709,1.6499,,DOWN,0
2010-06-28,1.747,1.755,1.7174,1.6524,,DOWN,0
2010-06-29,1.707,1.725,1.7192,1.6541,,DOWN,0
2010-06-30,1.644,1.7,1.7124,1.6536,,DOWN,0
2010-07-01,1.626,1.655,1.6958,1.6533,,DOWN,0
2010-07-02,1.619,1.634,1.6686,1.653,,UP,1
