ticker,MCHP US Equity,MCHP US Equity,MCHP US Equity,MCHP US Equity,MCHP US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,10.5208,10.4444,8.232,10.1366,9.8556,UP,1
2000-02-09,10.5694,10.6667,8.2589,10.3468,9.8785,UP,1
2000-02-10,11.0556,10.6528,8.2892,10.4986,9.9118,DOWN,0
2000-02-11,10.6111,11.0833,8.3159,10.6106,9.9251,UP,1
2000-02-14,10.9444,10.5833,8.3447,10.7403,9.9332,DOWN,0
2000-02-15,10.6528,10.8611,8.3719,10.7667,9.9329,UP,1
2000-02-16,10.6944,10.8889,8.3971,10.7917,9.9303,UP,1
2000-02-17,11.0556,11.0556,8.4212,10.7917,9.9414,DOWN,0
2000-02-18,10.5833,11.0278,8.4433,10.7861,9.9487,DOWN,0
2000-02-22,10.4722,10.5833,8.4629,10.6917,9.9507,UP,1
2000-02-23,10.9861,10.4167,8.4867,10.7583,9.9623,UP,1
2000-02-24,11.9583,10.9931,8.5146,11.0111,9.9961,DOWN,0
2000-02-25,11.3472,12.1111,8.54,11.0694,10.0393,UP,1
2000-02-28,11.8472,11.375,8.5672,11.3222,10.0964,UP,1
2000-02-29,13.875,12.2778,8.6044,12.0028,10.1825,DOWN,0
2000-03-01,13.7569,13.8472,8.6412,12.5569,10.2615,DOWN,0
2000-03-02,13.7361,13.8576,8.6778,12.9125,10.3412,UP,1
2000-03-03,14.9583,14.0,8.7186,13.6347,10.4365,UP,1
2000-03-06,15.5833,15.0556,8.7634,14.3819,10.5457,UP,1
2000-03-07,16.0556,16.0833,8.8122,14.8181,10.6685,DOWN,0
2000-03-08,15.4444,16.6667,8.8591,15.1556,10.7789,DOWN,0
2000-03-09,15.25,15.5556,8.9052,15.4583,10.8846,UP,1
2000-03-10,15.375,15.3333,8.9521,15.5417,10.9877,DOWN,0
2000-03-13,14.3611,14.7778,8.9927,15.2972,11.0738,DOWN,0
2000-03-14,13.4167,14.8333,9.0272,14.7694,11.1394,DOWN,0
2000-03-15,13.1944,13.3056,9.0618,14.3194,11.2019,UP,1
2000-03-16,13.5139,13.3889,9.0987,13.9722,11.2854,UP,1
2000-03-17,14.1111,13.0,9.1406,13.7194,11.3793,DOWN,0
2000-03-20,13.7639,14.2778,9.1788,13.6,11.4712,UP,1
2000-03-21,14.375,13.875,9.2201,13.7917,11.5802,UP,1
2000-03-22,14.4861,14.5278,9.2631,14.05,11.6784,DOWN,0
2000-03-23,14.125,14.3056,9.3021,14.1722,11.7763,UP,1
2000-03-24,14.5278,14.125,9.3399,14.2556,11.8674,UP,1
2000-03-27,14.6528,14.6667,9.3798,14.4333,11.9494,DOWN,0
2000-03-28,13.7361,14.5486,9.4152,14.3056,12.0265,DOWN,0
2000-03-29,13.0972,13.8056,9.4471,14.0278,12.0931,DOWN,0
2000-03-30,13.0,13.0694,9.4753,13.8028,12.1532,UP,1
2000-03-31,14.6111,13.5,9.5134,13.8194,12.2375,DOWN,0
2000-04-03,12.4306,14.5,9.5396,13.375,12.2898,UP,1
2000-04-04,12.875,13.0278,9.5676,13.2028,12.3555,UP,1
2000-04-05,14.4861,13.7778,9.6043,13.4806,12.4452,UP,1
2000-04-06,14.9028,14.75,9.6414,13.8611,12.5525,UP,1
2000-04-07,16.1667,15.2917,9.6873,14.1722,12.6918,DOWN,0
2000-04-10,14.7083,16.6667,9.7268,14.6278,12.8135,UP,1
2000-04-11,15.2361,14.5278,9.7681,15.1,12.9319,DOWN,0
2000-04-12,13.8993,15.2639,9.8019,14.9826,13.0234,DOWN,0
2000-04-13,13.8611,14.2778,9.8361,14.7743,13.1103,DOWN,0
2000-04-14,11.6944,13.5556,9.8591,13.8799,13.1383,UP,1
2000-04-17,13.3056,11.4167,9.8896,13.5993,13.2034,UP,1
2000-04-18,14.4722,13.7778,9.9268,13.4465,13.2869,DOWN,0
2000-04-19,13.125,14.4583,9.9575,13.2917,13.339,DOWN,0
2000-04-20,13.1111,13.4861,9.986,13.1417,13.3898,DOWN,0
2000-04-24,12.7917,12.4306,10.0122,13.3611,13.4245,UP,1
2000-04-25,13.5694,13.1111,10.043,13.4139,13.4837,DOWN,0
2000-04-26,12.6667,13.5278,10.0701,13.0528,13.5181,UP,1
2000-04-27,13.375,12.4583,10.1004,13.1028,13.5726,UP,1
2000-04-28,13.7917,13.5556,10.1308,13.2389,13.6345,DOWN,0
2000-05-01,13.7778,14.0972,10.1595,13.4361,13.689,DOWN,0
2000-05-02,12.9306,13.9167,10.1854,13.3083,13.7359,UP,1
2000-05-03,13.3194,12.9722,10.215,13.4389,13.7928,DOWN,0
2000-05-04,13.0139,13.3889,10.2441,13.3667,13.8334,UP,1
2000-05-05,13.2778,13.0,10.2753,13.2639,13.8598,DOWN,0
2000-05-08,12.5972,13.0694,10.3018,13.0278,13.8848,DOWN,0
2000-05-09,12.1667,12.8264,10.3279,12.875,13.8912,DOWN,0
2000-05-10,11.2917,11.9722,10.348,12.4694,13.8395,UP,1
2000-05-11,12.4028,11.6389,10.3742,12.3472,13.8124,DOWN,0
2000-05-12,12.375,12.5139,10.4007,12.1667,13.7852,DOWN,0
2000-05-15,11.9444,12.3472,10.4232,12.0361,13.7249,UP,1
2000-05-16,13.125,12.25,10.4518,12.2278,13.6758,DOWN,0
2000-05-17,12.6528,12.875,10.4785,12.5,13.6077,DOWN,0
2000-05-18,11.7639,12.9583,10.5008,12.3722,13.5341,UP,1
2000-05-19,11.7778,11.5417,10.5225,12.2528,13.4647,UP,1
2000-05-22,12.0833,11.7778,10.546,12.2806,13.3988,DOWN,0
2000-05-23,11.1111,12.2292,10.5633,11.8778,13.3338,UP,1
2000-05-24,11.4167,11.0833,10.5803,11.6306,13.2938,UP,1
2000-05-25,11.6111,11.6667,10.5984,11.6,13.2622,DOWN,0
