ticker,OKE US Equity,OKE US Equity,OKE US Equity,OKE US Equity,OKE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,5.4442,5.5263,6.4042,5.644,5.7616,DOWN,0
2000-02-09,5.3485,5.3895,6.4005,5.5537,5.7523,UP,1
2000-02-10,5.4032,5.3211,6.3966,5.4743,5.7424,DOWN,0
2000-02-11,5.198,5.3622,6.3913,5.3841,5.7271,UP,1
2000-02-14,5.3211,5.2527,6.3873,5.343,5.7148,UP,1
2000-02-15,5.4442,5.3348,6.3837,5.343,5.6987,DOWN,0
2000-02-16,5.2938,5.4442,6.3797,5.3321,5.6787,UP,1
2000-02-17,5.3211,5.3211,6.3751,5.3157,5.6634,DOWN,0
2000-02-18,5.2391,5.3211,6.3711,5.3239,5.6475,DOWN,0
2000-02-22,5.1433,5.2117,6.3666,5.2883,5.6311,DOWN,0
2000-02-23,5.0749,5.1433,6.3615,5.2144,5.6152,DOWN,0
2000-02-24,4.9108,5.0339,6.3553,5.1378,5.5958,DOWN,0
2000-02-25,4.7603,4.9108,6.3486,5.0257,5.5747,UP,1
2000-02-28,4.8971,4.7877,6.3419,4.9573,5.5564,UP,1
2000-02-29,4.9655,4.856,6.3353,4.9217,5.5403,UP,1
2000-03-01,5.0339,4.9655,6.3287,4.9135,5.5252,DOWN,0
2000-03-02,4.9792,4.9928,6.322,4.9272,5.5096,UP,1
2000-03-03,4.9928,4.9518,6.3149,4.9737,5.4938,DOWN,0
2000-03-06,4.9244,4.9655,6.3081,4.9792,5.476,UP,1
2000-03-07,5.0065,4.9381,6.3008,4.9874,5.4618,UP,1
2000-03-08,5.157,5.0476,6.2945,5.012,5.4511,UP,1
2000-03-09,5.198,5.1159,6.2885,5.0558,5.4404,UP,1
2000-03-10,5.2117,5.1707,6.2821,5.0995,5.4319,UP,1
2000-03-13,5.2391,5.157,6.2761,5.1625,5.4259,DOWN,0
2000-03-14,4.9655,5.198,6.2681,5.1542,5.4152,UP,1
2000-03-15,5.0612,5.0065,6.2604,5.1351,5.4079,UP,1
2000-03-16,5.3895,5.0476,6.2545,5.1734,5.4084,DOWN,0
2000-03-17,5.3211,5.3348,6.2484,5.1953,5.4065,UP,1
2000-03-20,5.3895,5.3758,6.2419,5.2254,5.4059,UP,1
2000-03-21,5.4716,5.3485,6.2361,5.3266,5.4029,DOWN,0
2000-03-22,5.2938,5.4716,6.2296,5.3731,5.3966,DOWN,0
2000-03-23,5.2801,5.3485,6.2226,5.3512,5.3914,UP,1
2000-03-24,5.3485,5.2527,6.217,5.3567,5.3849,DOWN,0
2000-03-27,5.3485,5.3211,6.2115,5.3485,5.3758,DOWN,0
2000-03-28,5.198,5.3485,6.2045,5.2938,5.3649,UP,1
2000-03-29,5.3348,5.1433,6.198,5.302,5.3586,UP,1
2000-03-30,5.4032,5.3622,6.1908,5.3266,5.3523,UP,1
2000-03-31,5.4716,5.4032,6.1839,5.3512,5.3466,UP,1
2000-04-03,5.4853,5.4853,6.1766,5.3786,5.3356,DOWN,0
2000-04-04,5.4579,5.4579,6.1703,5.4306,5.3241,DOWN,0
2000-04-05,5.3895,5.499,6.1625,5.4415,5.3135,UP,1
2000-04-06,5.4853,5.4169,6.1556,5.4579,5.305,DOWN,0
2000-04-07,5.4442,5.5126,6.1494,5.4524,5.2998,DOWN,0
2000-04-10,5.4032,5.4853,6.1423,5.436,5.2938,DOWN,0
2000-04-11,5.4032,5.4032,6.1346,5.4251,5.2875,UP,1
2000-04-12,5.4169,5.4032,6.1267,5.4306,5.2809,UP,1
2000-04-13,5.5947,5.4306,6.1199,5.4524,5.2768,DOWN,0
2000-04-14,5.54,5.6357,6.1125,5.4716,5.2716,UP,1
2000-04-17,5.6221,5.581,6.1054,5.5154,5.2711,DOWN,0
2000-04-18,5.5674,5.5947,6.0989,5.5482,5.2719,DOWN,0
2000-04-19,5.5537,5.5674,6.0919,5.5756,5.2741,UP,1
2000-04-20,5.6768,5.4716,6.0848,5.592,5.2806,DOWN,0
2000-04-24,5.5674,5.6494,6.0772,5.5974,5.2839,UP,1
2000-04-25,5.7041,5.581,6.0706,5.6139,5.294,DOWN,0
2000-04-26,5.6221,5.6084,6.0636,5.6248,5.3001,DOWN,0
2000-04-27,5.4853,5.6357,6.0554,5.6111,5.3009,UP,1
2000-04-28,5.5263,5.4853,6.0474,5.581,5.3055,UP,1
2000-05-01,5.5674,5.4169,6.0404,5.581,5.3105,DOWN,0
2000-05-02,5.5674,5.5263,6.0325,5.5537,5.317,DOWN,0
2000-05-03,5.54,5.5537,6.0251,5.5373,5.325,DOWN,0
2000-05-04,5.5263,5.54,6.0173,5.5455,5.334,UP,1
2000-05-05,5.6084,5.54,6.0096,5.5619,5.3479,DOWN,0
2000-05-08,5.5947,5.6494,6.0021,5.5674,5.3646,DOWN,0
2000-05-09,5.499,5.5674,5.9947,5.5537,5.3767,UP,1
2000-05-10,5.5126,5.499,5.987,5.5482,5.3876,UP,1
2000-05-11,5.6494,5.5947,5.9811,5.5728,5.3999,DOWN,0
2000-05-12,5.6357,5.6357,5.9754,5.5783,5.4131,UP,1
2000-05-15,5.882,5.6357,5.97,5.6357,5.4308,UP,1
2000-05-16,5.8956,5.9777,5.9653,5.7151,5.4503,DOWN,0
2000-05-17,5.7862,5.8683,5.9591,5.7698,5.4659,DOWN,0
2000-05-18,5.7452,5.7862,5.953,5.789,5.4776,DOWN,0
2000-05-19,5.7178,5.6905,5.9474,5.8054,5.488,UP,1
2000-05-22,5.8956,5.7452,5.9428,5.8081,5.5017,DOWN,0
2000-05-23,5.8136,5.8683,5.9373,5.7917,5.5132,UP,1
2000-05-24,6.0051,5.8136,5.9328,5.8355,5.534,DOWN,0
2000-05-25,5.923,5.9914,5.9279,5.871,5.5512,UP,1
2000-05-26,6.0188,5.9504,5.9247,5.9312,5.5638,UP,1
2000-05-30,6.1419,6.0872,5.9213,5.9805,5.5802,UP,1
2000-05-31,6.3744,6.1556,5.9188,6.0926,5.5999,UP,1
2000-06-01,6.5796,6.4155,5.917,6.2075,5.6221,UP,1
2000-06-02,6.5933,6.648,5.916,6.3416,5.6481,DOWN,0
2000-06-05,6.3471,6.5796,5.9136,6.4072,5.6694,DOWN,0
2000-06-06,6.2239,6.3744,5.9102,6.4237,5.6869,DOWN,0
2000-06-07,6.1829,6.265,5.9064,6.3854,5.7036,DOWN,0
2000-06-08,6.0872,6.1829,5.9027,6.2869,5.7214,UP,1
2000-06-09,6.2239,6.1145,5.8995,6.213,5.7392,UP,1
2000-06-12,6.2513,6.2376,5.8964,6.1939,5.7561,UP,1
2000-06-13,6.306,6.265,5.8939,6.2103,5.7728,DOWN,0
2000-06-14,6.265,6.2787,5.8922,6.2267,5.7884,DOWN,0
2000-06-15,6.2239,6.2513,5.8894,6.254,5.8037,UP,1
2000-06-16,6.265,6.2376,5.8869,6.2622,5.8212,DOWN,0
2000-06-19,6.2513,6.2787,5.8849,6.2622,5.8366,DOWN,0
2000-06-20,6.1692,6.2239,5.8824,6.2349,5.8511,DOWN,0
2000-06-21,6.1556,6.1829,5.8794,6.213,5.8661,DOWN,0
2000-06-22,6.0051,6.1829,5.8756,6.1692,5.8781,DOWN,0
2000-06-23,5.964,5.9914,5.8716,6.109,5.8891,UP,1
2000-06-26,5.9914,6.0188,5.8675,6.0571,5.897,DOWN,0
2000-06-27,5.8683,6.0188,5.8629,5.9969,5.9036,UP,1
2000-06-28,6.0239,5.8956,5.8594,5.9705,5.9116,DOWN,0
2000-06-29,5.882,6.0188,5.8552,5.9459,5.9179,DOWN,0
2000-06-30,5.6802,5.9093,5.8497,5.8892,5.9204,UP,1
2000-07-03,5.9367,5.5263,5.8449,5.8782,5.9256,DOWN,0
2000-07-05,5.8956,5.923,5.8401,5.8837,5.9322,DOWN,0
2000-07-06,5.8683,5.882,5.8361,5.8526,5.9355,DOWN,0
2000-07-07,5.8409,5.8409,5.8318,5.8444,5.9399,UP,1
2000-07-10,5.8546,5.882,5.8281,5.8792,5.9473,UP,1
2000-07-11,5.964,5.8546,5.8253,5.8847,5.956,UP,1
2000-07-12,5.9777,6.0051,5.8217,5.9011,5.9642,DOWN,0
2000-07-13,5.9367,5.9504,5.8185,5.9148,5.9716,DOWN,0
2000-07-14,5.8546,5.9367,5.8148,5.9175,5.9779,DOWN,0
2000-07-17,5.8546,5.8546,5.8109,5.9175,5.9845,UP,1
2000-07-18,5.923,5.8546,5.8082,5.9093,5.9908,UP,1
2000-07-19,6.0188,5.9504,5.8052,5.9175,5.9992,UP,1
2000-07-20,6.0324,6.0598,5.8023,5.9367,6.0099,DOWN,0
2000-07-21,5.9777,6.0051,5.799,5.9613,6.0192,DOWN,0
2000-07-24,5.8546,5.9914,5.7953,5.9613,6.0233,UP,1
2000-07-25,5.8956,5.882,5.7921,5.9558,6.0285,DOWN,0
2000-07-26,5.8956,5.882,5.7893,5.9312,6.0288,UP,1
2000-07-27,5.9367,5.8683,5.7865,5.9121,6.0296,DOWN,0
2000-07-28,5.7589,5.8273,5.7829,5.8683,6.0291,UP,1
2000-07-31,5.8409,5.7862,5.7793,5.8656,6.031,UP,1
2000-08-01,5.9367,5.8546,5.7763,5.8738,6.0353,UP,1
2000-08-02,6.2376,6.1282,5.775,5.9422,6.0422,UP,1
2000-08-03,6.3881,6.2376,5.7744,6.0324,6.0537,DOWN,0
2000-08-04,6.3607,6.3744,5.774,6.1528,6.0608,UP,1
2000-08-07,6.4189,6.4018,5.7742,6.2684,6.0707,UP,1
2000-08-08,6.5112,6.3744,5.7751,6.3833,6.0806,UP,1
2000-08-09,6.5249,6.4565,5.7762,6.4408,6.0882,DOWN,0
2000-08-10,6.5009,6.5386,5.7767,6.4633,6.0907,UP,1
2000-08-11,6.6343,6.4975,5.7775,6.518,6.0918,UP,1
2000-08-14,6.7301,6.6617,5.7788,6.5803,6.0946,UP,1
2000-08-15,6.9079,6.7848,5.7814,6.6596,6.1058,UP,1
2000-08-16,6.9489,6.9216,5.7844,6.7444,6.1203,DOWN,0
2000-08-17,6.9079,6.9626,5.7875,6.8258,6.1348,DOWN,0
2000-08-18,6.8258,6.8805,5.7902,6.8641,6.1496,DOWN,0
2000-08-21,6.7711,6.7574,5.7923,6.8723,6.1605,UP,1
2000-08-22,6.8805,6.7574,5.7955,6.8669,6.1731,UP,1
2000-08-23,6.9079,6.8942,5.7977,6.8587,6.1851,DOWN,0
2000-08-24,6.8805,6.9216,5.8003,6.8532,6.1974,DOWN,0
2000-08-25,6.7711,6.8395,5.8024,6.8422,6.2084,UP,1
2000-08-28,6.8258,6.7985,5.8046,6.8532,6.2196,UP,1
2000-08-29,6.8942,6.8532,5.8075,6.8559,6.2325,UP,1
2000-08-30,6.9763,6.9079,5.8102,6.8696,6.2486,UP,1
2000-08-31,6.9943,6.99,5.8125,6.8923,6.2654,UP,1
2000-09-01,7.031,7.0173,5.8155,6.9443,6.2859,UP,1
2000-09-05,7.2225,7.072,5.8196,7.0237,6.3111,UP,1
2000-09-06,7.3183,7.2225,5.825,7.1085,6.3376,UP,1
2000-09-07,7.5371,7.3593,5.8326,7.2206,6.371,UP,1
2000-09-08,7.5696,7.5371,5.8412,7.3357,6.4019,UP,1
2000-09-11,7.8244,7.5508,5.8505,7.4944,6.4407,DOWN,0
2000-09-12,7.797,7.8244,5.8598,7.6093,6.4831,UP,1
2000-09-13,7.8107,7.8791,5.8698,7.7078,6.5206,DOWN,0
2000-09-14,7.6329,7.797,5.8785,7.7269,6.5553,UP,1
2000-09-15,7.9928,7.6192,5.8886,7.8116,6.5978,DOWN,0
2000-09-18,7.9749,8.0022,5.8988,7.8417,6.6405,DOWN,0
2000-09-19,7.756,8.0022,5.9063,7.8335,6.6785,UP,1
2000-09-20,7.8107,7.7697,5.9139,7.8335,6.7154,DOWN,0
2000-09-21,7.7697,7.8107,5.9223,7.8608,6.7513,DOWN,0
2000-09-22,7.7423,7.7697,5.9309,7.8107,6.7874,DOWN,0
2000-09-25,7.715,7.797,5.9396,7.7587,6.8246,UP,1
2000-09-26,7.8654,7.715,5.9496,7.7806,6.8648,UP,1
2000-09-27,8.0569,7.8517,5.9605,7.8299,6.9075,UP,1
2000-09-28,8.1664,8.0433,5.9723,7.9092,6.9504,UP,1
2000-09-29,8.7041,8.1116,5.9867,8.1016,7.0039,DOWN,0
2000-10-02,8.6725,8.6725,6.0012,8.2931,7.0578,UP,1
2000-10-03,8.7819,8.6451,6.0162,8.4764,7.1163,UP,1
2000-10-04,9.0965,8.7819,6.0329,8.6843,7.1803,DOWN,0
2000-10-05,9.0418,9.0692,6.0492,8.8594,7.2433,UP,1
2000-10-06,9.3428,9.0418,6.0668,8.9871,7.3114,DOWN,0
2000-10-09,9.1923,9.3838,6.0842,9.0911,7.38,DOWN,0
2000-10-10,8.9734,9.1923,6.1006,9.1294,7.4427,UP,1
2000-10-11,9.0418,8.8914,6.1171,9.1184,7.5048,UP,1
2000-10-12,9.1102,9.0281,6.1345,9.1321,7.5622,DOWN,0
2000-10-13,9.0692,9.1649,6.1522,9.0774,7.6159,UP,1
2000-10-16,9.1513,9.0418,6.1704,9.0692,7.6717,DOWN,0
2000-10-17,8.864,9.1513,6.1876,9.0473,7.7206,DOWN,0
2000-10-18,8.7135,8.8777,6.2043,8.9816,7.7646,UP,1
2000-10-19,8.7819,8.6998,6.2212,8.916,7.8098,UP,1
2000-10-20,8.8503,8.7682,6.2383,8.8722,7.8568,DOWN,0
2000-10-23,8.6451,8.8093,6.2535,8.771,7.897,DOWN,0
2000-10-24,8.5904,8.6178,6.2684,8.7163,7.9342,DOWN,0
2000-10-25,8.4263,8.5631,6.2828,8.6588,7.9645,UP,1
2000-10-26,8.4673,8.4263,6.2967,8.5959,7.9949,UP,1
2000-10-27,8.4947,8.4263,6.3102,8.5248,8.0266,DOWN,0
2000-10-30,8.4947,8.4536,6.324,8.4947,8.06,UP,1
2000-10-31,8.6725,8.5357,6.3391,8.5111,8.0981,UP,1
2000-11-01,8.8503,8.6725,6.3547,8.5959,8.1374,UP,1
2000-11-02,8.9187,9.1923,6.3705,8.6862,8.1777,DOWN,0
2000-11-03,8.905,8.8914,6.3849,8.7682,8.2182,UP,1
2000-11-06,9.0281,8.9461,6.3999,8.8749,8.2633,UP,1
2000-11-07,9.1923,9.0281,6.4162,8.9789,8.3106,UP,1
2000-11-08,9.2196,9.1923,6.4328,9.0528,8.3571,DOWN,0
2000-11-09,9.1513,9.2196,6.45,9.0993,8.4006,DOWN,0
2000-11-10,9.1239,9.1513,6.4671,9.143,8.4432,DOWN,0
2000-11-13,9.0965,9.0965,6.484,9.1567,8.4845,DOWN,0
2000-11-14,8.9734,9.1102,6.5002,9.1129,8.5196,UP,1
2000-11-15,9.1376,8.9871,6.5168,9.0965,8.5559,DOWN,0
2000-11-16,9.1102,9.1513,6.5334,9.0883,8.5874,UP,1
2000-11-17,9.247,9.1786,6.5514,9.1129,8.621,DOWN,0
2000-11-20,9.2196,9.2196,6.5698,9.1376,8.6489,UP,1
2000-11-21,9.288,9.2333,6.5891,9.2005,8.6787,DOWN,0
2000-11-22,9.1376,9.2607,6.608,9.2005,8.7052,UP,1
2000-11-24,9.1923,9.1649,6.627,9.2169,8.7364,DOWN,0
2000-11-27,9.1923,9.2196,6.6469,9.206,8.7604,UP,1
2000-11-28,9.3291,9.1923,6.667,9.2279,8.7875,DOWN,0
2000-11-29,9.206,9.3838,6.6858,9.2114,8.8165,DOWN,0
2000-11-30,8.9324,9.1786,6.704,9.1704,8.8389,UP,1
2000-12-01,9.1239,8.9461,6.723,9.1567,8.866,UP,1
2000-12-04,9.3017,9.1102,6.7433,9.1786,8.8972,UP,1
2000-12-05,9.4522,9.3428,6.7648,9.2032,8.9319,DOWN,0
2000-12-06,9.3701,9.4659,6.7863,9.2361,8.962,DOWN,0
2000-12-07,9.206,9.3701,6.8078,9.2908,8.985,UP,1
2000-12-08,9.2744,9.2196,6.8304,9.3209,9.0072,DOWN,0
2000-12-11,9.1786,9.2744,6.8518,9.2962,9.0166,UP,1
2000-12-12,9.4659,9.1102,6.8743,9.299,9.0325,UP,1
2000-12-13,9.5069,9.4932,6.8966,9.3263,9.047,DOWN,0
2000-12-14,9.3154,9.5206,6.9183,9.3482,9.0514,UP,1
2000-12-15,9.4795,9.3017,6.9408,9.3893,9.0601,UP,1
2000-12-18,9.5206,9.5343,6.9637,9.4577,9.0637,UP,1
2000-12-19,9.9173,9.5753,6.9883,9.5479,9.0782,UP,1
2000-12-20,10.0267,9.931,7.0126,9.6519,9.0993,UP,1
2000-12-21,10.0951,10.0267,7.0371,9.8078,9.1203,UP,1
2000-12-22,10.2045,10.0951,7.0621,9.9528,9.1422,UP,1
2000-12-26,10.5192,10.2319,7.0885,10.1526,9.1712,UP,1
2000-12-27,10.6012,10.5465,7.1167,10.2893,9.2002,UP,1
2000-12-28,11.0663,10.6149,7.1467,10.4973,9.2443,DOWN,0
2000-12-29,10.5328,10.9842,7.1724,10.5848,9.2807,DOWN,0
2001-01-02,10.1361,10.4781,7.1965,10.5711,9.3077,UP,1
2001-01-03,10.1635,10.1909,7.2204,10.5,9.334,DOWN,0
2001-01-04,9.4932,10.1361,7.2405,10.2784,9.351,UP,1
2001-01-05,10.3003,9.4795,7.2655,10.1252,9.3852,UP,1
2001-01-08,10.396,10.3003,7.2911,10.0978,9.4246,UP,1
2001-01-09,10.4371,10.355,7.3165,10.158,9.464,UP,1
2001-01-10,10.5739,10.4097,7.3426,10.2401,9.5055,DOWN,0
2001-01-11,10.013,10.5739,7.3667,10.3441,9.5359,DOWN,0
2001-01-12,9.931,10.4508,7.3897,10.2702,9.5611,DOWN,0
2001-01-16,9.8489,9.972,7.4119,10.1608,9.581,DOWN,0
2001-01-17,9.8352,9.8899,7.4337,10.0404,9.5994,DOWN,0
2001-01-18,9.7258,9.9173,7.4549,9.8708,9.6158,DOWN,0
2001-01-19,9.7258,9.7668,7.4763,9.8133,9.6297,UP,1
2001-01-22,10.0267,9.6574,7.4995,9.8325,9.6464,UP,1
2001-01-23,10.1361,10.0267,7.5227,9.8899,9.6648,UP,1
2001-01-24,10.2593,10.1361,7.5468,9.9747,9.6869,UP,1
2001-01-25,10.396,10.2182,7.5718,10.1088,9.7124,DOWN,0
2001-01-26,10.0814,10.4097,7.5952,10.1799,9.7321,DOWN,0
2001-01-29,10.0524,10.0152,7.6183,10.1851,9.7536,DOWN,0
2001-01-30,10.0371,10.0656,7.6405,10.1652,9.7716,DOWN,0
2001-01-31,9.781,10.013,7.6618,10.0696,9.785,DOWN,0
2001-02-01,9.7066,9.7942,7.6822,9.9317,9.7942,DOWN,0
2001-02-02,9.6935,9.7066,7.7028,9.8541,9.8037,UP,1
2001-02-05,9.8533,9.6891,7.7243,9.8143,9.815,DOWN,0
2001-02-06,9.7964,9.9583,7.7449,9.7661,9.8282,UP,1
2001-02-07,9.9802,9.8467,7.767,9.806,9.844,UP,1
2001-02-08,10.2866,10.0021,7.7899,9.922,9.8658,DOWN,0
2001-02-09,10.2625,10.2757,7.8131,10.0358,9.8845,DOWN,0
2001-02-12,10.2428,10.2757,7.8369,10.1137,9.9052,DOWN,0
2001-02-13,10.2056,10.256,7.8603,10.1956,9.9307,DOWN,0
2001-02-14,10.0524,10.2034,7.8827,10.21,9.9493,DOWN,0
2001-02-15,9.8992,9.9474,7.9043,10.1325,9.9612,UP,1
2001-02-16,10.0152,9.9255,7.9267,10.0831,9.9725,DOWN,0
2001-02-20,9.6081,9.6847,7.9471,9.9561,9.9773,UP,1
2001-02-21,9.6322,9.641,7.9673,9.8414,9.9858,DOWN,0
2001-02-22,9.5206,9.6431,7.9869,9.7351,9.9907,DOWN,0
2001-02-23,9.4878,9.5228,8.0068,9.6528,9.9969,UP,1
2001-02-26,9.5622,9.5096,8.0271,9.5622,9.9988,UP,1
2001-02-27,9.6344,9.5622,8.047,9.5674,10.0014,DOWN,0
2001-02-28,9.6191,9.6847,8.0669,9.5648,10.0074,UP,1
2001-03-01,9.6694,9.6519,8.0859,9.5946,10.0112,UP,1
2001-03-02,9.7985,9.6694,8.1054,9.6567,10.0168,DOWN,0
2001-03-05,9.7088,9.827,8.125,9.686,10.0126,DOWN,0
2001-03-06,9.6125,9.7176,8.1443,9.6817,10.0043,UP,1
2001-03-07,9.665,9.6125,8.1641,9.6909,9.9957,DOWN,0
2001-03-08,9.6038,9.7066,8.1826,9.6777,9.9837,DOWN,0
2001-03-09,9.363,9.6038,8.2003,9.5906,9.9606,DOWN,0
2001-03-12,9.3017,9.3783,8.2168,9.5092,9.9346,DOWN,0
2001-03-13,9.1595,9.3455,8.233,9.4186,9.8965,DOWN,0
2001-03-14,8.9625,9.0063,8.2477,9.2781,9.8651,UP,1
2001-03-15,9.1485,8.9515,8.2628,9.187,9.8453,DOWN,0
2001-03-16,8.9756,9.1266,8.2758,9.1096,9.8216,UP,1
2001-03-19,9.1179,8.9756,8.2885,9.0728,9.814,DOWN,0
2001-03-20,8.9187,9.0172,8.3001,9.0246,9.7864,DOWN,0
2001-03-21,8.6692,8.9078,8.3117,8.966,9.7519,DOWN,0
2001-03-22,8.2359,8.6889,8.3218,8.7835,9.7079,UP,1
2001-03-23,8.3869,8.2709,8.3328,8.6657,9.6641,UP,1
2001-03-26,8.6933,8.47,8.3458,8.5808,9.6377,UP,1
2001-03-27,8.7152,8.7108,8.3583,8.5401,9.6134,DOWN,0
2001-03-28,8.6495,8.6998,8.3703,8.5361,9.5894,UP,1
2001-03-29,8.7852,8.678,8.3826,8.646,9.5684,UP,1
2001-03-30,8.9493,8.7655,8.3961,8.7585,9.5529,DOWN,0
2001-04-02,8.7655,8.9297,8.4088,8.7729,9.5337,DOWN,0
2001-04-03,8.6955,8.7655,8.4209,8.769,9.5071,UP,1
2001-04-04,8.8093,8.6955,8.4337,8.801,9.4805,UP,1
2001-04-05,9.0347,8.8093,8.448,8.8509,9.456,DOWN,0
2001-04-06,8.9143,8.9953,8.4618,8.8439,9.4264,UP,1
2001-04-09,9.1595,8.8968,8.4776,8.9226,9.408,UP,1
2001-04-10,9.4024,9.1923,8.4948,9.064,9.395,DOWN,0
2001-04-11,9.1573,9.3893,8.5106,9.1336,9.3774,UP,1
2001-04-12,9.3433,9.1923,8.528,9.1954,9.3686,UP,1
2001-04-16,9.5534,9.3411,8.5457,9.3232,9.3655,UP,1
2001-04-17,9.7745,9.5425,8.5651,9.4462,9.3672,DOWN,0
2001-04-18,9.5687,9.7613,8.5846,9.4794,9.3615,UP,1
2001-04-19,9.6235,9.6081,8.603,9.5727,9.358,DOWN,0
2001-04-20,9.4133,9.6256,8.6206,9.5867,9.3467,UP,1
2001-04-23,9.5315,9.444,8.6389,9.5823,9.3316,UP,1
2001-04-24,9.5862,9.5293,8.6576,9.5447,9.318,UP,1
2001-04-25,9.7066,9.5862,8.6769,9.5722,9.3073,DOWN,0
2001-04-26,9.641,9.641,8.6953,9.5757,9.296,DOWN,0
2001-04-27,9.641,9.5862,8.7136,9.6213,9.2878,DOWN,0
2001-04-30,9.4593,9.63,8.7312,9.6068,9.279,DOWN,0
2001-05-01,9.4287,9.3893,8.7491,9.5753,9.2673,DOWN,0
2001-05-02,9.2317,9.4987,8.766,9.4803,9.2597,DOWN,0
2001-05-03,9.026,9.1813,8.7815,9.3573,9.2476,UP,1
2001-05-04,9.166,9.0281,8.7972,9.2623,9.2405,DOWN,0
2001-05-07,9.1595,9.166,8.8128,9.2024,9.234,DOWN,0
2001-05-08,9.0347,9.061,8.8281,9.1236,9.2234,UP,1
2001-05-09,9.1047,9.0719,8.8444,9.0982,9.2128,UP,1
2001-05-10,9.1704,9.1266,8.8608,9.1271,9.2038,UP,1
2001-05-11,9.1989,9.1376,8.8773,9.1336,9.1944,UP,1
2001-05-14,9.2558,9.1507,8.8939,9.1529,9.1836,UP,1
2001-05-15,9.3061,9.2689,8.9116,9.2072,9.1755,UP,1
2001-05-16,9.3783,9.1923,8.9293,9.2619,9.1708,DOWN,0
2001-05-17,9.2382,9.3674,8.9458,9.2755,9.1623,UP,1
2001-05-18,9.3783,9.2361,8.9615,9.3114,9.1578,UP,1
2001-05-21,9.4834,9.398,8.977,9.3569,9.1602,UP,1
2001-05-22,9.5425,9.4768,8.9929,9.4041,9.165,DOWN,0
2001-05-23,9.444,9.5425,9.008,9.4173,9.1707,DOWN,0
2001-05-24,9.2908,9.4112,9.0219,9.4278,9.1773,DOWN,0
2001-05-25,9.1967,9.3127,9.0353,9.3915,9.1782,DOWN,0
2001-05-29,9.0478,9.1923,9.048,9.3043,9.1797,UP,1
2001-05-30,9.1529,9.0391,9.0606,9.2264,9.1804,UP,1
2001-05-31,9.2142,9.1266,9.073,9.1805,9.1863,DOWN,0
2001-06-01,9.201,9.2361,9.0845,9.1625,9.1969,UP,1
2001-06-04,9.3696,9.201,9.0966,9.1971,9.2196,DOWN,0
2001-06-05,9.201,9.3455,9.108,9.2277,9.2359,DOWN,0
2001-06-06,9.177,9.1595,9.1198,9.2326,9.2456,DOWN,0
2001-06-07,9.0413,9.1704,9.1312,9.198,9.2521,UP,1
2001-06-08,9.0675,9.0413,9.1421,9.1713,9.2604,UP,1
2001-06-11,9.2601,9.0675,9.1538,9.1494,9.2699,DOWN,0
2001-06-12,9.2536,9.2579,9.1657,9.1599,9.276,DOWN,0
2001-06-13,9.2317,9.2361,9.178,9.1708,9.2853,DOWN,0
2001-06-14,8.9034,9.2361,9.1884,9.1433,9.2895,UP,1
2001-06-15,9.0128,8.9034,9.199,9.1323,9.2936,DOWN,0
