ticker,CVX US Equity,CVX US Equity,CVX US Equity,CVX US Equity,CVX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,39.1563,40.0625,45.6999,40.0,43.3934,DOWN,0
2000-02-09,37.5,39.2188,45.6401,39.2375,43.2578,UP,1
2000-02-10,38.4063,37.7813,45.5749,38.775,43.1403,DOWN,0
2000-02-11,37.0,38.6875,45.501,38.3188,42.9795,DOWN,0
2000-02-14,36.9063,37.0938,45.4362,37.7938,42.8082,UP,1
2000-02-15,38.75,37.2188,45.3748,37.7125,42.6739,UP,1
2000-02-16,38.9063,38.875,45.3185,37.9938,42.542,DOWN,0
2000-02-17,38.875,39.0625,45.2627,38.0875,42.422,DOWN,0
2000-02-18,38.0938,38.75,45.2087,38.3063,42.2789,DOWN,0
2000-02-22,37.8438,37.5313,45.1607,38.4938,42.1139,DOWN,0
2000-02-23,36.625,37.5,45.1032,38.0688,41.9389,DOWN,0
2000-02-24,35.7188,36.6563,45.0366,37.4313,41.7577,DOWN,0
2000-02-25,35.5313,36.0,44.9776,36.7625,41.5902,UP,1
2000-02-28,37.2813,35.5313,44.9279,36.6,41.4364,UP,1
2000-02-29,37.3438,37.2813,44.8785,36.5,41.2889,UP,1
2000-03-01,37.625,37.2813,44.827,36.7,41.1664,UP,1
2000-03-02,37.8438,37.6875,44.7846,37.125,41.0619,DOWN,0
2000-03-03,37.2813,37.2813,44.7409,37.475,40.9531,DOWN,0
2000-03-06,37.0,37.2188,44.6915,37.4188,40.8456,UP,1
2000-03-07,40.5,37.2813,44.6604,38.05,40.7913,UP,1
2000-03-08,40.5313,40.0625,44.6334,38.6313,40.7556,UP,1
2000-03-09,41.625,40.1563,44.614,39.3875,40.7231,DOWN,0
2000-03-10,40.1875,41.7813,44.5798,39.9688,40.6669,DOWN,0
2000-03-13,39.9063,40.4688,44.5468,40.55,40.61,UP,1
2000-03-14,41.4375,40.0,44.5227,40.7375,40.5725,UP,1
2000-03-15,41.9688,41.4375,44.5065,41.025,40.5756,UP,1
2000-03-16,42.0625,41.5938,44.4868,41.1125,40.5806,DOWN,0
2000-03-17,41.6563,41.9688,44.4662,41.4063,40.5625,DOWN,0
2000-03-20,41.4688,41.7813,44.4446,41.7188,40.5044,UP,1
2000-03-21,43.0,41.5,44.4295,42.0313,40.4613,DOWN,0
2000-03-22,42.0,42.25,44.4076,42.0375,40.4225,UP,1
2000-03-23,42.3125,41.5,44.3876,42.0875,40.3981,UP,1
2000-03-24,42.8125,42.375,44.3685,42.3188,40.3869,DOWN,0
2000-03-27,42.2813,42.0938,44.3473,42.4813,40.3569,UP,1
2000-03-28,42.4375,41.7813,44.3226,42.3688,40.3356,UP,1
2000-03-29,44.25,42.4063,44.3038,42.8188,40.3275,UP,1
2000-03-30,46.0938,44.5938,44.2948,43.575,40.37,UP,1
2000-03-31,46.2188,46.125,44.2916,44.2563,40.4194,DOWN,0
2000-04-03,46.1563,46.3125,44.2895,45.0313,40.4569,DOWN,0
2000-04-04,44.9063,46.2813,44.2873,45.525,40.4669,DOWN,0
