ticker,NDSN US Equity,NDSN US Equity,NDSN US Equity,NDSN US Equity,NDSN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,10.0,10.5,12.9391,10.2719,11.7686,UP,1
2000-02-09,10.25,9.9219,12.9128,10.2719,11.7333,UP,1
2000-02-10,10.2539,10.3906,12.8854,10.282,11.693,DOWN,0
2000-02-11,10.25,10.25,12.86,10.2633,11.6412,DOWN,0
2000-02-14,9.7188,10.625,12.8333,10.0945,11.5843,DOWN,0
2000-02-15,9.5781,9.75,12.8053,10.0102,11.5309,DOWN,0
2000-02-16,9.3438,9.875,12.7743,9.8289,11.4727,UP,1
2000-02-17,9.5625,9.2656,12.7434,9.6906,11.4184,DOWN,0
2000-02-18,9.25,9.8125,12.71,9.4906,11.3559,DOWN,0
2000-02-22,9.2031,9.25,12.6757,9.3875,11.2899,DOWN,0
2000-02-23,9.1719,9.1719,12.6406,9.3063,11.2221,DOWN,0
2000-02-24,9.1406,9.125,12.606,9.2656,11.1487,UP,1
2000-02-25,9.1641,9.0469,12.5712,9.1859,11.0857,DOWN,0
2000-02-28,9.0469,9.1563,12.5355,9.1453,11.0266,UP,1
2000-02-29,9.6875,9.1797,12.5065,9.2422,10.9698,UP,1
2000-03-01,10.0938,9.5313,12.4817,9.4266,10.9273,DOWN,0
2000-03-02,9.6563,10.0781,12.4586,9.5297,10.8791,UP,1
2000-03-03,10.0781,9.4531,12.4378,9.7125,10.8398,DOWN,0
2000-03-06,9.875,9.8125,12.4153,9.8781,10.7998,UP,1
2000-03-07,9.9531,9.875,12.3915,9.9313,10.7576,UP,1
2000-03-08,10.5469,9.875,12.3695,10.0219,10.731,UP,1
2000-03-09,11.0781,10.3438,12.3497,10.3063,10.717,UP,1
2000-03-10,11.1211,11.1563,12.3317,10.5148,10.6956,DOWN,0
2000-03-13,10.8594,10.9063,12.3113,10.7117,10.6666,DOWN,0
2000-03-14,10.125,10.75,12.2885,10.7461,10.6278,UP,1
2000-03-15,10.625,10.2656,12.2701,10.7617,10.5938,DOWN,0
2000-03-16,10.5313,10.375,12.2512,10.6523,10.5644,DOWN,0
2000-03-17,10.3594,10.2188,12.2319,10.5,10.53,DOWN,0
2000-03-20,10.125,10.3594,12.2127,10.3531,10.4942,UP,1
2000-03-21,11.0938,10.6875,12.2003,10.5469,10.477,DOWN,0
2000-03-22,10.8438,10.7031,12.1856,10.5906,10.4583,UP,1
2000-03-23,11.0469,10.75,12.1719,10.6938,10.4383,UP,1
2000-03-24,11.25,10.875,12.1578,10.8719,10.4211,DOWN,0
2000-03-27,11.125,10.9063,12.1454,11.0719,10.4017,DOWN,0
2000-03-28,10.5,10.9375,12.1304,10.9531,10.3711,UP,1
2000-03-29,10.75,10.6875,12.1173,10.9344,10.3527,UP,1
2000-03-30,10.9063,10.75,12.1059,10.9063,10.3308,UP,1
2000-03-31,11.5156,11.125,12.0967,10.9594,10.3236,UP,1
2000-04-03,11.8438,11.4531,12.084,11.1031,10.3292,DOWN,0
2000-04-04,11.1563,11.375,12.0693,11.2344,10.3242,UP,1
2000-04-05,11.75,11.4375,12.0567,11.4344,10.3411,DOWN,0
2000-04-06,11.5,11.6875,12.0437,11.5531,10.3611,DOWN,0
2000-04-07,10.9688,11.2578,12.0292,11.4438,10.3655,DOWN,0
2000-04-10,10.6719,11.125,12.0121,11.2094,10.3661,DOWN,0
2000-04-11,10.6719,10.6875,11.9956,11.1125,10.3645,UP,1
2000-04-12,10.875,10.625,11.9796,10.9375,10.3695,UP,1
2000-04-13,11.0469,10.9531,11.9583,10.8469,10.3855,UP,1
2000-04-14,11.1719,10.9219,11.9403,10.8875,10.4048,DOWN,0
2000-04-17,11.0156,10.9219,11.9205,10.9563,10.4183,UP,1
2000-04-18,11.3125,11.0156,11.9025,11.0844,10.4333,DOWN,0
2000-04-19,11.0625,11.0,11.8848,11.1219,10.4545,UP,1
2000-04-20,11.1406,11.0625,11.8673,11.1406,10.4723,DOWN,0
2000-04-24,11.0,11.1406,11.8501,11.1063,10.4873,UP,1
2000-04-25,11.2344,11.125,11.8339,11.15,10.507,UP,1
2000-04-26,11.3281,11.0,11.8185,11.1531,10.5391,DOWN,0
2000-04-27,11.1406,11.3125,11.8017,11.1688,10.5704,UP,1
2000-04-28,11.1719,11.4688,11.7848,11.175,10.607,UP,1
2000-05-01,11.3438,11.4375,11.768,11.2438,10.6426,DOWN,0
2000-05-02,11.0469,11.4063,11.7505,11.2063,10.6785,DOWN,0
2000-05-03,10.8125,11.2813,11.7306,11.1031,10.7107,UP,1
2000-05-04,10.8438,10.8438,11.7101,11.0438,10.7441,UP,1
2000-05-05,11.0469,11.1094,11.6903,11.0188,10.7823,DOWN,0
2000-05-08,10.6875,11.1875,11.669,10.8875,10.8127,DOWN,0
2000-05-09,10.5625,10.75,11.6477,10.7906,10.843,DOWN,0
2000-05-10,10.2188,10.4531,11.624,10.6719,10.8537,UP,1
2000-05-11,10.7813,10.2813,11.6045,10.6594,10.8674,UP,1
2000-05-12,11.1563,10.8125,11.5884,10.6813,10.8974,DOWN,0
2000-05-15,10.7656,11.1563,11.5704,10.6969,10.9112,UP,1
2000-05-16,11.5313,10.9063,11.5587,10.8906,10.9443,DOWN,0
2000-05-17,11.25,11.0,11.5464,11.0969,10.9702,DOWN,0
2000-05-18,11.125,11.25,11.5333,11.1656,10.9818,DOWN,0
2000-05-19,10.75,11.125,11.5188,11.0844,10.9752,UP,1
2000-05-22,11.2188,11.1875,11.5061,11.175,10.9772,UP,1
2000-05-23,11.5938,11.0938,11.4959,11.1875,10.9919,DOWN,0
2000-05-24,11.5313,11.1875,11.4861,11.2438,11.02,DOWN,0
2000-05-25,11.3906,11.0,11.4705,11.2969,11.0353,DOWN,0
2000-05-26,11.0,11.0,11.4534,11.3469,11.0447,UP,1
2000-05-30,12.0781,11.2344,11.4421,11.5188,11.0791,UP,1
2000-05-31,12.125,11.9141,11.4308,11.625,11.1191,UP,1
2000-06-01,12.3125,12.0,11.4213,11.7813,11.1434,UP,1
2000-06-02,12.5,12.4063,11.4137,12.0031,11.1766,UP,1
2000-06-05,12.7188,12.6094,11.4074,12.3469,11.21,DOWN,0
2000-06-06,12.6563,12.75,11.4003,12.4625,11.2381,DOWN,0
2000-06-07,12.625,12.6563,11.3925,12.5625,11.2681,DOWN,0
2000-06-08,12.5,12.4531,11.3845,12.6,11.3081,UP,1
2000-06-09,12.5156,12.4531,11.3802,12.6031,11.3434,UP,1
2000-06-12,12.5625,12.4531,11.3791,12.5719,11.3766,UP,1
2000-06-13,13.0156,12.5625,11.3823,12.6438,11.4066,UP,1
2000-06-14,13.2188,12.8125,11.3869,12.7625,11.4341,UP,1
2000-06-15,13.7188,13.0625,11.394,13.0063,11.4853,DOWN,0
2000-06-16,12.8906,13.5,11.3963,13.0813,11.5081,UP,1
2000-06-19,12.9219,12.8906,11.3977,13.1531,11.5366,DOWN,0
2000-06-20,12.6563,12.875,11.3984,13.0813,11.5703,DOWN,0
2000-06-21,12.4688,12.7188,11.3968,12.9313,11.6063,DOWN,0
2000-06-22,12.3906,12.4063,11.3951,12.6656,11.6406,UP,1
2000-06-23,12.5469,12.4219,11.3945,12.5969,11.6741,DOWN,0
2000-06-26,12.5469,12.4531,11.3941,12.5219,11.7041,UP,1
2000-06-27,13.2031,12.6641,11.3971,12.6313,11.7447,DOWN,0
2000-06-28,12.625,13.125,11.3966,12.6625,11.7769,UP,1
