ticker,OTIS US Equity,OTIS US Equity,OTIS US Equity,OTIS US Equity,OTIS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-07-22,58.48,57.96,58.47,55.5262,,UP,1
2020-07-23,59.06,58.5,58.618,55.713,,DOWN,0
2020-07-24,58.13,59.18,58.534,55.9114,,UP,1
2020-07-27,58.32,57.86,58.486,56.1178,,UP,1
2020-07-28,60.28,59.82,58.854,56.3456,,UP,1
2020-07-29,64.3,60.96,60.018,56.589,,DOWN,0
2020-07-30,63.39,63.44,60.884,56.8106,,DOWN,0
2020-07-31,62.74,62.93,61.806,57.0018,,UP,1
2020-08-03,63.21,63.02,62.784,57.2254,,DOWN,0
2020-08-04,62.61,62.58,63.25,57.4434,,UP,1
2020-08-05,63.09,62.74,63.008,57.6874,,UP,1
2020-08-06,63.48,62.89,63.026,57.9094,,UP,1
2020-08-07,64.41,63.16,63.36,58.1784,,UP,1
2020-08-10,65.21,64.29,63.76,58.4296,,DOWN,0
2020-08-11,64.37,65.52,64.112,58.6354,,UP,1
2020-08-12,64.9,64.97,64.474,58.8504,,DOWN,0
2020-08-13,64.0,64.96,64.578,59.021,,UP,1
2020-08-14,64.07,63.71,64.51,59.1944,,DOWN,0
2020-08-17,63.96,64.46,64.26,59.3022,,DOWN,0
2020-08-18,63.45,63.85,64.076,59.346,,DOWN,0
2020-08-19,62.92,63.48,63.68,59.3914,,UP,1
2020-08-20,62.97,62.16,63.474,59.4702,,UP,1
2020-08-21,63.63,63.03,63.386,59.6178,,UP,1
2020-08-24,63.8,63.61,63.354,59.773,,UP,1
2020-08-25,64.29,64.41,63.522,59.9054,,DOWN,0
2020-08-26,64.18,64.28,63.774,60.032,,DOWN,0
2020-08-27,63.23,64.47,63.826,60.1618,,UP,1
2020-08-28,63.59,63.27,63.818,60.2838,,DOWN,0
2020-08-31,62.9,63.61,63.638,60.4018,,UP,1
2020-09-01,64.05,62.52,63.59,60.5416,,UP,1
2020-09-02,65.34,63.73,63.822,60.7124,,DOWN,0
2020-09-03,61.85,64.88,63.546,60.8386,,DOWN,0
2020-09-04,61.49,62.5,63.126,60.9444,,DOWN,0
2020-09-08,60.63,61.43,62.672,61.0412,,UP,1
2020-09-09,62.08,61.03,62.278,61.1514,,DOWN,0
2020-09-10,59.9,61.98,61.19,61.2122,,UP,1
