ticker,NEE US Equity,NEE US Equity,NEE US Equity,NEE US Equity,NEE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,5.2266,5.25,6.3507,5.2391,5.3491,DOWN,0
2000-02-09,5.1563,5.1953,6.3411,5.2313,5.3469,DOWN,0
2000-02-10,5.0391,5.1484,6.3311,5.1672,5.3383,UP,1
2000-02-11,5.1094,5.0703,6.3212,5.1484,5.3303,DOWN,0
2000-02-14,5.0938,5.0781,6.3114,5.125,5.3222,UP,1
2000-02-15,5.1094,5.0703,6.3011,5.1016,5.3133,UP,1
2000-02-16,5.1172,5.1094,6.2912,5.0938,5.3058,UP,1
2000-02-17,5.125,5.1328,6.2818,5.1109,5.3008,DOWN,0
2000-02-18,5.0391,5.1094,6.2718,5.0969,5.2947,UP,1
2000-02-22,5.1094,5.0625,6.2622,5.1,5.2917,DOWN,0
2000-02-23,5.0234,5.0078,6.2519,5.0828,5.2875,DOWN,0
2000-02-24,4.75,4.9609,6.2404,5.0094,5.2777,DOWN,0
2000-02-25,4.6016,4.75,6.2281,4.9047,5.2637,UP,1
2000-02-28,4.7656,4.6016,6.2156,4.85,5.2523,UP,1
2000-02-29,4.8281,4.7656,6.2039,4.7938,5.2423,DOWN,0
2000-03-01,4.8203,4.8281,6.1918,4.7531,5.2319,UP,1
2000-03-02,4.8516,4.7891,6.18,4.7734,5.2234,UP,1
2000-03-03,4.875,4.8906,6.1679,4.8281,5.2153,DOWN,0
2000-03-06,4.7422,4.9063,6.1548,4.8234,5.2045,UP,1
2000-03-07,4.9141,4.75,6.1425,4.8406,5.1956,UP,1
2000-03-08,5.1641,4.9063,6.1312,4.9094,5.1911,UP,1
2000-03-09,5.3516,5.1719,6.1209,5.0094,5.1911,UP,1
2000-03-10,5.4688,5.3516,6.1111,5.1281,5.1945,DOWN,0
2000-03-13,5.2656,5.4375,6.1015,5.2328,5.1931,DOWN,0
2000-03-14,5.2344,5.2813,6.0913,5.2969,5.1908,UP,1
2000-03-15,5.5469,5.2422,6.0834,5.3734,5.1986,UP,1
2000-03-16,5.625,5.5859,6.0762,5.4281,5.2061,DOWN,0
2000-03-17,5.4844,5.6094,6.0683,5.4313,5.2073,DOWN,0
2000-03-20,5.3828,5.4531,6.0595,5.4547,5.2066,DOWN,0
2000-03-21,5.1719,5.3047,6.0496,5.4422,5.1984,DOWN,0
2000-03-22,5.0938,5.1797,6.0396,5.3516,5.1897,UP,1
2000-03-23,5.3125,5.2188,6.0307,5.2891,5.1866,UP,1
2000-03-24,5.4141,5.4375,6.0228,5.275,5.1831,UP,1
2000-03-27,5.8281,6.0,6.0172,5.3641,5.1891,DOWN,0
2000-03-28,5.6797,5.7969,6.0102,5.4656,5.1941,DOWN,0
2000-03-29,5.5781,5.6484,6.0021,5.5625,5.1997,UP,1
2000-03-30,5.75,5.6016,5.9944,5.65,5.2062,UP,1
2000-03-31,5.7578,5.75,5.9868,5.7188,5.2142,DOWN,0
2000-04-03,5.6641,5.7422,5.979,5.6859,5.2175,UP,1
2000-04-04,5.7734,5.6328,5.9723,5.7047,5.2236,DOWN,0
2000-04-05,5.7578,5.75,5.9649,5.7406,5.2331,DOWN,0
2000-04-06,5.7188,5.8047,5.9575,5.7344,5.2416,UP,1
2000-04-07,5.8203,5.75,5.9511,5.7469,5.2542,UP,1
2000-04-10,5.8984,5.8203,5.9453,5.7938,5.2689,DOWN,0
2000-04-11,5.8438,5.8906,5.9392,5.8078,5.2803,UP,1
2000-04-12,5.9063,5.8281,5.934,5.8375,5.2952,DOWN,0
2000-04-13,5.8828,5.9297,5.9293,5.8703,5.3089,DOWN,0
2000-04-14,5.6875,5.8359,5.9236,5.8438,5.3155,DOWN,0
2000-04-17,5.4453,5.5234,5.9165,5.7531,5.3203,DOWN,0
2000-04-18,5.4141,5.3984,5.909,5.6672,5.3244,UP,1
2000-04-19,5.6094,5.3906,5.9021,5.6078,5.332,UP,1
2000-04-20,5.6484,5.5156,5.8962,5.5609,5.3419,UP,1
2000-04-24,5.6797,5.6016,5.8905,5.5594,5.3547,UP,1
2000-04-25,5.8906,5.7109,5.8861,5.6484,5.3703,DOWN,0
2000-04-26,5.8828,5.8594,5.8819,5.7422,5.3861,DOWN,0
2000-04-27,5.6875,5.8438,5.8768,5.7578,5.3977,DOWN,0
2000-04-28,5.6563,5.6563,5.8712,5.7594,5.4084,UP,1
2000-05-01,5.6719,5.75,5.8661,5.7578,5.4194,DOWN,0
2000-05-02,5.6484,5.6563,5.8607,5.7094,5.4316,UP,1
2000-05-03,5.6875,5.6406,5.8552,5.6703,5.4431,UP,1
2000-05-04,5.7266,5.6563,5.8494,5.6781,5.4572,DOWN,0
2000-05-05,5.6641,5.7031,5.8432,5.6797,5.4755,UP,1
2000-05-08,5.875,5.6719,5.8382,5.7203,5.5009,DOWN,0
2000-05-09,5.8359,5.8438,5.8327,5.7578,5.5223,UP,1
2000-05-10,5.9063,5.8672,5.8275,5.8016,5.5439,UP,1
2000-05-11,6.0859,5.9688,5.824,5.8734,5.5692,DOWN,0
2000-05-12,5.9453,6.0703,5.8198,5.9297,5.5911,UP,1
