ticker,LCID US Equity,LCID US Equity,LCID US Equity,LCID US Equity,LCID US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-01-21,17.81,18.09,17.898,10.9769,,UP,1
2021-01-22,22.35,18.49,18.896,11.2305,,UP,1
2021-01-25,24.95,26.77,20.214,11.5355,,DOWN,0
2021-01-26,24.44,24.37,21.522,11.8307,,DOWN,0
2021-01-27,21.15,21.29,22.14,12.0597,,UP,1
2021-01-28,22.33,21.34,23.044,12.3125,,UP,1
2021-01-29,22.88,21.7,23.15,12.5761,,UP,1
2021-02-01,25.2,23.64,23.2,12.8859,,UP,1
2021-02-02,32.14,27.98,24.74,13.3339,,DOWN,0
2021-02-03,29.49,32.35,26.408,13.7293,,UP,1
2021-02-04,30.22,29.0,27.986,14.1395,,UP,1
2021-02-05,34.65,30.9,30.34,14.6375,,DOWN,0
2021-02-08,32.88,34.17,31.876,15.0999,,UP,1
2021-02-09,33.31,31.7,32.11,15.5709,,DOWN,0
2021-02-10,32.87,32.0,32.786,16.0317,,DOWN,0
2021-02-11,31.5,32.25,33.042,16.4641,,UP,1
2021-02-12,39.98,35.04,34.108,17.0661,,UP,1
2021-02-16,52.7,38.27,38.072,17.9227,,UP,1
2021-02-17,56.23,54.67,42.656,18.8499,,UP,1
2021-02-18,58.05,55.81,47.692,19.8133,,DOWN,0
2021-02-19,52.94,60.09,51.98,20.6733,,UP,1
2021-02-22,57.37,62.87,55.458,21.6235,,DOWN,0
2021-02-23,35.21,35.02,51.96,22.1293,,DOWN,0
2021-02-24,28.7,35.64,46.454,22.5051,,DOWN,0
2021-02-25,27.82,29.71,40.408,22.8627,,UP,1
2021-02-26,30.75,31.25,35.97,23.2781,,DOWN,0
2021-03-01,30.63,32.49,30.622,23.6913,,DOWN,0
2021-03-02,27.77,30.0,29.134,24.0478,,DOWN,0
2021-03-03,24.2,27.65,28.234,24.3324,,UP,1
2021-03-04,24.34,23.89,27.538,24.62,,UP,1
2021-03-05,24.4,24.52,26.268,24.9086,,DOWN,0
2021-03-08,22.09,24.34,24.56,25.1504,,UP,1
2021-03-09,24.46,23.26,23.898,25.439,,UP,1
2021-03-10,24.7,25.105,23.998,25.7322,,UP,1
2021-03-11,26.84,25.79,24.498,26.0674,,DOWN,0
2021-03-12,26.77,25.5,24.972,26.4016,,UP,1
2021-03-15,28.69,27.46,26.292,26.774,,UP,1
2021-03-16,31.1,31.06,27.62,27.1958,,DOWN,0
2021-03-17,29.5,29.69,28.58,27.585,,DOWN,0
2021-03-18,26.9,28.8,28.592,27.9226,,DOWN,0
2021-03-19,26.88,26.62,28.614,28.26,,DOWN,0
2021-03-22,26.15,27.48,28.106,28.5824,,DOWN,0
2021-03-23,24.05,26.15,26.696,28.8628,,DOWN,0
2021-03-24,22.56,24.45,25.308,29.05,,UP,1
2021-03-25,24.03,21.71,24.734,29.2476,,DOWN,0
2021-03-26,23.02,23.06,23.962,29.3736,,DOWN,0
2021-03-29,21.35,22.88,23.002,29.4534,,UP,1
2021-03-30,23.51,21.18,22.894,29.5564,,DOWN,0
2021-03-31,23.18,24.06,23.018,29.662,,UP,1
