ticker,D US Equity,D US Equity,D US Equity,D US Equity,D US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,20.3438,20.4375,22.0312,20.55,20.8337,UP,1
2000-02-10,20.4063,20.6875,22.0315,20.4375,20.788,DOWN,0
2000-02-11,20.2188,20.2813,22.0295,20.3625,20.7424,DOWN,0
2000-02-14,20.1563,20.125,22.0275,20.3063,20.6993,UP,1
2000-02-15,20.3125,20.2813,22.025,20.2875,20.6599,UP,1
2000-02-16,20.3438,20.375,22.0229,20.2875,20.6262,UP,1
2000-02-17,20.4063,20.3438,22.0219,20.2875,20.593,DOWN,0
2000-02-18,20.3438,20.375,22.0209,20.3125,20.5649,DOWN,0
2000-02-22,20.3125,20.3125,22.0201,20.3438,20.5393,DOWN,0
2000-02-23,19.5,20.1563,22.0153,20.1813,20.498,DOWN,0
2000-02-24,19.3125,19.625,22.0094,19.975,20.455,DOWN,0
2000-02-25,18.5625,19.3125,21.9973,19.6063,20.3969,DOWN,0
2000-02-28,18.5,18.25,21.9851,19.2375,20.3375,DOWN,0
2000-02-29,18.3438,18.5313,21.9737,18.8438,20.2894,DOWN,0
2000-03-01,18.0313,18.3438,21.9597,18.55,20.24,UP,1
2000-03-02,18.3125,18.0313,21.9472,18.35,20.1969,UP,1
2000-03-03,18.375,18.5,21.9337,18.3125,20.155,DOWN,0
2000-03-06,18.1563,18.375,21.9187,18.2438,20.1125,UP,1
2000-03-07,18.2188,18.1563,21.9026,18.2188,20.0706,UP,1
2000-03-08,18.375,18.0938,21.8859,18.2875,20.035,DOWN,0
2000-03-09,18.3438,18.3438,21.8676,18.2938,20.0013,DOWN,0
2000-03-10,18.1563,18.3438,21.849,18.25,19.9669,DOWN,0
2000-03-13,17.9375,18.0,21.8322,18.2063,19.9294,DOWN,0
2000-03-14,17.5625,17.8438,21.812,18.075,19.8881,UP,1
2000-03-15,18.375,17.5625,21.7976,18.075,19.8744,UP,1
2000-03-16,19.375,18.5,21.7879,18.2813,19.8713,DOWN,0
2000-03-17,18.6563,19.6563,21.7753,18.3813,19.8431,UP,1
2000-03-20,18.9063,18.7813,21.7629,18.575,19.8156,DOWN,0
2000-03-21,18.9063,18.9688,21.7504,18.8438,19.7881,DOWN,0
2000-03-22,18.9063,18.8125,21.7384,18.95,19.7606,UP,1
2000-03-23,19.0938,18.6875,21.7283,18.8938,19.7356,DOWN,0
2000-03-24,18.7813,19.0938,21.7183,18.9188,19.7013,UP,1
2000-03-27,18.9141,18.5938,21.7091,18.9203,19.6639,DOWN,0
2000-03-28,18.4375,18.7188,21.6963,18.8266,19.6164,UP,1
2000-03-29,18.5,18.375,21.681,18.7453,19.5708,UP,1
2000-03-30,19.0625,18.5938,21.6674,18.7391,19.5295,UP,1
2000-03-31,19.2188,19.125,21.6541,18.8266,19.4895,UP,1
2000-04-03,19.2813,19.25,21.6405,18.9,19.452,UP,1
2000-04-04,19.8438,19.375,21.6281,19.1813,19.4245,UP,1
2000-04-05,20.0,19.875,21.6164,19.4813,19.4045,DOWN,0
2000-04-06,19.6875,19.9375,21.6033,19.6063,19.3714,DOWN,0
2000-04-07,19.3438,19.5625,21.5888,19.6313,19.3327,UP,1
2000-04-10,20.125,19.4688,21.5786,19.8,19.3289,UP,1
2000-04-11,20.5,20.0938,21.57,19.9313,19.3214,UP,1
2000-04-12,21.2188,20.5625,21.5664,20.175,19.3352,UP,1
2000-04-13,22.3438,21.2188,21.5699,20.7063,19.3683,DOWN,0
2000-04-14,21.7188,22.75,21.5696,21.1813,19.3833,UP,1
2000-04-17,21.7813,21.6563,21.5685,21.5125,19.407,DOWN,0
2000-04-18,21.4375,21.75,21.5655,21.7,19.427,DOWN,0
2000-04-19,21.2188,21.3438,21.5613,21.7,19.4433,UP,1
2000-04-20,21.4688,21.1563,21.5596,21.525,19.4658,UP,1
2000-04-24,22.1563,21.5,21.5605,21.6125,19.5008,UP,1
2000-04-25,22.9063,22.4375,21.5647,21.8375,19.5545,UP,1
2000-04-26,23.25,22.7813,21.5702,22.2,19.6164,DOWN,0
2000-04-27,22.75,23.125,21.5735,22.5063,19.6652,DOWN,0
2000-04-28,22.5,22.5625,21.5753,22.7125,19.7083,DOWN,0
2000-05-01,22.1875,22.375,21.5749,22.7188,19.7439,DOWN,0
2000-05-02,21.5938,22.0625,21.5699,22.4563,19.7689,UP,1
2000-05-03,21.7188,21.6563,21.565,22.15,19.797,UP,1
2000-05-04,22.25,21.75,21.5642,22.05,19.852,DOWN,0
2000-05-05,21.7813,22.2188,21.5619,21.9063,19.9014,UP,1
