ticker,AAL US Equity,AAL US Equity,AAL US Equity,AAL US Equity,AAL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2014-04-14,33.37,34.0,35.044,36.2583,,UP,1
2014-04-15,33.72,33.52,34.592,36.2535,,UP,1
2014-04-16,35.51,34.17,34.314,36.2827,,DOWN,0
2014-04-17,35.4,35.5,34.336,36.3147,,UP,1
2014-04-21,35.67,35.08,34.734,36.3349,,UP,1
2014-04-22,36.16,35.76,35.292,36.3447,,UP,1
2014-04-23,37.09,37.14,35.966,36.3749,,UP,1
2014-04-24,37.26,37.84,36.316,36.4175,,DOWN,0
2014-04-25,36.0,37.0,36.436,36.4437,,DOWN,0
2014-04-28,35.16,36.41,36.334,36.4464,,UP,1
2014-04-29,35.51,35.2,36.204,36.4684,,DOWN,0
2014-04-30,35.07,35.68,35.8,36.4836,,UP,1
2014-05-01,36.39,35.86,35.626,36.5196,,UP,1
2014-05-02,36.49,36.27,35.724,36.5362,,UP,1
2014-05-05,36.6,36.08,36.012,36.5448,,UP,1
2014-05-06,36.67,37.14,36.244,36.5452,,UP,1
2014-05-07,37.22,36.53,36.674,36.5496,,UP,1
2014-05-08,38.25,37.25,37.046,36.5796,,UP,1
2014-05-09,38.26,37.96,37.4,36.6136,,UP,1
2014-05-12,39.39,38.35,37.958,36.6628,,DOWN,0
2014-05-13,39.31,38.95,38.486,36.727,,DOWN,0
2014-05-14,38.84,39.08,38.81,36.757,,DOWN,0
2014-05-15,38.19,38.55,38.798,36.7636,,UP,1
2014-05-16,38.525,38.01,38.851,36.7579,,UP,1
2014-05-19,38.57,38.49,38.687,36.7489,,DOWN,0
2014-05-20,38.24,38.54,38.473,36.7345,,UP,1
2014-05-21,38.32,38.28,38.369,36.7393,,UP,1
2014-05-22,38.72,38.3,38.475,36.7625,,UP,1
2014-05-23,39.11,38.53,38.592,36.8099,,UP,1
2014-05-27,39.35,39.38,38.748,36.8701,,UP,1
2014-05-28,39.8,39.4,39.06,36.9121,,UP,1
2014-05-29,39.82,39.89,39.36,36.9615,,UP,1
2014-05-30,40.16,39.83,39.648,37.0231,,UP,1
2014-06-02,41.22,40.0,40.07,37.1163,,UP,1
2014-06-03,41.44,41.13,40.488,37.2229,,UP,1
2014-06-04,42.82,41.36,41.092,37.3433,,DOWN,0
2014-06-05,42.41,43.0,41.61,37.4335,,UP,1
2014-06-06,43.88,42.45,42.354,37.5771,,DOWN,0
2014-06-09,43.59,44.0,42.828,37.7335,,UP,1
2014-06-10,43.66,43.5,43.272,37.8989,,DOWN,0
2014-06-11,42.29,42.9,43.166,38.0127,,DOWN,0
2014-06-12,40.2,41.27,42.724,38.0579,,UP,1
2014-06-13,40.38,40.25,42.024,38.1113,,UP,1
2014-06-16,41.06,39.68,41.518,38.1857,,UP,1
2014-06-17,41.87,41.08,41.16,38.2919,,UP,1
2014-06-18,42.66,41.93,41.234,38.4295,,UP,1
2014-06-19,43.06,42.82,41.806,38.5711,,UP,1
2014-06-20,44.55,43.04,42.64,38.7241,,DOWN,0
2014-06-23,44.36,44.3,43.3,38.9055,,DOWN,0
2014-06-24,43.179,44.14,43.5618,39.0955,,UP,1
2014-06-25,43.91,42.9,43.8118,39.3063,,UP,1
2014-06-26,44.55,43.96,44.1098,39.5229,,DOWN,0
2014-06-27,44.0,44.3,43.9998,39.6927,,DOWN,0
2014-06-30,42.96,44.04,43.7198,39.8439,,UP,1
2014-07-01,43.86,43.44,43.856,40.0077,,DOWN,0
2014-07-02,41.95,42.89,43.464,40.1235,,DOWN,0
2014-07-03,41.62,42.61,42.878,40.2141,,DOWN,0
2014-07-07,40.1,41.72,42.098,40.2709,,UP,1
2014-07-08,40.26,39.14,41.558,40.3561,,UP,1
2014-07-09,41.985,42.08,41.183,40.4926,,UP,1
2014-07-10,42.82,41.0,41.357,40.6388,,UP,1
2014-07-11,42.88,42.91,41.609,40.795,,UP,1
2014-07-14,42.98,43.26,42.185,40.9268,,UP,1
2014-07-15,43.7,43.33,42.873,41.071,,DOWN,0
2014-07-16,43.48,44.0,43.172,41.2086,,DOWN,0
2014-07-17,41.6999,43.04,42.948,41.3092,,UP,1
2014-07-18,42.9199,42.23,42.9559,41.4232,,DOWN,0
2014-07-21,42.48,42.91,42.8559,41.5078,,DOWN,0
2014-07-22,42.38,42.7,42.5919,41.5902,,UP,1
2014-07-23,43.33,42.72,42.5619,41.669,,DOWN,0
2014-07-24,42.16,42.5,42.654,41.726,,DOWN,0
2014-07-25,41.68,42.25,42.406,41.7828,,DOWN,0
2014-07-28,40.29,41.87,41.968,41.8248,,DOWN,0
2014-07-29,39.53,40.65,41.398,41.8449,,UP,1
2014-07-30,39.55,39.9,40.642,41.8645,,DOWN,0
2014-07-31,38.85,38.9,39.98,41.8767,,UP,1
2014-08-01,39.43,38.75,39.53,41.8989,,DOWN,0
2014-08-04,38.14,39.49,39.1,41.8873,,DOWN,0
2014-08-05,37.18,37.89,38.63,41.8487,,UP,1
2014-08-06,37.46,36.56,38.212,41.8109,,DOWN,0
2014-08-07,36.86,37.7,37.814,41.7521,,UP,1
2014-08-08,37.18,36.56,37.364,41.6993,,UP,1
2014-08-11,37.97,37.79,37.33,41.6555,,DOWN,0
2014-08-12,37.52,38.14,37.398,41.5815,,UP,1
2014-08-13,38.12,37.64,37.53,41.5151,,UP,1
2014-08-14,39.57,38.5,38.072,41.4501,,DOWN,0
2014-08-15,39.19,39.98,38.474,41.3857,,UP,1
2014-08-18,40.66,39.6,39.012,41.3213,,DOWN,0
2014-08-19,40.43,40.96,39.594,41.2581,,UP,1
2014-08-20,40.6,40.4,40.09,41.1969,,DOWN,0
2014-08-21,39.51,40.75,40.078,41.1413,,UP,1
2014-08-22,39.85,39.6,40.21,41.1343,,DOWN,0
2014-08-25,39.42,40.23,39.962,41.1151,,DOWN,0
2014-08-26,39.09,39.55,39.694,41.0757,,DOWN,0
2014-08-27,38.99,39.36,39.372,41.0181,,UP,1
2014-08-28,39.17,38.71,39.304,40.9483,,DOWN,0
2014-08-29,38.881,39.1,39.1102,40.8647,,UP,1
2014-09-02,40.5,39.0,39.3262,40.7837,,DOWN,0
2014-09-03,39.14,39.73,39.3362,40.6793,,DOWN,0
2014-09-04,38.47,39.37,39.2322,40.5851,,DOWN,0
2014-09-05,37.85,38.51,38.9682,40.4639,,UP,1
2014-09-08,38.23,37.96,38.838,40.3375,,DOWN,0
2014-09-09,37.96,37.63,38.33,40.2167,,UP,1
2014-09-10,38.58,37.93,38.218,40.1291,,DOWN,0
2014-09-11,38.09,38.73,38.142,40.0137,,DOWN,0
2014-09-12,37.65,38.09,38.102,39.9277,,DOWN,0
2014-09-15,37.07,37.6,37.87,39.8367,,UP,1
2014-09-16,37.98,37.0,37.874,39.7943,,DOWN,0
2014-09-17,37.46,37.92,37.65,39.7383,,UP,1
2014-09-18,38.05,37.7,37.642,39.6596,,DOWN,0
2014-09-19,36.63,38.06,37.438,39.5358,,DOWN,0
2014-09-22,35.58,37.0,37.14,39.3898,,DOWN,0
2014-09-23,35.33,35.04,36.61,39.2368,,UP,1
2014-09-24,36.12,35.47,36.342,39.0852,36.6113,DOWN,0
2014-09-25,35.21,35.88,35.774,38.9198,36.6643,UP,1
2014-09-26,35.93,35.25,35.634,38.8044,36.7196,DOWN,0
2014-09-29,35.03,35.35,35.524,38.6466,36.7648,UP,1
2014-09-30,35.48,35.05,35.554,38.5066,36.8149,DOWN,0
2014-10-01,34.39,34.72,35.208,38.3468,36.8557,DOWN,0
2014-10-02,33.93,34.47,34.952,38.1588,36.8923,UP,1
2014-10-03,36.23,34.66,35.012,38.0402,36.943,DOWN,0
2014-10-06,34.93,36.31,34.992,37.9052,36.9865,DOWN,0
2014-10-07,34.09,34.75,34.714,37.7812,37.0263,DOWN,0
2014-10-08,33.0,34.53,34.436,37.6506,37.0597,DOWN,0
2014-10-09,31.98,33.5,34.046,37.4992,37.0887,DOWN,0
2014-10-10,30.78,31.55,32.956,37.3378,37.1113,DOWN,0
2014-10-13,28.58,31.07,31.686,37.1208,37.1236,UP,1
2014-10-14,31.51,29.29,31.17,36.9882,37.1564,UP,1
2014-10-15,31.69,30.22,30.908,36.8784,37.191,UP,1
2014-10-16,32.97,30.63,31.106,36.7886,37.2296,UP,1
2014-10-17,33.38,33.88,31.626,36.719,37.2697,UP,1
2014-10-20,35.22,34.19,32.954,36.6798,37.3131,UP,1
2014-10-21,37.85,36.14,34.222,36.6774,37.3672,DOWN,0
2014-10-22,37.04,38.05,35.292,36.6678,37.4179,UP,1
2014-10-23,38.48,37.43,36.394,36.675,37.4721,UP,1
2014-10-24,39.82,38.6,37.682,36.68,37.5241,UP,1
2014-10-27,39.91,39.6,38.62,36.6944,37.5769,UP,1
2014-10-28,40.24,40.11,39.098,36.686,37.6349,DOWN,0
2014-10-29,39.94,40.07,39.678,36.6762,37.6902,UP,1
2014-10-30,40.3,39.91,40.042,36.6702,37.7475,UP,1
2014-10-31,41.35,41.1,40.348,36.707,37.8076,UP,1
2014-11-03,42.0,41.44,40.766,36.75,37.8675,UP,1
2014-11-04,42.7,42.83,41.258,36.8156,37.9277,DOWN,0
2014-11-05,42.25,43.32,41.72,36.8788,37.9829,UP,1
2014-11-06,43.14,42.59,42.288,36.9618,38.0419,UP,1
2014-11-07,43.2,43.14,42.658,37.0424,38.1059,UP,1
2014-11-10,43.83,42.5,43.024,37.1414,38.1741,DOWN,0
2014-11-11,43.44,44.0,43.172,37.2002,38.2315,DOWN,0
