ticker,DDOG US Equity,DDOG US Equity,DDOG US Equity,DDOG US Equity,DDOG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-01-22,42.24,41.48,41.08,38.573,,UP,1
2020-01-23,42.81,42.33,41.596,38.773,,DOWN,0
2020-01-24,42.05,43.49,41.884,38.943,,DOWN,0
2020-01-27,41.255,40.0,41.897,39.0801,,UP,1
2020-01-28,42.16,41.58,42.103,39.1195,,UP,1
2020-01-29,43.92,42.9,42.439,39.1705,,UP,1
2020-01-30,47.04,43.49,43.285,39.2987,,DOWN,0
2020-01-31,46.21,47.13,44.117,39.4165,,DOWN,0
2020-02-03,45.26,46.62,44.918,39.5387,,UP,1
2020-02-04,47.6,46.21,46.006,39.7227,,DOWN,0
2020-02-05,45.73,48.88,46.368,39.8367,,UP,1
2020-02-06,46.05,45.75,46.17,39.9369,,UP,1
2020-02-07,47.18,46.5,46.364,40.0243,,UP,1
2020-02-10,47.95,47.52,46.902,40.1723,,DOWN,0
2020-02-11,47.81,48.62,46.944,40.2913,,UP,1
2020-02-12,50.01,48.25,47.8,40.4761,,DOWN,0
2020-02-13,48.5,49.35,48.29,40.6541,,DOWN,0
2020-02-14,47.03,45.91,48.26,40.8393,,UP,1
2020-02-18,47.08,47.29,48.086,41.0425,,UP,1
2020-02-19,47.3,47.2,47.984,41.2713,,DOWN,0
2020-02-20,45.99,45.68,47.18,41.4729,,DOWN,0
2020-02-21,45.68,45.64,46.616,41.6833,,DOWN,0
2020-02-24,44.96,43.0,46.202,41.8863,,DOWN,0
2020-02-25,44.31,45.4,45.648,42.0615,,DOWN,0
2020-02-26,43.91,44.06,44.97,42.2251,,UP,1
2020-02-27,45.89,42.12,44.95,42.3671,,DOWN,0
2020-02-28,45.15,43.8,44.844,42.4943,,DOWN,0
2020-03-02,44.79,45.0,44.81,42.6465,,DOWN,0
2020-03-03,43.4,44.8,44.628,42.7503,,UP,1
2020-03-04,44.525,44.33,44.751,42.8788,,UP,1
2020-03-05,47.3,43.31,45.033,43.0546,,DOWN,0
2020-03-06,43.62,46.01,44.727,43.171,,DOWN,0
2020-03-09,38.82,38.78,43.533,43.2056,,DOWN,0
2020-03-10,38.0,39.75,42.453,43.2064,,DOWN,0
2020-03-11,35.56,37.31,40.66,43.1954,,DOWN,0
2020-03-12,33.1,32.46,37.82,43.1148,,UP,1
2020-03-13,35.26,36.0,36.148,43.0644,,DOWN,0
2020-03-16,28.96,32.0,34.176,42.9096,,UP,1
2020-03-17,34.12,29.53,33.4,42.8436,,DOWN,0
2020-03-18,32.08,30.85,32.704,42.6872,,UP,1
2020-03-19,33.1,32.0,32.704,42.548,,UP,1
2020-03-20,33.38,33.54,32.328,42.4166,,DOWN,0
2020-03-23,32.9,34.1,33.116,42.2704,,UP,1
2020-03-24,34.49,34.05,33.19,42.157,,DOWN,0
2020-03-25,33.69,34.11,33.512,42.012,,UP,1
2020-03-26,34.3,34.07,33.752,41.9126,,UP,1
2020-03-27,34.55,34.29,33.986,41.799,,UP,1
2020-03-30,34.75,35.45,34.356,41.6818,,UP,1
2020-03-31,35.98,34.5,34.654,41.5776,,DOWN,0
2020-04-01,34.88,34.83,34.892,41.4526,,DOWN,0
2020-04-02,34.6,34.9,34.952,41.2998,,UP,1
2020-04-03,34.69,34.5,34.98,41.1374,,UP,1
2020-04-06,36.28,35.44,35.286,41.022,,DOWN,0
