ticker,SYK US Equity,SYK US Equity,SYK US Equity,SYK US Equity,SYK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,17.1875,17.125,15.5155,16.5625,17.0569,UP,1
2000-02-09,17.4219,17.125,15.5269,16.7844,17.1088,DOWN,0
2000-02-10,16.5469,17.4219,15.5285,16.8531,17.155,DOWN,0
2000-02-11,15.875,16.5469,15.5279,16.7375,17.1816,UP,1
2000-02-14,16.2188,15.9375,15.5325,16.65,17.21,UP,1
2000-02-15,16.6406,16.5,15.5353,16.5406,17.2413,UP,1
2000-02-16,16.7188,16.6094,15.5411,16.4,17.2712,UP,1
2000-02-17,16.875,16.75,15.5499,16.4656,17.3125,DOWN,0
2000-02-18,15.7969,16.875,15.5527,16.45,17.3272,DOWN,0
2000-02-22,15.1719,15.7969,15.5516,16.2406,17.3331,DOWN,0
2000-02-23,14.7344,15.2031,15.5502,15.8594,17.3284,UP,1
2000-02-24,15.0781,14.75,15.5488,15.5313,17.3303,DOWN,0
2000-02-25,15.0781,15.0625,15.5489,15.1719,17.3375,DOWN,0
2000-02-28,14.5,14.75,15.5455,14.9125,17.3225,UP,1
2000-02-29,14.625,14.625,15.5436,14.8031,17.3041,DOWN,0
2000-03-01,13.75,14.25,15.5373,14.6063,17.2491,UP,1
2000-03-02,14.4531,13.7969,15.5346,14.4813,17.2059,UP,1
2000-03-03,14.5156,14.4531,15.5291,14.3688,17.1625,DOWN,0
2000-03-06,14.0938,14.5625,15.522,14.2875,17.0969,DOWN,0
2000-03-07,13.1563,14.0938,15.5116,13.9938,17.0016,DOWN,0
2000-03-08,12.75,13.3125,15.5002,13.7938,16.9019,UP,1
2000-03-09,13.5156,13.1875,15.4941,13.6063,16.8175,DOWN,0
2000-03-10,13.3281,13.375,15.488,13.3688,16.7356,UP,1
2000-03-13,13.4688,13.3125,15.4819,13.2438,16.6547,UP,1
2000-03-14,13.75,13.6875,15.4763,13.3625,16.5816,UP,1
2000-03-15,14.75,13.7813,15.4763,13.7625,16.5347,UP,1
2000-03-16,16.0938,14.9375,15.4816,14.2781,16.5184,DOWN,0
2000-03-17,15.5156,16.1563,15.4841,14.7156,16.4803,UP,1
2000-03-20,15.8438,15.8125,15.4869,15.1906,16.4413,UP,1
2000-03-21,16.3594,15.8438,15.4918,15.7125,16.3797,UP,1
2000-03-22,16.6875,16.3125,15.4979,16.1,16.3291,DOWN,0
2000-03-23,16.4688,16.625,15.5021,16.175,16.2703,DOWN,0
2000-03-24,16.4531,16.4063,15.5063,16.3625,16.2194,DOWN,0
2000-03-27,16.3594,16.5469,15.5117,16.4656,16.1669,UP,1
2000-03-28,16.75,16.4219,15.5196,16.5438,16.1159,DOWN,0
2000-03-29,16.2188,16.5313,15.5243,16.45,16.0472,UP,1
2000-03-30,16.4688,16.2813,15.5284,16.45,15.9784,UP,1
2000-03-31,17.4375,16.5,15.5381,16.6469,15.9347,UP,1
2000-04-03,17.5,17.125,15.5486,16.875,15.8928,DOWN,0
2000-04-04,17.25,17.4375,15.5585,16.975,15.8447,DOWN,0
2000-04-05,17.1719,17.25,15.5675,17.1656,15.8031,DOWN,0
2000-04-06,17.0313,17.2344,15.5747,17.2781,15.7603,DOWN,0
2000-04-07,16.9688,17.0313,15.582,17.1844,15.7178,UP,1
2000-04-10,17.0,16.9531,15.5905,17.0844,15.7428,DOWN,0
2000-04-11,16.8125,17.0625,15.5993,16.9969,15.7628,UP,1
2000-04-12,16.9219,16.8125,15.6084,16.9469,15.7788,UP,1
2000-04-13,17.4844,16.9219,15.6206,17.0375,15.8022,DOWN,0
2000-04-14,16.2031,17.1875,15.6259,16.8844,15.8022,UP,1
2000-04-17,16.3438,15.875,15.632,16.7531,15.8,UP,1
2000-04-18,17.0469,16.4063,15.6423,16.8,15.8078,UP,1
2000-04-19,18.4844,17.875,15.6598,17.1125,15.8338,UP,1
2000-04-20,18.6406,18.4375,15.6783,17.3438,15.8581,DOWN,0
2000-04-24,18.0313,18.6094,15.6934,17.7094,15.8878,UP,1
2000-04-25,18.2813,18.25,15.7088,18.0969,15.9359,DOWN,0
2000-04-26,18.0469,18.25,15.7233,18.2969,15.9725,DOWN,0
2000-04-27,17.9531,17.9844,15.7353,18.1906,15.9988,UP,1
2000-04-28,17.9844,17.9531,15.7441,18.0594,16.0241,UP,1
2000-05-01,18.0469,17.9219,15.7543,18.0625,16.0475,UP,1
2000-05-02,18.25,18.0,15.767,18.0563,16.0966,DOWN,0
2000-05-03,17.7031,18.1875,15.7766,17.9875,16.1472,UP,1
2000-05-04,17.75,17.75,15.7795,17.9469,16.2075,UP,1
2000-05-05,18.0,18.0,15.7929,17.95,16.2659,DOWN,0
2000-05-08,18.0,18.0313,15.8059,17.9406,16.3244,DOWN,0
2000-05-09,17.9844,18.0625,15.8195,17.8875,16.3941,UP,1
2000-05-10,18.625,17.9219,15.8357,18.0719,16.4741,DOWN,0
2000-05-11,18.3125,18.625,15.851,18.1844,16.5653,DOWN,0
2000-05-12,18.2188,18.375,15.8666,18.2281,16.6406,UP,1
2000-05-15,18.7813,18.5,15.8843,18.3844,16.7259,DOWN,0
2000-05-16,18.6875,18.7813,15.8991,18.525,16.8178,DOWN,0
2000-05-17,18.0313,18.5625,15.9102,18.4063,16.9153,UP,1
2000-05-18,18.1563,18.375,15.9221,18.375,17.0234,DOWN,0
2000-05-19,17.75,17.75,15.9327,18.2813,17.1081,DOWN,0
2000-05-22,17.5938,17.6563,15.9432,18.0438,17.1934,DOWN,0
2000-05-23,17.25,17.5938,15.9517,17.7563,17.2691,UP,1
2000-05-24,18.5625,17.125,15.9682,17.8625,17.3653,UP,1
2000-05-25,18.9688,18.625,15.9849,18.025,17.4497,DOWN,0
2000-05-26,18.9063,19.0,16.0014,18.2563,17.5059,UP,1
2000-05-30,19.125,18.6875,16.0184,18.5625,17.5781,DOWN,0
2000-05-31,18.9063,19.0,16.0352,18.8938,17.6394,DOWN,0
2000-06-01,18.8438,18.9375,16.0524,18.95,17.6891,DOWN,0
2000-06-02,18.2813,19.0,16.0673,18.8125,17.7209,UP,1
2000-06-05,18.8438,18.75,16.0845,18.8,17.7684,DOWN,0
2000-06-06,18.5,18.625,16.0993,18.675,17.8094,DOWN,0
2000-06-07,18.125,18.4375,16.113,18.5188,17.8447,UP,1
2000-06-08,18.25,18.5,16.1315,18.4,17.8747,UP,1
2000-06-09,18.375,18.125,16.1476,18.4188,17.9178,DOWN,0
2000-06-12,18.1563,18.3438,16.1631,18.2813,17.9516,UP,1
2000-06-13,18.75,18.0,16.1849,18.3313,17.9778,UP,1
2000-06-14,20.0313,18.75,16.2119,18.7125,18.0284,UP,1
