ticker,BA US Equity,BA US Equity,BA US Equity,BA US Equity,BA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,39.0,40.25,43.3113,41.85,41.7994,UP,1
2000-02-10,39.75,38.813,43.3076,41.1125,41.7819,UP,1
2000-02-11,39.875,39.75,43.3051,40.2875,41.7494,DOWN,0
2000-02-14,38.25,39.625,43.2932,39.575,41.7119,UP,1
2000-02-15,38.5,38.125,43.2707,39.075,41.6744,DOWN,0
2000-02-16,37.25,37.75,43.2413,38.725,41.6481,UP,1
2000-02-17,37.5,37.25,43.2082,38.275,41.6394,DOWN,0
2000-02-18,36.0,37.375,43.1635,37.5,41.6144,UP,1
2000-02-22,38.875,35.938,43.1291,37.625,41.6356,DOWN,0
2000-02-23,37.125,38.625,43.0944,37.35,41.5956,DOWN,0
2000-02-24,36.563,36.875,43.0601,37.2125,41.5631,UP,1
2000-02-25,37.813,37.063,43.0363,37.275,41.5494,DOWN,0
2000-02-28,37.0,37.5,43.0072,37.475,41.5144,DOWN,0
2000-02-29,36.938,37.188,42.9769,37.0875,41.4594,DOWN,0
2000-03-01,36.313,36.5,42.946,36.925,41.4194,DOWN,0
2000-03-02,35.938,36.313,42.9072,36.8,41.37,DOWN,0
2000-03-03,35.938,36.125,42.8651,36.425,41.315,DOWN,0
2000-03-06,35.125,36.125,42.8176,36.05,41.23,DOWN,0
2000-03-07,34.75,35.125,42.7666,35.6125,41.1013,DOWN,0
2000-03-08,33.375,34.0,42.7116,35.025,40.94,UP,1
2000-03-09,33.75,33.5,42.6651,34.5875,40.7888,DOWN,0
2000-03-10,32.375,33.938,42.6204,33.875,40.6163,UP,1
2000-03-13,32.625,32.25,42.5769,33.375,40.4438,UP,1
2000-03-14,33.063,32.75,42.5319,33.0375,40.2763,UP,1
2000-03-15,34.875,32.875,42.4932,33.3375,40.17,UP,1
2000-03-16,35.625,35.0,42.4604,33.7125,40.08,UP,1
2000-03-17,38.0,37.25,42.4376,34.8375,39.9875,DOWN,0
2000-03-20,37.0,37.188,42.4029,35.7125,39.8663,DOWN,0
2000-03-21,36.563,37.188,42.3669,36.4125,39.7113,DOWN,0
2000-03-22,36.25,36.938,42.3291,36.6875,39.5625,DOWN,0
2000-03-23,35.125,35.625,42.2935,36.5875,39.4075,UP,1
2000-03-24,36.0,36.0,42.2594,36.1875,39.2663,UP,1
2000-03-27,37.125,36.25,42.2319,36.2125,39.1613,UP,1
2000-03-28,38.0,36.938,42.2129,36.5,39.0413,DOWN,0
2000-03-29,37.875,37.75,42.1894,36.825,38.8988,UP,1
2000-03-30,38.625,37.875,42.1688,37.525,38.7188,DOWN,0
2000-03-31,37.813,38.75,42.1397,37.8875,38.545,DOWN,0
2000-04-03,37.188,37.75,42.1026,37.9,38.375,UP,1
2000-04-04,37.313,37.375,42.0741,37.7625,38.235,DOWN,0
2000-04-05,36.063,36.875,42.0382,37.4,38.0425,UP,1
2000-04-06,36.125,36.0,42.0054,36.9,37.8413,DOWN,0
2000-04-07,35.688,36.188,41.9697,36.475,37.6538,DOWN,0
2000-04-10,35.063,35.5,41.9272,36.05,37.4625,UP,1
2000-04-11,35.688,35.0,41.8894,35.725,37.2863,UP,1
2000-04-12,37.625,35.938,41.8585,36.0375,37.1638,DOWN,0
2000-04-13,37.0,37.625,41.8235,36.2125,37.0112,DOWN,0
2000-04-14,35.375,36.0,41.7801,36.15,36.85,DOWN,0
2000-04-17,35.313,35.125,41.7363,36.2,36.6763,DOWN,0
2000-04-18,34.75,34.625,41.6932,36.0125,36.535,UP,1
2000-04-19,37.25,35.938,41.6613,35.9375,36.46,UP,1
2000-04-20,40.063,37.5,41.6397,36.55,36.4813,DOWN,0
2000-04-24,37.875,39.625,41.6063,37.05,36.4438,UP,1
2000-04-25,39.0,38.25,41.5779,37.7875,36.4263,UP,1
2000-04-26,39.938,39.188,41.546,38.825,36.46,DOWN,0
2000-04-27,39.813,39.0,41.5069,39.3375,36.4863,DOWN,0
2000-04-28,39.688,39.625,41.4716,39.2625,36.535,DOWN,0
2000-05-01,39.063,39.688,41.4369,39.5,36.5662,DOWN,0
2000-05-02,37.938,39.063,41.3994,39.2875,36.605,DOWN,0
2000-05-03,37.313,37.313,41.3597,38.7625,36.5737,UP,1
2000-05-04,38.188,38.25,41.3263,38.4375,36.595,UP,1
2000-05-05,39.5,38.0,41.2944,38.4,36.6538,DOWN,0
2000-05-08,38.25,39.0,41.2526,38.2375,36.6625,UP,1
2000-05-09,38.313,38.5,41.2179,38.3125,36.6888,DOWN,0
2000-05-10,36.875,37.75,41.171,38.225,36.6875,UP,1
2000-05-11,37.313,37.125,41.1254,38.05,36.7075,DOWN,0
2000-05-12,37.188,37.625,41.0851,37.5875,36.7325,DOWN,0
2000-05-15,37.188,36.625,41.0441,37.375,36.7575,UP,1
2000-05-16,37.375,37.188,41.0019,37.1875,36.8025,DOWN,0
2000-05-17,37.375,37.0,40.9535,37.2875,36.855,UP,1
2000-05-18,37.625,37.125,40.9085,37.35,36.94,DOWN,0
2000-05-19,36.938,37.0,40.8619,37.3,37.0037,DOWN,0
2000-05-22,36.563,37.375,40.8119,37.175,37.0875,UP,1
2000-05-23,37.125,36.625,40.7641,37.125,37.1775,UP,1
2000-05-24,38.875,37.25,40.7282,37.425,37.2938,DOWN,0
2000-05-25,38.375,38.625,40.6898,37.575,37.3638,DOWN,0
2000-05-26,38.25,38.0,40.6523,37.8375,37.4163,UP,1
2000-05-30,39.563,38.75,40.6233,38.4375,37.4475,DOWN,0
2000-05-31,39.063,39.563,40.588,38.825,37.4888,UP,1
2000-06-01,40.25,39.563,40.5567,39.1,37.5625,DOWN,0
2000-06-02,39.875,40.063,40.5255,39.4,37.635,DOWN,0
2000-06-05,38.938,39.125,40.4942,39.5375,37.7113,UP,1
2000-06-06,39.875,39.188,40.4648,39.6,37.7888,DOWN,0
2000-06-07,38.563,39.688,40.428,39.5,37.8175,DOWN,0
2000-06-08,38.188,38.5,40.3933,39.0875,37.8213,UP,1
2000-06-09,39.188,38.75,40.3677,38.95,37.8475,DOWN,0
2000-06-12,38.125,38.625,40.3364,38.7875,37.8375,UP,1
2000-06-13,38.813,38.0,40.3114,38.575,37.8575,DOWN,0
2000-06-14,38.813,38.5,40.2817,38.625,37.89,UP,1
2000-06-15,40.375,39.5,40.257,39.0625,37.9513,DOWN,0
2000-06-16,39.25,40.125,40.2283,39.075,38.015,DOWN,0
2000-06-19,39.0,39.375,40.1986,39.25,38.0725,UP,1
2000-06-20,39.313,38.875,40.168,39.35,38.145,UP,1
2000-06-21,39.813,39.438,40.1423,39.55,38.24,DOWN,0
2000-06-22,38.938,39.75,40.1142,39.2625,38.305,UP,1
2000-06-23,39.875,39.5,40.088,39.3875,38.35,DOWN,0
2000-06-26,39.75,39.5,40.0605,39.5375,38.405,UP,1
2000-06-27,40.0,39.5,40.0364,39.675,38.4975,UP,1
2000-06-28,40.535,40.375,40.0163,39.8195,38.602,UP,1
2000-06-29,40.938,40.688,39.9988,40.2195,38.7257,UP,1
2000-06-30,41.813,41.0,39.9881,40.607,38.817,DOWN,0
2000-07-03,41.688,41.625,39.9785,40.9945,38.8495,UP,1
2000-07-05,42.813,42.125,39.9781,41.557,38.9482,UP,1
2000-07-06,43.0,42.875,39.9794,42.05,39.0282,UP,1
2000-07-07,43.75,43.125,39.9806,42.6125,39.1045,DOWN,0
2000-07-10,43.0,43.875,39.9819,42.85,39.1682,UP,1
2000-07-11,44.313,43.125,39.9931,43.375,39.2607,DOWN,0
2000-07-12,43.875,43.938,40.0041,43.5875,39.357,UP,1
2000-07-13,44.563,44.125,40.0175,43.9,39.4895,DOWN,0
2000-07-14,44.438,44.75,40.0288,44.0375,39.632,DOWN,0
2000-07-17,43.969,44.438,40.0355,44.2313,39.7476,UP,1
2000-07-18,45.125,44.0,40.0467,44.3938,39.8601,UP,1
2000-07-19,45.875,45.0,40.0577,44.7938,40.0126,UP,1
2000-07-20,46.063,46.0,40.0689,45.0938,40.1676,UP,1
2000-07-21,46.813,46.0,40.0858,45.5688,40.3663,UP,1
2000-07-24,48.125,46.688,40.1127,46.4,40.5826,UP,1
2000-07-25,48.625,48.0,40.1458,47.1,40.8113,DOWN,0
2000-07-26,48.0,49.0,40.1761,47.525,41.0276,UP,1
2000-07-27,48.25,48.25,40.2192,47.9625,41.2451,UP,1
2000-07-28,48.813,48.188,40.2608,48.3625,41.4738,DOWN,0
2000-07-31,48.813,48.5,40.2867,48.5,41.6976,DOWN,0
2000-08-01,48.688,48.875,40.3177,48.5125,41.9326,UP,1
2000-08-02,49.875,48.875,40.3564,48.8875,42.1988,DOWN,0
2000-08-03,49.0,49.563,40.3877,49.0375,42.4363,DOWN,0
2000-08-04,49.0,49.0,40.4121,49.075,42.6388,UP,1
2000-08-07,49.063,48.938,40.4339,49.125,42.8526,DOWN,0
2000-08-08,48.563,48.625,40.4536,49.1,43.0588,DOWN,0
2000-08-09,47.75,48.625,40.4714,48.675,43.2226,UP,1
2000-08-10,48.875,47.563,40.4914,48.65,43.4188,UP,1
2000-08-11,49.625,48.5,40.5152,48.775,43.6063,DOWN,0
2000-08-14,49.5,49.625,40.5339,48.8625,43.7988,DOWN,0
2000-08-15,47.25,48.563,40.5399,48.6,43.9651,DOWN,0
2000-08-16,46.188,46.875,40.5477,48.2875,44.0913,DOWN,0
2000-08-17,45.875,45.875,40.5602,47.6875,44.2376,DOWN,0
2000-08-18,45.688,45.938,40.5724,46.9,44.3876,UP,1
2000-08-21,47.75,45.938,40.5942,46.55,44.5588,UP,1
2000-08-22,49.313,47.75,40.6192,46.9625,44.7826,UP,1
2000-08-23,50.563,48.875,40.6511,47.8375,45.0176,UP,1
2000-08-24,53.625,50.25,40.7121,49.3875,45.3138,UP,1
2000-08-25,54.125,53.5,40.7739,51.075,45.5888,DOWN,0
2000-08-28,53.25,53.375,40.8346,52.175,45.8688,DOWN,0
2000-08-29,52.313,52.938,40.8896,52.775,46.1351,UP,1
2000-08-30,52.5,52.125,40.9514,53.1625,46.3988,UP,1
2000-08-31,53.641,52.25,41.0128,53.1656,46.6754,UP,1
2000-09-01,54.75,53.813,41.0737,53.2906,46.9916,UP,1
2000-09-05,55.438,54.0,41.1359,53.7281,47.3029,UP,1
2000-09-06,57.813,55.625,41.2065,54.8281,47.6641,UP,1
2000-09-07,58.5,57.0,41.2896,56.0281,48.0341,DOWN,0
2000-09-08,58.125,58.625,41.3718,56.925,48.3859,UP,1
2000-09-11,58.625,57.875,41.4596,57.7,48.7397,UP,1
2000-09-12,59.0,58.75,41.5493,58.4125,49.0834,UP,1
2000-09-13,59.438,58.875,41.6421,58.7375,49.4384,DOWN,0
2000-09-14,58.375,58.875,41.7309,58.7125,49.7497,DOWN,0
2000-09-15,56.875,57.875,41.8078,58.4625,50.0272,UP,1
2000-09-18,56.938,56.75,41.8918,58.125,50.2909,DOWN,0
2000-09-19,56.75,56.625,41.9737,57.675,50.5659,UP,1
2000-09-20,59.063,57.0,42.0762,57.6,50.8609,UP,1
2000-09-21,60.0,59.5,42.1865,57.925,51.1834,UP,1
2000-09-22,63.5,59.75,42.3178,59.25,51.5622,UP,1
2000-09-25,63.875,63.75,42.4481,60.6375,51.9509,UP,1
2000-09-26,66.063,63.125,42.5828,62.5,52.3928,DOWN,0
2000-09-27,64.563,65.75,42.7146,63.6,52.7816,DOWN,0
2000-09-28,64.5,63.875,42.8446,64.5,53.1541,DOWN,0
2000-09-29,64.5,62.625,42.9734,64.7,53.5228,DOWN,0
2000-10-02,58.438,61.0,43.0671,63.6125,53.7553,UP,1
2000-10-03,59.875,59.0,43.1749,62.375,53.9903,UP,1
2000-10-04,61.125,59.5,43.2885,61.6875,54.2403,UP,1
2000-10-05,61.188,61.063,43.401,61.025,54.5041,DOWN,0
2000-10-06,61.0,61.188,43.5092,60.325,54.7591,DOWN,0
2000-10-09,59.438,60.25,43.6004,60.525,54.9716,UP,1
2000-10-10,59.563,59.625,43.691,60.4625,55.1866,UP,1
2000-10-11,60.188,59.0,43.7854,60.275,55.4166,DOWN,0
2000-10-12,56.125,59.938,43.861,59.2625,55.5416,UP,1
2000-10-13,58.75,56.0,43.9485,58.8125,55.7366,UP,1
2000-10-16,60.188,59.625,44.0423,58.9625,55.9603,UP,1
2000-10-17,60.5,60.188,44.1438,59.15,56.1891,UP,1
2000-10-18,60.75,58.5,44.247,59.2625,56.4328,DOWN,0
2000-10-19,58.438,61.0,44.326,59.725,56.6466,UP,1
2000-10-20,60.0,58.375,44.4107,59.975,56.8691,UP,1
2000-10-23,61.25,60.5,44.4954,60.1875,57.1016,DOWN,0
2000-10-24,61.0,60.875,44.582,60.2875,57.3316,UP,1
2000-10-25,62.563,61.125,44.6804,60.65,57.6378,UP,1
2000-10-26,63.063,62.0,44.7804,61.575,57.9753,UP,1
2000-10-27,63.75,63.063,44.8873,62.325,58.3328,UP,1
2000-10-30,64.688,63.75,44.9907,63.0125,58.7128,UP,1
2000-10-31,67.813,64.688,45.1048,64.375,59.1141,DOWN,0
2000-11-01,65.75,67.563,45.1954,65.0125,59.4428,UP,1
2000-11-02,66.125,65.375,45.2935,65.625,59.7541,DOWN,0
2000-11-03,66.063,66.188,45.3954,66.0875,60.0028,DOWN,0
2000-11-06,66.063,64.438,45.5042,66.3625,60.2416,DOWN,0
2000-11-07,65.188,65.5,45.6017,65.8375,60.4803,DOWN,0
2000-11-08,65.0,65.188,45.6957,65.6875,60.7341,UP,1
2000-11-09,65.688,64.875,45.7988,65.6,60.9978,DOWN,0
2000-11-10,63.5,65.438,45.8932,65.0875,61.195,DOWN,0
2000-11-13,62.813,62.125,45.9848,64.4375,61.3562,UP,1
2000-11-14,64.375,63.063,46.0879,64.275,61.535,DOWN,0
2000-11-15,63.563,63.75,46.1826,63.9875,61.65,UP,1
2000-11-16,65.813,63.563,46.2945,64.0125,61.7962,DOWN,0
2000-11-17,65.375,65.75,46.4013,64.3875,61.9412,UP,1
2000-11-20,65.563,65.0,46.5201,64.9375,62.08,UP,1
2000-11-21,68.625,65.313,46.6582,65.7875,62.2725,DOWN,0
2000-11-22,65.125,68.125,46.7888,66.1,62.3862,UP,1
2000-11-24,65.688,66.0,46.9185,66.075,62.5325,UP,1
2000-11-27,67.375,67.0,47.056,66.475,62.7425,UP,1
2000-11-28,67.5,67.313,47.2023,66.8625,62.9537,UP,1
2000-11-29,69.938,66.438,47.3595,67.125,63.2175,DOWN,0
2000-11-30,69.063,69.438,47.5185,67.9125,63.4175,DOWN,0
2000-12-01,65.813,68.688,47.6601,67.9375,63.5337,DOWN,0
2000-12-04,64.813,65.813,47.8042,67.425,63.56,UP,1
2000-12-05,68.938,65.938,47.9545,67.7125,63.6612,DOWN,0
2000-12-06,67.375,68.938,48.1057,67.2,63.6875,DOWN,0
2000-12-07,66.813,67.125,48.257,66.75,63.7325,UP,1
2000-12-08,69.938,67.563,48.4176,67.575,63.8412,DOWN,0
2000-12-11,68.375,69.688,48.5745,68.2875,63.9187,UP,1
2000-12-12,69.125,68.125,48.7354,68.325,64.1325,DOWN,0
2000-12-13,67.875,68.75,48.8932,68.425,64.2925,DOWN,0
2000-12-14,67.25,67.375,49.0498,68.5125,64.415,DOWN,0
2000-12-15,64.875,65.875,49.1945,67.5,64.4888,UP,1
2000-12-18,68.5,66.0,49.3613,67.525,64.6387,DOWN,0
2000-12-19,66.375,67.875,49.5195,66.975,64.7775,DOWN,0
2000-12-20,65.0,66.125,49.6776,66.4,64.8862,DOWN,0
2000-12-21,64.625,64.75,49.832,65.875,64.975,DOWN,0
2000-12-22,63.438,64.188,49.9873,65.5875,65.1212,DOWN,0
2000-12-26,63.0,63.875,50.1392,64.4875,65.2063,UP,1
2000-12-27,64.063,62.25,50.2942,64.025,65.2838,UP,1
2000-12-28,65.438,64.0,50.447,64.1125,65.3825,UP,1
2000-12-29,66.0,65.875,50.5988,64.3875,65.4875,DOWN,0
2001-01-02,62.0,64.875,50.7188,64.1,65.5587,UP,1
2001-01-03,62.563,60.75,50.8467,64.0125,65.61,DOWN,0
2001-01-04,61.0,64.0,50.9688,63.4,65.605,DOWN,0
2001-01-05,58.75,61.375,51.0813,62.0625,65.56,UP,1
2001-01-08,59.0,58.75,51.2007,60.6625,65.4888,DOWN,0
2001-01-09,58.938,59.0,51.3154,60.05,65.4062,UP,1
2001-01-10,60.375,58.375,51.4317,59.6125,65.3387,DOWN,0
2001-01-11,59.125,60.0,51.5373,59.2375,65.2275,UP,1
2001-01-12,60.625,59.563,51.651,59.6125,65.0838,UP,1
2001-01-16,61.0,59.938,51.7629,60.0125,64.9888,DOWN,0
2001-01-17,58.75,62.438,51.8676,59.975,64.8412,DOWN,0
2001-01-18,57.375,56.5,51.9685,59.375,64.6675,DOWN,0
2001-01-19,55.688,57.375,52.0604,58.6875,64.46,UP,1
2001-01-22,56.0,56.313,52.1601,57.7625,64.2762,UP,1
2001-01-23,57.5,56.938,52.267,57.0625,64.1262,DOWN,0
2001-01-24,57.438,56.875,52.3757,56.8,63.9612,UP,1
2001-01-25,59.25,56.5,52.4967,57.175,63.8762,DOWN,0
2001-01-26,58.063,58.75,52.6085,57.65,63.7812,DOWN,0
2001-01-29,56.46,57.7,52.7027,57.742,63.6229,DOWN,0
2001-01-30,56.15,56.46,52.7985,57.472,63.4747,UP,1
2001-01-31,58.5,56.5,52.9141,57.6845,63.3285,DOWN,0
2001-02-01,56.52,58.0,53.0201,57.1385,63.1513,UP,1
2001-02-02,56.85,56.97,53.1306,56.896,62.9771,UP,1
2001-02-05,57.93,56.73,53.234,57.19,62.7632,DOWN,0
2001-02-06,56.73,57.88,53.3174,57.306,62.5953,UP,1
2001-02-07,57.45,56.95,53.4152,57.096,62.4305,UP,1
2001-02-08,57.51,57.35,53.5078,57.294,62.2332,DOWN,0
2001-02-09,57.34,57.7,53.5948,57.392,62.03,UP,1
2001-02-12,59.07,58.65,53.6911,57.62,61.8127,UP,1
2001-02-13,60.72,59.09,53.7962,58.418,61.6458,DOWN,0
2001-02-14,60.59,61.72,53.9039,59.046,61.5414,DOWN,0
2001-02-15,60.15,60.59,54.0149,59.574,61.4482,DOWN,0
2001-02-16,59.99,59.8,54.1283,60.104,61.2692,UP,1
2001-02-20,61.85,60.35,54.2466,60.66,61.1587,DOWN,0
2001-02-21,60.2,61.85,54.3501,60.556,61.0264,UP,1
2001-02-22,61.28,60.2,54.4653,60.694,60.8533,UP,1
2001-02-23,61.61,60.98,54.5818,60.986,60.718,UP,1
2001-02-26,62.76,61.45,54.7112,61.54,60.5907,UP,1
2001-02-27,63.7,62.3,54.8431,61.91,60.5072,DOWN,0
2001-02-28,62.2,63.8,54.9682,62.31,60.4062,DOWN,0
2001-03-01,59.65,61.85,55.0805,61.984,60.3017,UP,1
2001-03-02,60.1,59.55,55.1941,61.682,60.1337,UP,1
2001-03-05,61.91,59.9,55.3168,61.512,60.0444,UP,1
2001-03-06,62.13,62.05,55.4393,61.198,59.987,UP,1
2001-03-07,64.1,61.95,55.5752,61.578,59.9765,UP,1
2001-03-08,64.75,64.0,55.7161,62.598,60.0027,UP,1
2001-03-09,65.5,64.45,55.858,63.678,60.0527,DOWN,0
2001-03-12,61.0,64.2,55.9686,63.496,59.9915,DOWN,0
2001-03-13,60.57,62.01,56.0796,63.184,59.8941,DOWN,0
2001-03-14,58.02,59.5,56.1784,61.968,59.7345,DOWN,0
2001-03-15,56.1,58.02,56.2611,60.238,59.6165,DOWN,0
2001-03-16,53.75,55.63,56.3345,57.888,59.4403,UP,1
2001-03-19,56.02,54.57,56.4134,56.892,59.3407,DOWN,0
2001-03-20,55.0,56.6,56.489,55.778,59.2657,DOWN,0
2001-03-21,53.85,54.6,56.5636,54.944,59.1627,DOWN,0
2001-03-22,52.0,53.1,56.6242,54.124,59.0239,UP,1
2001-03-23,53.0,52.75,56.6964,53.974,58.8764,UP,1
2001-03-26,55.44,53.55,56.7827,53.858,58.8027,DOWN,0
2001-03-27,55.2,55.31,56.8627,53.898,58.6942,DOWN,0
2001-03-28,55.0,54.6,56.9471,54.128,58.5742,UP,1
2001-03-29,55.95,54.55,57.0328,54.918,58.5182,DOWN,0
2001-03-30,55.71,55.4,57.1173,55.46,58.4849,DOWN,0
2001-04-02,55.02,55.4,57.1905,55.376,58.4716,DOWN,0
2001-04-03,54.61,55.45,57.2673,55.258,58.4438,UP,1
2001-04-04,54.63,54.5,57.3454,55.184,58.3864,UP,1
2001-04-05,56.81,56.0,57.4329,55.356,58.3738,DOWN,0
2001-04-06,55.98,56.0,57.5138,55.41,58.3084,UP,1
2001-04-09,56.87,56.05,57.6034,55.78,58.2846,UP,1
2001-04-10,59.82,58.1,57.7032,56.822,58.3518,DOWN,0
2001-04-11,59.12,60.57,57.8,57.72,58.4112,UP,1
2001-04-12,60.5,58.95,57.9025,58.458,58.4512,DOWN,0
2001-04-16,59.75,60.25,57.9986,59.212,58.5158,UP,1
2001-04-17,60.6,59.75,58.0969,59.958,58.5908,UP,1
2001-04-18,61.3,60.85,58.1943,60.254,58.6582,DOWN,0
2001-04-19,60.63,61.48,58.289,60.556,58.7362,UP,1
2001-04-20,61.7,61.9,58.3835,60.796,58.8212,DOWN,0
2001-04-23,60.14,60.9,58.4692,60.874,58.8738,UP,1
2001-04-24,60.8,60.0,58.5544,60.914,58.943,DOWN,0
2001-04-25,60.34,59.95,58.6411,60.722,58.9684,UP,1
2001-04-26,60.98,60.09,58.7245,60.792,58.9736,UP,1
2001-04-27,61.61,60.92,58.8131,60.774,58.994,UP,1
2001-04-30,61.8,62.4,58.8993,61.106,59.027,UP,1
2001-05-01,63.43,62.7,58.9943,61.632,59.0958,UP,1
2001-05-02,64.0,63.68,59.0945,62.364,59.1388,DOWN,0
2001-05-03,64.0,63.75,59.1888,62.968,59.2148,UP,1
2001-05-04,64.5,63.15,59.282,63.546,59.2792,UP,1
2001-05-07,64.69,64.7,59.3751,64.124,59.3408,DOWN,0
2001-05-08,64.63,64.5,59.4642,64.364,59.3782,UP,1
2001-05-09,65.0,64.05,59.5486,64.564,59.4042,UP,1
2001-05-10,65.95,65.55,59.6352,64.954,59.4792,UP,1
2001-05-11,66.01,65.97,59.7252,65.256,59.6064,UP,1
2001-05-14,66.74,66.0,59.8177,65.666,59.7392,DOWN,0
2001-05-15,66.59,66.02,59.9066,66.058,59.8328,UP,1
2001-05-16,66.75,66.6,59.9963,66.408,59.9252,UP,1
2001-05-17,68.79,66.75,60.0968,66.976,60.019,DOWN,0
2001-05-18,68.35,68.79,60.1891,67.444,60.091,UP,1
2001-05-21,68.69,67.9,60.2876,67.834,60.1548,DOWN,0
2001-05-22,68.0,68.1,60.3826,68.116,60.2948,DOWN,0
2001-05-23,66.0,67.4,60.4673,67.966,60.4034,DOWN,0
2001-05-24,65.2,66.2,60.5505,67.248,60.547,DOWN,0
2001-05-25,63.33,64.9,60.6284,66.244,60.6916,UP,1
2001-05-29,63.53,63.5,60.7016,65.212,60.8872,DOWN,0
2001-05-30,63.05,63.57,60.7688,64.222,61.0278,DOWN,0
2001-05-31,62.89,63.3,60.8357,63.6,61.1856,UP,1
2001-06-01,65.0,63.0,60.9245,63.56,61.4086,UP,1
2001-06-04,66.03,64.9,61.0237,64.1,61.6892,UP,1
2001-06-05,66.93,67.03,61.129,64.78,61.9678,DOWN,0
2001-06-06,66.1,66.15,61.231,65.39,62.181,DOWN,0
2001-06-07,65.65,65.95,61.3205,65.942,62.39,DOWN,0
2001-06-08,64.59,65.625,61.3969,65.86,62.5818,DOWN,0
2001-06-11,64.5,64.59,61.4666,65.554,62.7528,UP,1
2001-06-12,65.71,64.3,61.527,65.31,62.9528,DOWN,0
2001-06-13,65.49,65.6,61.5838,65.188,63.1622,DOWN,0
2001-06-14,63.56,65.49,61.6354,64.77,63.3412,UP,1
2001-06-15,64.25,63.8,61.6951,64.702,63.5336,UP,1
2001-06-18,64.88,64.85,61.757,64.778,63.695,DOWN,0
2001-06-19,61.8,64.7,61.7978,63.996,63.8114,DOWN,0
2001-06-20,61.11,61.8,61.8296,63.12,63.8962,DOWN,0
2001-06-21,57.75,60.0,61.8411,61.958,63.8548,DOWN,0
2001-06-22,57.0,57.75,61.8371,60.508,63.8124,DOWN,0
2001-06-25,56.96,56.95,61.8294,58.924,63.7416,UP,1
2001-06-26,57.02,56.7,61.8239,57.968,63.687,UP,1
2001-06-27,57.7,57.02,61.8192,57.286,63.629,DOWN,0
2001-06-28,57.24,57.3,61.8104,57.184,63.5478,DOWN,0
2001-06-29,55.6,56.89,61.7912,56.904,63.4472,UP,1
2001-07-02,56.36,56.6,61.7812,56.784,63.3404,DOWN,0
2001-07-03,56.33,56.36,61.7784,56.646,63.2642,DOWN,0
2001-07-05,55.23,56.7,61.7699,56.152,63.1528,DOWN,0
2001-07-06,54.3,55.05,61.7577,55.564,63.032,DOWN,0
2001-07-09,52.83,53.85,61.7265,55.01,62.869,UP,1
2001-07-10,54.15,53.73,61.6972,54.568,62.7198,DOWN,0
2001-07-11,52.9,54.0,61.6442,53.882,62.5418,UP,1
2001-07-12,54.5,53.4,61.5974,53.736,62.3632,UP,1
2001-07-13,55.07,54.49,61.5424,53.89,62.1846,UP,1
2001-07-16,55.28,54.62,61.496,54.38,62.0102,UP,1
2001-07-17,56.3,55.4,61.455,54.81,61.8462,UP,1
2001-07-18,57.13,57.6,61.4181,55.656,61.695,DOWN,0
2001-07-19,56.39,57.41,61.4079,56.034,61.5302,UP,1
2001-07-20,56.79,56.39,61.3925,56.378,61.366,DOWN,0
2001-07-23,56.25,57.09,61.3681,56.572,61.172,DOWN,0
