ticker,DG US Equity,DG US Equity,DG US Equity,DG US Equity,DG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2010-03-22,25.01,25.56,25.358,23.8916,,UP,1
2010-03-23,25.18,25.0,25.37,23.9178,,UP,1
2010-03-24,25.25,25.17,25.256,23.9428,,DOWN,0
2010-03-25,24.43,25.44,25.094,23.9524,,UP,1
2010-03-26,24.99,24.59,24.972,23.9662,,UP,1
2010-03-29,25.35,25.23,25.04,23.9892,,UP,1
2010-03-30,25.79,25.5,25.162,24.0178,,DOWN,0
2010-03-31,25.25,26.4,25.162,24.0318,,UP,1
2010-04-01,25.52,25.35,25.38,24.052,,UP,1
2010-04-05,25.8,25.73,25.542,24.0884,,UP,1
2010-04-06,27.01,26.11,25.874,24.1618,,DOWN,0
2010-04-07,26.55,27.02,26.026,24.2258,,DOWN,0
2010-04-08,26.51,26.6,26.278,24.2854,,DOWN,0
2010-04-09,26.47,26.6,26.468,24.3438,,DOWN,0
2010-04-12,26.24,26.45,26.556,24.3918,,UP,1
2010-04-13,27.03,26.25,26.56,24.4626,,UP,1
2010-04-14,27.52,27.15,26.754,24.5456,,DOWN,0
2010-04-15,27.0,27.5,26.852,24.613,,UP,1
2010-04-16,28.6,27.0,27.278,24.7082,,UP,1
2010-04-19,29.01,28.6,27.832,24.839,,DOWN,0
2010-04-20,28.25,29.25,28.076,24.9698,,DOWN,0
2010-04-21,28.19,28.2,28.21,25.0858,,UP,1
2010-04-22,29.53,28.01,28.716,25.2252,,DOWN,0
2010-04-23,29.38,29.67,28.872,25.3718,,UP,1
2010-04-26,29.58,28.55,28.986,25.5222,,DOWN,0
2010-04-27,28.99,29.34,29.134,25.651,,UP,1
2010-04-28,29.01,29.03,29.298,25.7706,,UP,1
2010-04-29,29.13,29.06,29.218,25.898,,DOWN,0
2010-04-30,28.57,29.13,29.056,26.0038,,UP,1
2010-05-03,29.02,28.59,28.944,26.1126,,DOWN,0
2010-05-04,28.64,28.55,28.874,26.2206,,DOWN,0
2010-05-05,28.52,28.29,28.776,26.3182,,DOWN,0
2010-05-06,27.91,28.35,28.532,26.3932,,DOWN,0
2010-05-07,27.19,27.9,28.256,26.461,,UP,1
2010-05-10,27.72,27.9,27.996,26.5376,,UP,1
2010-05-11,27.98,27.31,27.864,26.6154,,UP,1
2010-05-12,29.36,28.28,28.032,26.7218,,UP,1
2010-05-13,29.44,29.36,28.338,26.8308,,DOWN,0
2010-05-14,29.27,29.39,28.754,26.9322,,UP,1
2010-05-17,29.45,29.36,29.1,27.0308,,DOWN,0
2010-05-18,29.29,29.71,29.362,27.1232,,UP,1
