ticker,NVR US Equity,NVR US Equity,NVR US Equity,NVR US Equity,NVR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,44.188,45.5,50.0003,45.125,46.1463,DOWN,0
2000-02-10,42.25,44.125,49.9741,44.7,46.0188,UP,1
2000-02-11,42.5,42.25,49.9453,44.1375,45.8763,UP,1
2000-02-14,42.75,42.375,49.9184,43.5125,45.7913,UP,1
2000-02-15,43.375,42.75,49.89,43.0125,45.7263,UP,1
2000-02-16,43.875,43.625,49.86,42.95,45.6775,UP,1
2000-02-17,44.125,43.75,49.8397,43.325,45.6563,DOWN,0
2000-02-18,43.188,44.0,49.8109,43.4625,45.6188,DOWN,0
2000-02-22,42.875,43.0,49.7806,43.4875,45.5788,UP,1
2000-02-23,43.5,42.75,49.7522,43.5125,45.5588,UP,1
2000-02-24,44.625,43.5,49.7291,43.6625,45.5675,DOWN,0
2000-02-25,44.125,44.375,49.705,43.6625,45.58,DOWN,0
2000-02-28,44.125,44.0,49.6813,43.85,45.5975,DOWN,0
2000-02-29,44.125,44.25,49.6613,44.1,45.6188,UP,1
2000-03-01,44.375,44.125,49.6406,44.275,45.6375,UP,1
2000-03-02,44.5,44.313,49.6156,44.25,45.6475,DOWN,0
2000-03-03,44.188,44.75,49.5916,44.2625,45.6513,UP,1
2000-03-06,44.625,44.063,49.5666,44.3625,45.6813,DOWN,0
2000-03-07,44.375,44.875,49.5403,44.4125,45.6888,DOWN,0
2000-03-08,44.125,44.25,49.5184,44.3625,45.6638,UP,1
2000-03-09,44.75,44.531,49.5041,44.4125,45.6375,DOWN,0
2000-03-10,44.625,44.625,49.4872,44.5,45.605,DOWN,0
2000-03-13,44.375,44.563,49.47,44.45,45.5475,UP,1
2000-03-14,44.563,44.25,49.4522,44.4875,45.4838,DOWN,0
2000-03-15,44.563,44.531,49.4319,44.575,45.4438,UP,1
2000-03-16,46.75,44.531,49.4209,44.975,45.4588,UP,1
2000-03-17,49.5,46.75,49.4166,45.95,45.5313,UP,1
2000-03-20,50.5,49.5,49.4094,47.175,45.6238,UP,1
2000-03-21,51.75,50.25,49.4125,48.6125,45.7238,UP,1
2000-03-22,54.563,51.813,49.4316,50.6125,45.8675,DOWN,0
2000-03-23,54.125,54.313,49.4534,52.0875,46.0,DOWN,0
2000-03-24,53.813,54.125,49.4756,52.95,46.12,DOWN,0
2000-03-27,53.125,53.563,49.4953,53.475,46.205,DOWN,0
2000-03-28,52.063,53.0,49.5194,53.5375,46.27,DOWN,0
2000-03-29,51.813,51.75,49.5403,52.9875,46.3513,UP,1
2000-03-30,54.0,51.625,49.5709,52.9625,46.4763,DOWN,0
2000-03-31,54.0,54.75,49.5997,53.0,46.5913,UP,1
2000-04-03,54.25,54.25,49.6256,53.225,46.705,UP,1
2000-04-04,54.438,54.0,49.6488,53.7,46.8188,UP,1
2000-04-05,54.875,54.25,49.6694,54.3125,46.9313,UP,1
2000-04-06,55.813,55.125,49.6959,54.675,47.075,UP,1
2000-04-07,55.875,55.875,49.7222,55.05,47.25,DOWN,0
2000-04-10,55.375,55.813,49.7472,55.275,47.43,DOWN,0
2000-04-11,55.0,55.5,49.7697,55.3875,47.625,DOWN,0
2000-04-12,54.813,54.75,49.7909,55.375,47.8237,DOWN,0
2000-04-13,54.75,54.75,49.8038,55.1625,48.0263,DOWN,0
2000-04-14,53.813,54.5,49.8131,54.75,48.215,DOWN,0
2000-04-17,52.75,53.75,49.8162,54.225,48.3638,DOWN,0
2000-04-18,52.75,52.625,49.8222,53.775,48.5013,UP,1
2000-04-19,52.813,52.5,49.8281,53.375,48.64,UP,1
2000-04-20,53.188,52.813,49.8353,53.0625,48.82,UP,1
2000-04-24,53.625,53.188,49.8422,53.025,49.0475,DOWN,0
2000-04-25,53.5,53.75,49.8447,53.175,49.2675,UP,1
2000-04-26,59.0,55.0,49.875,54.425,49.5925,DOWN,0
2000-04-27,59.0,58.625,49.9025,55.6625,49.905,UP,1
2000-04-28,62.0,58.875,49.9394,57.425,50.2675,UP,1
2000-05-01,63.25,62.5,49.9794,59.35,50.65,DOWN,0
2000-05-02,62.0,63.25,50.0059,61.05,51.0263,DOWN,0
2000-05-03,61.0,61.625,50.0219,61.45,51.3888,UP,1
2000-05-04,61.625,61.25,50.0447,61.975,51.7513,UP,1
2000-05-05,62.5,61.75,50.0747,62.075,52.1088,DOWN,0
2000-05-08,62.313,62.125,50.1044,61.8875,52.4725,UP,1
2000-05-09,62.625,62.188,50.1378,62.0125,52.8425,DOWN,0
2000-05-10,62.375,62.5,50.1706,62.2875,53.2075,DOWN,0
2000-05-11,62.375,62.25,50.205,62.4375,53.5675,DOWN,0
2000-05-12,62.375,62.375,50.245,62.4125,53.925,DOWN,0
2000-05-15,61.938,62.125,50.2734,62.3375,54.28,DOWN,0
2000-05-16,61.75,61.5,50.3103,62.1625,54.6225,DOWN,0
2000-05-17,61.25,62.0,50.3438,61.9375,54.96,DOWN,0
2000-05-18,60.25,60.75,50.3684,61.5125,55.2825,DOWN,0
2000-05-19,59.188,60.5,50.3881,60.875,55.5713,DOWN,0
2000-05-22,57.313,59.0,50.3984,59.95,55.825,DOWN,0
2000-05-23,56.875,57.563,50.4078,58.975,56.075,DOWN,0
2000-05-24,56.25,56.625,50.4119,57.975,56.3088,DOWN,0
2000-05-25,55.5,56.25,50.4094,57.025,56.5275,DOWN,0
2000-05-26,55.125,55.5,50.4031,56.2125,56.695,UP,1
2000-05-30,55.75,55.188,50.3984,55.9,56.82,DOWN,0
2000-05-31,55.0,55.75,50.3919,55.525,56.91,UP,1
2000-06-01,55.125,55.125,50.3862,55.3,56.9775,UP,1
2000-06-02,55.688,55.375,50.3797,55.3375,57.0,UP,1
2000-06-05,56.313,55.938,50.375,55.575,57.0438,UP,1
2000-06-06,56.75,56.25,50.3728,55.775,57.1025,DOWN,0
2000-06-07,56.563,56.75,50.3706,56.0875,57.1713,UP,1
2000-06-08,56.688,56.813,50.3684,56.4,57.2638,DOWN,0
2000-06-09,55.5,56.375,50.3584,56.3625,57.3375,DOWN,0
2000-06-12,54.813,55.0,50.3456,56.0625,57.3538,UP,1
2000-06-13,55.375,54.688,50.3347,55.7875,57.3813,UP,1
2000-06-14,55.625,55.625,50.3244,55.6,57.4088,UP,1
2000-06-15,56.25,55.625,50.3169,55.5125,57.445,DOWN,0
2000-06-16,55.375,56.0,50.3072,55.4875,57.455,UP,1
2000-06-19,55.875,55.25,50.3019,55.7,57.4563,DOWN,0
2000-06-20,55.125,55.938,50.2925,55.65,57.4413,DOWN,0
2000-06-21,55.063,55.25,50.2916,55.5375,57.435,DOWN,0
2000-06-22,54.25,55.063,50.2875,55.1375,57.42,UP,1
2000-06-23,54.5,54.125,50.2847,54.9625,57.4138,UP,1
2000-06-26,55.25,54.375,50.2856,54.8375,57.4238,UP,1
2000-06-27,56.438,55.375,50.2903,55.1,57.4763,UP,1
2000-06-28,57.75,56.375,50.3009,55.6375,57.5763,UP,1
2000-06-29,58.625,57.75,50.3172,56.5125,57.6938,DOWN,0
2000-06-30,57.0,58.375,50.3278,57.0125,57.7775,UP,1
2000-07-03,57.375,57.0,50.3403,57.4375,57.8613,UP,1
2000-07-05,57.875,57.5,50.3553,57.725,57.9463,UP,1
2000-07-06,59.0,57.875,50.3766,57.975,58.0563,UP,1
2000-07-07,60.938,59.0,50.4094,58.4375,58.095,DOWN,0
2000-07-10,60.125,60.938,50.4397,59.0625,58.1175,DOWN,0
2000-07-11,59.875,59.875,50.4691,59.5625,58.075,DOWN,0
2000-07-12,59.375,59.625,50.4953,59.8625,57.9975,UP,1
2000-07-13,59.688,59.25,50.5269,60.0,57.9513,UP,1
2000-07-14,59.75,59.813,50.5638,59.7625,57.9263,UP,1
2000-07-17,59.813,60.0,50.6103,59.7,57.89,DOWN,0
2000-07-18,59.75,59.938,50.6547,59.675,57.835,UP,1
2000-07-19,60.0,59.625,50.7003,59.8,57.7888,UP,1
2000-07-20,61.813,60.25,50.7563,60.225,57.7725,DOWN,0
2000-07-21,61.375,61.875,50.8144,60.55,57.7525,DOWN,0
2000-07-24,61.125,61.5,50.8725,60.8125,57.7275,DOWN,0
2000-07-25,59.875,61.375,50.9219,60.8375,57.6775,DOWN,0
2000-07-26,59.0,60.0,50.9675,60.6375,57.6188,UP,1
2000-07-27,59.25,59.0,51.0106,60.125,57.5688,UP,1
2000-07-28,59.938,59.375,51.0559,59.8375,57.5425,UP,1
2000-07-31,61.625,60.0,51.1109,59.9375,57.57,UP,1
2000-08-01,62.125,61.375,51.1719,60.3875,57.6288,UP,1
2000-08-02,63.75,62.188,51.245,61.3375,57.7575,UP,1
2000-08-03,64.0,63.5,51.3244,62.2875,57.9,UP,1
2000-08-04,66.375,64.25,51.43,63.575,58.1025,UP,1
2000-08-07,72.5,66.125,51.5688,65.75,58.4425,UP,1
2000-08-08,72.625,72.5,51.7163,67.85,58.7925,DOWN,0
2000-08-09,70.75,72.375,51.8563,69.25,59.0925,DOWN,0
2000-08-10,69.5,70.5,51.9938,70.35,59.3825,UP,1
2000-08-11,72.0,69.25,52.1638,71.475,59.72,UP,1
2000-08-14,73.938,72.0,52.3409,71.7625,60.085,DOWN,0
2000-08-15,70.625,73.813,52.4891,71.3625,60.3713,UP,1
2000-08-16,71.0,71.0,52.6272,71.4125,60.6563,DOWN,0
2000-08-17,70.625,70.75,52.7522,71.6375,60.9375,UP,1
2000-08-18,71.0,70.75,52.8766,71.4375,61.2238,UP,1
2000-08-21,71.813,71.25,53.0034,71.0125,61.55,DOWN,0
2000-08-22,71.125,71.813,53.1234,71.1125,61.8763,DOWN,0
2000-08-23,69.75,71.125,53.2366,70.8625,62.1638,UP,1
2000-08-24,70.125,70.0,53.3513,70.7625,62.4538,DOWN,0
2000-08-25,69.625,70.188,53.46,70.4875,62.7213,UP,1
2000-08-28,70.125,69.875,53.5694,70.15,63.0163,UP,1
2000-08-29,70.625,70.25,53.6813,70.05,63.3113,UP,1
2000-08-30,71.375,70.688,53.7963,70.375,63.6363,UP,1
2000-08-31,73.5,71.25,53.9188,71.05,64.005,DOWN,0
2000-09-01,72.0,73.875,54.0297,71.525,64.36,UP,1
2000-09-05,72.25,72.125,54.1413,71.95,64.715,UP,1
2000-09-06,73.438,72.0,54.2578,72.5125,65.0788,UP,1
2000-09-07,75.313,73.875,54.3878,73.3,65.4563,UP,1
2000-09-08,77.125,75.5,54.5325,74.025,65.8438,UP,1
2000-09-11,78.25,77.375,54.6816,75.275,66.2363,UP,1
2000-09-12,78.75,78.5,54.8319,76.575,66.6713,UP,1
2000-09-13,78.875,78.5,54.9822,77.6625,67.1012,DOWN,0
2000-09-14,78.25,79.125,55.1303,78.25,67.5088,UP,1
2000-09-15,78.313,78.0,55.2738,78.4875,67.895,DOWN,0
2000-09-18,77.563,78.313,55.4266,78.35,68.2275,DOWN,0
2000-09-19,77.563,77.438,55.5813,78.1125,68.5763,UP,1
2000-09-20,79.813,77.563,55.7488,78.3,68.975,DOWN,0
2000-09-21,79.688,79.813,55.9213,78.5875,69.3813,DOWN,0
2000-09-22,78.75,79.313,56.0897,78.675,69.7625,UP,1
2000-09-25,79.15,78.3,56.2611,78.9925,70.1505,DOWN,0
2000-09-26,79.0,78.95,56.4336,79.28,70.5343,UP,1
2000-09-27,79.25,79.025,56.6089,79.1675,70.9243,UP,1
2000-09-28,80.75,79.1,56.7951,79.38,71.3393,UP,1
2000-09-29,81.0,81.25,56.9839,79.83,71.723,UP,1
2000-10-02,81.53,81.25,57.1762,80.306,72.1261,DOWN,0
2000-10-03,81.44,81.75,57.3662,80.794,72.5324,DOWN,0
2000-10-04,79.5,81.2,57.5437,80.844,72.9249,DOWN,0
2000-10-05,79.1,79.5,57.7192,80.514,73.3269,DOWN,0
2000-10-06,76.5,79.6,57.8861,79.614,73.6719,DOWN,0
2000-10-09,76.0,76.0,58.0461,78.508,73.9932,UP,1
2000-10-10,78.08,76.25,58.2096,77.836,74.3223,UP,1
2000-10-11,79.8,78.25,58.3783,77.896,74.6758,DOWN,0
2000-10-12,79.41,80.1,58.5441,77.958,74.989,DOWN,0
2000-10-13,79.26,79.41,58.7042,78.51,75.2942,UP,1
2000-10-16,80.1,79.5,58.8659,79.33,75.5687,UP,1
2000-10-17,80.13,80.5,59.0338,79.74,75.7213,DOWN,0
2000-10-18,79.51,80.13,59.2013,79.682,75.859,UP,1
2000-10-19,80.55,79.28,59.3747,79.91,76.055,UP,1
2000-10-20,82.4,81.0,59.5573,80.538,76.313,UP,1
2000-10-23,83.5,82.65,59.7411,81.218,76.543,UP,1
2000-10-24,85.0,83.5,59.9292,82.192,76.7642,UP,1
2000-10-25,87.21,86.0,60.1277,83.732,77.0959,UP,1
2000-10-26,88.93,88.0,60.3333,85.408,77.4545,UP,1
2000-10-27,95.25,89.0,60.5652,87.978,77.947,UP,1
2000-10-30,99.92,96.5,60.8207,91.262,78.5254,UP,1
2000-10-31,103.4,99.92,61.099,94.942,79.1572,DOWN,0
2000-11-01,100.59,103.4,61.3632,97.618,79.7465,UP,1
2000-11-02,100.84,101.5,61.6261,100.0,80.3683,UP,1
2000-11-03,102.97,100.84,61.8982,101.544,81.0252,UP,1
2000-11-06,103.25,104.95,62.1707,102.21,81.6977,UP,1
2000-11-07,104.73,103.5,62.4481,102.476,82.3898,DOWN,0
2000-11-08,103.26,103.73,62.7212,103.01,83.0425,DOWN,0
2000-11-09,102.0,102.26,62.9956,103.242,83.655,DOWN,0
2000-11-10,96.18,102.0,63.2446,101.884,84.1086,UP,1
2000-11-13,96.6,96.18,63.5014,100.554,84.6006,UP,1
2000-11-14,102.0,98.0,63.787,100.008,85.1956,DOWN,0
2000-11-15,100.45,99.75,64.0661,99.446,85.7358,DOWN,0
2000-11-16,94.44,100.97,64.3165,97.934,86.1184,UP,1
2000-11-17,96.5,95.44,64.5724,97.998,86.5059,DOWN,0
2000-11-20,91.25,97.0,64.7993,96.928,86.7659,DOWN,0
2000-11-21,87.46,91.18,65.0072,94.02,86.9401,DOWN,0
2000-11-22,81.75,87.7,65.195,90.28,86.9976,UP,1
2000-11-24,86.5,82.21,65.4163,88.692,87.1626,UP,1
2000-11-27,90.08,86.75,65.6542,87.408,87.3979,DOWN,0
2000-11-28,89.2,90.33,65.8864,86.998,87.6307,UP,1
2000-11-29,93.3,89.2,66.136,88.166,87.9454,DOWN,0
2000-11-30,91.0,93.3,66.3717,90.016,88.1692,UP,1
2000-12-01,92.38,90.5,66.6129,91.192,88.423,DOWN,0
2000-12-04,92.15,92.0,66.8577,91.606,88.691,UP,1
2000-12-05,103.98,92.15,67.1633,94.562,89.1876,DOWN,0
2000-12-06,98.0,103.0,67.4358,95.502,89.5676,UP,1
2000-12-07,101.0,98.0,67.7176,97.502,90.0026,UP,1
2000-12-08,107.75,101.0,68.0358,100.576,90.5426,UP,1
2000-12-11,109.65,109.0,68.3634,104.076,91.1156,DOWN,0
2000-12-12,99.5,109.65,68.6403,103.18,91.475,UP,1
2000-12-13,106.4,100.5,68.9504,104.86,91.9742,DOWN,0
2000-12-14,102.28,106.5,69.2393,105.116,92.4298,UP,1
2000-12-15,103.75,102.28,69.5371,104.316,92.9228,UP,1
2000-12-18,108.99,104.75,69.8589,104.184,93.5726,DOWN,0
2000-12-19,106.05,108.99,70.1673,105.494,94.1736,DOWN,0
2000-12-20,101.2,106.5,70.4527,104.454,94.636,UP,1
2000-12-21,105.46,101.25,70.7562,105.09,95.1492,UP,1
2000-12-22,107.0,105.65,71.0681,105.74,95.701,UP,1
2000-12-26,113.05,107.25,71.4115,106.552,96.3768,UP,1
2000-12-27,122.4,113.2,71.8007,109.822,97.2228,UP,1
2000-12-28,124.6,123.5,72.2009,114.502,98.1122,DOWN,0
2000-12-29,123.6,124.85,72.5851,118.13,98.994,DOWN,0
2001-01-02,116.6,123.6,72.9206,120.05,99.715,UP,1
2001-01-03,119.6,115.6,73.2661,121.36,100.459,UP,1
2001-01-04,121.0,119.6,73.6124,121.08,101.209,UP,1
2001-01-05,124.5,121.0,73.962,121.06,101.999,UP,1
2001-01-08,132.98,129.5,74.3563,122.936,102.9144,DOWN,0
2001-01-09,131.5,135.0,74.7448,125.916,103.7658,DOWN,0
2001-01-10,127.75,131.5,75.1179,127.546,104.4158,DOWN,0
2001-01-11,125.1,126.1,75.4831,128.366,104.9194,UP,1
2001-01-12,127.52,125.1,75.8616,128.97,105.4018,DOWN,0
2001-01-16,125.0,126.5,76.2166,127.374,105.89,UP,1
2001-01-17,127.75,125.25,76.5854,126.624,106.4282,DOWN,0
2001-01-18,127.75,127.99,76.9529,126.624,106.9238,DOWN,0
2001-01-19,118.5,127.25,77.2732,125.304,107.2288,DOWN,0
2001-01-22,109.4,118.25,77.5458,121.68,107.3222,UP,1
2001-01-23,114.25,108.0,77.838,119.53,107.542,UP,1
2001-01-24,115.33,114.25,78.1353,117.046,107.8086,UP,1
2001-01-25,115.8,114.5,78.4374,114.656,108.201,DOWN,0
2001-01-26,114.1,115.5,78.7329,113.776,108.551,DOWN,0
2001-01-29,113.75,113.5,79.0276,114.646,108.786,UP,1
2001-01-30,113.85,113.75,79.3231,114.566,109.054,UP,1
2001-01-31,115.0,114.5,79.629,114.5,109.4652,UP,1
2001-02-01,118.0,115.25,79.9553,114.94,109.8952,DOWN,0
2001-02-02,114.37,118.5,80.2634,114.994,110.3576,UP,1
2001-02-05,123.0,113.5,80.6143,116.844,111.0684,UP,1
2001-02-06,133.4,123.0,81.0154,120.754,112.1014,UP,1
2001-02-07,133.51,132.75,81.4148,124.456,113.0416,DOWN,0
2001-02-08,131.5,133.1,81.8048,127.156,113.87,DOWN,0
2001-02-09,129.4,131.0,82.1568,130.162,114.674,UP,1
2001-02-12,139.0,128.5,82.5568,133.362,115.588,DOWN,0
2001-02-13,138.25,139.5,82.938,134.332,116.533,UP,1
2001-02-14,144.0,138.25,83.3418,136.43,117.5654,UP,1
2001-02-15,147.75,144.0,83.7705,139.68,118.6774,DOWN,0
2001-02-16,142.6,147.0,84.1785,142.32,119.4498,DOWN,0
2001-02-20,138.7,143.5,84.5639,142.26,120.2638,DOWN,0
2001-02-21,137.25,137.5,84.9377,142.06,120.9888,DOWN,0
2001-02-22,135.0,137.25,85.3011,140.26,121.5338,UP,1
2001-02-23,135.75,134.0,85.6667,137.86,122.0558,UP,1
2001-02-26,144.75,136.0,86.0786,138.29,122.9608,UP,1
2001-02-27,145.75,144.75,86.4955,139.7,123.7478,UP,1
2001-02-28,146.0,145.5,86.9136,141.45,124.6222,UP,1
2001-03-01,147.0,145.5,87.3389,143.85,125.4872,UP,1
2001-03-02,152.93,147.25,87.7948,147.286,126.366,UP,1
2001-03-05,155.5,157.0,88.2661,149.436,127.355,UP,1
2001-03-06,163.42,157.0,88.7819,152.97,128.5994,DOWN,0
2001-03-07,162.45,163.42,89.2982,156.26,129.7392,DOWN,0
2001-03-08,158.03,163.0,89.8018,158.466,130.7598,DOWN,0
2001-03-09,158.03,157.1,90.3076,159.486,131.6594,DOWN,0
2001-03-12,151.5,158.03,90.7838,158.686,132.2414,UP,1
2001-03-13,154.0,151.5,91.2763,156.802,132.8294,DOWN,0
2001-03-14,150.25,153.5,91.752,154.362,133.3624,UP,1
2001-03-15,154.05,150.0,92.2435,153.566,134.1114,DOWN,0
2001-03-16,150.7,154.5,92.722,152.1,134.7334,UP,1
2001-03-19,154.0,150.2,93.2163,152.6,135.3934,DOWN,0
2001-03-20,154.0,154.0,93.7079,152.6,135.9834,UP,1
2001-03-21,156.0,156.0,94.2063,153.75,136.4438,DOWN,0
2001-03-22,156.0,155.5,94.7026,154.14,136.9338,UP,1
2001-03-23,159.95,156.5,95.2195,155.99,137.5778,UP,1
2001-03-26,166.0,162.5,95.7661,158.39,138.3958,UP,1
2001-03-27,166.2,166.0,96.3196,160.83,139.1694,DOWN,0
2001-03-28,165.6,166.0,96.8735,162.75,139.9814,UP,1
2001-03-29,170.0,165.15,97.4466,165.55,140.8264,DOWN,0
2001-03-30,163.0,171.0,97.9835,166.16,141.5314,DOWN,0
2001-04-02,160.5,163.5,98.5048,165.06,142.3714,UP,1
2001-04-03,163.0,162.0,99.0429,164.42,143.4434,UP,1
2001-04-04,165.5,164.75,99.591,164.4,144.4684,UP,1
2001-04-05,167.2,166.5,100.1514,163.84,145.5058,DOWN,0
2001-04-06,166.0,166.5,100.7061,164.44,146.5098,DOWN,0
2001-04-09,165.8,164.75,101.2638,165.5,147.5438,UP,1
2001-04-10,167.75,165.81,101.8301,166.45,148.6238,DOWN,0
2001-04-11,166.75,169.0,102.3876,166.7,149.6818,UP,1
2001-04-12,168.49,166.75,102.9478,166.958,150.7516,DOWN,0
2001-04-16,165.7,167.0,103.4876,166.898,151.7056,DOWN,0
2001-04-17,165.0,165.0,104.0195,166.738,152.7182,UP,1
2001-04-18,168.75,163.5,104.5782,166.938,153.6332,UP,1
2001-04-19,175.6,170.0,105.1693,168.708,154.4772,DOWN,0
2001-04-20,170.6,177.5,105.733,169.13,155.219,UP,1
2001-04-23,174.5,169.5,106.3105,170.89,156.079,UP,1
2001-04-24,183.0,177.0,106.9208,174.49,157.151,UP,1
2001-04-25,192.75,185.0,107.5839,179.29,158.226,DOWN,0
2001-04-26,190.25,192.75,108.2358,182.22,159.266,UP,1
2001-04-27,196.0,190.25,108.9189,187.3,160.306,DOWN,0
2001-04-30,190.62,199.9,109.5736,190.524,161.1634,DOWN,0
2001-05-01,189.5,190.62,110.2223,191.824,162.1014,DOWN,0
2001-05-02,189.0,190.5,110.8683,191.074,163.1074,DOWN,0
2001-05-03,185.0,187.5,111.4945,190.024,164.0624,UP,1
2001-05-04,185.25,183.0,112.1208,187.874,165.0674,UP,1
2001-05-07,192.13,186.0,112.7723,188.176,166.195,UP,1
2001-05-08,197.0,193.5,113.4505,189.676,167.24,DOWN,0
2001-05-09,194.5,196.5,114.1173,190.776,168.215,UP,1
2001-05-10,203.0,196.5,114.833,194.376,169.355,DOWN,0
2001-05-11,192.6,203.0,115.501,195.846,170.267,UP,1
2001-05-14,201.0,192.6,116.2097,197.62,171.2284,DOWN,0
2001-05-15,200.0,197.5,116.91,198.22,172.1184,DOWN,0
2001-05-16,197.5,196.5,117.5894,198.82,172.8,DOWN,0
2001-05-17,195.5,195.5,118.2563,197.32,173.461,DOWN,0
2001-05-18,194.95,194.5,118.9123,197.79,174.1994,DOWN,0
2001-05-21,186.03,194.95,119.5224,194.796,174.7594,DOWN,0
2001-05-22,182.5,185.0,120.1031,191.296,175.3794,DOWN,0
2001-05-23,180.0,182.5,120.6406,187.796,175.8994,UP,1
2001-05-24,183.5,180.5,121.1949,185.396,176.5644,DOWN,0
2001-05-25,177.49,182.0,121.7286,181.904,177.0332,DOWN,0
2001-05-29,166.12,175.0,122.2117,177.922,177.3416,UP,1
2001-05-30,170.55,163.0,122.7045,175.532,177.6726,UP,1
2001-05-31,172.51,170.55,123.1973,174.034,178.0428,DOWN,0
2001-06-01,170.0,171.5,123.6942,171.334,178.3228,DOWN,0
2001-06-04,166.0,168.0,124.1692,169.036,178.5228,DOWN,0
2001-06-05,164.0,164.5,124.6361,168.612,178.6038,DOWN,0
2001-06-06,151.15,162.5,125.0368,164.732,178.3068,UP,1
2001-06-07,151.5,151.15,125.4353,160.53,178.0128,UP,1
2001-06-08,158.0,153.0,125.8697,158.13,177.8608,DOWN,0
2001-06-11,153.63,156.0,126.2891,155.656,177.5334,DOWN,0
2001-06-12,150.0,151.65,126.6884,152.856,177.2734,DOWN,0
2001-06-13,150.0,150.0,127.0903,152.626,177.0634,DOWN,0
2001-06-14,145.5,149.5,127.4672,151.426,176.7134,DOWN,0
2001-06-15,141.0,144.5,127.8191,148.026,176.2234,DOWN,0
2001-06-18,140.9,141.0,128.1667,145.48,175.6974,UP,1
2001-06-19,143.0,140.25,128.5142,144.08,175.2374,UP,1
2001-06-20,148.05,145.0,128.8944,143.69,174.8824,UP,1
2001-06-21,153.85,150.5,129.3024,145.36,174.6044,DOWN,0
2001-06-22,152.4,157.0,129.6972,147.64,174.3174,UP,1
2001-06-25,153.0,154.0,130.0857,150.06,174.0076,DOWN,0
2001-06-26,152.56,152.75,130.4629,151.972,173.7448,UP,1
2001-06-27,153.0,153.0,130.8366,152.962,173.5048,UP,1
2001-06-28,157.5,153.75,131.2304,153.692,173.2798,DOWN,0
2001-06-29,148.0,157.5,131.576,152.812,172.7278,UP,1
2001-07-02,151.25,150.0,131.941,152.462,172.3408,UP,1
2001-07-03,152.65,150.0,132.3127,152.48,171.9038,UP,1
2001-07-05,157.5,153.0,132.7124,153.38,171.3938,DOWN,0
2001-07-06,157.25,158.0,133.1108,153.33,170.6838,DOWN,0
2001-07-09,152.05,156.0,133.472,154.14,169.9198,DOWN,0
2001-07-10,151.95,152.5,133.8333,154.28,169.0388,UP,1
2001-07-11,155.0,152.25,134.2145,154.75,168.3264,UP,1
2001-07-12,158.8,155.5,134.6128,155.01,167.7124,UP,1
2001-07-13,163.75,159.48,135.0365,156.31,167.2074,DOWN,0
2001-07-16,162.91,164.5,135.4548,158.482,166.7656,UP,1
2001-07-17,166.3,162.75,135.8826,161.352,166.3866,UP,1
2001-07-18,169.5,169.0,136.3251,164.252,165.934,UP,1
2001-07-19,175.0,170.3,136.7924,167.492,165.494,UP,1
2001-07-20,176.5,176.5,137.2677,170.042,165.134,DOWN,0
2001-07-23,173.5,174.5,137.7377,172.16,164.544,DOWN,0
2001-07-24,167.75,175.25,138.181,172.45,164.047,DOWN,0
2001-07-25,167.5,167.1,138.636,172.05,163.377,DOWN,0
2001-07-26,166.0,167.5,139.086,170.25,162.697,UP,1
