ticker,SBUX US Equity,SBUX US Equity,SBUX US Equity,SBUX US Equity,SBUX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,4.375,4.2813,3.4562,4.1719,3.3516,DOWN,0
2000-02-09,4.3125,4.3516,3.4534,4.2391,3.3711,DOWN,0
2000-02-10,4.0,4.3125,3.4506,4.2531,3.3847,UP,1
2000-02-11,4.1094,3.9844,3.4487,4.2156,3.4005,UP,1
2000-02-14,4.2422,4.1719,3.4469,4.2078,3.4161,UP,1
2000-02-15,4.3281,4.2422,3.4451,4.1984,3.4331,DOWN,0
2000-02-16,4.2734,4.3281,3.4437,4.1906,3.4513,UP,1
2000-02-17,4.3281,4.2969,3.4419,4.2563,3.4702,DOWN,0
2000-02-18,4.1406,4.3203,3.4406,4.2625,3.4884,UP,1
2000-02-22,4.1484,4.1094,3.4397,4.2438,3.5113,UP,1
2000-02-23,4.3594,4.1172,3.4383,4.25,3.5352,UP,1
2000-02-24,4.3828,4.3594,3.436,4.2719,3.5595,DOWN,0
2000-02-25,4.2188,4.3516,3.4323,4.25,3.582,UP,1
2000-02-28,4.2578,4.1875,3.4294,4.2734,3.6041,UP,1
2000-02-29,4.3906,4.2188,3.4272,4.3219,3.6288,DOWN,0
2000-03-01,4.3438,4.3906,3.4243,4.3188,3.6503,DOWN,0
2000-03-02,4.1563,4.3203,3.4221,4.2734,3.6684,UP,1
2000-03-03,4.6484,4.2031,3.4222,4.3594,3.6972,DOWN,0
2000-03-06,4.4844,4.6152,3.422,4.4047,3.7231,DOWN,0
2000-03-07,4.2656,4.4922,3.4204,4.3797,3.7453,DOWN,0
2000-03-08,4.2344,4.2578,3.4201,4.3578,3.7678,UP,1
2000-03-09,4.5156,4.2188,3.4215,4.4297,3.7952,DOWN,0
2000-03-10,4.4531,4.4609,3.421,4.3906,3.8225,DOWN,0
2000-03-13,4.3438,4.3203,3.4204,4.3625,3.8491,DOWN,0
2000-03-14,4.1797,4.373,3.4183,4.3453,3.872,UP,1
2000-03-15,4.3984,4.1563,3.4183,4.3781,3.8984,UP,1
2000-03-16,4.7969,4.3984,3.4187,4.4344,3.9346,DOWN,0
2000-03-17,4.6328,4.6875,3.4194,4.4703,3.9668,DOWN,0
2000-03-20,4.3984,4.5625,3.4189,4.4813,3.9921,UP,1
2000-03-21,4.875,4.4219,3.4207,4.6203,4.0273,UP,1
2000-03-22,4.8906,4.7969,3.423,4.7188,4.0601,UP,1
2000-03-23,4.9219,4.8281,3.4259,4.7438,4.0954,DOWN,0
2000-03-24,4.8281,4.9531,3.4279,4.7828,4.1287,UP,1
2000-03-27,4.8906,4.8516,3.4305,4.8813,4.1587,DOWN,0
2000-03-28,4.7422,4.9063,3.4322,4.8547,4.1874,UP,1
2000-03-29,4.9609,4.7656,3.4341,4.8688,4.2215,UP,1
2000-03-30,4.9688,4.9063,3.4356,4.8781,4.2571,UP,1
2000-03-31,5.6016,4.9766,3.4404,5.0328,4.3065,DOWN,0
2000-04-03,5.1797,5.0234,3.4432,5.0906,4.3477,UP,1
2000-04-04,5.4297,5.1406,3.4463,5.2281,4.3948,DOWN,0
2000-04-05,4.9453,5.3281,3.4484,5.225,4.4288,DOWN,0
2000-04-06,4.6953,4.9922,3.4483,5.1703,4.4502,UP,1
2000-04-07,5.0078,4.75,3.4504,5.0516,4.4781,DOWN,0
2000-04-10,4.5781,5.0313,3.4511,4.9313,4.4952,UP,1
2000-04-11,4.7422,4.5781,3.4534,4.7938,4.51,DOWN,0
2000-04-12,4.7031,4.7461,3.4543,4.7453,4.5233,UP,1
2000-04-13,4.9785,4.7109,3.4557,4.802,4.5433,DOWN,0
2000-04-14,4.3984,4.8672,3.4608,4.6801,4.5527,UP,1
2000-04-17,4.5156,4.2813,3.4662,4.6676,4.5571,UP,1
2000-04-18,4.6797,4.5313,3.473,4.6551,4.565,DOWN,0
2000-04-19,4.6563,4.6484,3.4806,4.6457,4.5707,UP,1
2000-04-20,4.6797,4.6641,3.4886,4.5859,4.578,UP,1
2000-04-24,4.9922,4.625,3.4979,4.7047,4.5979,DOWN,0
2000-04-25,4.7734,4.8125,3.5061,4.7563,4.6111,DOWN,0
2000-04-26,4.6406,4.7266,3.5133,4.7484,4.6191,DOWN,0
2000-04-27,4.6328,4.5078,3.5199,4.7438,4.6252,DOWN,0
2000-04-28,3.7793,4.2109,3.5226,4.5637,4.6153,UP,1
2000-05-01,3.8672,3.875,3.5261,4.3387,4.6061,UP,1
2000-05-02,3.9922,4.0234,3.5304,4.1824,4.6031,DOWN,0
2000-05-03,3.9766,4.0156,3.5348,4.0496,4.5997,UP,1
2000-05-04,4.1797,3.9609,3.5399,3.959,4.5961,UP,1
2000-05-05,4.2109,4.1172,3.546,4.0453,4.5927,DOWN,0
2000-05-08,4.125,4.2031,3.5504,4.0969,4.5908,UP,1
2000-05-09,4.1719,4.1406,3.5558,4.1328,4.5891,DOWN,0
2000-05-10,4.0703,4.1563,3.5606,4.1516,4.5827,UP,1
2000-05-11,4.1563,4.0703,3.566,4.1469,4.5789,DOWN,0
2000-05-12,4.0703,4.125,3.5713,4.1188,4.5772,DOWN,0
2000-05-15,4.0625,3.8672,3.5771,4.1063,4.5655,UP,1
2000-05-16,4.1563,4.2344,3.5836,4.1031,4.5589,DOWN,0
2000-05-17,4.0547,4.0781,3.5897,4.1,4.5547,DOWN,0
2000-05-18,3.8359,4.0703,3.5952,4.0359,4.5467,DOWN,0
2000-05-19,3.7656,3.7578,3.6003,3.975,4.5317,DOWN,0
2000-05-22,3.7344,3.75,3.6057,3.9094,4.5173,DOWN,0
2000-05-23,3.5391,3.7344,3.6104,3.7859,4.5013,UP,1
2000-05-24,3.875,3.6328,3.6172,3.75,4.4952,DOWN,0
2000-05-25,3.7344,3.875,3.6224,3.7297,4.4819,DOWN,0
2000-05-26,3.6406,3.7969,3.6278,3.7047,4.4588,UP,1
2000-05-30,4.1328,3.7031,3.6355,3.7844,4.4488,UP,1
2000-05-31,4.25,4.1016,3.6437,3.9266,4.4458,UP,1
2000-06-01,4.3125,4.2656,3.6525,4.0141,4.4345,UP,1
2000-06-02,4.6016,4.375,3.6626,4.1875,4.4288,DOWN,0
2000-06-05,4.4531,4.5625,3.6721,4.35,4.4194,UP,1
2000-06-06,4.6875,4.875,3.6827,4.4609,4.4166,DOWN,0
2000-06-07,4.3203,4.6563,3.6909,4.475,4.4052,UP,1
2000-06-08,4.4141,4.3203,3.6994,4.4953,4.3986,UP,1
2000-06-09,4.4688,4.4688,3.7082,4.4688,4.3888,DOWN,0
2000-06-12,4.2344,4.4727,3.7158,4.425,4.3741,UP,1
2000-06-13,4.4922,4.2656,3.7234,4.3859,4.3519,DOWN,0
2000-06-14,4.3984,4.5,3.7316,4.4016,4.3363,DOWN,0
2000-06-15,4.3359,4.4063,3.739,4.3859,4.3144,UP,1
2000-06-16,4.3594,4.4766,3.7463,4.3641,4.3027,UP,1
2000-06-19,4.3906,4.3672,3.7544,4.3953,4.2966,UP,1
2000-06-20,4.4375,4.375,3.7621,4.3844,4.2852,UP,1
2000-06-21,4.5234,4.4375,3.7703,4.4094,4.2841,DOWN,0
2000-06-22,4.4766,4.5156,3.7788,4.4375,4.2787,DOWN,0
2000-06-23,4.4141,4.5156,3.7871,4.4484,4.273,UP,1
2000-06-26,4.5313,4.3906,3.7961,4.4766,4.264,UP,1
2000-06-27,4.6875,4.5,3.8058,4.5266,4.2698,UP,1
2000-06-28,4.7734,4.6875,3.8154,4.5766,4.275,DOWN,0
2000-06-29,4.7344,4.7578,3.8255,4.6281,4.2761,UP,1
2000-06-30,4.7734,4.7422,3.836,4.7,4.2784,UP,1
2000-07-03,4.8125,4.75,3.8463,4.7563,4.2811,DOWN,0
2000-07-05,4.7891,4.8203,3.8571,4.7766,4.277,DOWN,0
2000-07-06,4.7578,4.8203,3.868,4.7734,4.2767,UP,1
2000-07-07,5.2266,4.8672,3.8811,4.8719,4.2884,DOWN,0
2000-07-10,4.9688,5.1719,3.8915,4.9109,4.2951,UP,1
2000-07-11,4.9922,4.9375,3.9016,4.9469,4.3194,UP,1
2000-07-12,5.0391,4.9688,3.9121,4.9969,4.3428,DOWN,0
2000-07-13,5.0,5.0,3.9209,5.0453,4.363,DOWN,0
2000-07-14,5.0,4.9922,3.9303,5.0,4.3834,DOWN,0
2000-07-17,4.9766,4.9609,3.9397,5.0016,4.3994,DOWN,0
2000-07-18,4.9688,4.9688,3.9496,4.9969,4.4145,DOWN,0
2000-07-19,4.9688,4.9531,3.9599,4.9828,4.4314,UP,1
2000-07-20,5.0,4.9883,3.9708,4.9828,4.448,DOWN,0
2000-07-21,4.9922,4.9766,3.9807,4.9813,4.4664,DOWN,0
2000-07-24,4.9648,5.0,3.9908,4.9789,4.4826,DOWN,0
2000-07-25,4.8203,4.9141,3.9999,4.9492,4.4976,DOWN,0
2000-07-26,4.7109,4.7813,4.0085,4.8977,4.5105,DOWN,0
2000-07-27,4.5156,4.7109,4.0165,4.8008,4.5177,UP,1
