ticker,MA US Equity,MA US Equity,MA US Equity,MA US Equity,MA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2006-09-22,6.593,6.9,6.6298,5.4122,,DOWN,0
2006-09-25,6.44,6.525,6.6154,5.4531,,UP,1
2006-09-26,6.6,6.34,6.6386,5.4971,,UP,1
2006-09-27,6.784,6.7,6.6644,5.545,,UP,1
2006-09-28,6.865,6.765,6.6564,5.5917,,UP,1
2006-09-29,7.035,6.847,6.7448,5.6413,,DOWN,0
2006-10-02,6.996,7.035,6.856,5.6907,,DOWN,0
2006-10-03,6.968,6.84,6.9296,5.7401,,DOWN,0
2006-10-04,6.962,7.0,6.9652,5.7871,,UP,1
2006-10-05,7.259,6.978,7.044,5.839,,UP,1
2006-10-06,7.515,7.24,7.14,5.8962,,DOWN,0
2006-10-09,7.28,7.19,7.1968,5.9492,,DOWN,0
2006-10-10,7.191,7.115,7.2414,6.0013,,DOWN,0
2006-10-11,6.95,7.095,7.239,6.0503,,UP,1
2006-10-12,7.041,6.91,7.1954,6.0911,,DOWN,0
2006-10-13,7.009,7.1,7.0942,6.1313,,UP,1
2006-10-16,7.13,7.0,7.0642,6.1738,,DOWN,0
2006-10-17,6.95,7.11,7.016,6.2106,,UP,1
2006-10-18,7.045,6.961,7.035,6.2463,,UP,1
2006-10-19,7.233,7.045,7.0734,6.2853,,DOWN,0
2006-10-20,7.122,7.28,7.096,6.3206,,DOWN,0
2006-10-23,7.025,7.135,7.075,6.3538,,UP,1
2006-10-24,7.12,7.015,7.109,6.3877,,DOWN,0
2006-10-25,7.075,7.125,7.115,6.4202,,UP,1
2006-10-26,7.22,7.085,7.1124,6.4561,,UP,1
2006-10-27,7.264,7.1,7.1408,6.4944,,DOWN,0
2006-10-30,7.254,7.262,7.1866,6.5326,,UP,1
2006-10-31,7.41,7.27,7.2446,6.5723,,UP,1
2006-11-01,8.507,8.175,7.531,6.632,,UP,1
2006-11-02,8.76,8.382,7.839,6.698,,UP,1
2006-11-03,8.951,8.766,8.1764,6.7657,,UP,1
2006-11-06,9.63,9.0,8.6516,6.8483,,DOWN,0
2006-11-07,9.25,9.574,9.0196,6.9233,,DOWN,0
2006-11-08,8.844,9.2,9.087,6.9894,,DOWN,0
2006-11-09,8.82,9.13,9.099,7.0553,,UP,1
2006-11-10,8.92,8.864,9.0928,7.1219,,UP,1
2006-11-13,9.655,9.371,9.0978,7.2019,,DOWN,0
2006-11-14,9.52,9.68,9.1518,7.2786,,UP,1
2006-11-15,9.53,9.521,9.289,7.3515,,DOWN,0
2006-11-16,9.452,9.625,9.4154,7.4203,,UP,1
2006-11-17,9.479,9.335,9.5272,7.4904,,UP,1
2006-11-20,9.619,9.398,9.52,7.559,,UP,1
2006-11-21,10.06,9.699,9.628,7.636,,UP,1
