ticker,ABBV US Equity,ABBV US Equity,ABBV US Equity,ABBV US Equity,ABBV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2013-04-16,42.45,41.67,42.76,38.7652,,DOWN,0
2013-04-17,42.24,42.14,42.484,38.8644,,UP,1
2013-04-18,42.32,42.37,42.308,38.9668,,UP,1
2013-04-19,42.39,42.51,42.168,39.0718,,UP,1
2013-04-22,44.2,43.0,42.72,39.2274,,UP,1
2013-04-23,45.14,44.61,43.258,39.4052,,DOWN,0
2013-04-24,44.32,45.14,43.674,39.5746,,DOWN,0
2013-04-25,44.24,44.75,44.058,39.751,,UP,1
2013-04-26,45.84,44.95,44.748,39.9624,,DOWN,0
2013-04-29,45.23,45.83,44.954,40.1356,,UP,1
2013-04-30,46.05,45.05,45.136,40.305,,DOWN,0
2013-05-01,45.55,45.74,45.382,40.4522,,DOWN,0
2013-05-02,43.99,45.68,45.332,40.5598,,UP,1
2013-05-03,44.68,44.31,45.1,40.6778,,DOWN,0
2013-05-06,44.59,44.95,44.972,40.8004,,UP,1
2013-05-07,44.91,44.5,44.744,40.9512,,DOWN,0
2013-05-08,43.49,45.01,44.332,41.0792,,UP,1
2013-05-09,44.24,43.34,44.382,41.2294,,UP,1
2013-05-10,45.01,44.21,44.448,41.3912,,DOWN,0
2013-05-13,44.54,44.79,44.438,41.5258,,UP,1
2013-05-14,45.35,44.09,44.526,41.668,,UP,1
2013-05-15,46.03,45.72,45.034,41.8384,,UP,1
2013-05-16,46.21,46.06,45.428,42.0078,,UP,1
2013-05-17,47.17,46.03,45.86,42.2014,,DOWN,0
2013-05-20,46.26,47.12,46.204,42.3798,,UP,1
2013-05-21,46.54,46.19,46.442,42.5572,,UP,1
2013-05-22,46.76,46.46,46.588,42.749,,DOWN,0
2013-05-23,46.59,46.12,46.664,42.9374,,DOWN,0
2013-05-24,45.44,46.25,46.318,43.095,,DOWN,0
2013-05-28,45.39,45.89,46.144,43.2328,,DOWN,0
2013-05-29,43.88,44.89,45.612,43.3472,,UP,1
2013-05-30,44.55,44.07,45.17,43.471,,DOWN,0
2013-05-31,42.69,44.27,44.39,43.5436,,UP,1
