ticker,ODFL US Equity,ODFL US Equity,ODFL US Equity,ODFL US Equity,ODFL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,1.0974,1.0974,1.0813,1.1117,1.0596,DOWN,0
2000-02-10,1.0864,1.0864,1.0818,1.1051,1.059,UP,1
2000-02-11,1.0974,1.0864,1.0821,1.1007,1.0632,DOWN,0
2000-02-14,1.0535,1.1193,1.0823,1.0908,1.0634,UP,1
2000-02-16,1.0974,1.0864,1.0828,1.0864,1.0646,DOWN,0
2000-02-17,1.0864,1.0864,1.0832,1.0842,1.0652,DOWN,0
2000-02-18,1.0864,1.0864,1.0838,1.0842,1.0641,UP,1
2000-02-22,1.0974,1.0645,1.0844,1.0842,1.0637,DOWN,0
2000-02-23,1.0754,1.0754,1.0847,1.0886,1.063,UP,1
2000-02-24,1.0919,1.0919,1.0849,1.0875,1.0627,DOWN,0
2000-02-25,1.0754,1.0754,1.0855,1.0853,1.0621,DOWN,0
2000-02-28,1.0754,1.0754,1.0858,1.0831,1.0612,DOWN,0
2000-02-29,1.0754,1.0919,1.0862,1.0787,1.0606,UP,1
2000-03-01,1.0864,1.0754,1.0866,1.0809,1.06,UP,1
2000-03-02,1.0919,1.0919,1.0869,1.0809,1.0596,DOWN,0
2000-03-03,1.0535,1.0535,1.0871,1.0765,1.0598,UP,1
2000-03-07,1.059,1.0974,1.0874,1.0733,1.0621,DOWN,0
2000-03-08,1.059,1.059,1.0876,1.07,1.0622,DOWN,0
2000-03-09,1.059,1.059,1.0878,1.0645,1.0623,DOWN,0
2000-03-10,1.059,1.059,1.0878,1.0579,1.0619,DOWN,0
2000-03-14,1.059,1.059,1.088,1.059,1.0652,DOWN,0
2000-03-16,1.059,1.059,1.0881,1.059,1.0647,UP,1
