ticker,UNH US Equity,UNH US Equity,UNH US Equity,UNH US Equity,UNH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,6.742,7.063,7.156,6.9516,6.8119,UP,1
2000-02-10,7.234,7.234,7.1574,7.0141,6.8267,DOWN,0
2000-02-11,7.0,7.141,7.1573,6.9953,6.8347,UP,1
2000-02-14,7.109,7.078,7.1577,7.0172,6.8405,UP,1
2000-02-15,7.422,7.297,7.159,7.1016,6.8538,UP,1
2000-02-16,7.664,7.461,7.1601,7.2859,6.8719,UP,1
2000-02-17,7.859,7.75,7.1616,7.4109,6.898,DOWN,0
2000-02-18,7.234,7.766,7.1613,7.4578,6.9113,UP,1
2000-02-22,7.352,7.25,7.1611,7.5063,6.9321,DOWN,0
2000-02-23,7.156,7.281,7.1601,7.4531,6.9478,DOWN,0
2000-02-24,6.578,7.078,7.1555,7.2359,6.9538,DOWN,0
2000-02-25,6.406,6.578,7.1497,6.9453,6.9519,UP,1
2000-02-28,6.43,6.375,7.1446,6.7844,6.9483,DOWN,0
2000-02-29,6.391,6.398,7.1407,6.5922,6.9474,UP,1
2000-03-01,6.828,6.391,7.1396,6.5266,6.9571,DOWN,0
2000-03-02,6.563,6.844,7.1368,6.5234,6.9642,UP,1
2000-03-03,6.805,6.555,7.1334,6.6031,6.9763,DOWN,0
2000-03-06,6.563,6.789,7.1245,6.6297,6.9819,DOWN,0
2000-03-07,6.125,6.438,7.1158,6.5766,6.977,DOWN,0
2000-03-08,5.953,6.109,7.1081,6.4016,6.9666,UP,1
2000-03-09,6.133,5.953,7.1009,6.3156,6.96,UP,1
2000-03-10,6.359,6.125,7.0959,6.2266,6.9567,DOWN,0
