ticker,HII US Equity,HII US Equity,HII US Equity,HII US Equity,HII US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-07-25,34.28,33.56,33.63,35.7878,,UP,1
2011-07-26,35.16,35.78,34.0,35.7218,,DOWN,0
2011-07-27,34.2,34.94,34.194,35.632,,DOWN,0
2011-07-28,34.0,34.1,34.31,35.5364,,DOWN,0
2011-07-29,33.48,33.7,34.224,35.436,,DOWN,0
2011-08-01,32.84,33.61,33.936,35.3252,,DOWN,0
2011-08-02,32.45,32.7,33.394,35.213,,DOWN,0
2011-08-03,32.09,32.52,32.972,35.0988,,DOWN,0
2011-08-04,31.6,31.785,32.492,34.9874,,DOWN,0
2011-08-05,31.13,31.83,32.022,34.8766,,DOWN,0
2011-08-08,29.89,30.38,31.432,34.746,,DOWN,0
2011-08-09,29.72,30.25,30.886,34.6088,,DOWN,0
2011-08-10,28.01,29.35,30.07,34.4376,,DOWN,0
2011-08-11,27.83,27.9,29.316,34.2722,,UP,1
2011-08-12,28.02,27.98,28.694,34.1116,,UP,1
2011-08-15,28.59,28.13,28.434,33.9674,,UP,1
2011-08-16,29.48,28.35,28.386,33.8374,,UP,1
2011-08-17,29.49,29.59,28.682,33.6984,,DOWN,0
2011-08-18,28.64,29.09,28.844,33.5318,,DOWN,0
2011-08-19,28.63,28.52,28.966,33.3646,,DOWN,0
2011-08-22,28.4,28.98,28.928,33.206,,UP,1
2011-08-23,29.25,28.48,28.882,33.0608,,UP,1
2011-08-24,30.6,29.26,29.104,32.9412,,DOWN,0
2011-08-25,29.67,30.83,29.31,32.8114,,UP,1
