ticker,CL US Equity,CL US Equity,CL US Equity,CL US Equity,CL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,29.0938,29.875,26.8996,28.95,30.1612,DOWN,0
2000-02-10,28.75,29.125,26.9194,28.7,30.1787,DOWN,0
2000-02-11,27.9375,28.8125,26.9341,28.6625,30.1865,DOWN,0
2000-02-14,27.0,27.9688,26.941,28.425,30.1628,UP,1
2000-02-15,27.8438,27.375,26.9526,28.125,30.139,DOWN,0
2000-02-16,27.6875,27.9375,26.9658,27.8438,30.1028,DOWN,0
2000-02-17,26.9688,27.8125,26.977,27.4875,30.0659,DOWN,0
2000-02-18,26.5313,26.25,26.9858,27.2063,30.0175,DOWN,0
2000-02-22,26.1875,26.5313,26.9951,27.0438,29.95,DOWN,0
2000-02-23,25.6875,25.9375,27.0054,26.6125,29.8613,DOWN,0
2000-02-24,24.5313,25.375,27.0081,25.9813,29.7569,DOWN,0
2000-02-25,24.125,24.5938,27.008,25.4125,29.65,UP,1
2000-02-28,25.5,24.4375,27.0145,25.2063,29.5644,UP,1
2000-02-29,26.0938,25.625,27.0265,25.1875,29.5025,UP,1
2000-03-01,26.5,26.125,27.0386,25.35,29.425,DOWN,0
2000-03-02,26.3125,26.625,27.0523,25.7063,29.3469,UP,1
2000-03-03,27.4375,26.3125,27.0691,26.3688,29.295,DOWN,0
2000-03-06,26.4063,27.5,27.0787,26.55,29.2006,DOWN,0
2000-03-07,23.375,23.0,27.0762,26.0063,29.0419,DOWN,0
2000-03-08,21.9688,23.5625,27.0689,25.1,28.8513,UP,1
2000-03-09,22.0,21.875,27.0608,24.2375,28.6681,DOWN,0
2000-03-10,21.375,22.0,27.0451,23.025,28.4756,UP,1
2000-03-13,21.6875,20.25,27.0279,22.0813,28.2844,DOWN,0
2000-03-14,21.5938,21.125,27.011,21.725,28.0663,UP,1
2000-03-15,25.9063,21.9375,27.0115,22.5125,27.9619,DOWN,0
2000-03-16,25.625,25.9063,27.0119,23.2375,27.8681,DOWN,0
2000-03-17,24.9688,25.125,27.0108,23.9563,27.7819,UP,1
2000-03-20,25.125,24.9688,27.0083,24.6438,27.7,UP,1
2000-03-21,25.1563,24.9375,27.003,25.3563,27.5838,UP,1
2000-03-22,25.2813,24.9375,27.0,25.2313,27.4531,UP,1
2000-03-23,26.5625,25.0938,27.0041,25.4188,27.345,UP,1
2000-03-24,27.1875,26.5938,27.0132,25.8625,27.245,DOWN,0
2000-03-27,27.0938,27.5,27.0238,26.2563,27.1388,UP,1
2000-03-28,28.4375,26.6875,27.0388,26.9125,27.0744,DOWN,0
2000-03-29,28.2188,28.5,27.0546,27.5,27.0088,DOWN,0
2000-03-30,28.0938,27.625,27.0707,27.8063,26.9556,UP,1
2000-03-31,28.1875,28.1875,27.0861,28.0063,26.9,UP,1
2000-04-03,30.25,28.3125,27.1119,28.6375,26.8919,UP,1
2000-04-04,30.3438,30.0,27.1383,29.0188,26.8919,DOWN,0
2000-04-05,29.2188,30.1875,27.1594,29.2188,26.88,UP,1
2000-04-06,29.5,29.2813,27.182,29.5,26.8681,UP,1
2000-04-07,29.6563,29.5,27.2054,29.7938,26.8581,UP,1
2000-04-10,30.125,29.0,27.2333,29.7688,26.8656,UP,1
2000-04-11,31.3125,30.4375,27.269,29.9625,26.8994,DOWN,0
2000-04-12,31.0,31.3125,27.3017,30.3188,26.9231,DOWN,0
2000-04-13,29.5,30.5,27.3261,30.3188,26.9,DOWN,0
2000-04-14,27.875,27.875,27.3437,29.9625,26.8575,UP,1
2000-04-17,28.8125,27.5,27.3678,29.7,26.8713,DOWN,0
2000-04-18,27.625,28.5,27.3872,28.9625,26.86,UP,1
2000-04-19,27.8438,28.0,27.4081,28.3313,26.83,UP,1
2000-04-20,28.5625,27.625,27.4341,28.1438,26.8194,UP,1
2000-04-24,29.3125,28.4688,27.4575,28.4313,26.8306,UP,1
2000-04-25,29.5938,29.2813,27.4841,28.5875,26.8638,DOWN,0
2000-04-26,28.8438,29.75,27.5059,28.8313,26.9006,UP,1
2000-04-27,29.3438,28.4375,27.527,29.1313,26.9306,DOWN,0
2000-04-28,28.5625,28.25,27.5458,29.1313,26.9481,DOWN,0
2000-05-01,27.5625,28.0,27.5558,28.7813,26.96,UP,1
2000-05-02,28.0625,27.5625,27.5712,28.475,26.9906,DOWN,0
2000-05-03,27.75,28.0938,27.5805,28.2563,27.0219,UP,1
2000-05-04,27.9688,27.875,27.5942,27.9813,27.0675,UP,1
2000-05-05,28.5625,28.125,27.6097,27.9813,27.1481,UP,1
2000-05-08,28.8125,28.75,27.6281,28.2313,27.2419,UP,1
2000-05-09,29.5,28.875,27.6526,28.5188,27.3219,DOWN,0
2000-05-10,29.0938,29.125,27.6742,28.7875,27.3819,UP,1
2000-05-11,30.0938,29.5,27.702,29.2125,27.4538,DOWN,0
2000-05-12,29.418,30.0938,27.7258,29.3836,27.5159,UP,1
2000-05-15,29.625,29.375,27.7505,29.5461,27.5596,DOWN,0
2000-05-16,29.0313,29.5313,27.7757,29.4523,27.6121,UP,1
2000-05-17,29.2813,29.0625,27.7986,29.4898,27.7302,UP,1
2000-05-18,29.5313,28.625,27.8261,29.3773,27.8815,DOWN,0
2000-05-19,28.4688,29.4375,27.8454,29.1875,28.0109,DOWN,0
2000-05-22,28.2813,28.5,27.8618,28.9188,28.149,DOWN,0
2000-05-23,27.9688,28.2813,27.8799,28.7063,28.2746,UP,1
2000-05-24,28.3125,27.8438,27.9002,28.5125,28.409,DOWN,0
2000-05-25,28.0,28.0,27.9163,28.2063,28.4509,DOWN,0
2000-05-26,27.875,28.0938,27.934,28.0875,28.4959,DOWN,0
2000-05-30,27.0625,28.0625,27.946,27.8438,28.5377,DOWN,0
2000-05-31,26.3125,26.75,27.9536,27.5125,28.5615,UP,1
2000-06-01,26.6563,27.0625,27.9625,27.1813,28.5915,UP,1
2000-06-02,27.25,27.125,27.976,27.0313,28.6309,DOWN,0
2000-06-05,26.5313,27.3125,27.9869,26.7625,28.6302,UP,1
2000-06-06,27.2813,26.0,27.9966,26.8063,28.6321,UP,1
2000-06-07,28.5,27.5,28.0107,27.2438,28.6602,DOWN,0
2000-06-08,28.25,27.875,28.0215,27.5625,28.6565,UP,1
2000-06-09,28.4375,28.4375,28.0268,27.8,28.6609,UP,1
2000-06-12,28.7188,28.5,28.0329,28.2375,28.6734,DOWN,0
2000-06-13,27.7813,28.7188,28.0386,28.3375,28.6652,UP,1
2000-06-14,28.5625,27.7813,28.0466,28.35,28.6315,UP,1
2000-06-15,29.25,28.6563,28.0591,28.55,28.6096,DOWN,0
2000-06-16,28.9375,29.0,28.0702,28.65,28.604,DOWN,0
2000-06-19,28.8125,28.875,28.0818,28.6688,28.5902,DOWN,0
2000-06-20,28.6875,28.375,28.0875,28.85,28.5709,DOWN,0
2000-06-21,28.5,28.625,28.0886,28.8375,28.5384,DOWN,0
2000-06-22,28.0,28.5,28.0827,28.5875,28.4721,DOWN,0
2000-06-23,27.7813,28.0,28.0829,28.3563,28.4077,UP,1
2000-06-26,28.25,27.8125,28.0872,28.2438,28.3827,UP,1
2000-06-27,28.4688,28.25,28.0958,28.2,28.3946,DOWN,0
2000-06-28,28.3047,28.5,28.1053,28.1609,28.3845,UP,1
2000-06-29,28.375,28.2813,28.1163,28.2359,28.3995,UP,1
2000-06-30,29.9375,28.3125,28.1372,28.6672,28.4413,DOWN,0
2000-07-03,29.9375,29.8125,28.1572,29.0047,28.4688,DOWN,0
2000-07-05,29.6563,29.5,28.1753,29.2422,28.4757,DOWN,0
2000-07-06,29.4063,29.9375,28.1959,29.4625,28.472,DOWN,0
2000-07-07,28.5938,28.75,28.2139,29.5063,28.467,DOWN,0
2000-07-10,27.8438,28.625,28.2313,29.0875,28.437,DOWN,0
2000-07-11,27.3125,27.875,28.2441,28.5625,28.412,DOWN,0
2000-07-12,26.5,27.3125,28.2533,27.9313,28.3907,UP,1
2000-07-13,26.5313,26.5,28.2634,27.3563,28.3601,UP,1
2000-07-14,27.125,26.5938,28.2839,27.0625,28.3476,UP,1
2000-07-17,27.4688,26.6875,28.3069,26.9875,28.3376,DOWN,0
2000-07-18,27.4688,27.75,28.3247,27.0188,28.3157,DOWN,0
2000-07-19,27.25,27.5,28.3361,27.1688,28.2845,UP,1
2000-07-20,27.6875,27.5625,28.3475,27.4,28.2482,UP,1
2000-07-21,28.3125,28.0625,28.3567,27.6375,28.2326,DOWN,0
2000-07-24,28.0,28.2813,28.3653,27.7438,28.1907,UP,1
2000-07-25,28.1563,28.375,28.3728,27.8813,28.1655,DOWN,0
2000-07-26,27.7813,28.2813,28.378,27.9875,28.1286,UP,1
2000-07-27,28.1875,27.9063,28.3899,28.0875,28.1117,DOWN,0
2000-07-28,28.0,28.625,28.403,28.025,28.0861,DOWN,0
2000-07-31,27.8438,28.0,28.4122,27.9938,28.0523,UP,1
2000-08-01,28.4375,27.8125,28.4289,28.05,28.0517,DOWN,0
2000-08-02,28.2813,28.5625,28.4406,28.15,28.0517,DOWN,0
2000-08-03,28.1875,28.25,28.448,28.15,28.0561,DOWN,0
2000-08-04,27.5,28.1875,28.4505,28.05,28.0398,DOWN,0
2000-08-07,26.7813,27.625,28.44,27.8375,28.0155,DOWN,0
2000-08-08,26.4375,26.875,28.4297,27.4375,27.9867,DOWN,0
2000-08-09,26.0625,26.4375,28.4192,26.9938,27.9667,UP,1
2000-08-10,26.8125,26.6563,28.412,26.7188,27.9767,DOWN,0
2000-08-11,26.6875,27.1875,28.4028,26.5563,27.9773,UP,1
2000-08-14,26.9688,27.125,28.3902,26.5938,27.9717,UP,1
2000-08-15,27.0,27.0938,28.3739,26.7063,27.9811,DOWN,0
2000-08-16,26.9375,27.0625,28.3541,26.8813,27.9742,DOWN,0
2000-08-17,26.375,26.9688,28.3361,26.7938,27.9317,DOWN,0
2000-08-18,26.1875,26.4375,28.3227,26.6938,27.8905,UP,1
2000-08-21,26.3438,26.5,28.3117,26.5688,27.8486,DOWN,0
2000-08-22,25.4688,25.9375,28.295,26.2625,27.7836,UP,1
2000-08-23,26.5313,26.0,28.2816,26.1813,27.7586,DOWN,0
2000-08-24,26.4063,26.0,28.2709,26.1875,27.7155,UP,1
2000-08-25,26.5,26.0,28.2578,26.25,27.6605,DOWN,0
2000-08-28,26.3125,26.6875,28.2444,26.2438,27.608,DOWN,0
2000-08-29,25.9063,26.25,28.2291,26.3313,27.5498,DOWN,0
2000-08-30,25.6875,25.625,28.2122,26.1625,27.4898,DOWN,0
2000-08-31,25.4688,25.8125,28.1964,25.975,27.4292,UP,1
2000-09-01,25.9063,25.8125,28.1825,25.8563,27.3873,UP,1
2000-09-05,26.0625,25.7813,28.1709,25.8063,27.353,UP,1
2000-09-06,27.3125,26.4375,28.1653,26.0875,27.3342,DOWN,0
2000-09-07,26.6563,27.2813,28.157,26.2813,27.298,UP,1
2000-09-08,27.0313,26.5313,28.1516,26.5938,27.2725,UP,1
2000-09-11,27.5,27.0,28.15,26.9125,27.255,UP,1
2000-09-12,27.8125,27.4375,28.1519,27.2625,27.2125,UP,1
2000-09-13,28.0938,27.8438,28.1563,27.4188,27.1756,DOWN,0
2000-09-14,23.7188,24.25,28.1355,26.8313,27.0569,DOWN,0
2000-09-15,23.2813,23.625,28.1142,26.0813,26.9344,DOWN,0
2000-09-18,22.25,22.8125,28.0845,25.0313,26.8075,DOWN,0
2000-09-19,22.25,22.5,28.0506,23.9188,26.6956,DOWN,0
2000-09-20,21.5313,22.125,28.0107,22.6063,26.58,UP,1
2000-09-21,21.9375,21.5938,27.9763,22.25,26.4888,UP,1
2000-09-22,22.5313,22.25,27.9442,22.1,26.4088,DOWN,0
2000-09-25,22.275,22.575,27.9078,22.105,26.3118,UP,1
2000-09-26,22.595,22.875,27.8702,22.174,26.2143,DOWN,0
2000-09-27,22.25,22.5,27.8327,22.3178,26.1099,UP,1
2000-09-28,23.56,22.275,27.8031,22.6423,26.0361,UP,1
2000-09-29,23.6,23.75,27.7722,22.856,25.9543,DOWN,0
2000-10-02,23.49,23.625,27.7437,23.099,25.8579,DOWN,0
2000-10-03,23.25,23.9,27.7081,23.23,25.7629,UP,1
2000-10-04,23.465,23.875,27.6743,23.473,25.6691,UP,1
2000-10-05,24.805,24.0,27.6482,23.722,25.6096,UP,1
2000-10-06,24.995,25.075,27.6175,24.001,25.5457,UP,1
2000-10-09,25.055,25.0,27.5863,24.314,25.4868,UP,1
2000-10-10,25.12,24.93,27.5544,24.688,25.4323,DOWN,0
2000-10-11,25.08,25.375,27.524,25.011,25.3652,DOWN,0
2000-10-12,24.4,25.025,27.491,24.93,25.2875,UP,1
2000-10-13,25.21,24.4,27.4608,24.973,25.228,UP,1
2000-10-16,25.825,24.9,27.4274,25.127,25.1945,DOWN,0
2000-10-17,25.45,25.525,27.399,25.193,25.1679,UP,1
