ticker,MCK US Equity,MCK US Equity,MCK US Equity,MCK US Equity,MCK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,20.375,20.438,28.2753,20.425,22.3613,DOWN,0
2000-02-10,19.125,20.5,28.1984,20.1375,22.2763,DOWN,0
2000-02-11,18.875,19.438,28.1265,19.8125,22.1888,UP,1
2000-02-14,18.938,18.688,28.0462,19.5375,22.1075,DOWN,0
2000-02-15,18.625,18.875,27.9687,19.1875,22.03,UP,1
2000-02-16,20.0,19.063,27.8962,19.1125,21.9825,DOWN,0
2000-02-17,20.0,20.0,27.819,19.2875,21.9475,DOWN,0
2000-02-18,19.938,20.25,27.735,19.5,21.9138,DOWN,0
2000-02-22,19.75,19.688,27.6387,19.6625,21.8688,DOWN,0
2000-02-23,19.125,19.625,27.5431,19.7625,21.8313,UP,1
2000-02-24,19.5,19.125,27.4531,19.6625,21.8113,DOWN,0
2000-02-25,19.313,19.438,27.3656,19.525,21.7888,DOWN,0
2000-02-28,19.313,19.0,27.2737,19.4,21.7613,UP,1
2000-02-29,19.375,19.5,27.1828,19.325,21.7463,UP,1
2000-03-01,19.5,19.375,27.0919,19.4,21.72,DOWN,0
2000-03-02,18.938,19.125,27.0015,19.2875,21.6913,UP,1
2000-03-03,19.25,19.0,26.91,19.275,21.665,UP,1
2000-03-06,19.375,19.625,26.8106,19.2875,21.6388,DOWN,0
2000-03-07,18.563,19.125,26.7075,19.125,21.5913,DOWN,0
2000-03-08,18.5,18.5,26.609,18.925,21.5475,UP,1
2000-03-09,19.063,18.5,26.5369,18.95,21.4888,DOWN,0
2000-03-10,18.625,19.313,26.4612,18.825,21.4138,UP,1
2000-03-13,18.875,18.375,26.3844,18.725,21.3288,DOWN,0
2000-03-14,18.25,18.875,26.3053,18.6625,21.2438,UP,1
2000-03-15,19.125,18.25,26.2306,18.7875,21.1575,UP,1
2000-03-16,19.75,19.375,26.1597,18.925,21.1138,DOWN,0
2000-03-17,19.125,19.75,26.074,19.025,21.0525,UP,1
2000-03-20,19.25,19.125,25.9903,19.1,20.9625,DOWN,0
2000-03-21,19.188,19.25,25.9053,19.2875,20.8763,DOWN,0
2000-03-22,19.063,19.063,25.82,19.275,20.7775,UP,1
2000-03-23,19.188,18.938,25.735,19.1625,20.6213,UP,1
2000-03-24,19.5,19.188,25.6484,19.2375,20.4925,UP,1
2000-03-27,19.75,19.875,25.5634,19.3375,20.36,UP,1
2000-03-28,21.5,19.563,25.4878,19.8,20.2625,UP,1
2000-03-29,21.688,21.313,25.4137,20.325,20.16,DOWN,0
2000-03-30,20.563,21.5,25.3356,20.6,20.0475,UP,1
2000-03-31,21.0,20.75,25.2569,20.9,19.9625,UP,1
2000-04-03,21.125,21.0,25.1822,21.175,19.8825,DOWN,0
2000-04-04,20.5,21.188,25.1162,20.975,19.795,DOWN,0
2000-04-05,20.438,20.25,25.0528,20.725,19.7638,DOWN,0
2000-04-06,20.375,20.5,24.9925,20.6875,19.7375,DOWN,0
2000-04-07,20.188,20.25,24.9334,20.525,19.7238,UP,1
2000-04-10,21.438,20.0,24.8856,20.5875,19.75,DOWN,0
2000-04-11,20.75,21.25,24.835,20.6375,19.7538,UP,1
2000-04-12,21.25,20.875,24.7837,20.8,19.7613,DOWN,0
2000-04-13,20.438,21.0,24.725,20.8125,19.7625,DOWN,0
2000-04-14,19.813,20.125,24.6584,20.7375,19.7475,DOWN,0
2000-04-17,18.813,18.875,24.5912,20.2125,19.7138,UP,1
2000-04-18,19.25,19.0,24.5228,19.9125,19.6925,DOWN,0
2000-04-19,19.0,19.25,24.4553,19.4625,19.665,DOWN,0
2000-04-20,18.875,19.0,24.3869,19.15,19.635,DOWN,0
2000-04-24,18.438,18.75,24.3181,18.875,19.6213,UP,1
2000-04-25,18.938,18.375,24.2484,18.9,19.6225,DOWN,0
2000-04-26,17.0,18.0,24.1681,18.45,19.5838,DOWN,0
2000-04-27,16.938,16.75,24.0915,18.0375,19.55,DOWN,0
2000-04-28,16.938,17.0,24.0194,17.65,19.4888,UP,1
2000-05-01,18.25,17.375,23.9494,17.6125,19.4538,DOWN,0
2000-05-02,17.938,17.875,23.8825,17.4125,19.4138,UP,1
2000-05-03,18.375,17.813,23.8209,17.6875,19.3863,UP,1
2000-05-04,18.438,18.5,23.7584,17.9875,19.3725,DOWN,0
2000-05-05,18.125,18.5,23.6925,18.225,19.345,DOWN,0
2000-05-08,18.125,18.25,23.6281,18.2,19.3213,DOWN,0
2000-05-09,18.0,18.188,23.5547,18.2125,19.295,DOWN,0
2000-05-10,17.313,17.938,23.4825,18.0,19.2538,UP,1
2000-05-11,17.5,17.5,23.4078,17.8125,19.2138,DOWN,0
2000-05-12,17.25,17.5,23.3372,17.6375,19.18,DOWN,0
2000-05-15,17.25,17.5,23.2681,17.4625,19.14,DOWN,0
