ticker,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,44.813,45.375,48.1011,44.6,49.36,DOWN,0
2000-02-10,41.875,44.563,48.0255,43.65,49.3062,DOWN,0
2000-02-11,40.5,41.813,47.943,42.975,49.23,UP,1
2000-02-14,40.938,40.563,47.8592,42.625,49.1537,UP,1
2000-02-15,41.0,41.25,47.7794,41.825,49.0375,DOWN,0
2000-02-16,40.625,40.875,47.7035,40.9875,48.8862,UP,1
2000-02-17,40.813,41.0,47.635,40.775,48.7125,DOWN,0
2000-02-18,39.0,40.0,47.56,40.475,48.5112,UP,1
2000-02-22,39.313,39.125,47.4896,40.15,48.315,UP,1
2000-02-23,39.563,39.25,47.4271,39.8625,48.135,DOWN,0
2000-02-24,38.813,40.25,47.3569,39.5,47.9225,DOWN,0
2000-02-25,37.313,38.563,47.2772,38.8,47.6437,UP,1
2000-02-28,39.0,37.125,47.2021,38.8,47.3962,UP,1
2000-02-29,40.438,39.063,47.1328,39.025,47.2,DOWN,0
2000-03-01,40.125,40.938,47.061,39.1375,46.9612,UP,1
2000-03-02,40.25,40.25,46.9972,39.425,46.7587,UP,1
2000-03-03,41.188,40.625,46.93,40.2,46.545,DOWN,0
2000-03-06,40.063,40.688,46.853,40.4125,46.2637,DOWN,0
2000-03-07,36.25,38.5,46.7652,39.575,45.9187,DOWN,0
2000-03-08,33.375,36.188,46.6674,38.225,45.5637,UP,1
2000-03-09,33.813,33.5,46.5741,36.9375,45.2437,DOWN,0
2000-03-10,29.875,32.5,46.4616,34.675,44.8237,UP,1
2000-03-13,30.625,29.875,46.36,32.7875,44.4212,DOWN,0
2000-03-14,29.875,31.0,46.2571,31.5125,44.0112,UP,1
2000-03-15,33.563,30.75,46.1652,31.55,43.6987,UP,1
2000-03-16,36.625,34.125,46.0897,32.1125,43.4737,DOWN,0
2000-03-17,35.125,36.875,46.0052,33.1625,43.1937,DOWN,0
2000-03-20,33.938,34.625,45.9099,33.825,42.8812,UP,1
2000-03-21,36.438,34.375,45.8233,35.1375,42.5637,DOWN,0
2000-03-22,34.75,36.25,45.7297,35.375,42.2237,UP,1
2000-03-23,35.563,34.75,45.645,35.1625,41.89,DOWN,0
2000-03-24,33.0,35.563,45.553,34.7375,41.5062,DOWN,0
2000-03-27,30.438,32.75,45.4521,34.0375,41.015,UP,1
2000-03-28,31.375,30.375,45.3583,33.025,40.5575,UP,1
2000-03-29,32.063,31.5,45.2705,32.4875,40.1437,UP,1
2000-03-30,32.5,32.063,45.1908,31.875,39.755,UP,1
2000-03-31,33.0,32.438,45.1167,31.875,39.375,UP,1
2000-04-03,34.563,32.375,45.0528,32.7,39.0537,UP,1
2000-04-04,35.438,34.563,44.9916,33.5125,38.785,UP,1
2000-04-05,35.5,36.0,44.9211,34.2,38.55,DOWN,0
2000-04-06,34.563,35.375,44.846,34.6125,38.285,UP,1
2000-04-07,35.625,35.375,44.7783,35.1375,38.0525,UP,1
2000-04-10,36.0,35.625,44.7103,35.425,37.835,UP,1
2000-04-11,37.313,36.125,44.6463,35.8,37.6262,UP,1
2000-04-12,40.063,37.813,44.5935,36.7125,37.4675,UP,1
2000-04-13,40.438,39.813,44.5286,37.8875,37.31,DOWN,0
2000-04-14,35.875,40.438,44.4463,37.9375,37.095,UP,1
2000-04-17,40.625,37.875,44.3919,38.8625,37.03,DOWN,0
2000-04-18,38.188,40.063,44.3205,39.0375,36.94,DOWN,0
2000-04-19,36.375,35.938,44.2391,38.3,36.7675,UP,1
2000-04-20,37.125,36.375,44.1635,37.6375,36.6137,UP,1
2000-04-24,38.0,37.813,44.0949,38.0625,36.5362,DOWN,0
2000-04-25,37.25,38.0,44.0185,37.3875,36.4712,DOWN,0
2000-04-26,34.813,37.063,43.9246,36.7125,36.3487,UP,1
2000-04-27,37.563,34.25,43.8406,36.95,36.28,DOWN,0
2000-04-28,36.75,37.625,43.7508,36.875,36.2025,UP,1
2000-05-01,36.875,36.5,43.6606,36.65,36.1237,DOWN,0
2000-05-02,36.25,35.5,43.5669,36.45,36.0687,DOWN,0
2000-05-03,35.625,36.0,43.4694,36.6125,35.995,UP,1
2000-05-04,36.125,35.625,43.3714,36.325,35.9262,UP,1
2000-05-05,36.563,35.813,43.2736,36.2875,35.8812,UP,1
2000-05-08,37.313,36.0,43.18,36.375,35.8812,UP,1
2000-05-09,38.938,37.625,43.091,36.9125,35.88,UP,1
2000-05-10,39.563,39.0,43.0039,37.7,35.8625,UP,1
2000-05-11,41.188,39.688,42.928,38.7125,35.8837,DOWN,0
2000-05-12,39.688,41.0,42.8477,39.3375,35.8725,DOWN,0
2000-05-15,39.5,40.813,42.7652,39.775,35.8387,DOWN,0
2000-05-16,38.375,39.625,42.6786,39.6625,35.805,UP,1
2000-05-17,39.563,38.563,42.5985,39.6625,35.8712,UP,1
2000-05-18,40.813,39.313,42.5385,39.5875,36.02,DOWN,0
2000-05-19,38.938,39.813,42.4716,39.4375,36.1225,UP,1
2000-05-22,39.625,39.813,42.411,39.4625,36.3175,DOWN,0
