ticker,DOW US Equity,DOW US Equity,DOW US Equity,DOW US Equity,DOW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2019-07-23,52.62,51.0,51.674,50.164,,UP,1
2019-07-24,52.79,52.5,51.912,50.2008,,DOWN,0
2019-07-25,50.77,51.64,51.716,50.1666,,DOWN,0
2019-07-26,49.11,50.27,51.234,50.0898,,DOWN,0
2019-07-29,48.05,48.52,50.668,49.9912,,UP,1
2019-07-30,48.4,47.78,49.824,49.9432,,UP,1
2019-07-31,48.44,48.49,48.954,49.9104,,DOWN,0
2019-08-01,46.85,48.15,48.17,49.8348,,DOWN,0
2019-08-02,45.6,46.69,47.468,49.7426,,DOWN,0
2019-08-05,44.77,45.06,46.812,49.6638,,DOWN,0
2019-08-06,44.43,45.11,46.018,49.5684,,UP,1
2019-08-07,44.89,44.1,45.308,49.495,,UP,1
2019-08-08,46.79,45.1972,45.296,49.4566,,DOWN,0
2019-08-09,46.64,46.42,45.504,49.42,,DOWN,0
2019-08-12,45.69,46.39,45.688,49.3986,,UP,1
2019-08-13,46.85,45.78,46.172,49.3764,,DOWN,0
2019-08-14,44.08,45.8,46.01,49.2594,,DOWN,0
2019-08-15,43.38,44.34,45.328,49.1202,,UP,1
2019-08-16,44.51,43.29,44.902,48.9892,,UP,1
2019-08-19,45.6,45.36,44.884,48.8752,,DOWN,0
2019-08-20,43.16,45.25,44.146,48.706,,UP,1
2019-08-21,43.28,43.85,43.986,48.5308,,DOWN,0
2019-08-22,42.05,43.32,43.72,48.322,,DOWN,0
2019-08-23,40.71,42.0,42.96,48.0786,,UP,1
2019-08-26,40.82,41.27,42.004,47.872,,UP,1
2019-08-27,41.17,41.19,41.606,47.7084,,UP,1
2019-08-28,42.52,41.15,41.454,47.5666,,DOWN,0
2019-08-29,42.37,42.33,41.518,47.444,,UP,1
2019-08-30,42.63,42.83,41.902,47.318,,DOWN,0
2019-09-03,41.8,42.14,42.098,47.1868,,UP,1
2019-09-04,42.54,42.59,42.372,47.046,,UP,1
2019-09-05,43.36,43.15,42.54,46.9194,,DOWN,0
2019-09-06,43.24,43.54,42.714,46.7752,,UP,1
2019-09-09,44.45,43.53,43.078,46.646,,UP,1
2019-09-10,46.32,45.1,43.982,46.5862,,UP,1
2019-09-11,46.88,46.52,44.85,46.5206,,UP,1
2019-09-12,46.97,47.07,45.572,46.472,,UP,1
2019-09-13,48.2,47.64,46.564,46.4494,,UP,1
2019-09-16,49.01,48.69,47.476,46.4434,,DOWN,0
2019-09-17,48.0,48.67,47.812,46.433,,DOWN,0
2019-09-18,47.51,47.9,47.938,46.4258,,UP,1
2019-09-19,47.64,48.12,48.072,46.4276,,UP,1
2019-09-20,48.21,47.47,48.074,46.4362,,DOWN,0
2019-09-23,47.91,47.39,47.854,46.4002,,DOWN,0
2019-09-24,46.6,47.78,47.574,46.3136,,UP,1
2019-09-25,47.68,46.55,47.608,46.2208,,DOWN,0
2019-09-26,47.23,47.51,47.526,46.1334,,DOWN,0
2019-09-27,47.07,47.4,47.298,46.0398,,UP,1
2019-09-30,47.65,47.26,47.246,45.9624,,DOWN,0
2019-10-01,45.97,47.94,47.12,45.8642,,DOWN,0
2019-10-02,44.93,44.67,46.57,45.7104,,UP,1
2019-10-03,45.31,44.85,46.186,45.5608,,UP,1
2019-10-04,45.34,45.18,45.84,45.4522,,DOWN,0
2019-10-07,45.17,45.08,45.344,45.3734,,DOWN,0
2019-10-08,43.85,44.75,44.92,45.2894,,UP,1
2019-10-09,44.01,44.39,44.736,45.2016,,UP,1
2019-10-10,44.92,44.33,44.658,45.1312,,UP,1
2019-10-11,47.13,45.75,45.016,45.1368,,DOWN,0
2019-10-14,46.82,46.72,45.346,45.1612,,UP,1
2019-10-15,47.2,46.82,46.016,45.2098,,DOWN,0
2019-10-16,47.12,47.49,46.638,45.2636,,UP,1
2019-10-17,47.81,47.44,47.216,45.322,,UP,1
2019-10-18,47.96,47.91,47.382,45.3454,,DOWN,0
2019-10-21,47.12,48.59,47.442,45.355,,DOWN,0
2019-10-22,46.82,47.08,47.366,45.3776,,UP,1
2019-10-23,47.23,46.78,47.388,45.3852,,UP,1
2019-10-24,49.47,48.65,47.72,45.493,,UP,1
2019-10-25,50.48,49.78,48.224,45.635,,UP,1
2019-10-28,51.21,50.75,49.042,45.769,,UP,1
2019-10-29,51.49,50.96,49.976,45.8868,,DOWN,0
2019-10-30,51.03,51.2,50.736,46.0442,,DOWN,0
2019-10-31,50.49,50.88,50.94,46.1884,,UP,1
2019-11-01,52.31,50.98,51.306,46.3936,,UP,1
2019-11-04,54.17,52.65,51.898,46.6628,,UP,1
2019-11-05,54.2,54.01,52.44,46.9304,,UP,1
2019-11-06,54.28,54.16,53.09,47.1926,,UP,1
2019-11-07,55.8,54.94,54.152,47.4582,,UP,1
2019-11-08,55.99,55.5,54.888,47.7306,,DOWN,0
2019-11-11,55.81,55.55,55.216,47.9942,,DOWN,0
2019-11-12,55.16,56.0,55.408,48.2614,,DOWN,0
2019-11-13,53.66,54.19,55.284,48.4838,,UP,1
2019-11-14,53.95,53.3,54.914,48.6956,,UP,1
2019-11-15,54.86,54.27,54.688,48.928,,DOWN,0
2019-11-18,54.32,54.75,54.39,49.1254,,DOWN,0
2019-11-19,53.39,54.81,54.036,49.2668,,DOWN,0
2019-11-20,52.67,53.14,53.838,49.3826,,UP,1
2019-11-21,53.88,52.71,53.824,49.5208,,UP,1
2019-11-22,54.2,53.98,53.692,49.6408,,UP,1
2019-11-25,55.2,54.82,53.868,49.7646,,UP,1
2019-11-26,55.37,55.2,54.264,49.912,,DOWN,0
2019-11-27,54.28,54.68,54.586,50.0474,,DOWN,0
2019-11-29,53.37,54.01,54.484,50.162,,DOWN,0
2019-12-02,53.16,53.0,54.276,50.261,,DOWN,0
2019-12-03,51.82,51.96,53.6,50.3392,,UP,1
2019-12-04,52.28,53.49,52.982,50.4528,,DOWN,0
2019-12-05,52.0,52.53,52.526,50.5392,,UP,1
2019-12-06,53.22,52.59,52.496,50.659,,UP,1
2019-12-09,53.27,53.96,52.518,50.783,,DOWN,0
2019-12-10,53.13,53.36,52.78,50.8926,,DOWN,0
2019-12-11,53.1,53.5,52.944,51.0352,,UP,1
2019-12-12,54.45,53.25,53.434,51.2256,,DOWN,0
2019-12-13,53.28,54.64,53.446,51.385,,UP,1
2019-12-16,54.17,53.61,53.626,51.5616,,UP,1
2019-12-17,54.66,54.1,53.932,51.7514,,DOWN,0
2019-12-18,54.25,54.36,54.162,51.9594,,UP,1
2019-12-19,54.52,54.43,54.176,52.1696,,UP,1
2019-12-20,54.61,55.05,54.442,52.3634,,UP,1
2019-12-23,54.93,54.49,54.594,52.5194,,DOWN,0
2019-12-24,54.9,55.0,54.642,52.681,,UP,1
2019-12-26,55.22,54.98,54.836,52.8414,,DOWN,0
2019-12-27,54.83,55.29,54.898,52.9956,,DOWN,0
2019-12-30,54.34,54.86,54.844,53.1262,,UP,1
2019-12-31,54.73,54.02,54.804,53.2616,,DOWN,0
2020-01-02,53.75,55.23,54.574,53.3942,50.4038,DOWN,0
2020-01-03,52.42,53.11,54.014,53.5062,50.4169,DOWN,0
2020-01-06,52.21,52.32,53.49,53.6058,50.4331,DOWN,0
2020-01-07,52.19,52.29,53.06,53.6602,50.451,UP,1
2020-01-08,52.73,52.41,52.66,53.7052,50.4689,DOWN,0
2020-01-09,52.19,52.75,52.348,53.7248,50.4856,DOWN,0
2020-01-10,51.5,52.86,52.164,53.725,50.4926,UP,1
2020-01-13,52.35,51.5,52.192,53.7514,50.5001,DOWN,0
2020-01-14,52.24,52.19,52.202,53.7864,50.5032,UP,1
2020-01-15,52.27,52.19,52.11,53.7856,50.497,UP,1
2020-01-16,52.48,52.58,52.168,53.7518,50.4782,UP,1
2020-01-17,53.34,52.53,52.536,53.7346,50.4605,DOWN,0
2020-01-21,52.6,52.98,52.586,53.701,50.4249,DOWN,0
2020-01-22,50.87,52.73,52.312,53.6024,50.3931,DOWN,0
2020-01-23,50.25,50.22,51.908,53.4876,50.3586,DOWN,0
2020-01-24,48.49,49.88,51.11,53.3412,50.3197,DOWN,0
2020-01-27,47.18,47.31,49.878,53.1816,50.277,DOWN,0
2020-01-28,47.16,47.4,48.79,53.0516,50.2384,UP,1
2020-01-29,49.67,48.98,48.55,52.966,50.1952,DOWN,0
2020-01-30,48.47,48.31,48.194,52.8382,50.1487,DOWN,0
2020-01-31,46.07,47.7,47.71,52.6732,50.0865,UP,1
2020-02-03,46.74,46.31,47.622,52.5402,50.0286,UP,1
2020-02-04,48.05,47.65,47.8,52.4478,49.98,UP,1
2020-02-05,49.61,48.88,47.788,52.3624,49.9386,DOWN,0
2020-02-06,49.2,49.61,47.934,52.2624,49.8964,DOWN,0
2020-02-07,48.03,48.54,48.326,52.119,49.8567,UP,1
2020-02-10,48.19,47.8,48.616,51.9754,49.821,UP,1
2020-02-11,48.79,48.54,48.764,51.8656,49.7887,UP,1
2020-02-12,49.38,49.69,48.718,51.7858,49.7581,DOWN,0
2020-02-13,48.3,48.9,48.538,51.6886,49.7159,UP,1
2020-02-14,48.63,48.51,48.658,51.6248,49.6784,DOWN,0
2020-02-18,47.74,48.19,48.568,51.534,49.6536,DOWN,0
2020-02-19,47.56,47.82,48.322,51.4452,49.6249,UP,1
2020-02-20,48.76,47.52,48.198,51.356,49.6014,DOWN,0
2020-02-21,48.3,48.58,48.198,51.2566,49.5782,DOWN,0
2020-02-24,46.24,46.61,47.72,51.1188,49.547,DOWN,0
2020-02-25,43.95,46.5,46.962,50.9358,49.5021,DOWN,0
2020-02-26,43.05,44.45,46.06,50.7078,49.452,DOWN,0
2020-02-27,39.55,41.33,44.218,50.4332,49.395,UP,1
2020-02-28,40.41,38.12,42.64,50.158,49.3346,UP,1
2020-03-02,41.42,41.05,41.676,49.8932,49.277,DOWN,0
2020-03-03,40.56,41.35,40.998,49.6194,49.2149,UP,1
2020-03-04,41.91,41.45,40.77,49.3672,49.1704,DOWN,0
2020-03-05,40.1,40.03,40.88,49.077,49.1205,DOWN,0
2020-03-06,38.97,38.72,40.592,48.7578,49.0622,DOWN,0
2020-03-09,30.53,34.75,38.414,48.2704,48.9638,UP,1
2020-03-10,31.4,32.51,36.582,47.794,48.8773,DOWN,0
2020-03-11,27.99,30.19,33.798,47.2572,48.7712,DOWN,0
2020-03-12,23.67,25.45,30.512,46.6438,48.6468,UP,1
2020-03-13,25.69,27.93,27.856,46.063,48.5317,DOWN,0
2020-03-16,22.0,23.1,26.15,45.428,48.3993,UP,1
2020-03-17,26.6,25.67,25.19,44.9116,48.2985,DOWN,0
2020-03-18,26.44,24.84,24.88,44.3962,48.1909,UP,1
2020-03-19,28.12,26.28,25.77,43.9148,48.0819,DOWN,0
2020-03-20,27.44,28.59,26.12,43.409,47.9674,DOWN,0
2020-03-23,26.58,27.14,27.036,42.8968,47.845,UP,1
2020-03-24,28.47,28.66,27.41,42.4362,47.7308,UP,1
2020-03-25,30.38,29.18,28.198,41.9968,47.6246,DOWN,0
2020-03-26,29.68,30.28,28.51,41.5456,47.5128,DOWN,0
2020-03-27,28.56,28.0,28.734,41.0714,47.3932,UP,1
2020-03-30,28.65,28.31,29.148,40.5948,47.272,UP,1
2020-03-31,29.24,28.55,29.302,40.1128,47.1625,DOWN,0
2020-04-01,27.04,27.84,28.634,39.6016,47.0509,UP,1
2020-04-02,28.03,27.11,28.304,39.1448,46.943,DOWN,0
2020-04-03,27.97,27.78,28.186,38.6992,46.8404,UP,1
2020-04-06,30.54,29.53,28.564,38.3402,46.7484,UP,1
2020-04-07,32.33,32.76,29.182,38.0432,46.6683,UP,1
2020-04-08,34.79,32.97,30.732,37.7958,46.5943,UP,1
2020-04-09,36.56,35.75,32.438,37.5336,46.5287,DOWN,0
2020-04-13,35.23,36.47,33.89,37.2688,46.4526,UP,1
2020-04-14,35.37,36.37,34.856,37.0548,46.3749,DOWN,0
2020-04-15,32.23,33.85,34.836,36.7646,46.2895,DOWN,0
2020-04-16,31.63,32.69,34.204,36.4362,46.1968,UP,1
2020-04-17,33.42,33.04,33.576,36.1124,46.1169,DOWN,0
2020-04-20,31.53,32.18,32.836,35.759,46.0279,DOWN,0
2020-04-21,30.88,30.4,31.938,35.416,45.9358,UP,1
2020-04-22,31.84,31.8,31.86,35.089,45.8524,UP,1
2020-04-23,32.56,32.1,32.046,34.7644,45.7758,UP,1
2020-04-24,33.12,33.04,31.986,34.4392,45.7037,UP,1
2020-04-27,34.44,33.31,32.568,34.162,45.637,UP,1
2020-04-28,35.87,35.48,33.566,33.9068,45.5678,UP,1
2020-04-29,37.47,37.0,34.692,33.7014,45.5005,DOWN,0
2020-04-30,36.69,37.27,35.518,33.484,45.4223,DOWN,0
2020-05-01,33.93,34.73,35.68,33.1874,45.334,DOWN,0
2020-05-04,33.06,32.1,35.404,32.8826,45.2405,UP,1
