ticker,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-04-20,37.25,37.5,36.8625,41.4588,21.5136,UP,1
2000-04-24,39.938,36.25,37.675,41.5625,21.6458,DOWN,0
2000-04-25,37.25,40.0,38.275,41.61,21.758,UP,1
2000-04-26,39.125,38.125,38.075,41.695,21.8867,UP,1
2000-04-27,42.75,38.5,39.2625,41.8488,22.0336,DOWN,0
2000-04-28,40.625,42.75,39.9375,41.9788,22.1711,UP,1
2000-05-01,41.125,40.75,40.175,42.1688,22.3067,UP,1
2000-05-02,41.375,40.75,41.0,42.4412,22.4436,UP,1
2000-05-03,42.0,40.75,41.575,42.6788,22.5889,UP,1
2000-05-04,43.25,42.125,41.675,42.9263,22.7427,UP,1
2000-05-05,44.75,42.75,42.5,43.1563,22.9064,UP,1
2000-05-08,48.0,43.063,43.875,43.3963,23.0889,DOWN,0
2000-05-09,46.375,48.75,44.875,43.6038,23.2689,DOWN,0
2000-05-10,41.938,46.0,44.8625,43.6325,23.4267,UP,1
2000-05-11,43.625,41.25,44.9375,43.6375,23.5886,DOWN,0
2000-05-12,41.438,44.25,44.275,43.6088,23.7389,DOWN,0
2000-05-15,40.75,40.5,42.825,43.5413,23.887,UP,1
2000-05-16,42.063,41.5,41.9625,43.5175,24.0411,UP,1
2000-05-17,42.875,41.188,42.15,43.48,24.1948,DOWN,0
2000-05-18,41.75,43.063,41.775,43.3525,24.3461,DOWN,0
2000-05-19,40.0,40.0,41.4875,43.205,24.488,DOWN,0
2000-05-22,39.25,39.875,41.1875,42.9975,24.6292,DOWN,0
2000-05-23,39.0,39.063,40.575,42.7025,24.7742,UP,1
2000-05-24,39.5,38.875,39.9,42.4425,24.9259,DOWN,0
2000-05-25,37.625,38.0,39.075,42.2163,25.0647,DOWN,0
2000-05-26,37.063,37.5,38.4875,42.05,25.1953,UP,1
2000-05-30,38.5,37.5,38.3375,41.8188,25.3328,DOWN,0
2000-05-31,37.25,38.25,37.9875,41.5788,25.4647,DOWN,0
2000-06-01,37.188,36.75,37.525,41.3787,25.5931,UP,1
2000-06-02,38.125,37.188,37.625,41.18,25.7291,DOWN,0
2000-06-05,38.125,38.313,37.8375,40.97,25.8641,UP,1
2000-06-06,39.625,38.75,38.0625,40.8375,26.0059,UP,1
2000-06-07,42.125,39.75,39.0375,40.6987,26.1619,DOWN,0
2000-06-08,41.5,41.313,39.9,40.55,26.3138,UP,1
2000-06-09,43.375,41.938,40.95,40.5075,26.4756,UP,1
2000-06-12,44.0,43.875,42.125,40.5875,26.6409,UP,1
2000-06-13,44.25,41.938,43.05,40.5925,26.8075,UP,1
2000-06-14,44.625,44.5,43.55,40.655,26.9756,UP,1
2000-06-15,46.063,44.875,44.4625,40.8038,27.1488,UP,1
2000-06-16,46.25,45.969,45.0375,40.9338,27.3238,UP,1
2000-06-19,46.875,46.0,45.6125,41.0175,27.5028,UP,1
2000-06-20,47.313,47.0,46.225,41.0613,27.6806,DOWN,0
2000-06-21,47.094,47.031,46.7188,41.1406,27.8595,UP,1
2000-06-22,48.125,47.0,47.1313,41.3306,28.0433,DOWN,0
2000-06-23,47.875,48.0,47.4563,41.4906,28.2202,UP,1
2000-06-26,50.375,47.875,48.1563,41.7281,28.4092,UP,1
2000-06-27,52.125,50.0,49.1188,42.0531,28.6077,UP,1
2000-06-28,53.625,51.5,50.425,42.4406,28.8108,UP,1
2000-06-29,56.625,53.563,52.125,42.7706,29.027,DOWN,0
2000-06-30,51.938,56.188,52.9375,43.0731,29.2208,DOWN,0
2000-07-03,50.25,50.656,52.9125,43.3331,29.4033,UP,1
2000-07-05,51.0,49.75,52.6875,43.5544,29.5936,DOWN,0
2000-07-06,50.875,51.125,52.1375,43.8269,29.7848,UP,1
2000-07-07,52.0,51.156,51.2125,44.0844,29.9777,DOWN,0
2000-07-10,50.625,52.094,50.95,44.2419,30.1667,DOWN,0
2000-07-11,48.063,48.563,50.5125,44.3906,30.3452,UP,1
2000-07-12,51.75,49.5,50.6625,44.6031,30.5405,DOWN,0
2000-07-13,51.25,52.094,50.7375,44.8006,30.7355,UP,1
2000-07-14,51.5,50.625,50.6375,44.9906,30.9367,DOWN,0
2000-07-17,51.5,51.5,50.8125,45.1556,31.1398,UP,1
2000-07-18,52.25,51.625,51.65,45.3056,31.3464,UP,1
2000-07-19,53.0,52.969,51.9,45.4056,31.5564,UP,1
2000-07-20,55.625,53.0,52.775,45.5906,31.783,DOWN,0
2000-07-21,51.25,55.063,52.725,45.7769,31.9845,DOWN,0
2000-07-24,50.656,51.688,52.5563,45.9175,32.1847,DOWN,0
2000-07-25,47.0,50.188,51.5063,46.0288,32.3647,DOWN,0
2000-07-26,47.0,46.625,50.3063,46.1538,32.5459,DOWN,0
2000-07-27,45.75,46.969,48.3313,46.2275,32.7234,DOWN,0
2000-07-28,43.625,43.125,46.8063,46.2425,32.8916,UP,1
2000-07-31,45.125,43.563,45.7,46.31,33.0653,DOWN,0
2000-08-01,43.375,44.938,44.975,46.3775,33.2322,UP,1
2000-08-02,44.375,43.125,44.45,46.48,33.3991,UP,1
2000-08-03,45.5,43.75,44.4,46.61,33.5744,DOWN,0
2000-08-04,43.938,45.5,44.4625,46.6987,33.7456,UP,1
2000-08-07,44.5,44.375,44.3375,46.8363,33.9175,UP,1
2000-08-08,45.375,44.25,44.7375,47.0025,34.0944,DOWN,0
2000-08-09,45.25,45.125,44.9125,47.1375,34.2719,DOWN,0
2000-08-10,44.0,45.313,44.6125,47.2725,34.4416,UP,1
2000-08-11,45.0,44.438,44.825,47.4288,34.6166,UP,1
2000-08-14,45.688,44.063,45.0625,47.58,34.7953,DOWN,0
2000-08-15,44.875,45.5,44.9625,47.715,34.9709,DOWN,0
2000-08-16,44.75,44.75,44.8625,47.8175,35.1466,UP,1
2000-08-17,45.438,44.5,45.15,47.8838,35.3256,DOWN,0
2000-08-18,45.125,45.406,45.175,47.9563,35.5037,UP,1
2000-08-21,45.438,45.063,45.125,47.9975,35.6816,DOWN,0
2000-08-22,44.313,45.625,45.0125,48.0037,35.8538,UP,1
2000-08-23,45.0,44.313,45.0625,48.0188,36.0256,UP,1
2000-08-24,45.375,44.5,45.05,48.0338,36.1925,DOWN,0
2000-08-25,45.25,45.0,45.075,48.0175,36.3525,DOWN,0
2000-08-28,44.625,45.5,44.9125,47.985,36.5013,DOWN,0
2000-08-29,44.125,44.625,44.875,47.93,36.6606,UP,1
2000-08-30,44.5,44.375,44.775,47.8738,36.8219,UP,1
2000-08-31,44.625,44.5,44.625,47.8244,36.9856,UP,1
2000-09-01,44.875,44.75,44.55,47.7594,37.1497,DOWN,0
2000-09-05,41.063,44.5,43.8375,47.6231,37.295,UP,1
2000-09-06,42.563,42.625,43.525,47.4669,37.4478,UP,1
2000-09-07,42.813,42.531,43.1875,47.2806,37.6016,DOWN,0
2000-09-08,42.0,42.688,42.6625,47.0481,37.7541,UP,1
2000-09-11,42.125,42.156,42.1125,46.7581,37.9088,DOWN,0
2000-09-12,41.75,42.063,42.25,46.5544,38.0613,DOWN,0
2000-09-13,41.0,41.75,41.9375,46.3694,38.21,UP,1
2000-09-14,41.125,41.75,41.6,46.1719,38.3581,DOWN,0
2000-09-15,40.625,40.656,41.325,45.9669,38.5041,DOWN,0
2000-09-18,40.25,41.0,40.95,45.7319,38.6466,UP,1
2000-09-19,40.5,40.0,40.7,45.5294,38.7844,DOWN,0
2000-09-20,39.0,40.5,40.3,45.3481,38.9141,DOWN,0
2000-09-21,38.563,39.188,39.7875,45.0844,39.0388,DOWN,0
2000-09-22,37.625,37.25,39.1875,44.8119,39.1569,DOWN,0
2000-09-25,37.563,37.563,38.65,44.5331,39.2741,UP,1
2000-09-26,37.672,37.5,38.0844,44.2566,39.3912,DOWN,0
2000-09-27,37.625,38.0,37.8094,43.9641,39.5084,UP,1
2000-09-28,39.813,38.5,38.0594,43.7003,39.6352,UP,1
2000-09-29,41.938,39.5,38.9219,43.4266,39.7762,DOWN,0
2000-10-02,37.625,42.0,38.9344,43.1541,39.8893,UP,1
2000-10-03,38.188,37.875,39.0375,42.9047,40.0009,DOWN,0
2000-10-04,36.813,37.766,38.875,42.7009,40.0993,DOWN,0
2000-10-05,35.516,36.828,38.0156,42.4713,40.1956,DOWN,0
2000-10-06,32.375,35.5,36.1031,42.2038,40.2725,DOWN,0
2000-10-09,32.0,32.578,34.9781,41.9713,40.3481,UP,1
2000-10-10,34.063,32.438,34.1531,41.75,40.4334,UP,1
2000-10-11,34.859,33.5,33.7625,41.5797,40.5202,DOWN,0
2000-10-12,31.875,34.563,33.0344,41.3297,40.5921,UP,1
2000-10-13,34.25,32.484,33.4094,41.1047,40.6734,UP,1
2000-10-16,35.625,33.953,34.1344,40.9384,40.7577,UP,1
2000-10-17,36.75,35.266,34.6719,40.7834,40.8515,DOWN,0
2000-10-18,34.5,35.625,34.6,40.5659,40.9352,UP,1
2000-10-19,35.438,34.5,35.3125,40.3697,41.0274,UP,1
2000-10-20,37.813,35.016,36.025,40.2459,41.1318,UP,1
2000-10-23,38.75,37.0,36.65,40.1209,41.2337,UP,1
2000-10-24,41.313,39.0,37.5625,40.0334,41.3302,DOWN,0
2000-10-25,40.813,40.516,38.825,39.9522,41.4049,UP,1
2000-10-26,40.938,41.063,39.925,39.8759,41.4959,UP,1
2000-10-27,44.0,41.484,41.1625,39.8472,41.5887,UP,1
2000-10-30,46.25,43.813,42.6625,39.8697,41.6946,UP,1
2000-10-31,50.125,46.0,44.425,39.9634,41.8055,UP,1
2000-11-01,51.813,48.313,46.625,40.1134,41.9302,UP,1
2000-11-02,55.125,50.891,49.4625,40.3159,42.0715,DOWN,0
2000-11-03,53.0,54.813,51.2625,40.4684,42.2021,DOWN,0
2000-11-06,51.016,53.688,52.2156,40.5838,42.3153,DOWN,0
2000-11-07,47.969,51.063,51.7844,40.6506,42.4027,DOWN,0
2000-11-08,47.5,48.75,50.9219,40.7181,42.4827,DOWN,0
2000-11-09,44.75,48.438,48.8469,40.7231,42.5617,DOWN,0
2000-11-10,41.875,44.438,46.6219,40.6681,42.6198,DOWN,0
2000-11-13,40.0,41.125,44.4188,40.5706,42.6683,UP,1
2000-11-14,43.313,40.0,43.4875,40.6156,42.7192,DOWN,0
2000-11-15,41.125,42.516,42.2125,40.5869,42.7548,DOWN,0
2000-11-16,37.578,40.766,40.7781,40.4822,42.7677,UP,1
2000-11-17,38.25,39.313,40.0531,40.4072,42.7865,DOWN,0
2000-11-20,37.188,37.875,39.4906,40.3084,42.7955,UP,1
2000-11-21,37.438,37.125,38.3156,40.2222,42.8096,DOWN,0
2000-11-22,35.0,37.484,37.0906,40.1022,42.8159,UP,1
2000-11-24,36.25,35.016,36.825,40.0047,42.8234,UP,1
2000-11-27,38.0,37.25,36.775,39.9522,42.839,UP,1
2000-11-28,40.875,37.813,37.5125,39.9647,42.869,DOWN,0
2000-11-29,39.375,41.047,37.9,39.9422,42.8905,DOWN,0
2000-11-30,37.25,39.141,38.35,39.9072,42.9062,UP,1
2000-12-01,39.625,37.5,39.025,39.9284,42.9462,DOWN,0
2000-12-04,37.188,40.25,38.8625,39.9197,42.9934,UP,1
2000-12-05,38.063,38.0,38.3,39.9297,43.033,DOWN,0
2000-12-06,35.0,38.688,37.425,39.8763,43.0537,UP,1
2000-12-07,35.563,34.688,37.0875,39.835,43.0652,UP,1
2000-12-08,36.063,36.125,36.375,39.76,43.0655,DOWN,0
2000-12-11,35.813,36.016,36.1,39.6375,43.0646,DOWN,0
2000-12-12,35.75,35.813,35.6375,39.6,43.0409,UP,1
2000-12-13,35.938,35.766,35.825,39.555,43.0037,UP,1
2000-12-14,37.313,36.0,36.175,39.565,42.9759,DOWN,0
2000-12-15,37.0,37.438,36.3625,39.5947,42.9402,UP,1
2000-12-18,37.063,37.25,36.6125,39.6884,42.9093,DOWN,0
2000-12-19,36.875,37.0,36.8375,39.7859,42.8699,DOWN,0
2000-12-20,36.5,37.375,36.95,39.8347,42.8118,DOWN,0
2000-12-21,36.375,35.766,36.7625,39.865,42.7568,UP,1
2000-12-22,42.125,39.234,37.7875,40.07,42.7193,UP,1
2000-12-26,42.5,41.0,38.875,40.235,42.663,UP,1
2000-12-27,44.188,41.625,40.3375,40.4063,42.6215,UP,1
2000-12-28,45.938,43.25,42.225,40.59,42.6065,DOWN,0
2000-12-29,41.063,46.234,43.1625,40.7213,42.5849,DOWN,0
2001-01-02,39.313,40.828,42.6,40.7988,42.5312,DOWN,0
2001-01-03,37.625,37.688,41.625,40.795,42.473,DOWN,0
2001-01-04,36.688,37.688,40.125,40.7537,42.4205,DOWN,0
