ticker,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,1.9141,1.8789,2.5815,1.8344,2.027,DOWN,0
2000-02-09,1.8906,1.9141,2.5767,1.8984,2.0199,DOWN,0
2000-02-10,1.8594,1.8984,2.5721,1.8828,2.0091,DOWN,0
2000-02-11,1.8359,1.8516,2.5671,1.875,1.9963,DOWN,0
2000-02-14,1.8359,1.8477,2.5619,1.8672,1.984,DOWN,0
2000-02-15,1.7656,1.8281,2.5559,1.8375,1.9696,DOWN,0
2000-02-16,1.6953,1.7656,2.5494,1.7984,1.9554,DOWN,0
2000-02-17,1.5938,1.6953,2.5426,1.7453,1.9401,UP,1
2000-02-18,1.6328,1.6094,2.5363,1.7047,1.9259,DOWN,0
2000-02-22,1.6328,1.6719,2.5299,1.6641,1.9107,UP,1
2000-02-23,1.6563,1.6484,2.5238,1.6422,1.8951,DOWN,0
2000-02-24,1.6406,1.6406,2.5171,1.6313,1.8813,UP,1
2000-02-25,1.7109,1.6406,2.5102,1.6547,1.8682,UP,1
