ticker,EL US Equity,EL US Equity,EL US Equity,EL US Equity,EL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,25.2188,25.5,23.4289,25.3438,24.173,DOWN,0
2000-02-10,24.9375,25.0,23.4317,25.15,24.2498,DOWN,0
2000-02-11,24.875,25.0,23.4328,25.0438,24.3261,DOWN,0
2000-02-14,24.6875,24.9375,23.4311,24.9438,24.3942,UP,1
2000-02-15,24.9688,24.5625,23.4308,24.9375,24.4705,DOWN,0
2000-02-16,24.9688,25.25,23.4347,24.8875,24.5573,UP,1
2000-02-17,25.5,25.0625,23.4411,25.0,24.658,UP,1
2000-02-18,25.5625,25.5313,23.4445,25.1375,24.7592,UP,1
2000-02-22,25.8125,25.4375,23.4544,25.3625,24.8636,DOWN,0
2000-02-23,25.5,25.8125,23.4661,25.4688,24.9636,DOWN,0
2000-02-24,24.1875,25.6875,23.4716,25.3125,25.0386,DOWN,0
2000-02-25,23.2188,23.9375,23.4718,24.8563,25.0805,DOWN,0
2000-02-28,22.9688,23.0938,23.4666,24.3375,25.1042,DOWN,0
2000-02-29,21.6875,23.125,23.456,23.5125,25.0917,UP,1
2000-03-01,22.5,22.5,23.4524,22.9125,25.0886,DOWN,0
2000-03-02,22.2813,22.375,23.4475,22.5313,25.0848,UP,1
2000-03-03,22.875,22.5625,23.446,22.4625,25.0823,DOWN,0
2000-03-06,22.5313,23.0,23.4421,22.375,25.0598,DOWN,0
2000-03-07,20.625,21.3125,23.4305,22.1625,24.9823,UP,1
2000-03-08,21.0625,20.875,23.4207,21.875,24.9186,UP,1
2000-03-09,21.5,21.1563,23.4136,21.7188,24.848,DOWN,0
2000-03-10,20.0,22.125,23.3981,21.1438,24.7567,UP,1
2000-03-13,20.125,19.75,23.3842,20.6625,24.648,UP,1
2000-03-14,20.2813,20.3438,23.3715,20.5938,24.5492,UP,1
2000-03-15,22.5,20.3125,23.3696,20.8813,24.5036,UP,1
2000-03-16,23.5938,22.5,23.3728,21.3,24.4886,DOWN,0
2000-03-17,22.4688,23.5938,23.3696,21.7938,24.4675,DOWN,0
2000-03-20,22.3125,22.125,23.3642,22.2313,24.4294,UP,1
2000-03-21,23.25,23.1875,23.3646,22.825,24.3931,UP,1
2000-03-22,24.25,23.4375,23.3704,23.175,24.3606,UP,1
2000-03-23,25.1875,24.25,23.3829,23.4938,24.36,DOWN,0
2000-03-24,24.25,25.2188,23.3907,23.85,24.3431,DOWN,0
2000-03-27,22.875,24.25,23.3912,23.9625,24.2969,UP,1
2000-03-28,24.25,22.875,23.3987,24.1625,24.255,UP,1
2000-03-29,24.5,24.25,23.4068,24.2125,24.2131,UP,1
2000-03-30,25.25,24.5,23.4164,24.225,24.1813,DOWN,0
2000-03-31,25.0313,26.1875,23.4256,24.3813,24.145,UP,1
2000-04-03,25.3438,25.0313,23.4365,24.875,24.1169,DOWN,0
2000-04-04,25.3438,25.25,23.4481,25.0938,24.0837,UP,1
2000-04-05,26.375,25.4063,23.4653,25.4688,24.07,DOWN,0
2000-04-06,26.3125,26.2813,23.4803,25.6813,24.0438,UP,1
2000-04-07,26.6563,26.5,23.4964,26.0063,24.045,UP,1
2000-04-10,26.8438,26.75,23.5121,26.3063,24.0625,DOWN,0
2000-04-11,25.6875,26.8438,23.5218,26.375,24.065,DOWN,0
2000-04-12,25.6563,25.8125,23.5315,26.2313,24.0606,UP,1
2000-04-13,25.9688,25.2813,23.5361,26.1625,24.0656,DOWN,0
2000-04-14,23.5,25.0,23.5292,25.5313,24.0175,UP,1
2000-04-17,24.1875,23.3125,23.5251,25.0,23.9931,DOWN,0
2000-04-18,23.5,24.1563,23.5146,24.5625,23.9594,DOWN,0
2000-04-19,23.1875,23.25,23.4992,24.0688,23.9231,UP,1
2000-04-20,23.3125,23.25,23.4876,23.5375,23.885,DOWN,0
2000-04-24,22.8125,23.0,23.4721,23.4,23.8425,DOWN,0
2000-04-25,21.8438,22.7813,23.4504,22.9313,23.7819,DOWN,0
2000-04-26,21.0938,21.9375,23.4245,22.45,23.71,UP,1
2000-04-27,21.2188,21.0938,23.3929,22.0563,23.635,UP,1
2000-04-28,22.0938,21.2813,23.3645,21.8125,23.5775,DOWN,0
2000-05-01,21.75,22.0,23.3332,21.6,23.5025,UP,1
2000-05-02,22.1875,21.7813,23.3059,21.6688,23.435,DOWN,0
2000-05-03,21.6875,22.375,23.2806,21.7875,23.3525,DOWN,0
2000-05-04,21.5313,21.75,23.2576,21.85,23.2731,DOWN,0
2000-05-05,21.5313,21.4375,23.2367,21.7375,23.22,DOWN,0
2000-05-08,21.4063,21.25,23.2164,21.6688,23.1838,UP,1
2000-05-09,21.5313,21.375,23.1987,21.5375,23.155,UP,1
2000-05-10,22.25,21.625,23.1875,21.65,23.1663,UP,1
2000-05-11,23.0,22.25,23.1817,21.9438,23.1763,DOWN,0
2000-05-12,22.9688,22.9375,23.1751,22.2313,23.19,UP,1
2000-05-15,23.0,22.9375,23.1712,22.55,23.1925,UP,1
2000-05-16,23.7813,23.0938,23.1734,23.0,23.2175,UP,1
2000-05-17,24.125,23.875,23.1754,23.375,23.2875,UP,1
2000-05-18,24.7813,24.3125,23.1832,23.7313,23.3619,DOWN,0
2000-05-19,22.8438,24.0,23.1798,23.7063,23.3888,DOWN,0
2000-05-22,22.5625,22.9063,23.1748,23.6188,23.44,DOWN,0
2000-05-23,21.3125,22.4375,23.1636,23.125,23.4638,DOWN,0
2000-05-24,21.2813,21.3125,23.155,22.5563,23.4838,UP,1
2000-05-25,21.875,22.1875,23.1478,21.975,23.4713,UP,1
2000-05-26,22.125,21.5,23.1431,21.8313,23.4419,UP,1
2000-05-30,22.5313,22.0,23.1356,21.825,23.4431,DOWN,0
2000-05-31,22.4063,22.6563,23.1243,22.0438,23.445,UP,1
2000-06-01,22.8438,22.3438,23.1109,22.3563,23.4369,UP,1
2000-06-02,23.6563,23.5625,23.1078,22.7125,23.425,DOWN,0
2000-06-05,23.4063,23.625,23.1071,22.9688,23.3894,DOWN,0
2000-06-06,23.125,23.4063,23.1036,23.0875,23.3669,DOWN,0
2000-06-07,22.7188,23.125,23.0993,23.15,23.3638,UP,1
2000-06-08,22.875,22.7188,23.0936,23.1563,23.3363,UP,1
2000-06-09,23.2813,22.7813,23.0903,23.0813,23.3119,UP,1
2000-06-12,23.6563,23.5313,23.0896,23.1313,23.28,DOWN,0
2000-06-13,23.4375,23.6563,23.089,23.1938,23.2481,UP,1
2000-06-14,23.5,23.4688,23.092,23.35,23.2113,DOWN,0
2000-06-15,23.4688,23.875,23.0945,23.4688,23.1737,DOWN,0
2000-06-16,23.4375,23.4063,23.097,23.5,23.115,DOWN,0
2000-06-19,22.875,23.4063,23.0995,23.3438,23.0463,DOWN,0
2000-06-20,22.4688,22.625,23.0987,23.15,22.9625,UP,1
2000-06-21,22.5938,22.4063,23.0984,22.9688,22.8775,DOWN,0
2000-06-22,22.25,22.6875,23.0981,22.725,22.8088,UP,1
2000-06-23,22.9375,22.3125,23.1028,22.625,22.7544,DOWN,0
2000-06-26,22.6875,22.9063,23.1134,22.5875,22.6888,UP,1
2000-06-27,23.9063,22.6563,23.1314,22.875,22.6969,UP,1
2000-06-28,24.0625,23.9375,23.1429,23.1688,22.6944,UP,1
2000-06-29,24.1875,24.0,23.155,23.5563,22.7081,UP,1
2000-06-30,24.7109,24.3125,23.1705,23.9109,22.7386,DOWN,0
2000-07-03,24.625,24.6563,23.1845,24.2984,22.7648,DOWN,0
2000-07-05,24.5,24.875,23.1951,24.4172,22.7986,DOWN,0
2000-07-06,23.9375,24.5,23.2029,24.3922,22.8405,UP,1
2000-07-07,24.0313,23.75,23.214,24.3609,22.8992,DOWN,0
2000-07-10,23.7188,23.875,23.2288,24.1625,22.9492,DOWN,0
2000-07-11,23.375,23.625,23.2416,23.9125,22.9748,DOWN,0
2000-07-12,22.5313,23.375,23.248,23.5188,22.9905,DOWN,0
2000-07-13,22.0938,22.5313,23.2535,23.15,22.9886,UP,1
2000-07-14,22.4375,22.2188,23.2646,22.8313,23.0036,DOWN,0
2000-07-17,21.9688,22.4063,23.2768,22.4813,23.0123,UP,1
2000-07-18,22.375,21.9688,23.2846,22.2813,23.0292,DOWN,0
2000-07-19,22.3125,22.25,23.2874,22.2375,23.0473,DOWN,0
2000-07-20,22.2188,22.2813,23.292,22.2625,23.0611,UP,1
2000-07-21,22.4375,22.1875,23.297,22.2625,23.0648,DOWN,0
2000-07-24,22.4375,22.3125,23.2973,22.3563,23.0536,UP,1
2000-07-25,22.8438,22.5313,23.2991,22.45,23.0511,UP,1
2000-07-26,22.9375,22.9063,23.3038,22.575,23.0498,DOWN,0
2000-07-27,22.4688,22.9063,23.3059,22.625,23.0236,DOWN,0
2000-07-28,22.3125,22.5,23.3082,22.6,22.9873,DOWN,0
2000-07-31,22.0,22.3125,23.3096,22.5125,22.9317,UP,1
2000-08-01,22.375,22.0,23.316,22.4188,22.9223,UP,1
2000-08-02,22.75,22.625,23.3223,22.3813,22.9261,DOWN,0
2000-08-03,22.6563,22.7813,23.3273,22.4188,22.953,DOWN,0
2000-08-04,22.5,22.6875,23.3298,22.4563,22.9773,DOWN,0
2000-08-07,21.875,22.5313,23.3288,22.4313,22.9773,UP,1
2000-08-08,21.9375,21.875,23.326,22.3438,22.9736,UP,1
2000-08-09,22.2813,22.0625,23.3223,22.25,22.9686,UP,1
2000-08-10,22.4688,22.4375,23.3118,22.2125,22.9698,UP,1
2000-08-11,22.5625,22.7188,23.3076,22.225,22.9642,UP,1
2000-08-14,23.0,22.8125,23.3035,22.45,22.9511,DOWN,0
2000-08-15,22.5313,23.0938,23.2996,22.5688,22.9336,DOWN,0
2000-08-16,21.8438,22.5313,23.2941,22.4813,22.908,DOWN,0
2000-08-17,21.4688,21.8125,23.2865,22.2813,22.883,UP,1
2000-08-18,21.5,21.4688,23.2799,22.0688,22.8555,DOWN,0
2000-08-21,21.125,21.5,23.2726,21.6938,22.8123,UP,1
2000-08-22,21.1875,21.1875,23.2654,21.425,22.763,DOWN,0
2000-08-23,21.125,21.25,23.2599,21.2813,22.7167,DOWN,0
2000-08-24,21.0,21.1875,23.2555,21.1875,22.6667,UP,1
2000-08-25,21.0625,21.0,23.2535,21.1,22.6186,DOWN,0
2000-08-28,20.9688,21.0938,23.2473,21.0688,22.5692,DOWN,0
2000-08-29,20.9063,20.9375,23.2434,21.0125,22.5298,DOWN,0
2000-08-30,20.7813,20.875,23.2407,20.9438,22.4961,DOWN,0
2000-08-31,20.4688,20.8438,23.2385,20.8375,22.4536,UP,1
2000-09-01,20.9063,20.4688,23.2391,20.8063,22.4267,UP,1
2000-09-05,21.0625,21.0,23.2393,20.825,22.3892,DOWN,0
2000-09-06,20.75,21.0313,23.2352,20.7938,22.3505,UP,1
2000-09-07,21.0313,20.875,23.2318,20.8438,22.293,DOWN,0
2000-09-08,20.7188,21.0313,23.2254,20.8938,22.2261,UP,1
2000-09-11,21.2813,20.625,23.2212,20.9688,22.168,DOWN,0
2000-09-12,21.25,21.2188,23.2173,21.0063,22.0988,DOWN,0
2000-09-13,21.1875,21.25,23.2132,21.0938,22.03,DOWN,0
2000-09-14,20.5625,21.2188,23.2105,21.0,21.9513,DOWN,0
2000-09-15,20.1875,20.5625,23.2062,20.8938,21.8763,DOWN,0
2000-09-18,19.6875,20.0938,23.1982,20.575,21.7894,DOWN,0
2000-09-19,19.0625,19.6875,23.1877,20.1375,21.6963,DOWN,0
2000-09-20,17.9063,17.8125,23.1741,19.4813,21.5869,DOWN,0
2000-09-21,17.5625,17.875,23.1596,18.8813,21.4875,UP,1
2000-09-22,18.6563,17.125,23.1504,18.575,21.4188,DOWN,0
2000-09-25,18.6563,18.5625,23.1407,18.3688,21.3431,DOWN,0
2000-09-26,18.0625,18.5313,23.1285,18.1688,21.265,DOWN,0
2000-09-27,18.0,18.0625,23.1163,18.1875,21.1775,UP,1
2000-09-28,18.7188,18.0313,23.1043,18.4188,21.1056,DOWN,0
2000-09-29,18.3125,18.25,23.087,18.35,21.0275,DOWN,0
2000-10-02,18.3125,18.25,23.067,18.2813,20.945,DOWN,0
2000-10-03,18.125,18.2813,23.0443,18.2938,20.8588,UP,1
2000-10-04,18.4063,18.0625,23.024,18.375,20.77,UP,1
2000-10-05,18.9688,18.625,23.0038,18.425,20.6906,DOWN,0
2000-10-06,18.7188,19.0,22.9791,18.5063,20.6156,DOWN,0
2000-10-09,18.6875,18.7813,22.9501,18.5813,20.5431,DOWN,0
2000-10-10,18.6875,18.75,22.9223,18.6938,20.4769,DOWN,0
2000-10-11,18.25,18.6563,22.8884,18.6625,20.3944,DOWN,0
2000-10-12,17.6875,18.25,22.854,18.4063,20.2931,DOWN,0
2000-10-13,17.5625,17.6875,22.814,18.175,20.1913,UP,1
2000-10-16,18.0938,17.625,22.7784,18.0563,20.1031,DOWN,0
2000-10-17,17.6875,18.0938,22.7429,17.8563,20.0194,DOWN,0
2000-10-18,17.5625,17.25,22.709,17.7188,19.9319,UP,1
2000-10-19,18.3438,17.5,22.6831,17.85,19.8531,UP,1
2000-10-20,18.8438,18.625,22.6562,18.1063,19.7806,DOWN,0
2000-10-23,18.6563,18.6875,22.6242,18.2188,19.7025,UP,1
2000-10-24,20.4063,19.375,22.5968,18.7625,19.6506,UP,1
2000-10-25,21.5938,20.75,22.5787,19.5688,19.6319,DOWN,0
2000-10-26,21.4375,21.5,22.5604,20.1875,19.6238,UP,1
2000-10-27,22.0313,21.4063,22.5446,20.825,19.635,UP,1
2000-10-30,22.5,22.25,22.5254,21.5938,19.655,UP,1
2000-10-31,23.2188,22.5,22.5086,22.1563,19.6969,DOWN,0
2000-11-01,23.0,23.3438,22.4893,22.4375,19.7331,DOWN,0
2000-11-02,22.6875,22.6875,22.4686,22.6875,19.7644,DOWN,0
2000-11-03,22.5938,22.0,22.4478,22.8,19.7963,DOWN,0
2000-11-06,22.4688,22.5938,22.4251,22.7938,19.8244,DOWN,0
2000-11-07,21.75,22.4375,22.3986,22.5,19.84,UP,1
2000-11-08,22.875,21.9375,22.3748,22.475,19.8794,DOWN,0
2000-11-09,22.4063,22.625,22.3539,22.4188,19.9119,DOWN,0
2000-11-10,21.9375,22.0625,22.3337,22.2875,19.9413,UP,1
2000-11-13,22.0,21.9063,22.3159,22.1938,19.9631,DOWN,0
2000-11-14,21.875,22.0313,22.2959,22.2188,19.9794,UP,1
2000-11-15,22.2813,21.875,22.2787,22.1,20.01,DOWN,0
2000-11-16,22.0313,22.125,22.2593,22.025,20.03,UP,1
2000-11-17,22.125,22.0313,22.2429,22.0625,20.0581,DOWN,0
2000-11-20,21.625,22.0938,22.2251,21.9875,20.065,DOWN,0
2000-11-21,21.4375,21.5,22.2073,21.9,20.0688,DOWN,0
2000-11-22,21.375,21.4375,22.1881,21.7188,20.0725,DOWN,0
2000-11-24,21.2813,21.4063,22.1698,21.5688,20.0869,DOWN,0
2000-11-27,21.2188,21.3438,22.1515,21.3875,20.1075,DOWN,0
2000-11-28,21.0625,21.2813,22.1334,21.275,20.135,UP,1
2000-11-29,21.25,21.25,22.1148,21.2375,20.1788,UP,1
2000-11-30,21.6563,21.375,22.0982,21.2938,20.2538,UP,1
2000-12-01,22.2188,21.75,22.0818,21.4813,20.3469,UP,1
2000-12-04,22.4063,22.25,22.0661,21.7188,20.4219,DOWN,0
2000-12-05,21.875,22.5313,22.0464,21.8813,20.4862,DOWN,0
2000-12-06,21.8438,21.9063,22.0281,22.0,20.5619,UP,1
2000-12-07,22.0938,21.625,22.0176,22.0875,20.6438,UP,1
2000-12-08,22.25,22.0938,22.0128,22.0938,20.7144,DOWN,0
2000-12-11,21.8125,22.2188,22.007,21.975,20.7844,UP,1
2000-12-12,21.9063,21.75,22.0081,21.9813,20.8563,UP,1
2000-12-13,22.0313,21.9688,22.0057,22.0188,20.9344,DOWN,0
2000-12-14,21.4375,21.75,22.0015,21.8875,20.995,DOWN,0
2000-12-15,21.1875,21.4375,21.9931,21.675,21.0394,UP,1
2000-12-18,21.8125,21.2188,21.9895,21.675,21.1013,UP,1
2000-12-19,21.9063,21.8125,21.9959,21.675,21.1656,UP,1
2000-12-20,22.0313,21.9063,22.0007,21.675,21.2325,DOWN,0
2000-12-21,20.0625,20.9375,21.9936,21.4,21.2688,DOWN,0
2000-12-22,20.0625,20.0625,21.9939,21.175,21.3163,UP,1
2000-12-26,20.4375,20.0313,21.9954,20.9,21.3738,UP,1
2000-12-27,21.2188,20.625,22.0001,20.7625,21.4363,UP,1
2000-12-28,21.7188,21.1875,21.9962,20.7,21.5169,UP,1
2000-12-29,21.9063,21.8438,21.9878,21.0688,21.6038,DOWN,0
2001-01-02,21.3438,21.875,21.9821,21.325,21.6638,DOWN,0
2001-01-03,20.9063,21.3438,21.9751,21.4188,21.705,DOWN,0
2001-01-04,19.4688,20.9063,21.9562,21.0688,21.7213,UP,1
2001-01-05,20.2188,19.4375,21.9361,20.7688,21.7175,UP,1
2001-01-08,21.4063,19.9688,21.9171,20.6688,21.7138,UP,1
2001-01-09,21.875,21.4375,21.9053,20.775,21.7225,DOWN,0
2001-01-10,21.6875,21.875,21.8993,20.9313,21.7156,DOWN,0
2001-01-11,21.4688,21.6875,21.8854,21.3313,21.695,DOWN,0
2001-01-12,21.3125,21.5,21.8695,21.55,21.6569,DOWN,0
2001-01-16,20.9375,21.3125,21.8479,21.4563,21.6156,DOWN,0
2001-01-17,20.625,20.875,21.8259,21.2063,21.5744,UP,1
2001-01-18,21.0313,20.875,21.8043,21.075,21.5431,DOWN,0
2001-01-19,20.9063,21.1563,21.7821,20.9625,21.5119,DOWN,0
2001-01-22,20.0938,20.6563,21.7507,20.7188,21.4788,UP,1
2001-01-23,20.5625,20.0938,21.722,20.6438,21.4325,UP,1
2001-01-24,20.75,20.5625,21.6925,20.6688,21.3994,DOWN,0
2001-01-25,20.625,20.875,21.6614,20.5875,21.3731,DOWN,0
2001-01-26,20.625,20.625,21.6361,20.5313,21.3456,DOWN,0
2001-01-29,20.225,20.95,21.6089,20.5575,21.3126,DOWN,0
2001-01-30,19.45,18.875,21.5763,20.335,21.256,DOWN,0
2001-01-31,19.05,19.125,21.5541,19.995,21.1964,UP,1
2001-02-01,19.625,19.29,21.5312,19.795,21.1464,DOWN,0
2001-02-02,19.45,19.975,21.511,19.56,21.1029,DOWN,0
2001-02-05,19.375,19.455,21.4919,19.39,21.0616,UP,1
2001-02-06,19.63,19.5,21.4735,19.426,21.0267,DOWN,0
2001-02-07,19.19,19.63,21.4554,19.454,20.9849,UP,1
2001-02-08,20.11,19.185,21.4467,19.551,20.9627,DOWN,0
2001-02-09,19.67,20.075,21.4396,19.595,20.9349,UP,1
2001-02-12,19.695,19.69,21.432,19.659,20.9038,DOWN,0
2001-02-13,19.365,19.725,21.4184,19.606,20.858,DOWN,0
2001-02-14,19.16,19.365,21.4054,19.6,20.7968,UP,1
2001-02-15,19.555,19.125,21.3922,19.489,20.7398,DOWN,0
2001-02-16,19.55,19.45,21.3816,19.465,20.6933,UP,1
2001-02-20,19.915,19.875,21.3735,19.509,20.6547,DOWN,0
2001-02-21,19.755,19.79,21.3646,19.587,20.6079,DOWN,0
2001-02-22,19.5,19.725,21.3551,19.655,20.5529,DOWN,0
2001-02-23,19.2,19.5,21.3434,19.584,20.5007,UP,1
2001-02-26,19.635,19.2,21.3303,19.601,20.4552,DOWN,0
2001-02-27,19.125,19.51,21.311,19.443,20.3971,UP,1
2001-02-28,19.32,19.075,21.2927,19.356,20.3548,DOWN,0
2001-03-01,19.305,19.125,21.2742,19.317,20.3171,UP,1
2001-03-02,19.835,19.555,21.2545,19.444,20.2776,UP,1
2001-03-05,19.87,19.835,21.2332,19.491,20.2368,UP,1
2001-03-06,20.25,20.025,21.2106,19.716,20.2012,DOWN,0
2001-03-07,20.245,20.225,21.1976,19.901,20.2049,UP,1
2001-03-08,20.725,20.275,21.1884,20.185,20.2181,DOWN,0
2001-03-09,20.28,20.275,21.1832,20.274,20.215,DOWN,0
2001-03-12,19.995,20.28,21.1768,20.299,20.1905,DOWN,0
2001-03-13,19.275,19.995,21.1638,20.104,20.1416,DOWN,0
2001-03-14,18.9,19.05,21.1477,19.835,20.0815,DOWN,0
2001-03-15,18.835,19.25,21.1292,19.457,20.0313,DOWN,0
2001-03-16,18.375,18.84,21.109,19.076,19.9807,UP,1
2001-03-19,18.5,18.375,21.0873,18.777,19.9613,DOWN,0
2001-03-20,18.33,18.8,21.0607,18.588,19.9235,DOWN,0
2001-03-21,17.555,17.625,21.0314,18.319,19.8465,DOWN,0
2001-03-22,17.215,17.375,21.0019,17.995,19.7533,DOWN,0
2001-03-23,17.15,17.215,20.974,17.75,19.6626,UP,1
2001-03-26,17.25,17.125,20.9459,17.5,19.5782,UP,1
2001-03-27,17.52,17.275,20.9171,17.338,19.5023,UP,1
2001-03-28,17.75,17.5,20.8876,17.377,19.4386,UP,1
2001-03-29,17.9,17.755,20.8599,17.514,19.3841,UP,1
2001-03-30,18.21,18.25,20.8334,17.726,19.3277,DOWN,0
2001-04-02,18.155,18.175,20.8069,17.907,19.2726,DOWN,0
2001-04-03,18.03,18.125,20.7798,18.009,19.2314,UP,1
2001-04-04,18.245,18.0,20.7567,18.108,19.185,UP,1
2001-04-05,18.65,18.65,20.7376,18.258,19.143,DOWN,0
2001-04-06,18.38,18.65,20.7165,18.292,19.0981,UP,1
2001-04-09,18.48,18.55,20.6977,18.357,19.0552,DOWN,0
2001-04-10,18.38,18.525,20.6749,18.427,19.0183,DOWN,0
2001-04-11,18.34,18.375,20.6531,18.446,18.9961,UP,1
2001-04-12,18.475,18.525,20.626,18.411,18.9846,UP,1
2001-04-16,18.61,18.5,20.5987,18.457,18.9643,UP,1
2001-04-17,18.7,18.525,20.5713,18.501,18.9493,UP,1
2001-04-18,18.855,18.7,20.542,18.596,18.9389,UP,1
2001-04-19,18.895,19.0,20.5134,18.707,18.9242,UP,1
2001-04-20,19.0,18.865,20.4859,18.812,18.9204,DOWN,0
2001-04-23,18.695,18.99,20.4596,18.829,18.8921,UP,1
2001-04-24,19.475,18.65,20.4369,18.984,18.8882,UP,1
2001-04-25,19.675,19.225,20.4166,19.148,18.8878,UP,1
2001-04-26,19.755,20.0,20.3985,19.32,18.8956,UP,1
2001-04-27,20.0,20.0,20.3859,19.52,18.9124,DOWN,0
2001-04-30,19.875,20.25,20.3748,19.756,18.9188,UP,1
2001-05-01,20.39,20.125,20.3646,19.939,18.9356,UP,1
2001-05-02,20.515,20.6,20.3573,20.107,18.9476,DOWN,0
2001-05-03,20.35,20.35,20.3472,20.226,18.9595,UP,1
2001-05-04,20.43,20.35,20.3377,20.312,18.9781,DOWN,0
2001-05-07,20.03,20.5,20.3268,20.343,18.9947,UP,1
2001-05-08,20.055,20.06,20.3149,20.276,19.0031,DOWN,0
2001-05-09,19.975,19.95,20.3026,20.168,19.0201,UP,1
2001-05-10,20.09,19.98,20.2888,20.116,19.0355,DOWN,0
2001-05-11,19.975,20.1,20.274,20.025,19.0489,UP,1
2001-05-14,20.175,20.05,20.2625,20.054,19.0557,DOWN,0
2001-05-15,19.845,20.17,20.2502,20.012,19.0552,UP,1
2001-05-16,20.51,19.875,20.2427,20.119,19.0604,UP,1
2001-05-17,21.25,20.51,20.2371,20.351,19.0805,DOWN,0
2001-05-18,20.655,21.125,20.2266,20.487,19.0791,UP,1
2001-05-21,20.985,20.9,20.2183,20.649,19.0932,DOWN,0
2001-05-22,20.96,21.11,20.2106,20.872,19.1125,DOWN,0
2001-05-23,20.875,21.05,20.2056,20.945,19.1445,UP,1
2001-05-24,21.01,20.875,20.2009,20.897,19.1867,DOWN,0
2001-05-25,20.935,21.005,20.1942,20.953,19.2287,DOWN,0
2001-05-29,20.8,20.81,20.1859,20.916,19.2772,DOWN,0
2001-05-30,20.62,20.9,20.1762,20.848,19.3196,DOWN,0
2001-05-31,20.3,20.25,20.1627,20.733,19.359,UP,1
2001-06-01,20.85,20.55,20.1543,20.701,19.4249,UP,1
2001-06-04,20.94,20.725,20.1497,20.702,19.4994,UP,1
2001-06-05,21.11,20.94,20.1479,20.764,19.5786,DOWN,0
2001-06-06,21.015,21.235,20.1455,20.843,19.6539,UP,1
2001-06-07,21.395,21.1,20.1469,21.062,19.7314,DOWN,0
2001-06-08,21.25,21.3225,20.1472,21.142,19.8014,DOWN,0
2001-06-11,21.115,21.25,20.1471,21.177,19.8657,UP,1
2001-06-12,21.18,21.24,20.148,21.191,19.9251,DOWN,0
2001-06-13,21.0,21.03,20.1477,21.188,19.982,DOWN,0
2001-06-14,20.6,21.0,20.1459,21.029,20.0334,DOWN,0
2001-06-15,20.125,20.6,20.142,20.804,20.071,UP,1
2001-06-18,20.975,20.375,20.1429,20.776,20.1175,DOWN,0
2001-06-19,20.7,20.975,20.1441,20.68,20.1639,UP,1
2001-06-20,21.005,20.7,20.1446,20.681,20.2144,DOWN,0
2001-06-21,20.5,20.45,20.1418,20.661,20.2568,DOWN,0
2001-06-22,20.3,20.575,20.1395,20.696,20.296,DOWN,0
2001-06-25,19.985,20.25,20.1343,20.498,20.3262,UP,1
2001-06-26,20.41,19.985,20.1327,20.44,20.3622,DOWN,0
2001-06-27,20.355,20.41,20.1281,20.31,20.3953,UP,1
2001-06-28,21.725,21.75,20.1305,20.555,20.4527,DOWN,0
2001-06-29,21.55,21.875,20.1323,20.805,20.5058,DOWN,0
2001-07-02,21.55,21.55,20.1372,21.118,20.5568,UP,1
2001-07-03,21.725,21.57,20.1449,21.381,20.6174,DOWN,0
