ticker,ABC US Equity,ABC US Equity,ABC US Equity,ABC US Equity,ABC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,4.3362,4.4575,5.3432,4.4757,3.8968,DOWN,0
2000-02-09,4.1846,4.2756,5.3265,4.3968,3.9211,DOWN,0
2000-02-10,4.1391,4.1543,5.3112,4.315,3.9438,DOWN,0
2000-02-11,4.0026,4.1391,5.2965,4.221,3.9635,DOWN,0
2000-02-14,3.9723,4.0936,5.2827,4.127,3.9841,DOWN,0
2000-02-15,3.851,3.9723,5.2651,4.0299,4.0042,UP,1
2000-02-16,3.8662,3.8359,5.2475,3.9663,4.0236,UP,1
2000-02-17,4.0633,3.8662,5.2312,3.9511,4.0475,DOWN,0
2000-02-18,3.8055,4.0633,5.2135,3.9117,4.0663,UP,1
2000-02-22,3.8207,3.8207,5.1944,3.8814,4.0851,DOWN,0
2000-02-23,3.7601,3.8207,5.1764,3.8632,4.0979,DOWN,0
2000-02-24,3.6388,3.7449,5.1581,3.8177,4.1103,DOWN,0
2000-02-25,3.3962,3.563,5.1387,3.6843,4.1148,UP,1
2000-02-28,3.5175,3.3962,5.1188,3.6266,4.1218,UP,1
2000-02-29,3.5326,3.5175,5.0996,3.569,4.1318,UP,1
2000-03-01,3.6084,3.5478,5.0812,3.5387,4.1418,UP,1
2000-03-02,3.6236,3.6236,5.0627,3.5357,4.1527,DOWN,0
2000-03-03,3.472,3.6084,5.0426,3.5508,4.1588,DOWN,0
2000-03-06,3.3659,3.5326,5.0229,3.5205,4.1637,DOWN,0
2000-03-07,3.1688,3.3962,5.0018,3.4477,4.1621,DOWN,0
2000-03-08,3.1384,3.1688,4.9812,3.3537,4.1576,UP,1
2000-03-09,3.1536,3.1384,4.9594,3.2597,4.1473,DOWN,0
2000-03-10,3.1536,3.1384,4.9388,3.1961,4.1391,DOWN,0
2000-03-13,3.1233,3.1536,4.9186,3.1475,4.1279,DOWN,0
2000-03-14,2.911,3.1233,4.8973,3.096,4.1124,UP,1
2000-03-15,3.3204,2.9868,4.8785,3.1324,4.1033,UP,1
2000-03-16,3.9572,3.3355,4.864,3.2931,4.1121,DOWN,0
2000-03-17,3.8359,3.9117,4.8486,3.4295,4.113,UP,1
2000-03-20,3.8662,3.8207,4.8333,3.5781,4.1088,UP,1
2000-03-21,3.8814,3.7752,4.8185,3.7722,4.0942,DOWN,0
2000-03-22,3.8814,4.1088,4.8029,3.8844,4.0772,DOWN,0
2000-03-23,3.6539,3.8359,4.7866,3.8237,4.0527,DOWN,0
2000-03-24,3.6388,3.6539,4.7709,3.7843,4.0278,DOWN,0
2000-03-27,3.6236,3.6388,4.7551,3.7358,3.9854,DOWN,0
2000-03-28,3.6236,3.5933,4.7408,3.6843,3.9502,UP,1
2000-03-29,3.6388,3.6539,4.7268,3.6357,3.9199,DOWN,0
2000-03-30,3.5175,3.5933,4.7117,3.6084,3.8868,UP,1
2000-03-31,3.6388,3.5175,4.6995,3.6084,3.8616,DOWN,0
2000-04-03,3.5478,3.6236,4.6857,3.5933,3.8392,UP,1
2000-04-04,3.7752,3.6084,4.6729,3.6236,3.8204,UP,1
2000-04-05,3.8965,3.7449,4.661,3.6752,3.8074,UP,1
2000-04-06,4.0785,3.9117,4.6495,3.7874,3.801,DOWN,0
2000-04-07,4.0633,4.0785,4.6389,3.8723,3.7913,DOWN,0
2000-04-10,3.7752,4.0481,4.6271,3.9177,3.7758,UP,1
2000-04-11,4.1391,3.942,4.6163,3.9905,3.7707,UP,1
2000-04-12,4.2301,4.1239,4.6061,4.0572,3.7646,UP,1
2000-04-13,4.321,4.2149,4.5967,4.1057,3.7595,DOWN,0
2000-04-14,4.1543,4.2301,4.586,4.1239,3.7516,UP,1
2000-04-17,4.2149,3.9268,4.5755,4.2119,3.7464,UP,1
2000-04-18,4.3514,4.1694,4.5666,4.2543,3.7446,UP,1
2000-04-19,4.3817,4.3817,4.5579,4.2846,3.7455,DOWN,0
2000-04-20,4.3817,4.3817,4.5485,4.2968,3.7494,DOWN,0
2000-04-24,4.3362,4.3665,4.5378,4.3332,3.7534,UP,1
2000-04-25,4.5333,4.4272,4.5278,4.3968,3.764,UP,1
2000-04-26,4.6243,4.503,4.5184,4.4514,3.777,UP,1
2000-04-27,4.7304,4.6243,4.5078,4.5212,3.7946,UP,1
2000-04-28,4.8517,4.7607,4.4977,4.6152,3.8143,DOWN,0
2000-05-01,4.7304,4.8517,4.4866,4.694,3.8277,DOWN,0
2000-05-02,4.3817,4.7304,4.4739,4.6637,3.8392,DOWN,0
2000-05-03,4.3817,4.4423,4.4615,4.6152,3.8504,UP,1
2000-05-04,4.4272,4.412,4.4491,4.5545,3.8638,UP,1
2000-05-05,4.6091,4.4272,4.4377,4.506,3.8832,DOWN,0
2000-05-08,4.5181,4.5485,4.4268,4.4636,3.9056,DOWN,0
