ticker,ETR US Equity,ETR US Equity,ETR US Equity,ETR US Equity,ETR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,23.875,24.625,29.0068,24.7,25.1772,DOWN,0
2000-02-10,23.375,23.875,28.9712,24.2875,25.0934,DOWN,0
2000-02-11,23.125,23.125,28.9346,23.925,25.01,UP,1
2000-02-14,23.5,23.0,28.8959,23.7,24.9413,DOWN,0
2000-02-15,22.8125,23.375,28.8543,23.3375,24.8563,DOWN,0
2000-02-16,22.375,22.75,28.8115,23.0375,24.7725,DOWN,0
2000-02-17,21.9375,22.375,28.764,22.75,24.69,DOWN,0
2000-02-18,21.4375,22.1875,28.7156,22.4125,24.6063,UP,1
2000-02-22,21.625,21.625,28.6684,22.0375,24.5375,DOWN,0
2000-02-23,21.3125,21.5,28.6174,21.7375,24.4675,DOWN,0
2000-02-24,20.375,21.1875,28.5618,21.3375,24.3975,DOWN,0
2000-02-25,20.25,20.5,28.5049,21.0,24.3075,UP,1
2000-02-28,20.875,19.75,28.4484,20.8875,24.225,DOWN,0
2000-02-29,20.25,20.75,28.3921,20.6125,24.1225,UP,1
2000-03-01,20.375,20.4375,28.334,20.425,24.0213,UP,1
2000-03-02,20.4375,20.4375,28.2768,20.4375,23.92,DOWN,0
2000-03-03,20.375,20.5,28.2149,20.4625,23.8125,DOWN,0
2000-03-06,16.6875,19.375,28.1387,19.625,23.635,UP,1
2000-03-07,17.3125,17.25,28.0637,19.0375,23.465,DOWN,0
2000-03-08,17.3125,17.3125,27.9884,18.425,23.2975,UP,1
2000-03-09,17.8125,17.25,27.9159,17.9,23.14,UP,1
2000-03-10,17.9375,17.8125,27.8421,17.4125,22.9913,UP,1
2000-03-13,18.25,18.0,27.7743,17.725,22.8425,DOWN,0
2000-03-14,17.5625,18.0625,27.6999,17.775,22.6788,UP,1
2000-03-15,18.375,17.5,27.6293,17.9875,22.5413,UP,1
2000-03-16,19.375,18.75,27.5634,18.3,22.4225,UP,1
2000-03-17,19.5,19.375,27.4984,18.6125,22.285,UP,1
2000-03-20,19.9375,19.3125,27.4328,18.95,22.1663,DOWN,0
2000-03-21,19.875,19.875,27.3665,19.4125,22.0463,DOWN,0
2000-03-22,19.25,19.625,27.2978,19.5875,21.9163,UP,1
2000-03-23,19.6875,19.25,27.2315,19.65,21.7913,UP,1
2000-03-24,19.875,19.4375,27.1696,19.725,21.6725,UP,1
2000-03-27,20.0,19.8125,27.1065,19.7375,21.5663,DOWN,0
2000-03-28,20.0,19.75,27.0424,19.7625,21.4613,UP,1
2000-03-29,20.375,20.0,26.9793,19.9875,21.3775,DOWN,0
2000-03-30,19.6875,20.125,26.9121,19.9875,21.2863,UP,1
2000-03-31,20.1875,19.6875,26.8487,20.05,21.2113,DOWN,0
2000-04-03,20.125,20.25,26.7856,20.075,21.13,UP,1
2000-04-04,20.6875,20.25,26.7299,20.2125,21.0838,UP,1
2000-04-05,21.625,20.9375,26.6778,20.4625,21.0713,DOWN,0
2000-04-06,20.6875,21.3125,26.6187,20.6625,21.0413,DOWN,0
2000-04-07,20.5,20.125,26.5606,20.725,20.9913,UP,1
2000-04-10,21.125,20.4375,26.5049,20.925,20.9413,UP,1
2000-04-11,21.9375,21.1875,26.4546,21.175,20.8813,UP,1
2000-04-12,22.3125,22.125,26.4059,21.3125,20.8175,UP,1
2000-04-13,23.5625,22.3125,26.3674,21.8875,20.79,DOWN,0
