ticker,CRWD US Equity,CRWD US Equity,CRWD US Equity,CRWD US Equity,CRWD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2019-10-11,60.27,58.77,63.768,76.9652,,DOWN,0
2019-10-14,54.52,55.8,60.916,76.2954,,UP,1
2019-10-15,55.21,55.01,58.898,75.69,,DOWN,0
2019-10-16,52.03,53.57,56.688,75.0258,,DOWN,0
2019-10-17,50.44,51.76,54.494,74.3502,,DOWN,0
2019-10-18,47.04,50.0,51.848,73.458,,UP,1
2019-10-21,47.4,46.93,50.424,72.508,,DOWN,0
2019-10-22,46.2,47.25,48.622,71.5718,,UP,1
2019-10-23,47.87,47.0,47.79,70.5362,,UP,1
2019-10-24,51.84,48.6,48.07,69.6926,,DOWN,0
2019-10-25,50.11,50.88,48.684,68.8216,,DOWN,0
2019-10-28,47.95,50.26,48.794,67.8596,,DOWN,0
2019-10-29,47.8,47.43,49.114,66.8278,,UP,1
2019-10-30,51.445,47.72,49.829,65.8735,,DOWN,0
2019-10-31,49.91,51.2,49.443,64.9401,,DOWN,0
2019-11-01,48.5,49.94,49.121,64.0507,,UP,1
2019-11-04,49.65,49.15,49.461,63.2751,,DOWN,0
2019-11-05,48.7,50.18,49.641,62.4715,,DOWN,0
2019-11-06,47.83,48.56,48.918,61.7465,,DOWN,0
2019-11-07,45.5,48.26,48.036,60.9167,,UP,1
2019-11-08,47.21,45.02,47.778,60.1845,,DOWN,0
2019-11-11,46.2,46.5,47.088,59.4829,,UP,1
2019-11-12,47.05,47.5,46.758,58.7487,,UP,1
2019-11-13,52.0,46.83,47.592,58.0825,,UP,1
2019-11-14,52.73,51.31,49.038,57.4001,,UP,1
2019-11-15,59.75,53.0,51.546,57.0755,,DOWN,0
2019-11-18,57.07,60.0,53.72,56.8749,,DOWN,0
2019-11-19,56.0,57.45,55.51,56.5619,,DOWN,0
2019-11-20,54.88,55.24,56.086,56.2773,,DOWN,0
2019-11-21,53.77,55.46,56.294,55.9595,,UP,1
2019-11-22,54.2,54.19,55.184,55.7463,,UP,1
2019-11-25,55.84,55.32,54.938,55.5059,,DOWN,0
2019-11-26,55.58,56.5,54.854,55.1967,,UP,1
2019-11-27,56.29,56.37,55.136,54.9055,,UP,1
2019-11-29,58.0,56.96,55.982,54.6869,,DOWN,0
2019-12-02,55.01,58.5,56.144,54.4477,,UP,1
2019-12-03,57.37,53.29,56.45,54.2569,,DOWN,0
2019-12-04,54.98,56.61,56.33,54.1061,,DOWN,0
2019-12-05,52.95,55.0,55.662,53.9247,,DOWN,0
2019-12-06,50.89,54.0,54.24,53.7765,,DOWN,0
2019-12-09,49.0,49.14,53.038,53.6873,,DOWN,0
2019-12-10,47.55,49.92,51.074,53.4721,,UP,1
2019-12-11,47.73,47.01,49.624,53.2689,,DOWN,0
2019-12-12,47.3,47.95,48.494,53.0823,,UP,1
2019-12-13,49.41,47.5,48.198,52.8277,,UP,1
2019-12-16,49.45,50.0,48.288,52.5399,,DOWN,0
2019-12-17,48.39,49.34,48.456,52.1321,,UP,1
2019-12-18,50.14,48.96,48.938,51.8289,,DOWN,0
2019-12-19,49.47,50.45,49.372,51.5567,,UP,1
2019-12-20,49.49,49.91,49.388,51.3183,,DOWN,0
2019-12-23,47.85,49.25,49.068,51.0699,,DOWN,0
2019-12-24,47.75,48.0,48.94,50.9345,,UP,1
2019-12-26,50.03,48.41,48.918,50.8309,,DOWN,0
2019-12-27,48.92,50.3,48.808,50.7687,,UP,1
2019-12-30,50.03,50.0,48.916,50.7605,,DOWN,0
2019-12-31,49.87,49.34,49.32,50.8171,,DOWN,0
2020-01-02,49.44,50.03,49.658,50.8579,,UP,1
2020-01-03,50.75,48.92,49.802,50.9489,,UP,1
2020-01-06,55.11,51.85,51.04,51.0937,,DOWN,0
2020-01-07,54.75,54.55,51.984,51.1519,,UP,1
