ticker,QRVO US Equity,QRVO US Equity,QRVO US Equity,QRVO US Equity,QRVO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2015-05-07,75.56,77.63,70.056,73.854,,UP,1
2015-05-08,76.56,76.38,71.448,73.9546,,DOWN,0
2015-05-11,74.56,75.99,72.562,74.0578,,UP,1
2015-05-12,74.75,74.13,74.098,74.1658,,UP,1
2015-05-13,74.96,75.35,75.278,74.2482,,UP,1
2015-05-14,76.98,75.17,75.562,74.3474,,DOWN,0
2015-05-15,76.54,76.7,75.558,74.388,,UP,1
2015-05-18,80.3,75.76,76.706,74.5344,,DOWN,0
2015-05-19,80.1,80.75,77.776,74.6398,,UP,1
2015-05-20,81.15,79.8,79.014,74.8198,,UP,1
2015-05-21,81.26,81.15,79.87,74.986,,UP,1
2015-05-22,84.03,82.0,81.368,75.1982,,DOWN,0
2015-05-26,82.46,83.44,81.8,75.396,,UP,1
2015-05-27,86.4,82.96,83.06,75.5974,,DOWN,0
2015-05-28,82.3,86.21,83.29,75.6892,,DOWN,0
2015-05-29,82.15,82.87,83.468,75.733,,DOWN,0
2015-06-01,80.94,82.5,82.85,75.7442,,DOWN,0
2015-06-02,80.86,80.59,82.53,75.7454,,UP,1
2015-06-03,81.55,81.35,81.56,75.6946,,DOWN,0
2015-06-04,81.32,80.68,81.364,75.6568,,UP,1
2015-06-05,83.7,81.06,81.674,75.7882,,DOWN,0
2015-06-08,80.24,83.42,81.534,75.8492,,DOWN,0
2015-06-09,80.05,80.51,81.372,75.8646,,UP,1
2015-06-10,82.5,81.375,81.562,75.8866,,DOWN,0
2015-06-11,82.0,82.49,81.698,75.9326,,UP,1
2015-06-12,83.51,81.99,81.66,76.0268,,DOWN,0
2015-06-15,82.18,82.51,82.048,76.1146,,UP,1
2015-06-16,84.75,82.22,82.988,76.2794,,DOWN,0
2015-06-17,84.56,84.81,83.4,76.506,,UP,1
2015-06-18,84.65,84.63,83.93,76.7422,,UP,1
2015-06-19,85.25,84.89,84.278,76.9546,,UP,1
2015-06-22,87.81,86.27,85.404,77.2392,,DOWN,0
2015-06-23,85.31,87.9,85.516,77.4928,,DOWN,0
2015-06-24,84.59,85.13,85.522,77.7746,,UP,1
2015-06-25,84.98,84.75,85.588,78.056,,DOWN,0
2015-06-26,80.41,84.85,84.62,78.235,,DOWN,0
2015-06-29,79.06,78.75,82.87,78.4148,,UP,1
2015-06-30,80.27,80.0,81.862,78.58,,UP,1
2015-07-01,80.36,81.25,81.016,78.7058,,UP,1
2015-07-02,81.36,80.72,80.292,78.8434,,DOWN,0
2015-07-06,79.99,80.33,80.208,78.9778,,DOWN,0
2015-07-07,79.95,80.29,80.386,79.1744,,DOWN,0
2015-07-08,74.68,77.43,79.268,79.2806,,DOWN,0
2015-07-09,74.63,76.3,78.122,79.416,,UP,1
2015-07-10,76.16,75.22,77.082,79.5662,,UP,1
2015-07-13,76.61,77.17,76.406,79.7802,,UP,1
2015-07-14,77.96,77.14,76.008,79.9474,,DOWN,0
2015-07-15,77.88,78.6,76.648,80.1252,,UP,1
2015-07-16,80.24,78.07,77.77,80.3886,,DOWN,0
2015-07-17,78.86,80.14,78.31,80.5846,,DOWN,0
2015-07-20,76.7,78.5,78.328,80.6074,,UP,1
2015-07-21,77.45,76.22,78.226,80.6252,,DOWN,0
2015-07-22,74.17,72.55,77.484,80.6174,,UP,1
2015-07-23,75.24,74.71,76.484,80.6272,,DOWN,0
2015-07-24,72.28,76.51,75.168,80.5736,,DOWN,0
2015-07-27,69.94,71.45,73.816,80.4328,,UP,1
2015-07-28,70.75,70.5,72.476,80.317,,DOWN,0
2015-07-29,70.47,70.33,71.736,80.1204,,DOWN,0
2015-07-30,60.485,60.65,68.785,79.7281,,DOWN,0
2015-07-31,57.95,60.61,65.919,79.2641,,DOWN,0
2015-08-03,57.52,57.52,63.435,78.7893,,DOWN,0
2015-08-04,55.06,56.68,60.297,78.2099,,DOWN,0
2015-08-05,54.83,55.16,57.169,77.6573,,DOWN,0
2015-08-06,51.83,54.73,55.438,76.9659,,UP,1
2015-08-07,52.2,51.54,54.288,76.3639,,UP,1
2015-08-10,54.53,53.18,53.69,75.8115,,DOWN,0
2015-08-11,53.86,53.5,53.45,75.2699,,UP,1
2015-08-12,56.96,52.74,53.876,74.7919,,UP,1
2015-08-13,58.32,57.23,55.174,74.3273,,DOWN,0
2015-08-14,58.24,57.58,56.382,73.8657,,UP,1
2015-08-17,58.28,57.71,57.132,73.3573,,DOWN,0
2015-08-18,55.93,57.6,57.546,72.8711,,DOWN,0
2015-08-19,55.59,55.9,57.272,72.3819,,DOWN,0
2015-08-20,52.36,54.61,56.08,71.7791,,DOWN,0
2015-08-21,49.99,51.83,54.43,71.1389,,DOWN,0
2015-08-24,48.5,45.5,52.474,70.4387,,UP,1
2015-08-25,49.81,51.79,51.25,69.7913,,UP,1
2015-08-26,52.75,51.67,50.682,69.1513,,UP,1
2015-08-27,54.74,54.13,51.158,68.5549,,UP,1
2015-08-28,55.79,54.37,52.318,67.9777,,DOWN,0
2015-08-31,55.51,54.79,53.72,67.3829,,DOWN,0
2015-09-01,53.45,53.89,54.448,66.6957,,UP,1
2015-09-02,54.82,54.75,54.862,66.0859,,UP,1
2015-09-03,56.57,55.0,55.228,65.5255,,DOWN,0
2015-09-04,55.79,55.29,55.228,64.9417,,UP,1
2015-09-08,58.19,57.04,55.764,64.4973,,DOWN,0
2015-09-09,56.55,58.54,56.384,64.0471,,DOWN,0
2015-09-10,53.98,56.98,56.216,63.5213,,DOWN,0
2015-09-11,53.52,53.77,55.606,62.9845,,DOWN,0
2015-09-14,53.49,54.1,55.146,62.4271,,DOWN,0
2015-09-15,52.73,53.86,54.054,61.8819,,DOWN,0
2015-09-16,51.74,52.64,53.092,61.3177,,DOWN,0
2015-09-17,51.39,51.49,52.574,60.8519,,DOWN,0
2015-09-18,50.73,50.7,52.016,60.3739,,DOWN,0
2015-09-21,49.9,50.97,51.298,59.8487,,DOWN,0
2015-09-22,47.37,49.27,50.226,59.2639,,UP,1
2015-09-23,48.06,47.95,49.49,58.6659,,DOWN,0
2015-09-24,46.77,47.66,48.566,58.0437,,UP,1
2015-09-25,47.68,47.5,47.956,57.3925,,DOWN,0
2015-09-28,43.25,46.52,46.626,56.6803,,UP,1
2015-09-29,43.57,43.01,45.866,56.0177,,UP,1
2015-09-30,45.05,44.23,45.264,55.3697,,DOWN,0
2015-10-01,43.63,44.46,44.636,54.7589,,UP,1
2015-10-02,44.96,42.88,44.092,54.1533,,DOWN,0
2015-10-05,44.77,45.35,44.396,53.6031,,DOWN,0
2015-10-06,44.28,44.83,44.538,53.0899,,UP,1
2015-10-07,45.55,44.74,44.638,52.5859,,DOWN,0
2015-10-08,45.26,45.25,44.964,52.0817,,UP,1
2015-10-09,45.66,45.03,45.104,51.7852,,UP,1
2015-10-12,46.43,45.85,45.436,51.5548,,DOWN,0
2015-10-13,44.14,46.0,45.408,51.2872,,UP,1
2015-10-14,46.5,44.43,45.598,51.116,,UP,1
2015-10-15,48.31,47.06,46.208,50.9856,,DOWN,0
2015-10-16,47.32,48.44,46.54,50.8954,68.1787,DOWN,0
2015-10-19,46.85,47.29,46.624,50.7884,68.061,UP,1
2015-10-20,48.2,47.18,47.436,50.6618,67.9638,UP,1
2015-10-21,48.5,48.48,47.836,50.5546,67.883,UP,1
2015-10-22,49.55,49.25,48.084,50.4064,67.7975,UP,1
2015-10-23,51.5,50.11,48.92,50.27,67.7165,DOWN,0
2015-10-26,46.76,50.89,48.902,50.0404,67.6148,DOWN,0
2015-10-27,45.89,46.25,48.44,49.7926,67.5166,DOWN,0
2015-10-28,45.17,47.0,47.774,49.5774,67.4174,DOWN,0
2015-10-29,43.81,43.9,46.626,49.3418,67.3135,UP,1
2015-10-30,43.93,44.07,45.112,49.1732,67.2112,UP,1
2015-11-02,45.27,44.13,44.814,49.0788,67.1085,UP,1
2015-11-03,45.71,44.94,44.778,49.023,66.9972,UP,1
2015-11-04,46.57,45.86,45.058,48.9582,66.8859,DOWN,0
2015-11-05,45.08,46.79,45.312,48.8048,66.7582,UP,1
2015-11-06,55.55,50.6,47.636,48.821,66.6691,DOWN,0
2015-11-09,54.09,55.17,49.4,48.787,66.5738,DOWN,0
2015-11-10,52.29,52.0,50.716,48.7226,66.4665,DOWN,0
2015-11-11,52.2,52.33,51.842,48.6976,66.35,DOWN,0
2015-11-12,50.97,51.74,53.02,48.6206,66.2261,UP,1
2015-11-13,51.0,50.48,52.11,48.5092,66.1117,UP,1
2015-11-16,51.84,50.67,51.66,48.4302,66.0273,UP,1
2015-11-17,54.74,52.0,52.15,48.3612,65.9584,UP,1
2015-11-18,56.34,55.2,52.978,48.357,65.8985,DOWN,0
2015-11-19,55.77,56.55,53.938,48.3928,65.8404,DOWN,0
2015-11-20,54.78,55.94,54.694,48.418,65.7848,UP,1
2015-11-23,54.85,54.65,55.296,48.4452,65.7404,UP,1
2015-11-24,55.75,54.55,55.498,48.5056,65.694,UP,1
2015-11-25,57.34,55.65,55.698,48.6176,65.657,UP,1
2015-11-27,57.51,57.43,56.046,48.74,65.6135,UP,1
2015-11-30,58.07,57.65,56.704,48.8868,65.5537,DOWN,0
2015-12-01,58.04,58.31,57.342,49.0496,65.4967,UP,1
2015-12-02,58.48,58.1,57.888,49.2718,65.4514,DOWN,0
2015-12-03,58.09,59.3,58.038,49.4724,65.4154,UP,1
2015-12-04,59.54,58.05,58.444,49.7278,65.3872,DOWN,0
2015-12-07,57.63,59.28,58.356,49.9268,65.3501,DOWN,0
2015-12-08,57.28,57.0,58.204,50.2074,65.2898,DOWN,0
2015-12-09,56.15,57.03,57.738,50.459,65.2345,UP,1
2015-12-10,57.5,56.2,57.62,50.708,65.1644,DOWN,0
2015-12-11,56.19,56.67,56.95,50.9592,65.0983,DOWN,0
2015-12-14,52.48,56.06,55.92,51.1096,65.014,DOWN,0
2015-12-15,51.69,52.4,54.802,51.248,64.9182,UP,1
2015-12-16,53.23,52.23,54.218,51.427,64.8243,DOWN,0
2015-12-17,52.75,53.47,53.268,51.571,64.7155,DOWN,0
2015-12-18,51.63,52.5,52.356,51.6984,64.6087,UP,1
2015-12-21,53.35,51.87,52.53,51.8522,64.5013,DOWN,0
2015-12-22,52.41,53.5,52.674,51.9718,64.4026,UP,1
2015-12-23,54.41,52.59,52.91,52.1772,64.3099,DOWN,0
2015-12-24,54.21,54.29,53.202,52.3314,64.2139,DOWN,0
2015-12-28,52.89,54.0,53.454,52.423,64.1155,UP,1
2015-12-29,52.99,53.18,53.382,52.5364,63.9988,DOWN,0
2015-12-30,51.66,52.96,53.232,52.6326,63.8685,DOWN,0
2015-12-31,50.9,51.41,52.53,52.6866,63.7232,DOWN,0
2016-01-04,50.72,49.68,51.832,52.731,63.5749,DOWN,0
2016-01-05,47.53,50.76,50.76,52.6906,63.4086,DOWN,0
2016-01-06,44.62,46.66,49.086,52.553,63.2112,UP,1
2016-01-07,45.64,44.5,47.882,52.5306,63.0234,DOWN,0
2016-01-08,44.49,43.05,46.6,52.5026,62.8602,DOWN,0
2016-01-11,44.22,44.66,45.3,52.4836,62.6953,UP,1
2016-01-12,44.78,44.37,44.75,52.503,62.5228,DOWN,0
2016-01-13,40.39,40.74,43.904,52.4322,62.3178,DOWN,0
2016-01-14,39.42,40.56,42.66,52.3152,62.1164,DOWN,0
2016-01-15,36.6,37.92,41.082,52.133,61.9054,DOWN,0
2016-01-19,36.29,37.21,39.496,51.9274,61.6979,UP,1
2016-01-20,37.05,35.54,37.95,51.7668,61.5006,UP,1
2016-01-21,37.84,37.45,37.44,51.4126,61.3236,UP,1
2016-01-22,41.06,38.81,37.768,51.152,61.1647,DOWN,0
2016-01-25,39.76,40.77,38.4,50.9014,60.9904,DOWN,0
2016-01-26,39.76,40.2,39.094,50.6526,60.8213,DOWN,0
2016-01-27,37.02,39.31,39.088,50.3736,60.6432,DOWN,0
2016-01-28,36.67,37.09,38.854,50.087,60.4741,UP,1
2016-01-29,39.6,37.26,38.562,49.8422,60.3175,UP,1
2016-02-01,39.97,39.45,38.604,49.5468,60.1601,DOWN,0
2016-02-02,37.15,39.25,38.082,49.163,59.9955,DOWN,0
2016-02-03,37.06,37.24,38.09,48.7888,59.8207,UP,1
2016-02-04,38.78,37.39,38.512,48.4688,59.6443,DOWN,0
2016-02-05,37.25,36.6,38.042,48.1168,59.4581,DOWN,0
2016-02-08,36.42,36.61,37.332,47.7302,59.2739,DOWN,0
2016-02-09,35.14,35.65,36.93,47.2862,59.099,UP,1
2016-02-10,35.36,35.28,36.59,46.8432,58.9289,DOWN,0
2016-02-11,34.53,34.54,35.74,46.3724,58.7623,UP,1
2016-02-12,37.55,35.2,35.8,45.9626,58.6068,UP,1
2016-02-16,40.78,38.12,36.672,45.6086,58.4811,UP,1
2016-02-17,41.59,41.23,37.962,45.2786,58.3411,DOWN,0
2016-02-18,40.41,41.6,38.972,44.896,58.1982,UP,1
2016-02-19,41.85,40.12,40.436,44.5804,58.0721,UP,1
2016-02-22,41.96,42.79,41.318,44.274,57.9366,DOWN,0
2016-02-23,41.49,41.73,41.46,43.9808,57.7662,UP,1
2016-02-24,42.17,40.98,41.576,43.6742,57.5943,UP,1
2016-02-25,42.67,42.31,42.028,43.4038,57.4348,UP,1
2016-02-26,43.46,43.08,42.35,43.2234,57.2784,UP,1
2016-02-29,45.08,43.5,42.974,43.0912,57.129,UP,1
2016-03-01,47.36,45.52,44.148,42.9738,56.9809,UP,1
2016-03-02,47.65,46.66,45.244,42.8718,56.8364,UP,1
2016-03-03,49.11,47.73,46.532,42.8214,56.6805,UP,1
2016-03-04,49.9,49.56,47.82,42.7524,56.5295,DOWN,0
2016-03-07,49.06,49.5,48.616,42.6854,56.369,DOWN,0
2016-03-08,47.09,48.91,48.562,42.539,56.1982,UP,1
2016-03-09,48.18,47.54,48.668,42.4184,56.0189,DOWN,0
2016-03-10,47.4,48.2,48.326,42.3086,55.8436,UP,1
2016-03-11,48.64,48.07,48.074,42.2216,55.6548,UP,1
2016-03-14,48.73,48.31,48.008,42.163,55.487,UP,1
2016-03-15,49.27,49.36,48.444,42.1304,55.3226,DOWN,0
2016-03-16,48.99,48.93,48.606,42.0958,55.1628,UP,1
2016-03-17,49.2,48.69,48.966,42.1292,55.0045,UP,1
2016-03-18,50.69,49.39,49.376,42.2506,54.8502,DOWN,0
2016-03-21,50.64,50.65,49.758,42.3506,54.6968,UP,1
2016-03-22,51.75,50.35,50.254,42.4958,54.5371,DOWN,0
2016-03-23,49.52,51.72,50.36,42.6018,54.3835,DOWN,0
2016-03-24,49.24,49.23,50.368,42.691,54.2294,DOWN,0
2016-03-28,49.1,49.66,50.05,42.8652,54.0624,UP,1
2016-03-29,50.58,48.8,50.038,43.0884,53.9053,UP,1
2016-03-30,51.23,51.0,49.934,43.381,53.7439,DOWN,0
2016-03-31,50.41,51.01,50.112,43.6634,53.5851,UP,1
2016-04-01,50.82,50.15,50.428,43.9388,53.4154,DOWN,0
2016-04-04,50.62,50.93,50.732,44.1944,53.2457,DOWN,0
2016-04-05,49.86,50.03,50.588,44.3704,53.0718,UP,1
2016-04-06,50.5,49.97,50.442,44.5852,52.898,DOWN,0
2016-04-07,48.73,49.85,50.106,44.7646,52.7026,UP,1
2016-04-08,49.24,49.43,49.79,45.009,52.5223,DOWN,0
2016-04-11,47.99,49.41,49.264,45.2354,52.3393,DOWN,0
2016-04-12,47.68,47.96,48.828,45.397,52.1528,UP,1
2016-04-13,50.04,48.1,48.736,45.5984,52.0009,DOWN,0
2016-04-14,49.63,49.41,48.916,45.848,51.8538,DOWN,0
2016-04-15,47.74,49.29,48.616,46.0616,51.6911,DOWN,0
2016-04-18,47.16,47.3,48.45,46.2292,51.5251,DOWN,0
2016-04-19,45.24,46.98,47.962,46.389,51.3445,UP,1
2016-04-20,45.94,45.06,47.142,46.5794,51.1743,DOWN,0
2016-04-21,45.35,45.86,46.286,46.7836,51.0013,UP,1
2016-04-22,45.7,45.26,45.878,46.9904,50.8564,DOWN,0
2016-04-25,45.05,45.52,45.456,47.2008,50.7085,UP,1
2016-04-26,46.3,45.42,45.668,47.3758,50.5592,UP,1
2016-04-27,46.62,44.3,45.804,47.4926,50.4092,DOWN,0
2016-04-28,45.83,46.23,45.9,47.5774,50.2486,DOWN,0
2016-04-29,45.03,45.67,45.766,47.6698,50.0843,DOWN,0
2016-05-02,44.71,45.07,45.698,47.727,49.9067,UP,1
2016-05-03,45.04,44.32,45.446,47.7886,49.7376,DOWN,0
2016-05-04,44.51,44.48,45.024,47.849,49.5766,UP,1
2016-05-05,46.66,47.9,45.19,47.9388,49.4227,DOWN,0
2016-05-06,46.11,46.65,45.406,48.0076,49.2824,DOWN,0
2016-05-09,45.62,46.27,45.588,48.0508,49.1343,UP,1
2016-05-10,46.64,45.86,45.908,48.082,49.0061,DOWN,0
2016-05-11,45.99,46.4,46.204,48.0546,48.8863,DOWN,0
2016-05-12,45.18,46.19,45.908,48.0052,48.7585,DOWN,0
2016-05-13,44.99,45.24,45.684,47.9228,48.6311,UP,1
2016-05-16,45.56,45.03,45.672,47.836,48.5565,UP,1
2016-05-17,45.83,45.54,45.51,47.7714,48.4959,UP,1
2016-05-18,47.22,45.63,45.756,47.774,48.4444,DOWN,0
2016-05-19,47.17,46.71,46.154,47.7538,48.4049,UP,1
2016-05-20,49.4,47.66,47.036,47.7938,48.3778,UP,1
2016-05-23,50.4,50.0,48.004,47.829,48.3706,UP,1
2016-05-24,50.98,50.74,49.034,47.874,48.3645,DOWN,0
2016-05-25,50.65,50.97,49.72,47.9016,48.3451,DOWN,0
2016-05-26,50.53,50.73,50.392,47.9324,48.3285,DOWN,0
2016-05-27,50.53,50.38,50.618,47.959,48.2963,UP,1
2016-05-31,50.97,50.75,50.732,47.9646,48.2596,UP,1
2016-06-01,52.14,50.65,50.964,47.9946,48.2291,UP,1
2016-06-02,53.49,52.0,51.532,48.0294,48.2051,UP,1
2016-06-03,53.67,54.0,52.16,48.1124,48.1938,UP,1
2016-06-06,54.81,53.81,53.016,48.2238,48.1899,UP,1
2016-06-07,55.49,54.92,53.92,48.3516,48.2056,UP,1
2016-06-08,56.04,55.56,54.7,48.4608,48.2358,UP,1
2016-06-09,56.07,56.01,55.216,48.5576,48.2737,DOWN,0
2016-06-10,54.03,55.4,55.288,48.63,48.2948,DOWN,0
2016-06-13,53.69,53.51,55.064,48.6874,48.2995,UP,1
2016-06-14,54.43,53.57,54.852,48.7636,48.2979,UP,1
2016-06-15,54.94,54.72,54.632,48.8652,48.2937,DOWN,0
2016-06-16,54.81,54.21,54.38,48.9514,48.2902,DOWN,0
2016-06-17,54.5,54.75,54.474,49.0668,48.2954,UP,1
2016-06-20,55.98,55.52,54.932,49.2016,48.3012,UP,1
2016-06-21,56.33,56.32,55.312,49.3684,48.3,DOWN,0
2016-06-22,55.64,56.26,55.452,49.5276,48.2993,UP,1
2016-06-23,58.28,56.15,56.146,49.6924,48.2997,DOWN,0
2016-06-24,54.94,56.2,56.234,49.7986,48.2917,DOWN,0
2016-06-27,50.69,53.99,55.176,49.8576,48.2752,UP,1
2016-06-28,52.75,51.81,54.46,49.9694,48.2714,UP,1
2016-06-29,54.65,53.1,54.262,50.1576,48.2772,UP,1
2016-06-30,55.26,54.79,53.658,50.344,48.2898,DOWN,0
2016-07-01,54.5,54.4,53.57,50.527,48.3036,DOWN,0
2016-07-05,51.82,53.75,53.796,50.6494,48.3058,UP,1
2016-07-06,52.57,51.49,53.76,50.7998,48.315,UP,1
2016-07-07,54.37,53.46,53.704,50.9612,48.3373,UP,1
2016-07-08,56.02,54.84,53.856,51.1492,48.3806,UP,1
2016-07-11,57.73,56.94,54.502,51.3872,48.4289,UP,1
2016-07-12,58.0,58.21,55.738,51.6466,48.4851,DOWN,0
2016-07-13,56.67,58.44,56.558,51.8858,48.53,UP,1
2016-07-14,59.31,57.54,57.546,52.1712,48.6103,UP,1
2016-07-15,59.42,59.5,58.226,52.4694,48.6896,UP,1
2016-07-18,60.66,59.79,58.812,52.7494,48.7676,DOWN,0
2016-07-19,60.4,60.31,59.292,53.0352,48.8515,UP,1
2016-07-20,60.8,60.72,60.118,53.3388,48.9307,DOWN,0
2016-07-21,60.1,61.23,60.276,53.608,49.0073,UP,1
2016-07-22,60.56,59.4,60.504,53.8994,49.0887,UP,1
2016-07-25,60.62,60.77,60.496,54.2082,49.1641,DOWN,0
2016-07-26,60.38,61.13,60.492,54.516,49.2397,UP,1
2016-07-27,63.01,64.2,60.934,54.865,49.3264,UP,1
2016-07-28,63.1,63.0,61.534,55.2104,49.4098,UP,1
2016-07-29,63.23,63.0,62.068,55.5306,49.5052,UP,1
2016-08-01,63.47,63.5,62.638,55.8566,49.5901,DOWN,0
2016-08-02,61.45,63.34,62.852,56.0976,49.6558,DOWN,0
2016-08-03,55.12,55.5,61.274,56.192,49.6948,DOWN,0
2016-08-04,53.41,55.47,59.336,56.2406,49.7276,UP,1
2016-08-05,55.05,53.79,57.7,56.3286,49.7618,DOWN,0
2016-08-08,54.3,55.09,55.866,56.404,49.7908,UP,1
2016-08-09,54.49,54.38,54.474,56.4832,49.8155,DOWN,0
2016-08-10,54.14,54.86,54.278,56.5466,49.8287,UP,1
2016-08-11,54.48,54.49,54.492,56.5934,49.8673,UP,1
2016-08-12,54.59,54.57,54.4,56.6154,49.9108,UP,1
2016-08-15,55.77,54.54,54.694,56.6574,49.9638,DOWN,0
2016-08-16,55.28,55.41,54.852,56.6668,50.0212,DOWN,0
2016-08-17,54.56,55.01,54.936,56.6482,50.0743,UP,1
2016-08-18,55.2,54.72,55.08,56.6314,50.124,UP,1
2016-08-19,56.23,55.06,55.408,56.6346,50.1766,DOWN,0
2016-08-22,55.98,56.05,55.45,56.6736,50.2236,UP,1
2016-08-23,56.03,56.28,55.6,56.7204,50.2784,UP,1
2016-08-24,57.31,56.12,56.15,56.778,50.2872,UP,1
2016-08-25,57.94,57.13,56.698,56.838,50.3064,DOWN,0
2016-08-26,57.62,57.84,56.976,56.8942,50.3331,UP,1
2016-08-29,57.87,57.64,57.354,56.9616,50.3614,DOWN,0
2016-08-30,57.69,57.5,57.686,56.9958,50.395,DOWN,0
2016-08-31,57.43,57.46,57.71,57.0178,50.4272,UP,1
2016-09-01,57.75,57.46,57.672,57.06,50.4567,DOWN,0
2016-09-02,57.6,57.95,57.668,57.0464,50.471,DOWN,0
2016-09-06,56.02,57.85,57.298,57.068,50.4694,DOWN,0
