ticker,PANW US Equity,PANW US Equity,PANW US Equity,PANW US Equity,PANW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-11-19,18.67,17.923,17.7493,20.3546,,DOWN,0
2012-11-20,18.14,18.577,17.8313,20.2458,,UP,1
2012-11-21,18.483,18.06,18.0353,20.1371,,DOWN,0
2012-11-23,18.47,18.657,18.3027,20.0625,,UP,1
2012-11-26,18.627,18.37,18.478,20.0027,,UP,1
2012-11-27,18.68,18.4,18.48,19.9231,,DOWN,0
2012-11-28,18.193,18.447,18.4907,19.8403,,UP,1
2012-11-29,18.623,18.227,18.5187,19.7601,,DOWN,0
2012-11-30,18.14,18.683,18.4527,19.6617,,DOWN,0
2012-12-03,17.22,18.14,18.1713,19.5527,,UP,1
2012-12-04,17.883,17.513,18.012,19.4767,,DOWN,0
2012-12-05,17.367,17.8,17.8467,19.3973,,DOWN,0
2012-12-06,17.1,17.477,17.542,19.3082,,UP,1
2012-12-07,17.103,16.667,17.3347,19.2225,,DOWN,0
2012-12-10,16.273,17.067,17.1453,19.1263,,UP,1
2012-12-11,16.297,16.603,16.828,19.0184,,UP,1
2012-12-12,16.417,16.42,16.638,18.9363,,DOWN,0
2012-12-13,16.32,16.28,16.482,18.8587,,UP,1
2012-12-14,16.597,16.3,16.3807,18.7773,,UP,1
