ticker,TPR US Equity,TPR US Equity,TPR US Equity,TPR US Equity,TPR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2001-01-30,3.9188,3.8725,3.8458,3.141,,UP,1
2001-01-31,4.2188,3.95,3.9207,3.168,,UP,1
2001-02-01,4.4538,4.225,4.0552,3.1987,,UP,1
2001-02-02,4.5,4.55,4.1927,3.2318,,DOWN,0
2001-02-05,4.3975,4.4875,4.2978,3.2632,,DOWN,0
2001-02-06,4.265,4.375,4.367,3.291,,UP,1
2001-02-07,4.2813,4.25,4.3795,3.3191,,DOWN,0
2001-02-08,4.225,4.28,4.3338,3.3442,,DOWN,0
2001-02-09,4.2188,4.2375,4.2775,3.3698,,DOWN,0
2001-02-12,4.1,4.2188,4.218,3.3962,,DOWN,0
2001-02-13,4.1,4.1063,4.185,3.4229,,UP,1
2001-02-14,4.2438,4.1013,4.1775,3.4528,,UP,1
2001-02-15,4.2813,4.375,4.1888,3.4806,,DOWN,0
2001-02-16,4.2563,4.27,4.1963,3.5101,,DOWN,0
2001-02-20,4.2313,4.2975,4.2225,3.5371,,UP,1
