ticker,LH US Equity,LH US Equity,LH US Equity,LH US Equity,LH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,10.0,10.313,7.4408,9.375,8.8281,DOWN,0
2000-02-10,9.688,10.0,7.4642,9.5938,8.8344,DOWN,0
2000-02-11,9.688,9.844,7.4876,9.8438,8.8469,UP,1
2000-02-14,9.844,9.375,7.5103,9.9063,8.8594,UP,1
2000-02-15,10.0,10.0,7.5314,9.8438,8.875,DOWN,0
2000-02-16,9.844,9.688,7.5494,9.8125,8.8906,DOWN,0
2000-02-17,9.844,9.844,7.5673,9.8438,8.9063,DOWN,0
2000-02-18,9.844,9.844,7.5845,9.875,8.9219,DOWN,0
2000-02-22,9.844,9.844,7.6033,9.875,8.9375,DOWN,0
2000-02-23,9.531,9.844,7.6189,9.7813,8.9438,DOWN,0
2000-02-24,9.375,9.531,7.6345,9.6875,8.95,DOWN,0
2000-02-25,9.375,9.531,7.6494,9.5938,8.9594,DOWN,0
2000-02-28,9.063,9.375,7.6626,9.4375,8.9656,UP,1
2000-02-29,10.0,9.063,7.6814,9.4688,9.0,UP,1
2000-03-01,10.156,10.0,7.7017,9.5938,9.0406,UP,1
2000-03-02,10.625,10.156,7.7251,9.8438,9.0781,DOWN,0
2000-03-03,10.469,10.625,7.747,10.0625,9.1094,UP,1
2000-03-06,11.094,10.625,7.772,10.4688,9.1563,DOWN,0
2000-03-07,10.781,11.25,7.7947,10.625,9.1969,DOWN,0
2000-03-08,10.625,10.938,7.8173,10.7188,9.2406,UP,1
2000-03-09,10.938,10.781,7.8416,10.7813,9.2844,DOWN,0
2000-03-10,10.0,10.781,7.8603,10.6875,9.2969,UP,1
2000-03-13,10.469,10.156,7.8814,10.5625,9.3188,DOWN,0
2000-03-14,10.469,10.469,7.9033,10.5,9.3438,DOWN,0
2000-03-15,10.313,10.313,7.9236,10.4375,9.3688,UP,1
2000-03-16,10.625,10.469,7.9447,10.375,9.4063,DOWN,0
2000-03-17,10.469,10.625,7.965,10.4688,9.4406,DOWN,0
2000-03-20,10.313,10.625,7.983,10.4375,9.475,DOWN,0
2000-03-21,10.313,10.313,7.9986,10.4063,9.5031,DOWN,0
2000-03-22,10.156,10.313,8.0142,10.375,9.5313,DOWN,0
2000-03-23,9.688,10.0,8.0267,10.1875,9.5563,UP,1
2000-03-24,9.844,9.844,8.04,10.0625,9.5844,DOWN,0
2000-03-27,9.844,9.844,8.0541,9.9688,9.6031,UP,1
2000-03-28,10.0,9.688,8.0705,9.9063,9.625,DOWN,0
2000-03-29,9.688,9.844,8.0853,9.8125,9.6438,DOWN,0
2000-03-30,9.531,9.531,8.0986,9.7813,9.6594,UP,1
2000-03-31,10.625,9.844,8.1173,9.9375,9.7,DOWN,0
2000-04-03,10.469,10.469,8.1361,10.0625,9.7375,DOWN,0
2000-04-04,10.469,10.781,8.1556,10.1563,9.7781,DOWN,0
2000-04-05,10.469,10.313,8.1744,10.3125,9.8219,UP,1
2000-04-06,10.938,10.469,8.1955,10.5938,9.875,UP,1
2000-04-07,11.094,10.938,8.2166,10.6875,9.9344,DOWN,0
2000-04-10,11.094,11.25,8.2376,10.8125,9.9875,UP,1
2000-04-11,11.25,11.094,8.2587,10.9688,10.0469,DOWN,0
2000-04-12,11.094,11.094,8.2783,11.0938,10.1031,DOWN,0
2000-04-13,10.938,11.094,8.297,11.0938,10.1531,DOWN,0
2000-04-14,10.469,10.781,8.315,10.9688,10.1906,DOWN,0
2000-04-17,10.156,10.156,8.3306,10.7813,10.225,UP,1
2000-04-18,11.094,10.313,8.3494,10.75,10.2563,UP,1
2000-04-19,12.188,11.25,8.3736,10.9688,10.2938,DOWN,0
2000-04-20,12.188,12.188,8.3978,11.2188,10.3375,DOWN,0
2000-04-24,12.031,12.188,8.4205,11.5313,10.3844,UP,1
2000-04-25,13.75,13.75,8.4525,12.25,10.4656,UP,1
2000-04-26,14.531,14.063,8.4892,12.9375,10.5594,DOWN,0
2000-04-27,14.531,14.219,8.5251,13.4063,10.65,UP,1
2000-04-28,14.844,14.531,8.5603,13.9375,10.75,UP,1
2000-05-01,15.625,14.531,8.5994,14.6563,10.8656,DOWN,0
2000-05-02,15.313,15.313,8.6361,14.9688,10.975,UP,1
2000-05-03,15.781,15.313,8.6775,15.2188,11.0938,DOWN,0
2000-05-04,15.734,15.719,8.7187,15.4594,11.2178,DOWN,0
2000-05-05,15.734,15.375,8.7606,15.6375,11.345,UP,1
2000-05-08,15.969,15.797,8.803,15.7063,11.4769,UP,1
2000-05-09,16.406,15.906,8.8467,15.925,11.6238,UP,1
2000-05-10,16.5,16.375,8.8894,16.0688,11.7538,UP,1
2000-05-11,17.484,16.625,8.9362,16.4188,11.9003,DOWN,0
2000-05-12,17.344,17.484,8.983,16.7406,12.0347,UP,1
2000-05-15,18.406,17.406,9.0344,17.2281,12.1934,UP,1
2000-05-16,18.422,18.594,9.0867,17.6313,12.34,DOWN,0
2000-05-17,18.203,18.422,9.1379,17.9719,12.4884,DOWN,0
2000-05-18,17.797,18.25,9.1894,18.0344,12.6319,DOWN,0
2000-05-19,17.219,17.734,9.2395,18.0094,12.7575,DOWN,0
2000-05-22,16.531,17.156,9.2862,17.6344,12.8881,UP,1
2000-05-23,16.625,16.469,9.335,17.275,13.0113,DOWN,0
2000-05-24,16.172,16.688,9.3823,16.8688,13.1253,DOWN,0
2000-05-25,16.109,16.125,9.4284,16.5313,13.2413,UP,1
2000-05-26,17.078,16.031,9.4787,16.5031,13.3703,UP,1
2000-05-30,18.0,17.094,9.5335,16.7969,13.5209,DOWN,0
2000-05-31,17.969,17.906,9.5882,17.0656,13.6741,DOWN,0
2000-06-01,17.781,17.953,9.6435,17.3875,13.8234,DOWN,0
2000-06-02,17.688,18.031,9.6976,17.7031,13.9741,DOWN,0
2000-06-05,16.719,17.25,9.7468,17.6313,14.1147,DOWN,0
