ticker,TDG US Equity,TDG US Equity,TDG US Equity,TDG US Equity,TDG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2006-07-17,23.19,23.1,23.36,24.6426,,UP,1
2006-07-18,23.65,23.2,23.396,24.6246,,UP,1
2006-07-19,24.98,23.63,23.682,24.627,,UP,1
2006-07-20,25.01,24.94,23.988,24.6288,,UP,1
2006-07-21,25.02,25.01,24.37,24.6294,,UP,1
2006-07-24,25.58,25.2,24.848,24.625,,UP,1
2006-07-25,26.14,25.54,25.346,24.6384,,DOWN,0
2006-07-26,25.11,26.04,25.372,24.635,,DOWN,0
2006-07-27,25.0,25.18,25.37,24.6242,,UP,1
2006-07-28,25.5,25.1,25.466,24.6262,,UP,1
2006-07-31,25.6,26.3,25.47,24.63,,DOWN,0
2006-08-01,25.1,25.45,25.262,24.624,,UP,1
2006-08-02,25.19,25.15,25.278,24.6176,,UP,1
2006-08-03,25.53,25.0,25.384,24.6232,,DOWN,0
2006-08-04,24.99,25.63,25.282,24.617,,DOWN,0
2006-08-07,24.77,24.9,25.116,24.6108,,DOWN,0
2006-08-08,24.32,24.75,24.96,24.5972,,DOWN,0
2006-08-09,23.18,24.36,24.558,24.5612,,UP,1
2006-08-10,23.7,23.1,24.192,24.5314,,DOWN,0
2006-08-11,23.56,23.65,23.906,24.4826,,UP,1
2006-08-14,23.95,23.71,23.742,24.4316,,UP,1
2006-08-15,24.0,24.05,23.678,24.382,,DOWN,0
2006-08-16,23.86,24.0,23.814,24.3382,,DOWN,0
2006-08-17,23.82,23.93,23.838,24.2972,,DOWN,0
2006-08-18,23.82,23.9,23.89,24.2572,,DOWN,0
2006-08-21,23.46,23.65,23.792,24.2304,,DOWN,0
2006-08-22,23.27,23.45,23.646,24.2156,,DOWN,0
2006-08-23,22.6,23.2,23.394,24.2068,,DOWN,0
2006-08-24,22.36,22.55,23.102,24.2094,,UP,1
2006-08-25,22.61,22.33,22.86,24.2126,,UP,1
2006-08-28,22.8,22.82,22.728,24.1996,,DOWN,0
2006-08-29,22.48,22.76,22.57,24.1912,,UP,1
2006-08-30,22.73,22.6,22.596,24.1724,,DOWN,0
2006-08-31,22.63,22.83,22.65,24.1362,,DOWN,0
2006-09-01,22.17,22.63,22.562,24.087,,UP,1
2006-09-05,23.06,22.13,22.614,24.0406,,UP,1
2006-09-06,23.09,23.01,22.736,23.9812,,UP,1
2006-09-07,24.06,23.0,23.002,23.9402,,DOWN,0
2006-09-08,23.95,24.07,23.266,23.9098,,UP,1
2006-09-11,24.06,23.92,23.644,23.8734,,DOWN,0
2006-09-12,23.86,24.0,23.804,23.8716,,DOWN,0
2006-09-13,23.81,23.96,23.948,23.8772,,DOWN,0
2006-09-14,23.5,23.71,23.836,23.8776,,UP,1
2006-09-15,23.56,23.6,23.758,23.888,,DOWN,0
2006-09-18,23.4,23.5,23.626,23.896,,DOWN,0
2006-09-19,23.39,23.4,23.532,23.9006,,UP,1
2006-09-20,24.45,23.48,23.66,23.9202,,DOWN,0
2006-09-21,24.32,24.5,23.824,23.9356,,DOWN,0
2006-09-22,24.16,24.25,23.944,23.9492,,DOWN,0
2006-09-25,23.83,24.18,24.03,23.9636,,DOWN,0
2006-09-26,23.79,23.83,24.11,23.9756,,UP,1
2006-09-27,24.23,23.75,24.066,23.9872,,UP,1
2006-09-28,24.8,24.48,24.162,23.9836,,DOWN,0
2006-09-29,24.42,24.78,24.214,23.9718,,DOWN,0
2006-10-02,23.69,24.28,24.186,23.9452,,DOWN,0
2006-10-03,23.62,23.69,24.152,23.906,,UP,1
2006-10-04,24.0,23.63,24.106,23.8632,,UP,1
2006-10-05,24.92,24.0,24.13,23.8594,,DOWN,0
2006-10-06,24.58,24.89,24.162,23.851,,UP,1
2006-10-09,24.88,24.58,24.4,23.8386,,DOWN,0
2006-10-10,24.8,24.9,24.636,23.8226,,DOWN,0
2006-10-11,24.79,24.8,24.794,23.8164,,UP,1
2006-10-12,24.97,24.79,24.804,23.812,,DOWN,0
2006-10-13,24.8,24.98,24.848,23.7974,,DOWN,0
2006-10-16,24.55,24.8,24.782,23.7886,,DOWN,0
2006-10-17,24.41,24.48,24.704,23.7814,,UP,1
2006-10-18,24.42,24.49,24.63,23.7834,,UP,1
2006-10-19,24.48,24.35,24.532,23.8094,,UP,1
2006-10-20,24.8,24.53,24.532,23.8314,,DOWN,0
2006-10-23,24.25,24.62,24.472,23.8452,,DOWN,0
2006-10-24,23.39,23.75,24.268,23.834,,UP,1
2006-10-25,23.5,23.4,24.084,23.824,,UP,1
2006-10-26,24.08,23.73,24.004,23.8284,,DOWN,0
2006-10-27,23.82,24.0,23.808,23.8284,,UP,1
2006-10-30,24.53,23.79,23.864,23.8426,,DOWN,0
2006-10-31,24.02,24.53,23.99,23.8538,,DOWN,0
2006-11-01,23.85,24.05,24.06,23.8654,,UP,1
2006-11-02,24.01,23.65,24.046,23.8936,,DOWN,0
2006-11-03,23.59,24.06,24.0,23.9182,,UP,1
2006-11-06,23.99,23.7,23.892,23.9458,,UP,1
2006-11-07,24.01,23.88,23.89,23.97,,UP,1
2006-11-08,24.11,23.85,23.942,24.0026,,DOWN,0
2006-11-09,23.6,24.11,23.86,24.02,,UP,1
2006-11-10,24.17,23.56,23.976,24.0508,,UP,1
2006-11-13,24.49,24.15,24.076,24.0972,,UP,1
2006-11-14,25.0,24.45,24.274,24.136,,UP,1
2006-11-15,25.42,25.0,24.536,24.1826,,DOWN,0
2006-11-16,25.1,25.42,24.836,24.2034,,DOWN,0
2006-11-17,24.39,24.8,24.88,24.2122,,DOWN,0
2006-11-20,24.25,24.35,24.832,24.216,,UP,1
2006-11-21,24.46,24.2,24.724,24.228,,DOWN,0
2006-11-22,24.01,24.46,24.442,24.232,,UP,1
2006-11-24,24.11,23.99,24.244,24.2442,,UP,1
2006-11-27,24.17,24.0,24.2,24.2564,,DOWN,0
2006-11-28,24.16,24.1,24.182,24.2716,,UP,1
2006-11-29,24.69,24.25,24.228,24.2976,,DOWN,0
2006-11-30,24.42,24.68,24.31,24.297,,UP,1
2006-12-01,25.6,24.42,24.608,24.3226,,DOWN,0
2006-12-04,25.23,25.62,24.82,24.344,,UP,1
2006-12-05,25.78,25.3,25.144,24.383,,UP,1
2006-12-06,25.8,25.68,25.366,24.4232,,UP,1
2006-12-07,25.86,25.75,25.654,24.4558,,UP,1
2006-12-08,26.15,25.84,25.764,24.4828,,DOWN,0
2006-12-11,26.15,26.1,25.948,24.5174,,UP,1
2006-12-12,26.56,26.15,26.104,24.5748,,UP,1
2006-12-13,27.13,26.36,26.37,24.645,,UP,1
2006-12-14,27.31,27.15,26.66,24.7112,,UP,1
2006-12-15,27.53,27.31,26.936,24.7634,,UP,1
2006-12-18,27.81,27.55,27.268,24.828,,DOWN,0
2006-12-19,27.52,27.73,27.46,24.8808,,DOWN,0
2006-12-20,27.02,27.46,27.438,24.9252,,DOWN,0
2006-12-21,26.86,27.01,27.348,24.9666,,DOWN,0
2006-12-22,25.89,26.86,27.02,24.985,,UP,1
2006-12-26,26.71,26.0,26.8,25.0232,24.5646,UP,1
2006-12-27,26.8,26.75,26.656,25.0682,24.5936,DOWN,0
2006-12-28,26.8,26.8,26.612,25.116,24.6071,DOWN,0
2006-12-29,26.51,26.8,26.542,25.1578,24.6183,DOWN,0
2007-01-03,25.41,26.6,26.446,25.1764,24.6203,UP,1
2007-01-04,26.59,25.41,26.422,25.2122,24.6287,DOWN,0
2007-01-05,25.81,26.49,26.224,25.2434,24.6368,UP,1
2007-01-08,25.98,25.7,26.06,25.2952,24.6459,DOWN,0
2007-01-09,25.65,25.9,25.888,25.3382,24.6536,DOWN,0
2007-01-10,25.35,25.8,25.876,25.3636,24.6579,UP,1
2007-01-11,26.42,25.34,25.842,25.4156,24.6662,UP,1
2007-01-12,26.8,26.5,26.04,25.461,24.6767,DOWN,0
2007-01-16,26.8,26.85,26.204,25.5166,24.6862,DOWN,0
2007-01-17,26.66,26.71,26.406,25.5728,24.6923,UP,1
2007-01-18,26.72,26.6,26.68,25.627,24.6971,UP,1
2007-01-19,27.0,26.7,26.796,25.6952,24.7076,DOWN,0
2007-01-22,26.55,26.75,26.746,25.7464,24.7164,UP,1
2007-01-23,26.69,26.5,26.724,25.8,24.7264,UP,1
2007-01-24,30.0,28.24,27.392,25.9178,24.7552,UP,1
2007-01-25,30.4,30.0,28.128,26.0538,24.7866,DOWN,0
2007-01-26,30.3,30.02,28.788,26.1764,24.8166,UP,1
2007-01-29,32.14,30.55,29.906,26.3294,24.8568,DOWN,0
2007-01-30,32.0,32.14,30.968,26.4694,24.8963,DOWN,0
2007-01-31,31.85,32.02,31.338,26.598,24.9336,DOWN,0
2007-02-01,31.48,31.86,31.554,26.7256,24.968,UP,1
2007-02-02,31.49,31.5,31.792,26.8676,25.0042,DOWN,0
2007-02-05,31.49,31.55,31.662,27.0124,25.0379,DOWN,0
2007-02-06,31.4,31.4,31.542,27.1512,25.0669,DOWN,0
2007-02-07,31.27,31.33,31.426,27.2964,25.096,UP,1
2007-02-08,31.58,31.17,31.446,27.4458,25.1264,UP,1
2007-02-09,31.95,31.6,31.538,27.6014,25.1571,UP,1
2007-02-12,32.61,32.7,31.762,27.7704,25.1914,UP,1
2007-02-13,33.72,32.75,32.226,27.951,25.2331,DOWN,0
2007-02-14,33.53,33.75,32.678,28.1332,25.2771,DOWN,0
2007-02-15,33.26,33.43,33.014,28.2864,25.3177,DOWN,0
2007-02-16,33.24,33.26,33.272,28.4466,25.3601,UP,1
2007-02-20,33.27,33.29,33.404,28.5964,25.4034,DOWN,0
2007-02-21,32.82,33.03,33.224,28.7368,25.4446,DOWN,0
2007-02-22,32.45,32.8,33.008,28.8686,25.4841,UP,1
2007-02-23,33.28,32.38,33.012,29.0112,25.5262,UP,1
2007-02-26,33.88,33.5,33.14,29.1658,25.571,DOWN,0
2007-02-27,32.37,33.7,32.96,29.282,25.6079,DOWN,0
2007-02-28,31.9,32.37,32.776,29.3774,25.6384,UP,1
2007-03-01,32.07,31.65,32.7,29.4726,25.6714,UP,1
2007-03-02,32.39,32.0,32.522,29.5698,25.7069,DOWN,0
2007-03-05,31.19,32.3,31.984,29.6374,25.7352,UP,1
2007-03-06,31.32,31.41,31.774,29.7134,25.7648,DOWN,0
2007-03-07,31.06,31.25,31.606,29.7942,25.793,UP,1
2007-03-08,31.4,31.17,31.472,29.885,25.823,UP,1
2007-03-09,32.25,31.5,31.444,30.0122,25.8567,DOWN,0
2007-03-12,32.0,32.15,31.606,30.118,25.8905,UP,1
2007-03-13,32.06,31.9,31.754,30.2232,25.9243,UP,1
2007-03-14,32.23,32.14,31.988,30.3318,25.96,UP,1
2007-03-15,32.5,32.19,32.208,30.4516,25.9975,UP,1
2007-03-16,32.67,32.5,32.292,30.5968,26.036,UP,1
2007-03-19,33.61,32.76,32.614,30.7372,26.0781,DOWN,0
2007-03-20,33.5,33.46,32.902,30.891,26.1156,UP,1
2007-03-21,34.46,33.55,33.348,31.0606,26.1554,UP,1
2007-03-22,35.34,34.5,33.916,31.2544,26.1997,UP,1
2007-03-23,36.5,35.34,34.682,31.4774,26.2519,UP,1
2007-03-26,36.9,36.44,35.34,31.687,26.3071,DOWN,0
2007-03-27,36.0,37.1,35.84,31.871,26.358,DOWN,0
2007-03-28,35.98,35.9,36.144,32.0546,26.4139,DOWN,0
2007-03-29,35.85,36.15,36.246,32.2384,26.4731,UP,1
2007-03-30,36.38,35.85,36.222,32.4316,26.5398,UP,1
2007-04-02,37.17,36.4,36.276,32.635,26.6145,UP,1
2007-04-03,38.77,37.26,36.83,32.8794,26.6961,DOWN,0
2007-04-04,37.91,38.87,37.216,33.1038,26.7684,UP,1
2007-04-05,38.47,37.92,37.74,33.2732,26.8462,DOWN,0
2007-04-09,38.2,38.58,38.104,33.4292,26.9189,DOWN,0
2007-04-10,38.11,38.04,38.292,33.5854,26.9872,UP,1
2007-04-11,38.38,38.61,38.214,33.7102,27.056,UP,1
2007-04-12,38.5,38.2,38.332,33.8402,27.1216,UP,1
2007-04-13,38.94,38.59,38.426,33.982,27.186,UP,1
2007-04-16,39.82,39.07,38.75,34.1488,27.2545,DOWN,0
2007-04-17,39.2,39.81,38.968,34.303,27.3232,DOWN,0
2007-04-18,38.07,39.1,38.906,34.4346,27.3841,DOWN,0
2007-04-19,38.05,38.07,38.816,34.5676,27.4546,UP,1
2007-04-20,38.44,38.5,38.716,34.711,27.5292,DOWN,0
2007-04-23,37.91,38.1,38.334,34.8376,27.6013,DOWN,0
2007-04-24,37.63,37.91,38.02,34.9512,27.6743,UP,1
2007-04-25,37.65,37.67,37.936,35.052,27.7475,UP,1
2007-04-26,38.08,37.6,37.942,35.1392,27.8221,UP,1
2007-04-27,38.74,38.15,38.002,35.2434,27.8985,DOWN,0
2007-04-30,37.87,38.7,37.994,35.3356,27.9701,DOWN,0
2007-05-01,37.66,37.87,38.0,35.424,28.041,UP,1
2007-05-02,37.8,37.65,38.03,35.5146,28.1144,DOWN,0
2007-05-03,36.79,37.85,37.772,35.594,28.1824,UP,1
2007-05-04,37.56,36.95,37.536,35.6962,28.252,DOWN,0
2007-05-07,37.38,37.54,37.438,35.7782,28.314,UP,1
2007-05-08,37.45,37.3,37.396,35.8496,28.3762,DOWN,0
2007-05-09,37.4,37.35,37.316,35.9502,28.4381,DOWN,0
2007-05-10,36.34,37.3,37.226,36.039,28.4919,UP,1
2007-05-11,36.55,36.5,37.024,36.1286,28.5439,UP,1
2007-05-14,37.26,36.5,37.0,36.226,28.6047,UP,1
2007-05-15,37.7,37.3,37.05,36.3562,28.6682,DOWN,0
2007-05-16,37.3,37.7,37.03,36.4758,28.7272,DOWN,0
2007-05-17,35.9,37.18,36.942,36.5726,28.7787,UP,1
2007-05-18,36.05,35.9,36.842,36.6656,28.8334,DOWN,0
2007-05-21,35.5,35.8,36.49,36.7306,28.885,DOWN,0
2007-05-22,35.4,36.05,36.03,36.7986,28.9343,UP,1
2007-05-23,35.6,35.5,35.69,36.8694,28.9874,DOWN,0
2007-05-24,34.8,35.55,35.47,36.9208,29.0375,UP,1
2007-05-25,35.04,34.95,35.268,36.9716,29.0911,UP,1
2007-05-29,35.67,34.95,35.302,37.0316,29.1536,UP,1
2007-05-30,35.88,35.5,35.398,37.077,29.2145,UP,1
2007-05-31,36.95,36.34,35.668,37.146,29.2814,UP,1
2007-06-01,37.6,37.15,36.228,37.2088,29.3497,UP,1
2007-06-04,37.7,37.54,36.76,37.256,29.4182,UP,1
2007-06-05,38.63,37.59,37.352,37.2986,29.492,DOWN,0
2007-06-06,38.2,38.43,37.816,37.3246,29.5639,DOWN,0
2007-06-07,37.94,38.1,38.014,37.3634,29.6345,UP,1
2007-06-08,38.3,37.94,38.154,37.4098,29.7087,DOWN,0
2007-06-11,38.15,38.17,38.244,37.4558,29.7831,UP,1
2007-06-12,38.25,38.14,38.168,37.4932,29.8614,UP,1
2007-06-13,39.47,38.31,38.422,37.5392,29.9469,UP,1
2007-06-14,39.55,39.6,38.744,37.5548,30.0316,UP,1
2007-06-15,40.56,40.1,39.196,37.6078,30.1204,UP,1
2007-06-18,40.69,40.68,39.704,37.6522,30.2115,UP,1
2007-06-19,42.41,40.7,40.536,37.7364,30.3099,DOWN,0
2007-06-20,41.43,42.66,40.928,37.8028,30.4039,UP,1
2007-06-21,41.74,41.43,41.366,37.87,30.5017,DOWN,0
2007-06-22,41.32,41.8,41.518,37.9264,30.593,DOWN,0
2007-06-25,40.3,41.1,41.44,37.9536,30.6791,UP,1
2007-06-26,40.77,40.55,41.112,37.9726,30.7626,UP,1
2007-06-27,40.8,40.67,40.986,38.0046,30.8469,DOWN,0
2007-06-28,39.52,40.81,40.542,38.0336,30.9242,UP,1
2007-06-29,40.46,39.52,40.37,38.0818,31.0072,UP,1
2007-07-02,41.66,40.6,40.642,38.1462,31.0964,DOWN,0
2007-07-03,41.4,41.69,40.768,38.216,31.1859,UP,1
2007-07-05,42.53,41.37,41.114,38.314,31.2808,UP,1
2007-07-06,43.0,42.7,41.81,38.421,31.3788,DOWN,0
2007-07-09,42.98,43.11,42.314,38.519,31.4767,DOWN,0
2007-07-10,42.58,42.95,42.498,38.5958,31.5674,UP,1
2007-07-11,42.96,42.55,42.81,38.6976,31.6606,UP,1
2007-07-12,43.09,43.05,42.922,38.8062,31.7552,UP,1
2007-07-13,43.49,43.0,43.02,38.92,31.8535,DOWN,0
2007-07-16,43.49,43.39,43.122,39.054,31.952,UP,1
2007-07-17,43.69,43.7,43.344,39.1766,32.0493,DOWN,0
2007-07-18,42.99,43.61,43.35,39.2888,32.1403,DOWN,0
2007-07-19,42.6,43.11,43.252,39.3918,32.2312,DOWN,0
2007-07-20,42.26,42.51,43.006,39.489,32.324,UP,1
2007-07-23,42.32,42.1,42.772,39.6086,32.4175,DOWN,0
2007-07-24,40.91,42.32,42.216,39.6958,32.5021,UP,1
2007-07-25,41.07,41.1,41.832,39.772,32.5828,DOWN,0
2007-07-26,40.49,40.5,41.41,39.8278,32.6624,DOWN,0
2007-07-27,40.4,40.45,41.038,39.8898,32.74,UP,1
2007-07-30,41.27,40.4,40.828,39.9972,32.8223,DOWN,0
2007-07-31,41.2,41.5,40.886,40.1002,32.9044,UP,1
2007-08-01,41.69,41.31,41.01,40.224,32.988,UP,1
2007-08-02,42.25,41.77,41.362,40.361,33.0752,DOWN,0
2007-08-03,41.1,42.3,41.502,40.471,33.158,DOWN,0
2007-08-06,38.79,42.01,41.006,40.5508,33.2299,DOWN,0
2007-08-07,38.76,38.79,40.518,40.6252,33.3016,UP,1
2007-08-08,39.95,39.05,40.17,40.7108,33.3789,DOWN,0
2007-08-09,38.46,39.1,39.412,40.7624,33.4472,DOWN,0
2007-08-10,38.0,38.2,38.792,40.7834,33.516,UP,1
2007-08-13,38.5,38.6,38.734,40.8014,33.5915,DOWN,0
2007-08-14,38.46,38.5,38.674,40.8166,33.6663,DOWN,0
2007-08-15,37.43,38.38,38.17,40.7926,33.7331,DOWN,0
2007-08-16,36.9,37.16,37.858,40.7666,33.7985,UP,1
2007-08-17,37.83,38.4,37.824,40.7644,33.865,UP,1
2007-08-20,38.85,38.05,37.894,40.7754,33.9391,DOWN,0
2007-08-21,38.41,38.95,37.884,40.7806,34.0119,UP,1
2007-08-22,39.81,38.6,38.36,40.8118,34.0909,DOWN,0
2007-08-23,39.29,39.95,38.838,40.8082,34.1694,UP,1
2007-08-24,39.5,39.19,39.172,40.8072,34.247,UP,1
2007-08-27,39.53,39.45,39.308,40.7866,34.3246,DOWN,0
2007-08-28,38.65,39.43,39.356,40.7458,34.3973,UP,1
2007-08-29,39.05,38.65,39.204,40.6786,34.4745,UP,1
2007-08-30,39.19,39.07,39.184,40.6338,34.5496,UP,1
2007-08-31,40.65,39.69,39.414,40.612,34.6304,UP,1
2007-09-04,40.82,40.63,39.672,40.602,34.7095,UP,1
2007-09-05,41.06,40.64,40.154,40.6172,34.7877,DOWN,0
2007-09-06,41.05,41.33,40.554,40.6228,34.8674,DOWN,0
2007-09-07,39.39,40.65,40.594,40.5946,34.9424,UP,1
2007-09-10,39.62,39.55,40.388,40.5966,35.0193,UP,1
2007-09-11,40.0,39.69,40.224,40.5874,35.097,DOWN,0
2007-09-12,39.47,39.85,39.906,40.5436,35.1743,DOWN,0
2007-09-13,39.21,39.55,39.538,40.4998,35.2498,UP,1
2007-09-14,39.43,38.9,39.546,40.4378,35.3261,DOWN,0
2007-09-17,38.87,39.35,39.396,40.3552,35.3996,UP,1
2007-09-18,39.99,39.18,39.394,40.2954,35.4761,UP,1
2007-09-19,40.87,40.0,39.674,40.2612,35.5584,UP,1
2007-09-20,41.33,40.99,40.098,40.2286,35.637,UP,1
2007-09-21,41.89,41.65,40.59,40.2046,35.7203,UP,1
2007-09-24,43.69,42.1,41.554,40.2086,35.8099,UP,1
2007-09-25,45.9,43.8,42.736,40.2568,35.9104,UP,1
2007-09-26,47.0,46.42,43.962,40.323,36.0161,DOWN,0
2007-09-27,46.9,47.0,45.076,40.4012,36.1199,DOWN,0
2007-09-28,45.71,46.6,45.84,40.4634,36.2177,UP,1
2007-10-01,46.17,46.05,46.336,40.5416,36.3157,UP,1
2007-10-02,46.27,46.34,46.41,40.6206,36.4114,DOWN,0
2007-10-03,45.52,46.02,46.114,40.7128,36.5024,DOWN,0
2007-10-04,44.74,45.52,45.682,40.7862,36.5885,UP,1
2007-10-05,46.2,45.25,45.78,40.9004,36.6804,UP,1
2007-10-08,46.4,46.58,45.826,41.0204,36.7748,DOWN,0
2007-10-09,46.27,46.6,45.826,41.1204,36.8711,UP,1
2007-10-10,46.61,46.47,46.044,41.2286,36.9698,DOWN,0
2007-10-11,44.59,47.14,46.014,41.2866,37.0633,UP,1
2007-10-12,45.73,44.85,45.92,41.3562,37.1584,DOWN,0
2007-10-15,44.88,45.5,45.616,41.4318,37.2488,DOWN,0
2007-10-16,44.68,44.5,45.298,41.5496,37.3382,UP,1
2007-10-17,45.25,45.0,45.026,41.6794,37.4319,DOWN,0
2007-10-18,44.94,45.15,45.096,41.7792,37.5296,DOWN,0
2007-10-19,43.1,44.8,44.57,41.872,37.6121,UP,1
2007-10-22,43.32,42.02,44.258,41.9784,37.6997,DOWN,0
2007-10-23,42.91,44.2,43.904,42.0666,37.7843,UP,1
2007-10-24,43.78,43.12,43.61,42.173,37.875,DOWN,0
2007-10-25,43.03,44.2,43.228,42.285,37.9634,DOWN,0
2007-10-26,42.96,43.42,43.2,42.4062,38.0461,UP,1
2007-10-29,46.01,43.3,43.738,42.5698,38.1421,DOWN,0
2007-10-30,45.23,45.75,44.202,42.6974,38.2343,UP,1
2007-10-31,45.52,45.35,44.55,42.8396,38.3286,DOWN,0
2007-11-01,44.84,45.91,44.912,42.9402,38.4192,UP,1
2007-11-02,44.91,45.0,45.302,43.0526,38.5087,DOWN,0
2007-11-05,44.35,44.2,44.97,43.1496,38.5977,UP,1
2007-11-06,45.68,44.35,45.06,43.2726,38.6927,DOWN,0
2007-11-07,43.99,45.25,44.754,43.3794,38.7626,UP,1
2007-11-08,44.7,44.17,44.726,43.4924,38.8341,DOWN,0
2007-11-09,42.55,44.0,44.254,43.5596,38.8954,UP,1
2007-11-12,44.53,42.55,44.29,43.6372,38.9573,UP,1
2007-11-13,45.4,44.78,44.234,43.7288,39.0243,DOWN,0
2007-11-14,45.3,45.48,44.496,43.8136,39.0916,DOWN,0
2007-11-15,44.26,45.17,44.408,43.8778,39.1555,UP,1
2007-11-16,46.29,44.08,45.156,44.0158,39.2295,UP,1
