ticker,NUE US Equity,NUE US Equity,NUE US Equity,NUE US Equity,NUE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,11.5781,12.0625,12.5764,12.125,13.2431,UP,1
2000-02-09,11.8594,12.0,12.565,12.0188,13.2369,DOWN,0
2000-02-10,11.3125,11.8594,12.5479,11.7875,13.2109,UP,1
2000-02-11,11.7813,11.5313,12.533,11.7063,13.1959,UP,1
2000-02-14,11.9063,11.8438,12.5192,11.6875,13.1734,UP,1
2000-02-15,12.9688,11.9375,12.5084,11.9656,13.1631,DOWN,0
2000-02-16,12.7188,13.125,12.4963,12.1375,13.15,DOWN,0
2000-02-17,12.6719,12.5625,12.4844,12.4094,13.1334,DOWN,0
2000-02-18,12.2031,12.5625,12.4696,12.4938,13.1013,UP,1
2000-02-22,12.9375,12.25,12.4602,12.7,13.0884,DOWN,0
2000-02-23,12.8281,12.7813,12.4517,12.6719,13.0634,DOWN,0
2000-02-24,12.5156,12.75,12.4407,12.6313,13.0341,DOWN,0
2000-02-25,12.0156,12.5156,12.4281,12.5,12.9966,UP,1
2000-02-28,12.2813,12.0938,12.417,12.5156,12.9591,UP,1
2000-02-29,12.4219,12.2188,12.4096,12.4125,12.9253,UP,1
2000-03-01,12.4375,12.1875,12.4031,12.3344,12.9016,DOWN,0
2000-03-02,12.2969,12.3125,12.3982,12.2906,12.8813,UP,1
2000-03-03,12.625,12.1563,12.3959,12.4125,12.8575,DOWN,0
2000-03-06,12.0313,12.4063,12.3885,12.3625,12.83,UP,1
2000-03-07,12.1094,12.0469,12.3807,12.3,12.8,DOWN,0
2000-03-08,11.8125,11.9375,12.3729,12.175,12.7644,UP,1
2000-03-09,12.0781,11.5938,12.3692,12.1313,12.7259,DOWN,0
2000-03-10,12.0156,12.0,12.3652,12.0094,12.6913,DOWN,0
2000-03-13,11.6719,11.75,12.3606,11.9375,12.6528,UP,1
2000-03-14,11.9844,11.6406,12.3581,11.9125,12.6184,UP,1
2000-03-15,12.5469,11.625,12.3566,12.0594,12.5978,UP,1
2000-03-16,13.0156,12.5625,12.3576,12.2469,12.5894,DOWN,0
2000-03-17,12.4375,13.125,12.361,12.3313,12.5619,UP,1
2000-03-20,12.5313,12.5,12.3657,12.5031,12.5338,UP,1
2000-03-21,12.5625,12.5313,12.371,12.6188,12.5053,DOWN,0
2000-03-22,12.5,12.5156,12.376,12.6094,12.4856,UP,1
2000-03-23,12.5313,12.25,12.3803,12.5125,12.4609,DOWN,0
2000-03-24,12.4531,12.25,12.3841,12.5156,12.4441,DOWN,0
2000-03-27,12.0156,12.3906,12.3876,12.4125,12.4094,UP,1
2000-03-28,12.0625,11.875,12.3914,12.3125,12.3766,DOWN,0
2000-03-29,12.0469,12.0156,12.3939,12.2219,12.3488,UP,1
2000-03-30,12.1094,11.9844,12.3958,12.1375,12.3147,UP,1
2000-03-31,12.5,12.1406,12.3983,12.1469,12.3028,DOWN,0
2000-04-03,12.3594,12.375,12.4006,12.2156,12.2947,DOWN,0
2000-04-04,12.2969,12.3125,12.4039,12.2625,12.2941,DOWN,0
2000-04-05,12.1563,12.0,12.4078,12.2844,12.2925,UP,1
2000-04-06,12.3125,12.2188,12.4121,12.325,12.2953,DOWN,0
2000-04-07,11.7031,12.3125,12.4148,12.1656,12.2766,UP,1
2000-04-10,12.0625,11.75,12.418,12.1063,12.2644,UP,1
2000-04-11,12.4375,12.3125,12.4208,12.1344,12.2644,UP,1
2000-04-12,12.5156,12.375,12.4246,12.2063,12.2653,UP,1
2000-04-13,12.5313,12.5,12.428,12.25,12.2681,DOWN,0
2000-04-14,11.7188,12.4688,12.4256,12.2531,12.2531,DOWN,0
2000-04-17,11.5313,11.7188,12.4221,12.1469,12.24,UP,1
2000-04-18,11.5469,11.625,12.4185,11.9688,12.2309,DOWN,0
2000-04-19,11.3125,11.5625,12.4136,11.7281,12.2256,UP,1
2000-04-20,11.5,11.3594,12.409,11.5219,12.2184,DOWN,0
2000-04-24,11.2813,11.5,12.4026,11.4344,12.2178,UP,1
2000-04-25,11.6719,11.5,12.3987,11.4625,12.2156,DOWN,0
2000-04-26,11.3594,11.7188,12.3933,11.425,12.2047,DOWN,0
2000-04-27,11.2344,11.3281,12.3878,11.4094,12.17,DOWN,0
2000-04-28,10.75,11.1719,12.3813,11.2594,12.1306,UP,1
2000-05-01,10.8906,11.125,12.3749,11.1813,12.095,DOWN,0
2000-05-02,10.6719,10.8438,12.37,10.9813,12.0644,UP,1
2000-05-03,10.875,10.7344,12.3645,10.8844,12.0231,DOWN,0
2000-05-04,10.7188,10.7188,12.3564,10.7813,11.9809,DOWN,0
2000-05-05,10.6719,10.6719,12.3468,10.7656,11.9441,DOWN,0
2000-05-08,10.6563,10.6719,12.3371,10.7188,11.9169,DOWN,0
2000-05-09,10.5,10.5781,12.3279,10.6844,11.8813,DOWN,0
2000-05-10,10.3125,10.5,12.3178,10.5719,11.8391,DOWN,0
2000-05-11,10.2813,10.3438,12.3079,10.4844,11.7959,UP,1
2000-05-12,10.5313,10.2813,12.301,10.4563,11.7606,DOWN,0
2000-05-15,10.4844,10.5313,12.2928,10.4219,11.7178,UP,1
2000-05-16,10.6875,10.625,12.2858,10.4594,11.6909,DOWN,0
2000-05-17,10.4688,10.625,12.2789,10.4906,11.6581,UP,1
2000-05-18,10.5156,10.4375,12.2731,10.5375,11.6322,DOWN,0
2000-05-19,10.4219,10.5313,12.2671,10.5156,11.5991,DOWN,0
2000-05-22,10.2969,10.5625,12.2621,10.4781,11.5647,DOWN,0
2000-05-23,9.9063,10.2813,12.2542,10.3219,11.5294,UP,1
2000-05-24,10.2188,10.0625,12.2457,10.2719,11.4941,DOWN,0
2000-05-25,9.9219,10.1563,12.2329,10.1531,11.4416,DOWN,0
2000-05-26,9.7188,9.9375,12.2189,10.0125,11.3756,UP,1
2000-05-30,9.8281,9.8438,12.2054,9.9188,11.3234,DOWN,0
2000-05-31,9.7813,9.875,12.1897,9.8938,11.2684,DOWN,0
2000-06-01,9.6719,9.7813,12.1738,9.7844,11.2106,UP,1
2000-06-02,10.0156,9.7813,12.1606,9.8031,11.1609,DOWN,0
2000-06-05,9.8125,9.8125,12.146,9.8219,11.1066,UP,1
2000-06-06,9.8438,9.6563,12.1296,9.825,11.0544,DOWN,0
2000-06-07,9.6094,9.8906,12.1139,9.7906,11.0063,DOWN,0
2000-06-08,9.6094,9.6563,12.0989,9.7781,10.9572,DOWN,0
2000-06-09,9.4688,9.5938,12.0834,9.6688,10.9056,DOWN,0
2000-06-12,9.3906,9.5,12.0686,9.5844,10.8513,DOWN,0
2000-06-13,9.25,9.4219,12.0545,9.4656,10.7863,UP,1
2000-06-14,9.3281,9.25,12.0414,9.4094,10.7256,DOWN,0
2000-06-15,9.0625,9.1563,12.0285,9.3,10.6609,UP,1
2000-06-16,9.1406,9.0938,12.0158,9.2344,10.6006,DOWN,0
2000-06-19,8.9063,9.1563,12.0012,9.1375,10.5325,DOWN,0
2000-06-20,8.7188,8.9219,11.9856,9.0313,10.4728,DOWN,0
2000-06-21,8.4844,8.6875,11.9683,8.8625,10.4012,UP,1
2000-06-22,8.5156,8.4375,11.9509,8.7531,10.3228,UP,1
2000-06-23,8.5469,8.5313,11.9328,8.6344,10.2434,DOWN,0
2000-06-26,8.5313,8.5469,11.9149,8.5594,10.1634,UP,1
2000-06-27,8.7813,8.5469,11.8978,8.5719,10.1047,DOWN,0
2000-06-28,8.4443,8.75,11.8797,8.5639,10.0429,UP,1
2000-06-29,8.8281,8.4844,11.8625,8.6264,9.9886,DOWN,0
2000-06-30,8.2969,8.7188,11.8443,8.5764,9.9283,UP,1
2000-07-03,8.9844,8.3438,11.8278,8.667,9.8779,DOWN,0
2000-07-05,8.6406,8.9844,11.8109,8.6389,9.8251,DOWN,0
2000-07-06,8.375,8.6406,11.7943,8.625,9.7592,UP,1
2000-07-07,8.5313,8.375,11.7785,8.5656,9.7026,UP,1
2000-07-10,8.5469,8.5313,11.7643,8.6156,9.6489,UP,1
2000-07-11,9.0625,8.5938,11.7528,8.6313,9.6151,DOWN,0
2000-07-12,8.9219,9.1563,11.7401,8.6875,9.5758,UP,1
2000-07-13,8.9688,8.9844,11.7283,8.8063,9.5417,UP,1
2000-07-14,8.9844,9.1875,11.716,8.8969,9.5039,DOWN,0
2000-07-17,8.8438,9.0313,11.7006,8.9563,9.4664,UP,1
2000-07-18,8.9375,8.875,11.687,8.9313,9.4317,DOWN,0
2000-07-19,8.6875,8.9375,11.6726,8.8844,9.3923,UP,1
2000-07-20,9.0781,8.7344,11.6598,8.9063,9.3639,UP,1
2000-07-21,9.2656,9.125,11.6491,8.9625,9.3429,UP,1
2000-07-24,9.3438,9.3125,11.6406,9.0625,9.3242,UP,1
2000-07-25,9.5625,9.3594,11.6319,9.1875,9.3048,DOWN,0
2000-07-26,9.3438,9.5,11.6216,9.3188,9.282,DOWN,0
2000-07-27,9.1563,9.3594,11.6115,9.3344,9.2514,DOWN,0
2000-07-28,9.0781,9.125,11.6017,9.2969,9.2236,UP,1
2000-07-31,9.4375,9.1875,11.5935,9.3156,9.202,UP,1
2000-08-01,9.7031,9.5,11.5886,9.3438,9.1876,DOWN,0
2000-08-02,9.5469,9.75,11.5818,9.3844,9.1726,DOWN,0
2000-08-03,9.3906,9.5469,11.5746,9.4313,9.1623,UP,1
2000-08-04,9.5,9.5,11.5681,9.5156,9.1479,UP,1
2000-08-07,9.7031,9.4063,11.5627,9.5688,9.1436,UP,1
2000-08-08,9.9063,9.9063,11.5548,9.6094,9.1473,DOWN,0
2000-08-09,9.6875,9.8594,11.542,9.6375,9.1445,DOWN,0
2000-08-10,9.5781,9.625,11.528,9.675,9.1404,UP,1
2000-08-11,9.8125,9.75,11.5156,9.7375,9.1433,UP,1
2000-08-14,9.8594,9.8906,11.5018,9.7688,9.1401,UP,1
2000-08-15,9.875,9.7969,11.4864,9.7625,9.1414,DOWN,0
2000-08-16,9.75,9.8281,11.472,9.775,9.1395,DOWN,0
2000-08-17,9.5781,9.875,11.4548,9.775,9.1389,DOWN,0
2000-08-18,9.4844,9.5313,11.4381,9.7094,9.1364,DOWN,0
2000-08-21,9.4844,9.5,11.4221,9.6344,9.1367,DOWN,0
2000-08-22,9.1875,9.4219,11.4031,9.4969,9.1326,DOWN,0
2000-08-23,8.9531,9.25,11.3849,9.3375,9.1267,UP,1
2000-08-24,9.0313,8.875,11.3671,9.2281,9.1208,UP,1
2000-08-25,9.1406,9.0625,11.3496,9.1594,9.1223,DOWN,0
2000-08-28,9.0781,9.0781,11.3305,9.0781,9.1211,DOWN,0
2000-08-29,9.0625,9.0313,11.3135,9.0531,9.1242,UP,1
2000-08-30,9.1719,9.0313,11.2956,9.0969,9.1333,UP,1
2000-08-31,9.1924,9.1719,11.2777,9.1291,9.1474,DOWN,0
2000-09-01,8.9688,9.125,11.2604,9.0947,9.1565,UP,1
2000-09-05,9.5469,8.9844,11.2439,9.1885,9.1765,UP,1
2000-09-06,9.6406,9.5625,11.2279,9.3041,9.1987,DOWN,0
2000-09-07,9.4688,9.6406,11.2122,9.3635,9.2124,UP,1
2000-09-08,9.5469,9.5313,11.1981,9.4344,9.2345,DOWN,0
2000-09-11,9.5313,9.5156,11.1825,9.5469,9.2485,DOWN,0
2000-09-12,9.3594,9.3438,11.1667,9.5094,9.2698,DOWN,0
2000-09-13,9.3125,9.3438,11.1524,9.4438,9.2763,DOWN,0
2000-09-14,8.8906,9.25,11.1338,9.3281,9.2813,DOWN,0
2000-09-15,8.75,8.75,11.1149,9.1688,9.2888,DOWN,0
2000-09-18,8.3438,8.625,11.0915,8.9313,9.2851,DOWN,0
2000-09-19,7.9375,8.4219,11.0637,8.6469,9.2729,DOWN,0
2000-09-20,7.9375,7.9375,11.0365,8.3719,9.2504,DOWN,0
2000-09-21,7.7031,7.8281,11.0076,8.1344,9.226,DOWN,0
2000-09-22,7.5781,7.5469,10.9764,7.9,9.1982,DOWN,0
2000-09-25,7.5,7.6406,10.946,7.7313,9.1685,UP,1
2000-09-26,7.5313,7.625,10.9133,7.65,9.1423,UP,1
2000-09-27,7.5625,7.5469,10.8812,7.575,9.1148,DOWN,0
2000-09-28,7.5156,7.6094,10.8493,7.5375,9.0913,UP,1
2000-09-29,7.5938,7.5,10.8165,7.5406,9.0617,DOWN,0
2000-10-02,7.5,7.5781,10.7834,7.5406,9.0263,UP,1
2000-10-03,7.875,7.5938,10.7547,7.6094,8.997,DOWN,0
2000-10-04,7.8125,7.6563,10.7272,7.6594,8.962,DOWN,0
2000-10-05,7.6875,7.8125,10.6965,7.6938,8.9288,DOWN,0
2000-10-06,7.625,7.6875,10.6676,7.7,8.8982,DOWN,0
2000-10-09,7.6094,7.6875,10.6376,7.7219,8.8688,UP,1
2000-10-10,7.6563,7.6563,10.6079,7.6781,8.8332,DOWN,0
2000-10-11,7.6563,7.625,10.5762,7.6469,8.7923,DOWN,0
2000-10-12,7.5313,7.5938,10.5451,7.6156,8.752,DOWN,0
2000-10-13,7.5156,7.5625,10.5147,7.5938,8.7145,UP,1
2000-10-16,7.5469,7.5469,10.484,7.5813,8.6754,DOWN,0
2000-10-17,7.5,7.5156,10.4536,7.55,8.6313,UP,1
2000-10-18,7.5469,7.5156,10.4241,7.5281,8.5842,UP,1
2000-10-19,7.6719,7.5156,10.3934,7.5563,8.5438,DOWN,0
2000-10-20,7.6563,7.625,10.362,7.5844,8.5054,UP,1
2000-10-23,7.8438,7.8125,10.3313,7.6438,8.466,UP,1
2000-10-24,8.0938,7.875,10.3044,7.7625,8.4307,DOWN,0
2000-10-25,7.8906,7.9375,10.275,7.8313,8.391,UP,1
2000-10-26,7.9063,7.9063,10.248,7.8781,8.3542,DOWN,0
2000-10-27,7.8906,7.875,10.2187,7.925,8.3204,UP,1
2000-10-30,8.4219,7.9063,10.1923,8.0406,8.2992,UP,1
2000-10-31,8.6719,8.5625,10.1685,8.1563,8.2829,DOWN,0
2000-11-01,8.5156,8.6094,10.142,8.2813,8.2695,DOWN,0
2000-11-02,8.4219,8.5625,10.1187,8.3844,8.2588,UP,1
2000-11-03,8.8281,8.375,10.099,8.5719,8.2548,UP,1
2000-11-06,8.9688,8.7656,10.0822,8.6813,8.2513,DOWN,0
2000-11-07,8.7344,8.9688,10.0647,8.6938,8.2445,UP,1
2000-11-08,8.7969,8.75,10.0478,8.75,8.2392,DOWN,0
2000-11-09,8.6875,8.7344,10.028,8.8031,8.2295,DOWN,0
2000-11-10,8.6406,8.7813,10.0079,8.7656,8.2184,UP,1
2000-11-13,8.6875,8.4688,9.9891,8.7094,8.2128,DOWN,0
2000-11-14,8.6875,8.625,9.9702,8.7,8.1956,UP,1
2000-11-15,8.7969,8.7188,9.9522,8.7,8.1788,DOWN,0
2000-11-16,8.4063,8.7813,9.9319,8.6438,8.1575,UP,1
2000-11-17,8.5469,8.375,9.9137,8.625,8.1375,DOWN,0
2000-11-20,8.3906,8.5469,9.8957,8.5656,8.1147,UP,1
2000-11-21,8.5156,8.3125,9.8804,8.5313,8.0978,DOWN,0
2000-11-22,8.3594,8.5156,9.8629,8.4438,8.0788,UP,1
2000-11-24,8.375,8.3906,9.8482,8.4375,8.0684,UP,1
2000-11-27,8.9063,8.6875,9.8338,8.5094,8.0716,UP,1
2000-11-28,8.9219,8.9063,9.8189,8.6156,8.0831,DOWN,0
2000-11-29,8.8281,8.875,9.7982,8.6781,8.1009,DOWN,0
2000-11-30,8.6875,8.7969,9.778,8.7438,8.1159,UP,1
2000-12-01,9.3281,8.75,9.7613,8.9344,8.1484,UP,1
2000-12-04,9.75,9.3438,9.749,9.1031,8.1919,UP,1
2000-12-05,9.9531,9.7813,9.7341,9.3094,8.2409,UP,1
2000-12-06,9.9844,9.9531,9.7199,9.5406,8.29,DOWN,0
2000-12-07,9.75,10.0,9.7061,9.7531,8.3338,UP,1
2000-12-08,10.0469,9.6563,9.6962,9.8969,8.3844,UP,1
2000-12-11,10.1875,10.1094,9.6858,9.9844,8.4363,DOWN,0
2000-12-12,10.0469,10.0625,9.6739,10.0031,8.4872,DOWN,0
2000-12-13,9.8125,10.0156,9.6608,9.9688,8.5259,UP,1
2000-12-14,9.9063,9.7656,9.6488,10.0,8.5678,DOWN,0
2000-12-15,9.4219,9.9219,9.6328,9.875,8.6025,UP,1
2000-12-18,9.6406,9.4688,9.6208,9.7656,8.6428,UP,1
2000-12-19,9.8438,9.5938,9.6095,9.725,8.6875,DOWN,0
2000-12-20,9.1719,9.375,9.5963,9.5969,8.7178,UP,1
2000-12-21,9.4375,9.1719,9.5831,9.5031,8.7534,UP,1
2000-12-22,9.5625,9.3906,9.5708,9.5313,8.7941,DOWN,0
2000-12-26,9.5,9.6094,9.56,9.5031,8.8338,UP,1
2000-12-27,9.625,9.4219,9.5482,9.4594,8.8753,UP,1
2000-12-28,10.0469,9.5,9.5357,9.6344,8.9263,DOWN,0
2000-12-29,9.9219,10.1094,9.5202,9.7313,8.9738,DOWN,0
2001-01-02,9.6094,9.9531,9.5061,9.7406,9.0125,UP,1
2001-01-03,9.8438,9.6719,9.4926,9.8094,9.0563,UP,1
2001-01-04,9.9531,9.9063,9.4796,9.875,9.0984,DOWN,0
2001-01-05,9.9375,9.9688,9.4668,9.8531,9.1353,UP,1
2001-01-08,10.125,9.875,9.4547,9.8938,9.18,DOWN,0
2001-01-09,10.0156,10.0938,9.4426,9.975,9.2222,DOWN,0
2001-01-10,9.9531,9.875,9.4322,9.9969,9.2634,DOWN,0
2001-01-11,9.7344,9.9531,9.4206,9.9531,9.2897,UP,1
2001-01-12,9.875,9.9375,9.4097,9.9406,9.3138,UP,1
2001-01-16,10.2031,9.7813,9.4002,9.9563,9.3475,DOWN,0
2001-01-17,10.1719,10.2344,9.3886,9.9875,9.3825,UP,1
2001-01-18,10.375,10.1875,9.3787,10.0719,9.4134,DOWN,0
2001-01-19,10.0313,10.3438,9.3673,10.1313,9.4347,DOWN,0
2001-01-22,9.7813,9.9844,9.3554,10.1125,9.4556,DOWN,0
2001-01-23,9.75,9.7813,9.3426,10.0219,9.4747,DOWN,0
2001-01-24,9.6875,9.75,9.3326,9.925,9.4947,UP,1
2001-01-25,9.7656,9.6563,9.3211,9.8031,9.5172,UP,1
2001-01-26,9.7813,9.7188,9.3078,9.7531,9.5391,UP,1
2001-01-29,9.8475,9.8375,9.2945,9.7664,9.5623,UP,1
2001-01-30,10.0825,9.785,9.2822,9.8329,9.588,UP,1
2001-01-31,10.35,10.185,9.2754,9.9654,9.6269,UP,1
2001-02-01,10.7325,10.475,9.2714,10.1588,9.6706,UP,1
2001-02-02,10.81,10.9,9.2677,10.3645,9.719,DOWN,0
2001-02-05,10.725,10.6875,9.2647,10.54,9.7631,UP,1
2001-02-06,10.8175,10.75,9.2613,10.687,9.8123,DOWN,0
2001-02-07,10.7225,10.875,9.2585,10.7615,9.8593,UP,1
2001-02-08,10.7475,10.7375,9.2539,10.7645,9.8961,DOWN,0
2001-02-09,10.7225,10.7475,9.2507,10.747,9.9321,UP,1
2001-02-12,10.85,10.83,9.2488,10.772,9.9725,UP,1
2001-02-13,11.005,10.8825,9.2501,10.8095,10.0189,DOWN,0
2001-02-14,10.7725,11.0025,9.2495,10.8195,10.0478,UP,1
2001-02-15,11.2125,10.775,9.2522,10.9125,10.077,DOWN,0
2001-02-16,10.84,11.15,9.252,10.936,10.0948,DOWN,0
2001-02-20,10.8075,10.8,9.2525,10.9275,10.1112,DOWN,0
2001-02-21,10.6375,10.9875,9.2523,10.854,10.129,UP,1
2001-02-22,10.8025,10.6125,9.253,10.86,10.1441,DOWN,0
2001-02-23,10.565,10.8025,9.2534,10.7305,10.1516,UP,1
2001-02-26,11.11,10.675,9.2573,10.7845,10.1729,DOWN,0
2001-02-27,11.0625,11.06,9.2612,10.8355,10.1979,DOWN,0
2001-02-28,11.05,11.0,9.2638,10.918,10.2208,UP,1
2001-03-01,11.0875,11.025,9.2669,10.975,10.2541,UP,1
2001-03-02,11.3975,11.0875,9.2704,11.1415,10.2892,UP,1
2001-03-05,11.63,11.3975,9.2762,11.2455,10.3249,UP,1
2001-03-06,11.685,11.6875,9.2821,11.37,10.3752,UP,1
2001-03-07,11.6875,11.7875,9.2884,11.4975,10.4202,UP,1
2001-03-08,11.775,11.7125,9.2958,11.635,10.4645,DOWN,0
2001-03-09,11.7275,11.725,9.3049,11.701,10.509,DOWN,0
2001-03-12,11.3375,11.73,9.3105,11.6425,10.5433,DOWN,0
2001-03-13,11.23,11.25,9.317,11.5515,10.5669,DOWN,0
2001-03-14,10.955,11.1125,9.3232,11.405,10.5876,DOWN,0
2001-03-15,10.82,11.0,9.3282,11.214,10.6118,DOWN,0
2001-03-16,10.445,10.82,9.3315,10.9575,10.6238,UP,1
2001-03-19,10.7875,10.455,9.3371,10.8475,10.6405,UP,1
2001-03-20,10.865,10.7875,9.3413,10.7745,10.6591,DOWN,0
2001-03-21,10.6425,10.875,9.3455,10.712,10.6694,DOWN,0
2001-03-22,10.3175,10.675,9.3478,10.6115,10.6754,DOWN,0
2001-03-23,10.115,10.125,9.3504,10.5455,10.6787,UP,1
2001-03-26,10.335,10.0625,9.354,10.455,10.6907,UP,1
2001-03-27,10.3575,10.335,9.3584,10.3535,10.7003,UP,1
2001-03-28,10.41,10.315,9.3635,10.307,10.7045,DOWN,0
2001-03-29,10.2125,10.41,9.3683,10.286,10.7053,DOWN,0
2001-03-30,10.0175,10.2125,9.3718,10.2665,10.6981,DOWN,0
2001-04-02,10.0,10.125,9.3765,10.1995,10.6975,DOWN,0
2001-04-03,9.6825,10.0,9.3792,10.0645,10.6955,UP,1
2001-04-04,9.9525,9.7725,9.3844,9.973,10.6996,UP,1
2001-04-05,10.1,10.0,9.3913,9.9505,10.7078,DOWN,0
2001-04-06,10.09,10.15,9.3993,9.965,10.7143,UP,1
2001-04-09,10.64,10.325,9.41,10.093,10.7315,UP,1
2001-04-10,11.03,10.64,9.4224,10.3625,10.7552,UP,1
2001-04-11,11.475,11.25,9.4371,10.667,10.783,DOWN,0
2001-04-12,11.4375,11.625,9.4504,10.9345,10.8048,UP,1
2001-04-16,11.4875,11.3125,9.4656,11.214,10.8199,UP,1
2001-04-17,11.5425,11.4875,9.4792,11.3945,10.8345,UP,1
2001-04-18,12.035,11.5,9.4979,11.5955,10.8607,DOWN,0
2001-04-19,11.9125,11.875,9.5125,11.683,10.8826,UP,1
2001-04-20,11.9525,11.8625,9.5291,11.786,10.9072,UP,1
2001-04-23,12.065,11.925,9.5475,11.9015,10.9336,UP,1
2001-04-24,12.3875,12.05,9.5668,12.0705,10.9669,DOWN,0
2001-04-25,12.3375,12.4,9.5857,12.131,10.9966,UP,1
2001-04-26,12.9475,12.3375,9.6052,12.338,11.0355,DOWN,0
2001-04-27,12.725,13.0,9.6242,12.4925,11.0745,DOWN,0
2001-04-30,12.6825,12.75,9.6428,12.616,11.1039,UP,1
2001-05-01,12.9025,12.475,9.6623,12.719,11.1452,UP,1
2001-05-02,12.905,12.8875,9.6826,12.8325,11.1871,DOWN,0
2001-05-03,12.53,12.905,9.7006,12.749,11.225,UP,1
2001-05-04,12.745,12.4375,9.7209,12.753,11.2638,DOWN,0
2001-05-07,12.6675,12.7425,9.7388,12.75,11.3059,DOWN,0
2001-05-08,12.395,12.5,9.7545,12.6485,11.3316,UP,1
2001-05-09,12.45,12.3875,9.77,12.5575,11.3593,DOWN,0
2001-05-10,12.4125,12.375,9.7843,12.534,11.3866,DOWN,0
2001-05-11,12.38,12.4625,9.7995,12.461,11.4124,UP,1
2001-05-14,12.435,12.275,9.8158,12.4145,11.4332,UP,1
2001-05-15,12.4675,12.435,9.8328,12.429,11.4499,UP,1
2001-05-16,13.125,12.425,9.8512,12.564,11.4787,UP,1
2001-05-17,13.425,13.125,9.8698,12.7665,11.5135,DOWN,0
2001-05-18,13.33,13.4,9.8888,12.9565,11.5446,UP,1
2001-05-21,13.4625,13.33,9.9091,13.162,11.5793,DOWN,0
2001-05-22,13.365,13.4,9.9284,13.3415,11.6198,DOWN,0
2001-05-23,12.54,12.925,9.9426,13.2245,11.646,DOWN,0
2001-05-24,12.3175,12.5375,9.9547,13.003,11.6733,UP,1
2001-05-25,12.875,12.32,9.9706,12.912,11.7144,UP,1
2001-05-29,13.2125,12.875,9.9888,12.862,11.7697,DOWN,0
2001-05-30,12.6625,13.175,10.003,12.7215,11.8072,UP,1
2001-05-31,12.805,12.7,10.0178,12.7745,11.846,UP,1
2001-06-01,12.8725,12.775,10.0328,12.8855,11.8906,UP,1
2001-06-04,12.96,12.875,10.0488,12.9025,11.9435,UP,1
2001-06-05,14.0,12.9375,10.0709,13.06,12.0212,DOWN,0
2001-06-06,13.5,14.0313,10.091,13.2275,12.0845,DOWN,0
2001-06-07,13.3325,13.4625,10.1102,13.333,12.144,DOWN,0
2001-06-08,13.1425,13.3338,10.13,13.387,12.1986,DOWN,0
2001-06-11,13.0,13.2125,10.1502,13.395,12.2544,DOWN,0
2001-06-12,12.865,12.875,10.1694,13.168,12.3113,DOWN,0
2001-06-13,12.7625,12.865,10.1875,13.0205,12.3666,DOWN,0
2001-06-14,12.48,12.75,10.2045,12.85,12.4225,UP,1
2001-06-15,12.6125,12.5625,10.2223,12.744,12.4757,UP,1
2001-06-18,12.845,12.5875,10.2406,12.713,12.5306,UP,1
2001-06-19,12.9275,12.8475,10.2593,12.7255,12.5874,UP,1
2001-06-20,12.995,12.875,10.2795,12.772,12.6345,UP,1
2001-06-21,13.0,12.9975,10.2967,12.876,12.6739,DOWN,0
