ticker,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,4.013,4.027,3.4496,4.0112,3.9876,DOWN,0
2000-02-10,3.809,3.925,3.4444,3.9312,3.9788,DOWN,0
2000-02-11,3.809,3.856,3.4425,3.9075,3.9699,DOWN,0
2000-02-14,3.722,3.784,3.4396,3.9019,3.9553,DOWN,0
2000-02-15,3.691,3.672,3.4391,3.8088,3.9426,DOWN,0
2000-02-16,3.534,3.638,3.4389,3.7131,3.9255,DOWN,0
2000-02-17,3.45,3.563,3.4379,3.6413,3.9084,DOWN,0
2000-02-18,3.238,3.422,3.4369,3.5269,3.8846,DOWN,0
2000-02-22,3.178,3.247,3.4357,3.4181,3.8446,UP,1
2000-02-23,3.522,3.244,3.435,3.3844,3.8083,DOWN,0
2000-02-24,3.422,3.528,3.4335,3.3619,3.7743,UP,1
2000-02-25,3.456,3.372,3.433,3.3631,3.7478,DOWN,0
2000-02-28,3.288,3.328,3.4324,3.3731,3.717,UP,1
2000-02-29,3.444,3.3,3.4331,3.4263,3.691,DOWN,0
2000-03-01,3.294,3.381,3.4323,3.3806,3.6628,DOWN,0
2000-03-02,3.128,3.247,3.4314,3.3219,3.6284,DOWN,0
2000-03-03,3.125,3.163,3.4296,3.2556,3.591,UP,1
2000-03-06,3.197,3.144,3.4292,3.2375,3.5573,DOWN,0
2000-03-07,3.175,3.244,3.429,3.1838,3.5308,UP,1
2000-03-08,3.181,3.163,3.4302,3.1613,3.5133,UP,1
2000-03-09,3.441,3.15,3.4335,3.2238,3.4998,DOWN,0
2000-03-10,3.344,3.363,3.4351,3.2675,3.4831,DOWN,0
2000-03-13,3.266,3.2,3.4371,3.2813,3.4694,UP,1
2000-03-14,3.281,3.303,3.4387,3.3025,3.4589,DOWN,0
2000-03-15,3.188,3.238,3.4414,3.3038,3.4333,UP,1
2000-03-16,3.313,3.113,3.4439,3.2781,3.4176,DOWN,0
2000-03-17,3.241,3.303,3.447,3.2575,3.4126,DOWN,0
2000-03-20,3.209,3.175,3.4495,3.2463,3.4113,UP,1
2000-03-21,3.619,3.256,3.4529,3.3138,3.4141,DOWN,0
2000-03-22,3.534,3.544,3.4566,3.3831,3.4156,DOWN,0
2000-03-23,3.384,3.475,3.4593,3.3975,3.4165,UP,1
2000-03-24,3.634,3.731,3.463,3.4763,3.4256,UP,1
2000-03-27,3.656,3.613,3.468,3.5656,3.4328,DOWN,0
2000-03-28,3.506,3.619,3.4741,3.5431,3.4387,DOWN,0
2000-03-29,3.313,3.475,3.4786,3.4988,3.4408,UP,1
2000-03-30,3.325,3.225,3.4812,3.4869,3.4405,UP,1
2000-03-31,3.35,3.338,3.4839,3.43,3.4428,DOWN,0
2000-04-03,3.178,3.272,3.4858,3.3344,3.4443,UP,1
2000-04-04,3.197,3.144,3.4864,3.2725,3.4381,DOWN,0
2000-04-05,3.109,3.088,3.4872,3.2319,3.431,UP,1
2000-04-06,3.213,3.172,3.4886,3.2094,3.4304,UP,1
2000-04-07,3.378,3.256,3.4913,3.215,3.4311,DOWN,0
2000-04-10,3.169,3.363,3.4934,3.2131,3.4328,DOWN,0
2000-04-11,3.169,3.125,3.4954,3.2075,3.4316,DOWN,0
2000-04-12,2.819,3.2,3.4949,3.1494,3.4205,DOWN,0
2000-04-13,2.4,2.894,3.4913,2.9869,3.3991,DOWN,0
2000-04-14,2.344,2.394,3.4877,2.78,3.3618,UP,1
2000-04-17,2.353,2.263,3.484,2.6169,3.3303,UP,1
2000-04-18,2.747,2.381,3.4819,2.5325,3.3102,DOWN,0
2000-04-19,2.672,2.766,3.48,2.5031,3.2805,DOWN,0
2000-04-20,2.619,2.669,3.4774,2.5469,3.2526,DOWN,0
2000-04-24,2.491,2.469,3.4742,2.5763,3.2263,UP,1
2000-04-25,2.622,2.591,3.4726,2.63,3.2025,UP,1
2000-04-26,2.675,2.666,3.4702,2.6156,3.1816,DOWN,0
2000-04-27,2.644,2.466,3.4666,2.61,3.1606,UP,1
2000-04-28,2.759,2.7,3.4629,2.6381,3.1451,UP,1
2000-05-01,2.997,2.8,3.4607,2.7394,3.1361,DOWN,0
2000-05-02,2.806,2.959,3.4583,2.7763,3.1274,DOWN,0
2000-05-03,2.706,2.763,3.4568,2.7825,3.118,UP,1
2000-05-04,2.753,2.713,3.4549,2.8044,3.1026,UP,1
2000-05-05,2.925,2.731,3.4561,2.8375,3.0927,DOWN,0
2000-05-08,2.801,2.841,3.4558,2.7983,3.0796,UP,1
2000-05-09,2.813,2.825,3.4566,2.7995,3.0701,DOWN,0
2000-05-10,2.666,2.727,3.4573,2.7914,3.0545,UP,1
2000-05-11,2.744,2.697,3.4578,2.7895,3.0435,DOWN,0
2000-05-12,2.688,2.734,3.4585,2.742,3.0347,UP,1
2000-05-15,2.803,2.681,3.4601,2.7425,3.0283,UP,1
2000-05-16,2.953,2.856,3.4631,2.7706,3.0234,UP,1
2000-05-17,3.05,2.859,3.4665,2.8475,3.0209,DOWN,0
2000-05-18,2.769,3.019,3.4692,2.8525,3.0126,DOWN,0
2000-05-19,2.631,2.731,3.4702,2.8413,2.9965,DOWN,0
2000-05-22,2.594,2.65,3.472,2.7994,2.9815,DOWN,0
2000-05-23,2.334,2.525,3.473,2.6756,2.9628,UP,1
2000-05-24,2.428,2.322,3.4738,2.5513,2.9458,DOWN,0
2000-05-25,2.275,2.475,3.4738,2.4525,2.9275,UP,1
2000-05-26,2.325,2.313,3.4739,2.3913,2.9078,UP,1
2000-05-30,2.588,2.366,3.4747,2.39,2.8947,DOWN,0
2000-05-31,2.416,2.538,3.4745,2.4063,2.8788,UP,1
2000-06-01,2.509,2.444,3.4734,2.4225,2.8566,UP,1
2000-06-02,2.894,2.619,3.4737,2.5463,2.8438,DOWN,0
2000-06-05,2.725,2.752,3.4741,2.6263,2.8306,DOWN,0
2000-06-06,2.528,2.7,3.4725,2.6144,2.8085,UP,1
