ticker,JD US Equity,JD US Equity,JD US Equity,JD US Equity,JD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2014-09-23,26.57,27.02,27.908,29.2228,,UP,1
2014-09-24,27.18,27.01,27.724,29.2022,,DOWN,0
2014-09-25,26.57,27.46,27.128,29.1514,,UP,1
2014-09-26,26.93,26.6,26.844,29.1388,,DOWN,0
2014-09-29,26.33,26.48,26.716,29.109,,DOWN,0
2014-09-30,25.82,26.33,26.566,29.0546,,DOWN,0
2014-10-01,25.02,25.52,26.134,28.9804,,UP,1
2014-10-02,25.69,25.02,25.958,28.9366,,UP,1
2014-10-03,25.98,25.98,25.768,28.8752,,DOWN,0
2014-10-06,25.96,26.34,25.694,28.8138,,DOWN,0
2014-10-07,25.35,25.8,25.6,28.731,,UP,1
2014-10-08,26.4,25.34,25.876,28.6666,,DOWN,0
2014-10-09,25.66,26.3,25.87,28.5984,,DOWN,0
2014-10-10,25.01,25.21,25.676,28.527,,DOWN,0
2014-10-13,24.06,25.0,25.296,28.4494,,DOWN,0
2014-10-14,23.9,24.17,25.006,28.3716,,UP,1
2014-10-15,24.3,23.25,24.586,28.303,,UP,1
2014-10-16,25.02,23.65,24.458,28.2532,,UP,1
2014-10-17,25.07,25.64,24.47,28.205,,UP,1
2014-10-20,25.41,25.4,24.74,28.146,,DOWN,0
2014-10-21,25.4,25.46,25.04,28.0898,,UP,1
2014-10-22,25.44,25.5,25.268,28.0232,,DOWN,0
2014-10-23,24.66,25.73,25.196,27.907,,DOWN,0
2014-10-24,24.02,24.65,24.986,27.7872,,UP,1
2014-10-27,24.13,23.75,24.73,27.6782,,UP,1
2014-10-28,24.78,24.31,24.606,27.573,,DOWN,0
2014-10-29,24.1,24.7,24.338,27.4508,,DOWN,0
2014-10-30,23.88,24.2,24.182,27.3098,,UP,1
2014-10-31,23.89,24.29,24.156,27.1712,,UP,1
2014-11-03,24.77,23.6,24.284,27.0474,,UP,1
2014-11-04,24.91,24.76,24.31,26.9188,,DOWN,0
2014-11-05,23.91,25.36,24.272,26.7568,,UP,1
2014-11-06,24.53,23.95,24.402,26.5946,,UP,1
2014-11-07,24.74,24.48,24.572,26.4606,,UP,1
2014-11-10,26.25,25.25,24.868,26.3472,,DOWN,0
2014-11-11,25.81,26.35,25.048,26.242,,UP,1
2014-11-12,27.65,26.0,25.796,26.1788,,DOWN,0
2014-11-13,27.32,27.75,26.354,26.12,,DOWN,0
2014-11-14,27.01,27.36,26.808,26.0796,,DOWN,0
2014-11-17,25.0,27.78,26.558,25.997,,UP,1
2014-11-18,25.41,25.0,26.478,25.924,,DOWN,0
2014-11-19,24.5,25.05,25.848,25.847,,DOWN,0
2014-11-20,23.75,24.37,25.134,25.7396,,UP,1
2014-11-21,24.08,24.425,24.548,25.6362,,DOWN,0
2014-11-24,24.04,23.73,24.356,25.5396,,DOWN,0
2014-11-25,23.79,24.08,24.032,25.4594,,DOWN,0
2014-11-26,23.78,23.74,23.888,25.373,,DOWN,0
2014-11-28,23.52,23.85,23.842,25.2524,,DOWN,0
2014-12-01,21.97,23.53,23.42,25.1248,,UP,1
2014-12-02,23.91,22.15,23.394,25.0636,,UP,1
2014-12-03,24.6,24.4,23.556,25.0242,,DOWN,0
2014-12-04,24.47,24.31,23.694,24.97,,DOWN,0
2014-12-05,23.85,24.36,23.76,24.9156,,DOWN,0
2014-12-08,23.24,22.88,24.014,24.8418,,UP,1
2014-12-09,25.42,22.61,24.316,24.8236,,DOWN,0
2014-12-10,24.75,24.94,24.346,24.8022,,UP,1
2014-12-11,24.79,24.84,24.41,24.7976,,DOWN,0
2014-12-12,23.97,24.39,24.434,24.7632,,DOWN,0
2014-12-15,23.26,24.2,24.438,24.7088,,DOWN,0
2014-12-16,23.13,23.0,23.98,24.6522,,UP,1
2014-12-17,23.5,23.22,23.73,24.6152,,UP,1
2014-12-18,24.27,23.89,23.626,24.5726,,UP,1
2014-12-19,24.57,24.23,23.746,24.5508,,UP,1
2014-12-22,24.9,24.28,24.074,24.5486,,DOWN,0
2014-12-23,24.73,24.82,24.394,24.562,,DOWN,0
2014-12-24,24.61,24.71,24.616,24.5762,,DOWN,0
2014-12-26,24.56,24.5,24.674,24.5814,,DOWN,0
2014-12-29,24.08,23.93,24.576,24.5626,,DOWN,0
2014-12-30,23.25,23.51,24.246,24.5262,,DOWN,0
2014-12-31,23.14,23.3,23.928,24.4808,,UP,1
2015-01-02,24.02,23.37,23.81,24.4532,,UP,1
2015-01-05,24.58,24.02,23.814,24.436,,DOWN,0
2015-01-06,24.53,24.6,23.904,24.4334,,UP,1
2015-01-07,24.81,24.86,24.216,24.4492,,UP,1
2015-01-08,25.08,24.82,24.604,24.4682,,DOWN,0
2015-01-09,24.94,25.01,24.788,24.4714,,DOWN,0
2015-01-12,24.11,24.88,24.694,24.4716,,DOWN,0
2015-01-13,23.84,24.27,24.556,24.4708,,DOWN,0
2015-01-14,23.82,23.6,24.358,24.4694,,DOWN,0
2015-01-15,23.32,24.02,24.006,24.4404,,UP,1
2015-01-16,24.07,23.19,23.832,24.4236,,UP,1
2015-01-20,24.56,24.04,23.922,24.4366,,DOWN,0
2015-01-21,24.48,24.42,24.05,24.4356,,DOWN,0
2015-01-22,24.34,24.41,24.154,24.4276,,UP,1
2015-01-23,24.65,24.23,24.42,24.3956,,UP,1
2015-01-26,25.01,24.47,24.608,24.3796,,UP,1
2015-01-27,25.34,24.68,24.764,24.3334,,UP,1
2015-01-28,25.99,25.46,25.066,24.3068,,DOWN,0
2015-01-29,24.69,25.39,25.136,24.2604,,UP,1
2015-01-30,24.84,24.6,25.174,24.2572,,UP,1
2015-02-02,25.48,24.99,25.268,24.2586,,UP,1
2015-02-03,26.32,25.63,25.464,24.295,,UP,1
2015-02-04,26.71,26.23,25.608,24.3542,,UP,1
2015-02-05,26.81,26.69,26.032,24.4088,,DOWN,0
2015-02-06,26.46,26.66,26.356,24.4572,,UP,1
2015-02-09,26.61,26.81,26.582,24.5136,,DOWN,0
2015-02-10,26.32,26.65,26.582,24.5644,,UP,1
2015-02-11,26.45,26.27,26.53,24.623,,UP,1
2015-02-12,26.5,26.67,26.468,24.7136,,DOWN,0
2015-02-13,26.23,26.7,26.422,24.76,,UP,1
2015-02-17,27.3,26.42,26.56,24.814,,UP,1
2015-02-18,28.0,27.4,26.896,24.8846,,DOWN,0
2015-02-19,27.83,28.22,27.172,24.9642,,UP,1
2015-02-20,28.21,27.92,27.514,25.0636,,DOWN,0
2015-02-23,28.11,28.2,27.89,25.1174,,DOWN,0
2015-02-24,27.49,27.9,27.928,25.1722,,DOWN,0
2015-02-25,27.3,27.34,27.788,25.2224,,UP,1
2015-02-26,28.0,27.57,27.822,25.303,,DOWN,0
2015-02-27,27.67,28.0,27.714,25.3912,,UP,1
2015-03-02,28.15,27.84,27.722,25.4916,,DOWN,0
2015-03-03,27.53,29.3,27.73,25.5722,,UP,1
2015-03-04,27.72,28.0,27.814,25.6412,,UP,1
2015-03-05,29.0,28.33,28.014,25.7298,,DOWN,0
2015-03-06,28.62,28.5,28.204,25.8042,26.4443,UP,1
2015-03-09,28.92,28.52,28.358,25.888,26.4939,DOWN,0
2015-03-10,28.25,28.59,28.502,25.9608,26.5306,DOWN,0
2015-03-11,27.51,28.14,28.46,26.0198,26.5677,UP,1
2015-03-12,28.2,27.78,28.3,26.1022,26.5938,DOWN,0
2015-03-13,28.08,28.2,28.192,26.1988,26.6103,DOWN,0
2015-03-16,27.72,27.87,27.952,26.2904,26.6219,UP,1
2015-03-17,28.53,28.0,28.008,26.3806,26.6396,UP,1
2015-03-18,29.01,28.02,28.308,26.4692,26.6616,DOWN,0
2015-03-19,28.94,29.0,28.456,26.5574,26.6808,UP,1
2015-03-20,29.11,29.15,28.662,26.6434,26.7037,DOWN,0
2015-03-23,29.0,28.96,28.918,26.7218,26.7198,UP,1
2015-03-24,29.74,28.79,29.16,26.8178,26.7356,DOWN,0
2015-03-25,29.71,29.84,29.3,26.9298,26.742,UP,1
2015-03-26,29.78,29.63,29.468,27.0486,26.7491,UP,1
2015-03-27,30.08,29.89,29.662,27.1738,26.7545,DOWN,0
2015-03-30,29.75,30.22,29.812,27.3024,26.7674,DOWN,0
2015-03-31,29.38,29.58,29.74,27.4086,26.7754,DOWN,0
2015-04-01,29.22,29.45,29.642,27.5018,26.787,UP,1
2015-04-02,29.49,29.4,29.584,27.602,26.7994,UP,1
2015-04-06,30.03,29.44,29.574,27.7158,26.8169,UP,1
2015-04-07,31.0,30.13,29.824,27.8428,26.8428,UP,1
2015-04-08,32.66,31.47,30.48,27.9958,26.8788,UP,1
2015-04-09,32.69,33.0,31.174,28.1428,26.9104,UP,1
2015-04-10,33.23,32.7,31.922,28.2876,26.9414,UP,1
2015-04-13,34.11,33.39,32.738,28.476,26.9766,DOWN,0
2015-04-14,33.22,33.77,33.182,28.6436,27.0012,UP,1
2015-04-15,33.55,33.83,33.36,28.805,27.0289,UP,1
2015-04-16,33.95,33.55,33.612,28.9576,27.0561,DOWN,0
2015-04-17,33.19,33.13,33.604,29.0872,27.0736,DOWN,0
2015-04-20,33.0,33.3,33.382,29.211,27.0938,UP,1
2015-04-21,33.72,33.07,33.482,29.3562,27.1234,UP,1
2015-04-22,33.76,33.89,33.524,29.4992,27.1541,DOWN,0
2015-04-23,33.66,33.93,33.466,29.646,27.19,UP,1
2015-04-24,34.72,33.8,33.772,29.8114,27.2318,UP,1
2015-04-27,35.28,34.93,34.228,29.987,27.2697,DOWN,0
2015-04-28,35.02,35.45,34.488,30.1628,27.3096,DOWN,0
2015-04-29,34.2,34.78,34.576,30.3008,27.3404,DOWN,0
2015-04-30,33.56,34.2,34.556,30.412,27.3672,DOWN,0
2015-05-01,33.53,33.88,34.318,30.526,27.3893,UP,1
2015-05-04,34.29,34.01,34.12,30.6476,27.4229,DOWN,0
2015-05-05,33.7,34.0,33.856,30.7594,27.4523,DOWN,0
2015-05-06,32.48,33.55,33.512,30.8592,27.472,UP,1
2015-05-07,33.08,33.8,33.416,30.9748,27.4938,UP,1
2015-05-08,33.74,32.96,33.458,31.0896,27.5231,UP,1
2015-05-11,34.46,34.0,33.492,31.2254,27.5501,DOWN,0
2015-05-12,32.77,34.19,33.306,31.3178,27.5688,DOWN,0
2015-05-13,32.76,32.76,33.362,31.4224,27.5852,UP,1
2015-05-14,33.38,32.97,33.422,31.5356,27.604,UP,1
2015-05-15,33.4,33.0,33.354,31.6236,27.6256,UP,1
2015-05-18,33.91,33.44,33.244,31.7294,27.6523,UP,1
2015-05-19,34.15,33.95,33.52,31.834,27.6833,DOWN,0
2015-05-20,33.73,34.08,33.714,31.9436,27.713,UP,1
2015-05-21,33.86,33.82,33.81,32.0706,27.7437,UP,1
2015-05-22,34.89,34.06,34.108,32.2044,27.7806,DOWN,0
2015-05-26,34.21,35.07,34.168,32.327,27.8142,UP,1
2015-05-27,34.25,34.1,34.188,32.4576,27.8437,DOWN,0
2015-05-28,34.02,33.73,34.246,32.5674,27.8727,DOWN,0
2015-05-29,33.68,33.95,34.21,32.6608,27.8973,UP,1
2015-06-01,34.76,33.88,34.184,32.7772,27.9187,UP,1
2015-06-02,34.8,34.29,34.302,32.891,27.9427,DOWN,0
2015-06-03,34.77,34.96,34.406,33.0064,27.9686,DOWN,0
2015-06-04,34.12,34.62,34.426,33.094,27.989,UP,1
2015-06-05,35.67,34.08,34.824,33.2132,28.0163,UP,1
2015-06-08,36.23,36.01,35.118,33.3422,28.0428,UP,1
2015-06-09,36.43,36.3,35.444,33.4692,28.0709,DOWN,0
2015-06-10,36.26,36.0,35.742,33.5994,28.0974,UP,1
2015-06-11,36.87,36.37,36.292,33.7492,28.125,UP,1
2015-06-12,37.95,36.97,36.748,33.9238,28.1547,DOWN,0
2015-06-15,36.63,37.27,36.828,34.0666,28.1747,DOWN,0
2015-06-16,36.5,36.43,36.842,34.196,28.2,DOWN,0
2015-06-17,35.45,37.03,36.68,34.285,28.2176,UP,1
2015-06-18,35.57,35.5,36.42,34.3432,28.2401,DOWN,0
2015-06-19,34.61,35.0,35.752,34.3816,28.2591,DOWN,0
2015-06-22,34.59,34.95,35.344,34.4088,28.2808,DOWN,0
2015-06-23,34.59,35.0,34.962,34.4184,28.3086,UP,1
2015-06-24,34.78,34.9,34.828,34.4496,28.3368,DOWN,0
2015-06-25,34.02,34.57,34.518,34.459,28.3616,DOWN,0
2015-06-26,33.455,33.1,34.287,34.4491,28.3872,DOWN,0
2015-06-29,32.5,32.62,33.869,34.4353,28.4041,UP,1
2015-06-30,34.1,33.07,33.771,34.4573,28.4283,DOWN,0
2015-07-01,33.25,34.08,33.465,34.4479,28.4502,DOWN,0
2015-07-02,33.13,33.48,33.287,34.4353,28.4769,DOWN,0
2015-07-06,31.89,31.6,32.974,34.3999,28.4958,DOWN,0
2015-07-07,30.61,30.2,32.596,34.3177,28.5011,DOWN,0
2015-07-08,30.32,28.91,31.84,34.2185,28.511,UP,1
2015-07-09,32.78,32.84,31.746,34.1737,28.54,DOWN,0
2015-07-10,32.4,32.88,31.6,34.1377,28.5692,UP,1
2015-07-13,33.9,32.95,32.002,34.1445,28.6028,UP,1
2015-07-14,33.92,33.66,32.664,34.1523,28.6395,DOWN,0
2015-07-15,32.39,33.47,33.078,34.1143,28.6668,UP,1
2015-07-16,33.84,32.8,33.29,34.1171,28.7044,UP,1
2015-07-17,35.32,34.5,33.874,34.1739,28.7519,DOWN,0
2015-07-20,35.06,34.94,34.106,34.2135,28.8021,UP,1
2015-07-21,35.31,35.39,34.384,34.2449,28.8502,UP,1
2015-07-22,35.38,34.99,34.982,34.2633,28.8972,DOWN,0
2015-07-23,34.7,35.45,35.154,34.3019,28.9409,DOWN,0
2015-07-24,34.64,35.4,35.018,34.3395,28.9873,DOWN,0
2015-07-27,32.15,32.8,34.436,34.3149,29.0161,UP,1
2015-07-28,32.48,32.0,33.87,34.2965,29.0502,UP,1
2015-07-29,33.29,32.66,33.452,34.2841,29.0916,UP,1
2015-07-30,33.37,33.1,33.186,34.2685,29.1381,DOWN,0
2015-07-31,33.03,33.7,32.864,34.2545,29.1838,DOWN,0
2015-08-03,32.92,32.53,33.018,34.2357,29.2269,UP,1
2015-08-04,33.99,33.17,33.32,34.2177,29.2717,UP,1
2015-08-05,34.32,34.32,33.526,34.2199,29.318,DOWN,0
2015-08-06,32.81,34.3,33.414,34.1911,29.355,DOWN,0
2015-08-07,32.07,33.03,33.222,34.1521,29.3883,DOWN,0
2015-08-10,30.06,30.88,32.65,34.0797,29.4114,DOWN,0
2015-08-11,28.02,29.67,31.456,33.9449,29.4282,DOWN,0
2015-08-12,26.77,26.97,29.946,33.7843,29.442,UP,1
2015-08-13,27.05,27.47,28.794,33.6299,29.4566,UP,1
2015-08-14,28.12,27.0,28.004,33.5099,29.4733,DOWN,0
2015-08-17,27.33,27.8,27.458,33.3431,29.4894,DOWN,0
2015-08-18,26.62,26.51,27.178,33.1509,29.5031,UP,1
2015-08-19,26.78,26.68,27.18,32.9579,29.5176,DOWN,0
2015-08-20,24.9,26.1,26.75,32.7307,29.5182,UP,1
2015-08-21,25.05,24.03,26.136,32.4943,29.5189,DOWN,0
2015-08-24,23.93,22.7,25.456,32.2139,29.519,UP,1
2015-08-25,25.06,26.5,25.144,31.9825,29.5217,UP,1
2015-08-26,25.59,25.51,24.906,31.7643,29.5259,UP,1
2015-08-27,27.1,26.48,25.346,31.5973,29.5302,DOWN,0
2015-08-28,26.77,26.27,25.69,31.4213,29.535,DOWN,0
2015-08-31,25.88,26.66,26.08,31.2467,29.5261,DOWN,0
2015-09-01,24.88,25.17,26.044,31.0525,29.5139,DOWN,0
2015-09-02,24.87,25.24,25.9,30.8581,29.5032,DOWN,0
2015-09-03,24.41,24.92,25.362,30.6507,29.5003,DOWN,0
2015-09-04,22.81,24.0,24.57,30.4265,29.4873,UP,1
2015-09-08,23.95,24.08,24.184,30.2364,29.4845,UP,1
2015-09-09,24.67,24.8,24.142,30.0798,29.4891,DOWN,0
2015-09-10,24.19,24.5,24.006,29.8816,29.4897,UP,1
2015-09-11,24.26,24.1,23.976,29.7018,29.4908,DOWN,0
2015-09-14,24.21,23.5,24.256,29.5234,29.4929,UP,1
2015-09-15,24.98,24.29,24.462,29.3852,29.4989,UP,1
2015-09-16,26.99,25.4,24.926,29.3128,29.5162,UP,1
2015-09-17,27.64,26.34,25.616,29.2592,29.5446,DOWN,0
2015-09-18,26.43,27.02,26.05,29.1322,29.5572,DOWN,0
2015-09-21,25.98,26.94,26.404,29.0038,29.5641,DOWN,0
2015-09-22,25.54,25.5,26.516,28.8366,29.5694,DOWN,0
2015-09-23,24.38,25.63,25.994,28.6458,29.5721,UP,1
2015-09-24,25.34,24.33,25.534,28.5048,29.5826,UP,1
2015-09-25,25.94,25.77,25.436,28.3468,29.5852,DOWN,0
2015-09-28,24.69,25.62,25.178,28.1342,29.5849,DOWN,0
2015-09-29,24.43,24.8,24.956,27.9216,29.5831,UP,1
2015-09-30,26.06,25.46,25.292,27.7366,29.5935,UP,1
2015-10-01,26.5,26.75,25.524,27.559,29.6097,UP,1
2015-10-02,28.91,26.98,26.118,27.4432,29.6386,DOWN,0
2015-10-05,28.78,29.15,26.936,27.326,29.665,DOWN,0
2015-10-06,27.71,28.7,27.592,27.2372,29.6822,DOWN,0
2015-10-07,27.54,28.14,27.888,27.1384,29.6971,DOWN,0
2015-10-08,27.32,27.41,28.052,27.019,29.7092,UP,1
2015-10-09,28.41,27.47,27.952,26.9198,29.7276,UP,1
2015-10-12,28.72,28.62,27.94,26.8336,29.7481,DOWN,0
2015-10-13,26.91,28.32,27.78,26.7134,29.7599,DOWN,0
2015-10-14,25.52,27.0,27.376,26.544,29.7671,UP,1
2015-10-15,26.26,26.06,27.164,26.3828,29.7821,UP,1
2015-10-16,26.89,26.37,26.86,26.2644,29.8009,UP,1
2015-10-19,27.09,26.89,26.534,26.1648,29.8162,DOWN,0
2015-10-20,26.53,27.09,26.458,26.0942,29.826,DOWN,0
2015-10-21,26.01,26.32,26.556,26.054,29.8334,UP,1
2015-10-22,26.2,26.3,26.544,26.0426,29.8403,UP,1
2015-10-23,27.1,27.23,26.586,26.0436,29.8504,DOWN,0
2015-10-26,26.84,27.3,26.536,26.018,29.8599,UP,1
2015-10-27,27.66,27.71,26.762,26.0246,29.8777,UP,1
2015-10-28,27.68,27.5,27.096,26.0458,29.8969,UP,1
2015-10-29,27.69,27.74,27.394,26.064,29.9162,DOWN,0
2015-10-30,27.62,27.55,27.498,26.1184,29.9377,UP,1
2015-11-02,28.65,27.5,27.86,26.1904,29.9606,UP,1
2015-11-03,29.37,28.71,28.202,26.2992,29.9847,DOWN,0
2015-11-04,29.27,30.0,28.52,26.3834,30.0086,DOWN,0
2015-11-05,28.8,29.56,28.742,26.4476,30.0309,UP,1
2015-11-06,29.7,29.0,29.158,26.4996,30.0562,DOWN,0
2015-11-09,28.76,29.89,29.18,26.5394,30.0749,DOWN,0
2015-11-10,28.2,28.62,28.946,26.5858,30.0892,DOWN,0
2015-11-11,27.88,28.44,28.668,26.6458,30.0987,UP,1
2015-11-12,28.78,28.18,28.664,26.724,30.1191,DOWN,0
2015-11-13,26.75,27.82,28.074,26.7708,30.1287,UP,1
2015-11-16,28.81,26.71,28.084,26.8908,30.1453,UP,1
2015-11-17,28.93,29.19,28.23,26.9904,30.1584,DOWN,0
2015-11-18,28.56,29.15,28.366,27.0682,30.1676,UP,1
2015-11-19,29.05,28.71,28.42,27.1654,30.1788,UP,1
2015-11-20,29.99,29.33,29.068,27.28,30.1965,UP,1
2015-11-23,30.68,30.08,29.442,27.4094,30.2168,DOWN,0
2015-11-24,30.35,30.6,29.726,27.5168,30.237,DOWN,0
2015-11-25,29.99,30.45,30.012,27.5768,30.2547,DOWN,0
2015-11-27,29.95,29.1,30.192,27.623,30.2719,UP,1
2015-11-30,30.68,30.38,30.33,27.708,30.2942,UP,1
2015-12-01,31.5,30.38,30.494,27.8184,30.3152,UP,1
2015-12-02,31.93,31.7,30.81,27.9462,30.3348,DOWN,0
2015-12-03,31.56,32.0,31.124,28.0898,30.3535,UP,1
2015-12-04,32.25,31.35,31.584,28.228,30.3737,UP,1
2015-12-07,32.53,32.36,31.954,28.3598,30.3958,DOWN,0
2015-12-08,31.89,31.97,32.032,28.5038,30.4178,DOWN,0
2015-12-09,31.58,31.77,31.962,28.6468,30.4392,UP,1
2015-12-10,31.6,31.58,31.97,28.7576,30.4572,DOWN,0
2015-12-11,30.55,31.15,31.63,28.8386,30.4716,UP,1
2015-12-14,30.84,30.78,31.292,28.8772,30.485,UP,1
2015-12-15,31.58,31.0,31.23,28.9332,30.5053,UP,1
2015-12-16,32.225,31.9,31.359,29.0235,30.5278,UP,1
2015-12-17,32.38,32.65,31.515,29.1203,30.5447,UP,1
2015-12-18,32.65,32.11,31.935,29.2269,30.5649,DOWN,0
2015-12-21,32.5,32.94,32.267,29.3087,30.5828,UP,1
2015-12-22,32.53,32.45,32.457,29.3849,30.6042,UP,1
2015-12-23,32.54,32.57,32.52,29.4975,30.6293,UP,1
2015-12-24,32.58,32.65,32.56,29.6387,30.6512,DOWN,0
2015-12-28,31.89,32.5,32.408,29.7513,30.6703,UP,1
2015-12-29,32.65,32.19,32.438,29.8665,30.6949,DOWN,0
2015-12-30,32.08,32.09,32.348,29.9663,30.7127,UP,1
2015-12-31,32.265,31.96,32.293,30.081,30.7289,DOWN,0
2016-01-04,29.53,30.66,31.683,30.1514,30.7319,UP,1
2016-01-05,30.0,30.05,31.305,30.2274,30.7363,DOWN,0
2016-01-06,29.76,29.23,30.727,30.2806,30.7401,DOWN,0
2016-01-07,27.95,28.34,29.901,30.3028,30.7312,DOWN,0
2016-01-08,27.62,28.58,28.972,30.302,30.7207,DOWN,0
2016-01-11,27.03,27.35,28.472,30.289,30.707,UP,1
2016-01-12,28.205,27.52,28.113,30.2993,30.6976,DOWN,0
2016-01-13,27.1,28.37,27.581,30.2889,30.6844,UP,1
2016-01-14,28.12,27.35,27.615,30.2783,30.6781,DOWN,0
2016-01-15,26.99,26.5,27.489,30.2307,30.6669,UP,1
2016-01-19,27.41,28.32,27.565,30.1935,30.6565,DOWN,0
2016-01-20,26.38,26.5,27.2,30.1451,30.6383,UP,1
2016-01-21,26.69,26.17,27.118,30.0849,30.6167,UP,1
2016-01-22,27.27,27.89,26.948,30.0551,30.5898,DOWN,0
2016-01-25,27.03,27.12,26.956,30.0317,30.5615,DOWN,0
2016-01-26,27.0,26.75,26.874,30.0141,30.5303,DOWN,0
