ticker,VNO US Equity,VNO US Equity,VNO US Equity,VNO US Equity,VNO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,21.7945,21.8385,24.1604,21.9178,22.9084,DOWN,0
2000-02-09,21.7945,21.7945,24.1309,21.8033,22.9014,DOWN,0
2000-02-10,21.6624,21.8385,24.1014,21.7329,22.89,DOWN,0
2000-02-11,21.6624,21.6624,24.0728,21.7505,22.8776,DOWN,0
2000-02-14,21.5303,21.6624,24.0431,21.6888,22.8644,UP,1
2000-02-15,21.8385,21.6184,24.0147,21.6976,22.8556,DOWN,0
2000-02-16,21.5744,21.7064,23.9856,21.6536,22.8327,UP,1
2000-02-17,21.7505,21.6184,23.957,21.6712,22.8125,DOWN,0
2000-02-18,21.5744,21.7505,23.9275,21.6536,22.7922,UP,1
2000-02-22,21.6184,21.3982,23.8987,21.6712,22.7772,DOWN,0
2000-02-23,21.4863,21.6624,23.8689,21.6008,22.7605,DOWN,0
2000-02-24,21.3982,21.6624,23.8377,21.5656,22.7517,DOWN,0
2000-02-25,21.2221,21.3102,23.8064,21.4599,22.7411,UP,1
2000-02-28,21.3542,21.2221,23.7754,21.4159,22.7376,UP,1
2000-02-29,21.5523,21.4423,23.7462,21.4026,22.7407,UP,1
2000-03-01,21.7064,21.3982,23.7169,21.4467,22.7143,UP,1
2000-03-02,21.7505,21.6184,23.6885,21.5171,22.6993,DOWN,0
2000-03-03,21.6184,21.6184,23.6595,21.5964,22.6676,UP,1
2000-03-06,21.7945,21.7064,23.6304,21.6844,22.6465,UP,1
2000-03-07,21.8385,21.7945,23.6016,21.7417,22.6236,DOWN,0
2000-03-08,21.7064,21.7505,23.5721,21.7417,22.5998,DOWN,0
2000-03-09,21.4863,21.7064,23.5413,21.6888,22.5681,DOWN,0
2000-03-10,21.4863,21.4863,23.5113,21.6624,22.5285,DOWN,0
2000-03-13,21.046,21.6184,23.4794,21.5127,22.4809,UP,1
2000-03-14,21.3982,21.1341,23.4497,21.4247,22.451,UP,1
2000-03-15,21.6624,21.4423,23.4213,21.4159,22.414,UP,1
2000-03-16,22.4109,21.5744,23.3966,21.6008,22.392,DOWN,0
2000-03-17,22.4109,22.499,23.3726,21.7857,22.3576,UP,1
2000-03-20,22.543,22.6751,23.3493,22.0851,22.3198,UP,1
2000-03-21,22.8072,22.499,23.3277,22.3669,22.2837,UP,1
2000-03-22,23.0273,22.9833,23.309,22.6399,22.2476,UP,1
2000-03-23,23.4236,23.0273,23.2932,22.8424,22.2247,DOWN,0
2000-03-24,22.8072,23.4236,23.2751,22.9217,22.1947,UP,1
2000-03-27,23.2034,22.9833,23.2601,23.0537,22.1736,UP,1
2000-03-28,23.2475,23.2034,23.2452,23.1418,22.1613,UP,1
2000-03-29,23.3355,23.3355,23.2287,23.2034,22.1445,UP,1
2000-03-30,23.6437,23.5116,23.2117,23.2475,22.1366,DOWN,0
2000-03-31,23.5997,23.6878,23.197,23.406,22.1322,UP,1
2000-04-03,23.7318,23.5997,23.1829,23.5116,22.134,UP,1
2000-04-04,23.7758,23.6878,23.1703,23.6173,22.1525,UP,1
2000-04-05,24.04,23.5997,23.1582,23.7582,22.1824,DOWN,0
2000-04-06,23.996,24.1281,23.1479,23.8287,22.2106,UP,1
2000-04-07,24.2161,24.084,23.1386,23.9519,22.2449,UP,1
2000-04-10,24.3042,24.2161,23.13,24.0664,22.281,UP,1
2000-04-11,24.8325,24.3042,23.1252,24.2778,22.3365,UP,1
2000-04-12,25.0967,24.6564,23.125,24.4891,22.3911,DOWN,0
2000-04-13,24.3922,24.9206,23.1225,24.5684,22.4316,UP,1
2000-04-14,24.4363,24.2161,23.1188,24.6124,22.48,DOWN,0
2000-04-17,24.3042,24.4363,23.1148,24.6124,22.5346,DOWN,0
2000-04-18,24.3042,24.3042,23.1096,24.5067,22.584,DOWN,0
2000-04-19,24.3042,24.3482,23.1056,24.3482,22.6341,UP,1
2000-04-20,24.3482,24.3922,23.1025,24.3394,22.6852,UP,1
2000-04-24,24.5684,24.4363,23.1005,24.3658,22.7433,DOWN,0
2000-04-25,24.3482,24.5684,23.0952,24.3746,22.7971,UP,1
2000-04-26,24.6564,24.4363,23.0922,24.4451,22.8596,DOWN,0
2000-04-27,24.5243,24.5684,23.0889,24.4891,22.9133,DOWN,0
2000-04-28,24.3042,24.4803,23.0845,24.4803,22.9679,UP,1
2000-05-01,24.9646,24.3922,23.0827,24.5595,23.0322,UP,1
2000-05-02,25.7131,25.1407,23.0849,24.8325,23.1149,DOWN,0
2000-05-03,25.6251,25.581,23.0869,25.0263,23.1951,DOWN,0
2000-05-04,25.3609,25.1407,23.0878,25.1936,23.2726,DOWN,0
2000-05-05,25.1407,25.3609,23.0864,25.3609,23.3474,UP,1
2000-05-08,25.2288,25.2728,23.0858,25.4137,23.4276,UP,1
2000-05-09,25.2728,25.1848,23.0893,25.3257,23.5059,DOWN,0
2000-05-10,25.2728,25.0967,23.0915,25.2552,23.5803,UP,1
2000-05-11,25.3169,25.2728,23.0979,25.2464,23.6525,DOWN,0
2000-05-12,25.3169,25.2288,23.1051,25.2816,23.7239,DOWN,0
2000-05-15,25.2728,25.3169,23.1069,25.2904,23.797,UP,1
2000-05-16,25.3169,25.2728,23.1107,25.2992,23.8674,DOWN,0
2000-05-17,25.2288,25.3169,23.114,25.2904,23.9352,DOWN,0
2000-05-18,25.1407,25.3169,23.1179,25.2552,24.0039,DOWN,0
2000-05-19,25.0527,24.9646,23.1234,25.2024,24.0752,DOWN,0
2000-05-22,24.9646,25.0086,23.1287,25.1407,24.1448,DOWN,0
2000-05-23,24.6564,25.0086,23.1329,25.0086,24.217,DOWN,0
2000-05-24,24.5243,24.6564,23.1364,24.8678,24.2795,UP,1
2000-05-25,24.5684,24.6124,23.141,24.7533,24.3376,UP,1
2000-05-26,24.8325,24.7445,23.1474,24.7092,24.3861,DOWN,0
2000-05-30,24.6564,24.7885,23.152,24.6476,24.431,DOWN,0
2000-05-31,24.6124,24.5243,23.1597,24.6388,24.4724,UP,1
2000-06-01,24.6564,24.6564,23.1657,24.6652,24.5094,UP,1
2000-06-02,24.7004,24.6564,23.1708,24.6916,24.5428,UP,1
2000-06-05,24.7885,24.7004,23.1756,24.6828,24.5701,UP,1
2000-06-06,24.9206,24.7885,23.1824,24.7357,24.6124,UP,1
2000-06-07,24.9646,24.8325,23.1888,24.8061,24.6476,DOWN,0
2000-06-08,24.9646,24.9646,23.1947,24.8678,24.6819,UP,1
2000-06-09,25.2728,25.0086,23.2025,24.9822,24.7207,DOWN,0
2000-06-12,25.2288,25.2288,23.2104,25.0703,24.7524,UP,1
2000-06-13,25.2728,25.3609,23.219,25.1407,24.7859,UP,1
2000-06-14,25.6691,25.3169,23.2293,25.2816,24.8246,DOWN,0
2000-06-15,25.6251,25.581,23.2381,25.4137,24.8616,DOWN,0
2000-06-16,25.581,25.6251,23.2478,25.4754,24.8924,DOWN,0
2000-06-19,25.3169,25.581,23.2568,25.493,24.9188,UP,1
2000-06-20,25.3609,25.3169,23.2648,25.5106,24.9417,UP,1
2000-06-21,25.4049,25.2288,23.2711,25.4577,24.9637,UP,1
2000-06-22,25.581,25.3609,23.2795,25.4489,24.9787,DOWN,0
2000-06-23,25.4049,25.493,23.2872,25.4137,24.9849,DOWN,0
2000-06-26,25.4049,25.4049,23.2947,25.4313,25.0051,DOWN,0
2000-06-27,25.3169,25.3169,23.3002,25.4225,25.0227,UP,1
2000-06-28,25.3609,25.3609,23.3055,25.4137,25.0439,UP,1
2000-06-29,25.4489,25.3609,23.3125,25.3873,25.0668,DOWN,0
2000-06-30,24.4803,25.3609,23.3158,25.2024,25.0703,UP,1
2000-07-03,25.0086,24.7445,23.3207,25.1231,25.0835,UP,1
2000-07-05,25.537,24.8766,23.3284,25.1672,25.1029,UP,1
2000-07-06,26.1094,25.4049,23.3405,25.3169,25.1381,DOWN,0
2000-07-07,26.0653,25.9773,23.3539,25.4401,25.1663,DOWN,0
2000-07-10,26.0653,26.1974,23.3682,25.7571,25.1971,DOWN,0
2000-07-11,25.9773,26.0653,23.3847,25.9509,25.2306,DOWN,0
2000-07-12,25.9773,25.9773,23.3999,26.0389,25.2508,DOWN,0
2000-07-13,25.9112,25.9773,23.4146,25.9993,25.2548,UP,1
2000-07-14,25.9553,25.9333,23.4301,25.9773,25.2614,UP,1
2000-07-17,26.0213,26.1094,23.4457,25.9685,25.2746,UP,1
2000-07-18,26.1534,25.9773,23.4611,26.0037,25.2948,DOWN,0
2000-07-19,26.1534,26.1094,23.4754,26.0389,25.3133,UP,1
2000-07-20,26.5056,26.2855,23.4908,26.1578,25.338,UP,1
2000-07-21,26.7698,26.4176,23.5082,26.3207,25.3679,UP,1
2000-07-24,26.8579,26.7698,23.5265,26.488,25.3987,UP,1
2000-07-25,27.1441,26.99,23.5464,26.6862,25.4353,UP,1
