ticker,GPC US Equity,GPC US Equity,GPC US Equity,GPC US Equity,GPC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,22.75,22.875,28.6229,22.9125,24.348,DOWN,0
2000-02-09,22.5,22.75,28.576,22.8125,24.2917,DOWN,0
2000-02-10,22.125,22.5,28.5248,22.6125,24.2192,DOWN,0
2000-02-11,21.625,22.125,28.4857,22.3875,24.1405,UP,1
2000-02-14,22.0625,21.6875,28.446,22.2125,24.0655,UP,1
2000-02-15,22.4375,22.1875,28.3985,22.15,23.9967,DOWN,0
2000-02-16,22.3125,22.375,28.3538,22.1125,23.9205,DOWN,0
2000-02-17,22.3125,22.375,28.3079,22.15,23.848,UP,1
2000-02-18,22.375,22.3125,28.2607,22.3,23.778,UP,1
2000-02-22,22.6875,22.5,28.2129,22.425,23.7255,DOWN,0
2000-02-23,22.0625,22.4375,28.1629,22.35,23.6605,DOWN,0
2000-02-24,21.8125,22.0625,28.1098,22.25,23.5913,DOWN,0
2000-02-25,21.75,22.0,28.0554,22.1375,23.5375,UP,1
2000-02-28,22.0625,22.0,28.0035,22.075,23.4988,UP,1
2000-02-29,22.5625,22.3125,27.9567,22.05,23.4725,DOWN,0
2000-03-01,21.9375,22.25,27.9067,22.025,23.435,DOWN,0
2000-03-02,21.8125,22.0,27.8551,22.025,23.4025,UP,1
2000-03-03,21.875,21.625,27.8035,22.05,23.3775,DOWN,0
2000-03-06,21.3125,21.625,27.7495,21.9,23.3263,DOWN,0
2000-03-07,20.3125,21.0625,27.6888,21.45,23.2488,UP,1
2000-03-08,20.75,20.0625,27.6298,21.2125,23.1775,DOWN,0
2000-03-09,20.5625,20.75,27.5688,20.9625,23.0875,UP,1
2000-03-10,20.6875,20.5,27.5067,20.725,23.0063,UP,1
2000-03-13,21.0625,20.5,27.4451,20.675,22.9338,DOWN,0
2000-03-14,20.375,21.0,27.3785,20.6875,22.845,UP,1
2000-03-15,22.0,20.625,27.317,20.9375,22.8038,UP,1
2000-03-16,23.375,22.25,27.2629,21.5,22.795,UP,1
2000-03-17,23.75,24.125,27.2117,22.1125,22.7963,DOWN,0
2000-03-20,23.3125,23.75,27.1585,22.5625,22.7888,UP,1
2000-03-21,23.5,23.5,27.1038,23.1875,22.7538,DOWN,0
2000-03-22,23.3906,23.5,27.0483,23.4656,22.7228,UP,1
2000-03-23,23.6719,23.5,26.9979,23.525,22.705,DOWN,0
2000-03-24,23.25,23.5,26.9451,23.425,22.6825,UP,1
2000-03-27,23.5,23.1875,26.8945,23.4625,22.6538,DOWN,0
2000-03-28,23.25,23.1875,26.841,23.4125,22.6238,DOWN,0
2000-03-29,23.25,23.125,26.787,23.3844,22.5925,UP,1
2000-03-30,23.5625,23.25,26.7329,23.3625,22.5625,UP,1
2000-03-31,23.875,23.3125,26.6776,23.4875,22.5538,UP,1
2000-04-03,24.1875,23.875,26.6279,23.625,22.5538,UP,1
2000-04-04,24.3125,24.75,26.5751,23.8375,22.5588,DOWN,0
2000-04-05,24.3125,24.5,26.522,24.05,22.5713,UP,1
2000-04-06,24.5,24.5625,26.4745,24.2375,22.5975,DOWN,0
2000-04-07,24.0,24.125,26.4254,24.2625,22.6175,UP,1
2000-04-10,24.25,24.25,26.3767,24.275,22.6475,UP,1
2000-04-11,25.125,24.375,26.3304,24.4375,22.6675,DOWN,0
2000-04-12,24.6875,25.0,26.2838,24.5125,22.7,DOWN,0
2000-04-13,24.5625,24.625,26.2317,24.525,22.7313,DOWN,0
2000-04-14,23.9375,24.3125,26.1785,24.5125,22.7475,UP,1
2000-04-17,24.5625,24.0,26.1226,24.575,22.7838,UP,1
2000-04-18,24.75,24.5625,26.0707,24.5,22.82,DOWN,0
2000-04-19,24.6875,24.5625,26.0185,24.5,22.8588,UP,1
2000-04-20,24.75,25.0,25.966,24.5375,22.9038,UP,1
2000-04-24,25.25,25.0,25.9163,24.8,22.9663,UP,1
2000-04-25,26.25,25.125,25.8704,25.1375,23.0588,UP,1
2000-04-26,26.3125,26.125,25.8273,25.45,23.1438,DOWN,0
2000-04-27,26.0625,26.4375,25.7848,25.725,23.2163,UP,1
2000-04-28,26.25,26.0625,25.7432,26.025,23.295,UP,1
2000-05-01,26.4375,26.0625,25.7032,26.2625,23.3775,DOWN,0
2000-05-02,26.25,26.4375,25.6638,26.2625,23.455,DOWN,0
2000-05-03,26.0625,26.3125,25.6251,26.2125,23.5225,DOWN,0
2000-05-04,26.0,26.25,25.5867,26.2,23.6013,DOWN,0
2000-05-05,25.5625,26.125,25.5482,26.0625,23.6763,UP,1
2000-05-08,25.9375,25.625,25.5132,25.9625,23.76,DOWN,0
2000-05-09,25.75,26.1875,25.4757,25.8625,23.8338,DOWN,0
2000-05-10,25.4375,25.5,25.4348,25.7375,23.8913,UP,1
2000-05-11,25.5,25.375,25.3988,25.6375,23.9625,UP,1
2000-05-12,25.625,25.5,25.367,25.65,24.0388,DOWN,0
2000-05-15,25.4375,25.4375,25.3388,25.55,24.11,UP,1
2000-05-16,25.9375,25.1875,25.312,25.5875,24.2025,DOWN,0
2000-05-17,25.3125,25.6875,25.2813,25.5625,24.3025,DOWN,0
2000-05-18,25.125,25.25,25.2535,25.4875,24.39,DOWN,0
2000-05-19,25.125,24.875,25.2279,25.3875,24.4813,DOWN,0
2000-05-22,25.0625,25.1875,25.2023,25.3125,24.5688,DOWN,0
2000-05-23,25.0,25.0625,25.1773,25.125,24.6475,UP,1
2000-05-24,25.4375,25.25,25.1582,25.15,24.7488,DOWN,0
2000-05-25,25.125,25.1875,25.1357,25.15,24.8113,DOWN,0
2000-05-26,24.3125,24.875,25.112,24.9875,24.83,UP,1
2000-05-30,24.625,24.3125,25.0885,24.9,24.8475,DOWN,0
2000-05-31,23.875,24.75,25.0598,24.675,24.8588,UP,1
2000-06-01,24.25,23.875,25.0335,24.4375,24.8738,DOWN,0
2000-06-02,24.25,24.375,25.007,24.2625,24.8909,DOWN,0
2000-06-05,24.1875,24.125,24.9826,24.2375,24.9013,DOWN,0
2000-06-06,23.8125,23.8125,24.9551,24.075,24.9125,DOWN,0
2000-06-07,23.1875,23.5,24.9245,23.9375,24.9063,DOWN,0
2000-06-08,23.125,23.125,24.8938,23.7125,24.9038,DOWN,0
2000-06-09,23.0,23.0,24.8617,23.4625,24.8988,DOWN,0
2000-06-12,22.9375,23.0,24.8298,23.2125,24.8863,UP,1
2000-06-13,23.125,22.75,24.8004,23.075,24.8713,UP,1
2000-06-14,23.1875,23.1875,24.7726,23.075,24.8513,DOWN,0
2000-06-15,22.75,22.9375,24.742,23.0,24.82,DOWN,0
2000-06-16,22.125,22.75,24.7085,22.825,24.7763,DOWN,0
2000-06-19,21.625,22.0,24.6738,22.5625,24.7188,DOWN,0
2000-06-20,21.375,21.625,24.6345,22.2125,24.6663,DOWN,0
2000-06-21,21.3125,21.5,24.5957,21.8375,24.6075,DOWN,0
2000-06-22,21.125,21.25,24.5567,21.5125,24.5275,UP,1
2000-06-23,21.1875,21.375,24.5182,21.325,24.4575,DOWN,0
2000-06-26,21.0,21.0,24.4813,21.2,24.3863,UP,1
2000-06-27,21.1875,20.875,24.446,21.1625,24.3313,DOWN,0
2000-06-28,21.0781,21.0625,24.4139,21.1156,24.2616,DOWN,0
2000-06-29,20.75,20.8125,24.3805,21.0406,24.1816,DOWN,0
2000-06-30,20.0,20.8125,24.3436,20.8031,24.0878,UP,1
