ticker,ILMN US Equity,ILMN US Equity,ILMN US Equity,ILMN US Equity,ILMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-11-22,8.0,10.391,10.6938,17.4419,,UP,1
2000-11-24,9.75,8.0,10.1063,17.2669,,DOWN,0
2000-11-27,9.594,10.188,9.7375,17.0813,,DOWN,0
2000-11-28,8.875,9.5,9.375,16.9188,,UP,1
2000-11-29,9.031,8.875,9.05,16.7663,,UP,1
2000-11-30,9.156,8.375,9.2813,16.6094,,UP,1
2000-12-01,9.625,9.5,9.2563,16.4481,,UP,1
2000-12-04,9.813,9.969,9.3,16.2519,,UP,1
2000-12-05,12.063,10.5,9.9375,16.0944,,DOWN,0
2000-12-06,11.688,12.063,10.4688,15.93,,DOWN,0
2000-12-07,11.625,11.375,10.9625,15.7463,,DOWN,0
2000-12-08,11.375,11.75,11.3125,15.5363,,DOWN,0
2000-12-11,10.5,11.0,11.45,15.2925,,UP,1
2000-12-12,10.938,10.281,11.225,15.0538,,UP,1
2000-12-13,11.281,11.188,11.1438,14.8794,,DOWN,0
2000-12-14,10.813,11.281,10.9813,14.7344,,UP,1
2000-12-15,11.5,11.68,11.0063,14.6081,,UP,1
2000-12-18,11.813,11.391,11.2688,14.5438,,DOWN,0
2000-12-19,10.875,11.75,11.2563,14.4538,,DOWN,0
2000-12-20,8.938,10.25,10.7875,14.3075,,UP,1
2000-12-21,9.0,9.5,10.425,14.1675,,UP,1
2000-12-22,9.5,9.648,10.025,14.035,,DOWN,0
2000-12-26,8.938,9.32,9.45,13.8625,,DOWN,0
2000-12-27,8.75,9.188,9.025,13.6825,,DOWN,0
2000-12-28,8.5,8.938,8.9375,13.4906,,DOWN,0
2000-12-29,8.031,8.5,8.7438,13.3038,,DOWN,0
2001-01-02,7.625,8.0,8.3688,13.11,,DOWN,0
2001-01-03,6.906,7.617,7.9625,12.9181,,UP,1
2001-01-04,7.063,7.625,7.625,12.7194,,DOWN,0
2001-01-05,5.969,7.063,7.1188,12.4975,,DOWN,0
2001-01-08,4.438,6.5,6.4,12.2263,,DOWN,0
2001-01-09,4.313,4.813,5.7375,11.925,,UP,1
2001-01-10,5.25,4.563,5.4063,11.665,,UP,1
2001-01-11,6.688,5.25,5.3313,11.4738,,DOWN,0
2001-01-12,6.5,6.617,5.4375,11.2788,,UP,1
2001-01-16,6.75,6.43,5.9,11.0781,,UP,1
2001-01-17,7.531,6.625,6.5438,10.8725,,DOWN,0
2001-01-18,7.313,7.375,6.9563,10.6538,,UP,1
2001-01-19,7.5,7.625,7.1188,10.3975,,DOWN,0
2001-01-22,7.219,7.5,7.2625,10.1319,,UP,1
2001-01-23,8.625,7.242,7.6375,9.8981,,UP,1
2001-01-24,9.344,8.898,8.0,9.6962,,UP,1
2001-01-25,9.375,9.156,8.4125,9.5038,,UP,1
2001-01-26,10.031,9.344,8.9188,9.3344,,UP,1
2001-01-29,10.875,10.188,9.65,9.2125,,DOWN,0
2001-01-30,10.656,10.68,10.0563,9.1081,,DOWN,0
2001-01-31,10.5,10.656,10.2875,9.0644,,DOWN,0
2001-02-01,10.219,10.438,10.4563,9.04,,DOWN,0
2001-02-02,9.125,10.211,10.275,9.0087,,DOWN,0
2001-02-05,8.125,8.914,9.725,8.9581,,DOWN,0
2001-02-06,8.0,8.563,9.1938,8.9581,,UP,1
2001-02-07,8.156,8.0,8.725,8.9263,,DOWN,0
2001-02-08,8.156,8.148,8.3125,8.8975,,DOWN,0
2001-02-09,8.156,7.93,8.1188,8.8831,,UP,1
2001-02-12,8.188,8.023,8.1313,8.8663,,DOWN,0
2001-02-13,8.125,8.25,8.1563,8.8456,,UP,1
2001-02-14,8.188,8.125,8.1625,8.8169,,DOWN,0
2001-02-15,8.0,8.25,8.1313,8.7806,,UP,1
2001-02-16,8.406,7.914,8.1813,8.7075,,DOWN,0
2001-02-20,8.0,8.0,8.1438,8.6337,,UP,1
2001-02-21,8.281,7.969,8.175,8.5669,,DOWN,0
2001-02-22,7.906,8.031,8.1188,8.4975,,DOWN,0
2001-02-23,7.688,7.719,8.0563,8.4413,,UP,1
2001-02-26,7.813,7.75,7.9375,8.3788,,UP,1
2001-02-27,7.875,7.813,7.9125,8.3106,,DOWN,0
2001-02-28,7.5,7.938,7.7563,8.2444,,DOWN,0
2001-03-01,7.25,7.438,7.625,8.1594,,DOWN,0
2001-03-02,6.188,7.5,7.325,8.0469,,UP,1
2001-03-05,6.531,6.219,7.0688,7.96,,DOWN,0
2001-03-06,6.188,6.563,6.7313,7.905,,DOWN,0
2001-03-07,5.5,6.438,6.3313,7.835,,UP,1
2001-03-08,5.625,5.813,6.0063,7.7575,,DOWN,0
2001-03-09,5.0,5.688,5.7688,7.6788,,DOWN,0
2001-03-12,4.063,5.031,5.275,7.585,,DOWN,0
2001-03-13,4.063,4.656,4.85,7.4963,,UP,1
2001-03-14,4.5,4.039,4.65,7.4256,,UP,1
2001-03-15,4.516,4.484,4.4281,7.3634,,DOWN,0
2001-03-16,4.469,4.508,4.3219,7.3147,,UP,1
2001-03-19,4.797,4.5,4.4688,7.2694,,DOWN,0
2001-03-20,4.469,4.781,4.55,7.2394,,DOWN,0
2001-03-21,4.438,4.563,4.5375,7.2394,,DOWN,0
2001-03-22,4.031,4.266,4.4406,7.2338,,DOWN,0
2001-03-23,4.031,4.125,4.3531,7.2094,,UP,1
2001-03-26,4.188,4.172,4.2313,7.1594,,DOWN,0
2001-03-27,3.906,4.313,4.1188,7.1075,,DOWN,0
2001-03-28,3.813,3.875,3.9938,7.0488,,DOWN,0
2001-03-29,3.625,3.844,3.9125,6.9706,,DOWN,0
2001-03-30,3.531,3.625,3.8125,6.895,,DOWN,0
2001-04-02,3.406,3.531,3.6563,6.8131,,DOWN,0
2001-04-03,2.938,3.625,3.4625,6.7275,,DOWN,0
2001-04-04,2.938,3.25,3.2875,6.6138,,UP,1
2001-04-05,3.188,2.938,3.2,6.4906,,DOWN,0
2001-04-06,3.063,3.234,3.1063,6.3644,,UP,1
2001-04-09,3.13,3.495,3.051,6.2264,,UP,1
2001-04-10,3.5,3.25,3.1635,6.0789,,DOWN,0
2001-04-11,3.5,3.555,3.276,5.9357,,UP,1
2001-04-12,3.545,3.59,3.3475,5.7966,,DOWN,0
2001-04-16,3.545,3.55,3.444,5.6632,,DOWN,0
2001-04-17,3.52,3.55,3.522,5.5511,,UP,1
2001-04-18,4.0,3.575,3.622,5.4686,,UP,1
2001-04-19,4.715,4.05,3.865,5.4029,,UP,1
2001-04-20,5.175,4.71,4.191,5.3432,,DOWN,0
2001-04-23,4.63,5.045,4.408,5.2727,,DOWN,0
2001-04-24,4.525,4.69,4.609,5.2001,,UP,1
2001-04-25,4.53,4.55,4.715,5.1269,,DOWN,0
2001-04-26,4.15,4.513,4.602,5.0474,,DOWN,0
2001-04-27,3.95,4.175,4.357,4.9627,,UP,1
2001-04-30,4.175,4.245,4.266,4.8862,,UP,1
2001-05-01,4.25,4.2,4.211,4.803,,UP,1
2001-05-02,4.5,4.368,4.205,4.733,,DOWN,0
2001-05-03,4.5,4.5,4.275,4.6574,,DOWN,0
2001-05-04,4.49,4.515,4.383,4.5891,,DOWN,0
2001-05-07,4.38,4.548,4.424,4.5229,,UP,1
2001-05-08,4.475,4.523,4.469,4.4562,,UP,1
2001-05-09,4.525,4.563,4.474,4.3892,,DOWN,0
2001-05-10,4.525,4.55,4.479,4.3297,,UP,1
2001-05-11,4.555,4.525,4.492,4.2758,11.7828,UP,1
2001-05-14,4.565,4.625,4.529,4.2433,11.7656,UP,1
2001-05-15,4.725,4.6,4.579,4.2072,11.6913,DOWN,0
2001-05-16,4.585,4.713,4.591,4.1752,11.6268,UP,1
2001-05-17,4.675,4.648,4.621,4.1587,11.5614,DOWN,0
2001-05-18,4.675,4.675,4.645,4.1397,11.4895,UP,1
2001-05-21,5.125,4.72,4.757,4.1422,11.4045,UP,1
2001-05-22,5.225,5.5,4.857,4.1654,11.3282,DOWN,0
2001-05-23,5.175,5.435,4.975,4.1877,11.2485,DOWN,0
2001-05-24,5.15,5.175,5.07,4.2007,11.1718,UP,1
2001-05-25,5.225,5.18,5.18,4.2149,11.0909,UP,1
2001-05-29,5.85,5.248,5.325,4.2425,11.0076,DOWN,0
2001-05-30,5.65,5.85,5.41,4.2596,10.9312,UP,1
2001-05-31,5.7,5.65,5.515,4.2842,10.8597,DOWN,0
2001-06-01,5.57,5.7,5.599,4.3068,10.7875,DOWN,0
2001-06-04,5.375,5.6,5.629,4.3337,10.7078,UP,1
2001-06-05,5.5,5.225,5.559,4.3631,10.6307,DOWN,0
2001-06-06,5.485,5.595,5.526,4.389,10.5481,DOWN,0
2001-06-07,5.35,5.615,5.456,4.4179,10.4619,DOWN,0
2001-06-08,5.15,5.4,5.372,4.4446,10.3823,UP,1
2001-06-11,5.755,5.37,5.448,4.4872,10.3083,UP,1
2001-06-12,6.025,6.025,5.553,4.5371,10.2383,DOWN,0
2001-06-13,6.025,6.025,5.661,4.5895,10.1641,DOWN,0
2001-06-14,5.25,6.0,5.641,4.6358,10.0863,UP,1
2001-06-15,5.55,5.3,5.721,4.688,10.0078,UP,1
2001-06-18,5.715,5.585,5.713,4.7386,9.9364,DOWN,0
2001-06-19,5.445,5.74,5.597,4.7862,9.8517,DOWN,0
2001-06-20,5.1,5.5,5.412,4.8256,9.7606,DOWN,0
2001-06-21,4.775,4.98,5.317,4.8511,9.6701,UP,1
2001-06-22,4.78,4.6,5.163,4.8767,9.589,UP,1
2001-06-25,5.035,4.745,5.027,4.9065,9.5017,DOWN,0
2001-06-26,4.86,4.85,4.91,4.9328,9.4187,DOWN,0
2001-06-27,4.745,4.718,4.839,4.9573,9.3396,DOWN,0
2001-06-28,4.45,4.6,4.774,4.9663,9.26,UP,1
2001-06-29,5.89,4.475,4.996,4.9898,9.1982,DOWN,0
2001-07-02,5.78,5.25,5.145,5.0019,9.1346,DOWN,0
2001-07-03,5.725,5.645,5.318,5.0238,9.0688,UP,1
2001-07-05,6.375,5.78,5.644,5.0608,9.0157,DOWN,0
2001-07-06,6.375,6.255,6.029,5.0977,8.9643,UP,1
2001-07-09,6.58,6.225,6.167,5.1463,8.9122,DOWN,0
2001-07-10,6.375,6.725,6.286,5.1948,8.8556,DOWN,0
2001-07-11,6.325,6.358,6.406,5.2378,8.7891,UP,1
2001-07-12,6.395,6.385,6.41,5.2807,8.7214,DOWN,0
2001-07-13,6.08,6.435,6.351,5.3123,8.6523,DOWN,0
2001-07-16,5.825,6.21,6.2,5.3388,8.5773,UP,1
2001-07-17,6.05,5.795,6.135,5.37,8.4982,DOWN,0
2001-07-18,5.82,5.978,6.034,5.3988,8.4139,UP,1
2001-07-19,5.99,5.958,5.953,5.4291,8.3295,UP,1
2001-07-20,6.05,6.005,5.947,5.4596,8.2597,DOWN,0
2001-07-23,5.985,5.975,5.979,5.4888,8.1993,DOWN,0
2001-07-24,5.9,5.98,5.949,5.5157,8.1398,DOWN,0
2001-07-25,5.72,5.775,5.929,5.5388,8.0932,UP,1
2001-07-26,5.8,5.745,5.891,5.5603,8.0453,UP,1
2001-07-27,5.815,5.82,5.844,5.5849,7.9931,DOWN,0
2001-07-30,5.705,5.795,5.788,5.6055,7.9417,UP,1
2001-07-31,5.725,5.658,5.753,5.6265,7.8897,UP,1
2001-08-01,6.175,6.04,5.844,5.6475,7.8327,DOWN,0
2001-08-02,6.15,6.175,5.914,5.666,7.7747,UP,1
2001-08-03,6.155,6.05,5.982,5.6856,7.715,DOWN,0
2001-08-06,5.775,6.34,5.996,5.6981,7.657,UP,1
2001-08-07,5.825,5.765,6.016,5.7101,7.5996,DOWN,0
2001-08-08,5.65,5.775,5.911,5.7061,7.5454,DOWN,0
2001-08-09,5.55,5.75,5.791,5.7041,7.4881,UP,1
2001-08-10,6.005,5.55,5.761,5.7102,7.4328,UP,1
2001-08-13,6.21,6.005,5.848,5.723,7.3739,DOWN,0
2001-08-14,6.195,6.075,5.922,5.7394,7.308,UP,1
2001-08-15,6.215,6.3,6.035,5.7537,7.2478,DOWN,0
2001-08-16,6.1,6.145,6.145,5.766,7.197,DOWN,0
2001-08-17,5.95,5.65,6.134,5.778,7.1455,DOWN,0
2001-08-20,5.775,5.92,6.047,5.7905,7.0905,DOWN,0
2001-08-21,5.475,5.71,5.903,5.7849,7.0288,DOWN,0
2001-08-22,5.39,5.508,5.738,5.7722,6.9645,UP,1
2001-08-23,5.4,5.283,5.598,5.7597,6.89,UP,1
2001-08-24,5.535,5.54,5.515,5.7654,6.8151,UP,1
2001-08-27,5.625,5.575,5.485,5.7669,6.7417,DOWN,0
2001-08-28,5.03,5.625,5.396,5.7532,6.6697,DOWN,0
2001-08-29,4.7,5.3,5.258,5.7383,6.5982,DOWN,0
2001-08-30,4.445,4.725,5.067,5.7252,6.5279,DOWN,0
2001-08-31,4.395,4.38,4.839,5.7176,6.465,UP,1
2001-09-04,4.465,4.4,4.607,5.7113,6.408,UP,1
2001-09-05,4.52,4.458,4.505,5.701,6.3671,DOWN,0
2001-09-06,4.345,4.435,4.434,5.6907,6.3317,DOWN,0
2001-09-07,4.25,4.275,4.395,5.6808,6.2995,DOWN,0
2001-09-10,4.215,4.4,4.359,5.6761,6.2673,DOWN,0
2001-09-17,3.775,4.025,4.221,5.6338,6.2461,UP,1
2001-09-18,3.805,3.875,4.078,5.5943,6.2164,DOWN,0
2001-09-19,3.325,3.95,3.874,5.5463,6.1851,DOWN,0
2001-09-20,3.035,3.375,3.631,5.4795,6.1559,DOWN,0
2001-09-21,3.0,2.775,3.388,5.412,6.1257,UP,1
2001-09-24,3.25,3.075,3.283,5.3454,6.0962,UP,1
2001-09-25,3.4,3.205,3.202,5.2859,6.0651,DOWN,0
2001-09-26,2.95,3.6,3.127,5.2184,6.0308,UP,1
2001-09-27,2.995,2.955,3.119,5.1504,5.9854,UP,1
2001-09-28,3.25,3.105,3.169,5.0938,5.9432,DOWN,0
2001-10-01,3.15,3.25,3.149,5.0403,5.9009,UP,1
2001-10-02,3.24,3.08,3.117,4.9841,5.8602,DOWN,0
2001-10-03,2.975,3.49,3.122,4.9272,5.8226,UP,1
2001-10-04,3.21,3.245,3.165,4.8716,5.7839,DOWN,0
2001-10-05,3.1,3.008,3.135,4.8126,5.743,DOWN,0
2001-10-08,3.005,3.0,3.106,4.753,5.704,DOWN,0
2001-10-09,3.0,3.005,3.058,4.695,5.6615,UP,1
2001-10-10,3.25,2.95,3.113,4.6456,5.6187,UP,1
2001-10-11,3.365,3.3,3.144,4.5969,5.5811,UP,1
2001-10-12,3.5,3.36,3.224,4.5506,5.5539,UP,1
2001-10-15,3.97,3.618,3.417,4.5159,5.5288,UP,1
2001-10-16,4.25,3.95,3.667,4.4864,5.5025,DOWN,0
2001-10-17,4.235,4.34,3.864,4.4476,5.479,UP,1
2001-10-18,4.375,4.245,4.066,4.4121,5.4571,UP,1
2001-10-19,4.52,4.245,4.27,4.3794,5.4372,UP,1
2001-10-22,4.95,4.505,4.466,4.3629,5.4218,DOWN,0
2001-10-23,4.775,4.975,4.571,4.3419,5.4076,UP,1
2001-10-24,4.875,4.773,4.699,4.3264,5.3974,UP,1
2001-10-25,5.015,4.62,4.827,4.3157,5.3872,UP,1
2001-10-26,5.045,5.068,4.932,4.2965,5.3826,UP,1
2001-10-29,5.375,5.005,5.017,4.2798,5.3873,DOWN,0
2001-10-30,5.0,5.395,5.062,4.2559,5.3907,UP,1
2001-10-31,5.005,5.025,5.088,4.2317,5.3895,UP,1
2001-11-01,5.05,5.005,5.095,4.2107,5.3813,UP,1
2001-11-02,5.645,5.34,5.215,4.2046,5.377,DOWN,0
2001-11-05,5.3,5.5,5.2,4.1951,5.3698,DOWN,0
2001-11-06,5.295,5.295,5.259,4.1915,5.3586,DOWN,0
2001-11-07,5.125,5.288,5.283,4.1862,5.3476,DOWN,0
2001-11-08,5.05,5.053,5.283,4.1792,5.3354,DOWN,0
2001-11-09,4.55,4.475,5.064,4.1595,5.322,DOWN,0
2001-11-12,4.5,4.408,4.904,4.137,5.3014,DOWN,0
2001-11-13,4.47,4.445,4.739,4.1258,5.277,UP,1
2001-11-14,4.6,4.49,4.634,4.1238,5.2532,DOWN,0
2001-11-15,4.58,4.675,4.54,4.1265,5.2259,DOWN,0
2001-11-16,4.475,4.475,4.525,4.1281,5.1939,UP,1
2001-11-19,4.615,4.358,4.548,4.1311,5.1637,UP,1
2001-11-20,4.925,4.35,4.639,4.1392,5.1358,DOWN,0
2001-11-21,4.86,4.995,4.691,4.1495,5.109,UP,1
2001-11-23,4.865,4.95,4.748,4.1618,5.0877,DOWN,0
2001-11-26,4.7,4.818,4.793,4.1715,5.0706,UP,1
2001-11-27,5.22,4.68,4.914,4.2004,5.0567,DOWN,0
2001-11-28,5.05,4.95,4.939,4.2253,5.0412,UP,1
2001-11-29,5.28,5.143,5.023,4.2644,5.0268,DOWN,0
2001-11-30,4.98,5.28,5.046,4.3033,5.0109,DOWN,0
2001-12-03,4.72,4.88,5.05,4.3377,4.9936,UP,1
2001-12-04,4.95,4.793,4.996,4.3717,4.9777,DOWN,0
2001-12-05,4.91,4.95,4.968,4.4019,4.9613,UP,1
2001-12-06,5.0,5.02,4.912,4.4429,4.9463,UP,1
2001-12-07,5.125,4.775,4.941,4.4855,4.9299,DOWN,0
2001-12-10,4.975,4.825,4.992,4.52,4.9148,DOWN,0
2001-12-11,4.97,4.92,4.996,4.5564,4.8982,DOWN,0
2001-12-12,4.9,4.8,4.994,4.5896,4.8832,UP,1
2001-12-13,5.085,4.755,5.011,4.6318,4.8702,UP,1
2001-12-14,5.24,4.785,5.034,4.6724,4.8573,UP,1
2001-12-17,5.28,5.05,5.095,4.716,4.8444,DOWN,0
2001-12-18,5.0,5.25,5.101,4.7559,4.8319,UP,1
2001-12-19,5.13,4.89,5.147,4.7985,4.8213,UP,1
2001-12-20,5.495,4.975,5.229,4.8434,4.8178,UP,1
2001-12-21,5.995,5.51,5.38,4.896,4.8151,DOWN,0
2001-12-24,5.99,5.995,5.522,4.9458,4.8141,DOWN,0
2001-12-26,5.635,5.983,5.649,4.9791,4.8148,UP,1
2001-12-27,5.77,5.65,5.777,5.0095,4.8155,DOWN,0
2001-12-28,5.715,5.53,5.821,5.0391,4.8191,UP,1
2001-12-31,5.88,5.805,5.798,5.0692,4.8282,DOWN,0
2002-01-02,5.625,5.925,5.725,5.0913,4.836,UP,1
2002-01-03,5.65,5.6,5.728,5.1053,4.8417,UP,1
2002-01-04,5.97,5.6,5.768,5.1292,4.849,UP,1
2002-01-07,6.03,5.985,5.831,5.1523,4.8568,UP,1
2002-01-08,6.075,6.17,5.87,5.1735,4.8632,UP,1
2002-01-09,6.17,6.095,5.979,5.196,4.8717,DOWN,0
2002-01-10,5.685,6.125,5.986,5.2022,4.878,UP,1
2002-01-11,5.705,5.655,5.933,5.2163,4.8863,DOWN,0
2002-01-14,5.405,5.6,5.808,5.2243,4.8932,UP,1
2002-01-15,5.425,5.455,5.678,5.2318,4.8994,DOWN,0
2002-01-16,5.315,5.135,5.507,5.2252,4.9064,UP,1
2002-01-17,5.325,5.383,5.435,5.2257,4.914,DOWN,0
2002-01-18,5.11,5.425,5.316,5.222,4.9214,DOWN,0
2002-01-22,4.995,5.125,5.234,5.2194,4.9287,UP,1
2002-01-23,5.0,4.95,5.149,5.2184,4.9367,DOWN,0
2002-01-24,4.78,5.025,5.042,5.223,4.9459,DOWN,0
2002-01-25,4.62,4.775,4.901,5.2254,4.9543,DOWN,0
2002-01-28,4.59,4.59,4.797,5.2278,4.9613,DOWN,0
2002-01-29,4.275,4.55,4.653,5.2213,4.9674,DOWN,0
2002-01-30,4.25,4.233,4.503,5.2147,4.973,DOWN,0
2002-01-31,4.225,4.315,4.392,5.2097,4.9766,DOWN,0
2002-02-01,4.15,4.33,4.298,5.2004,4.9799,DOWN,0
2002-02-04,3.98,4.1,4.176,5.1815,4.9821,UP,1
2002-02-05,4.01,3.9,4.123,5.1645,4.9844,DOWN,0
2002-02-06,3.9,3.838,4.053,5.1452,4.9863,DOWN,0
2002-02-07,3.55,3.825,3.918,5.1222,4.984,UP,1
2002-02-08,3.725,3.533,3.833,5.0923,4.9791,DOWN,0
2002-02-11,3.375,3.695,3.712,5.0588,4.9701,DOWN,0
2002-02-12,3.25,3.395,3.56,5.0182,4.9632,UP,1
2002-02-13,3.635,3.388,3.507,4.9913,4.9587,DOWN,0
2002-02-14,3.5,3.72,3.497,4.9669,4.9536,UP,1
2002-02-15,3.615,3.46,3.475,4.9402,4.9509,DOWN,0
2002-02-19,3.555,3.59,3.511,4.9131,4.9489,UP,1
2002-02-20,3.675,3.85,3.596,4.8866,4.9464,DOWN,0
2002-02-21,3.43,3.7,3.555,4.8527,4.9423,UP,1
2002-02-22,3.5,3.43,3.555,4.8232,4.9373,DOWN,0
2002-02-25,3.405,3.505,3.513,4.7919,4.9319,UP,1
2002-02-26,3.46,3.415,3.494,4.7631,4.9267,UP,1
2002-02-27,3.485,3.54,3.456,4.7311,4.9222,DOWN,0
2002-02-28,3.43,3.38,3.456,4.6949,4.917,UP,1
2002-03-01,3.5,3.46,3.456,4.6593,4.9119,UP,1
2002-03-04,3.515,3.53,3.478,4.6296,4.9068,UP,1
2002-03-05,3.755,3.515,3.537,4.6021,4.9028,DOWN,0
2002-03-06,3.75,3.825,3.59,4.5672,4.8988,DOWN,0
2002-03-07,3.53,3.91,3.61,4.5179,4.8928,UP,1
2002-03-08,3.845,3.613,3.679,4.475,4.8891,UP,1
2002-03-11,4.48,3.89,3.872,4.4519,4.8881,DOWN,0
2002-03-12,4.375,4.475,3.996,4.424,4.8866,UP,1
2002-03-13,4.4,4.341,4.1259,4.3977,4.883,UP,1
2002-03-14,4.685,4.35,4.3569,4.3738,4.8803,DOWN,0
2002-03-15,4.675,4.76,4.5229,4.3548,4.8778,DOWN,0
2002-03-18,4.55,4.695,4.5369,4.3328,4.8748,DOWN,0
2002-03-19,4.5,4.425,4.5619,4.3034,4.8711,DOWN,0
2002-03-20,4.36,4.45,4.554,4.27,4.8637,UP,1
2002-03-21,4.44,4.525,4.505,4.2373,4.8576,UP,1
2002-03-22,4.5,4.5,4.47,4.2039,4.8516,DOWN,0
2002-03-25,4.5,4.5,4.46,4.1802,4.8463,DOWN,0
2002-03-26,4.485,4.505,4.457,4.1558,4.8418,DOWN,0
2002-03-27,4.475,4.55,4.48,4.1372,4.8367,UP,1
2002-03-28,4.73,4.5,4.538,4.1233,4.8329,DOWN,0
2002-04-01,3.75,4.65,4.388,4.092,4.8249,UP,1
