ticker,VMC US Equity,VMC US Equity,VMC US Equity,VMC US Equity,VMC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,41.875,42.063,42.4873,42.3,40.7325,UP,1
2000-02-10,42.063,42.0,42.4592,42.1375,40.7688,DOWN,0
2000-02-11,41.125,42.063,42.429,41.85,40.805,UP,1
2000-02-14,41.25,41.125,42.3965,41.6875,40.83,UP,1
2000-02-15,42.063,41.313,42.3681,41.675,40.8563,DOWN,0
2000-02-16,42.063,42.188,42.3409,41.7125,40.8988,UP,1
2000-02-17,42.438,42.0,42.3112,41.7875,40.9638,DOWN,0
2000-02-18,42.0,42.188,42.2812,41.9625,41.0275,UP,1
2000-02-22,42.25,42.0,42.24,42.1625,41.1013,DOWN,0
2000-02-23,40.625,41.813,42.1944,41.875,41.1463,DOWN,0
2000-02-24,39.313,40.625,42.145,41.325,41.1725,UP,1
2000-02-25,40.125,39.438,42.1031,40.8625,41.1888,DOWN,0
2000-02-28,40.0,40.125,42.0584,40.4625,41.2175,DOWN,0
2000-02-29,40.0,40.0,42.0209,40.0125,41.2575,UP,1
2000-03-01,40.25,39.813,41.9859,39.9375,41.3138,DOWN,0
2000-03-02,39.25,40.0,41.9522,39.925,41.3575,UP,1
2000-03-03,40.5,39.375,41.9222,40.0,41.42,DOWN,0
2000-03-06,39.375,40.375,41.884,39.875,41.4625,DOWN,0
2000-03-07,38.188,39.375,41.8406,39.5125,41.4638,UP,1
2000-03-08,38.438,38.0,41.7984,39.15,41.4725,UP,1
2000-03-09,38.875,39.0,41.7634,39.075,41.4613,DOWN,0
2000-03-10,38.688,38.75,41.7253,38.7125,41.4513,UP,1
2000-03-13,39.438,38.5,41.6903,38.725,41.45,DOWN,0
2000-03-14,39.375,39.063,41.6612,38.9625,41.4388,UP,1
2000-03-15,40.688,39.125,41.6381,39.4125,41.465,UP,1
2000-03-16,44.188,40.875,41.6309,40.475,41.5638,DOWN,0
2000-03-17,43.75,44.0,41.62,41.4875,41.6013,DOWN,0
2000-03-20,42.938,43.875,41.6059,42.1875,41.6213,UP,1
2000-03-21,43.938,42.875,41.5975,43.1,41.6588,DOWN,0
2000-03-22,42.938,43.938,41.5809,43.55,41.6425,UP,1
