ticker,SGEN US Equity,SGEN US Equity,SGEN US Equity,SGEN US Equity,SGEN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2001-07-05,6.55,6.49,6.394,8.0252,,DOWN,0
2001-07-06,6.5,6.35,6.384,8.0202,,UP,1
2001-07-09,6.72,6.64,6.508,8.0216,,DOWN,0
2001-07-10,6.44,6.8,6.53,7.9856,,UP,1
2001-07-11,6.5,6.5,6.542,7.9546,,DOWN,0
2001-07-12,6.5,6.62,6.532,7.923,,DOWN,0
2001-07-13,6.5,6.5,6.532,7.888,,DOWN,0
2001-07-16,6.28,6.16,6.444,7.8516,,DOWN,0
2001-07-17,6.1,6.45,6.376,7.7896,,UP,1
2001-07-18,6.15,6.12,6.306,7.705,,UP,1
2001-07-19,6.18,6.4,6.242,7.6216,,UP,1
2001-07-20,6.4,6.3,6.222,7.5492,,UP,1
2001-07-23,6.47,6.45,6.26,7.4804,,DOWN,0
2001-07-24,6.4,6.48,6.32,7.4098,,UP,1
2001-07-25,6.68,6.99,6.426,7.367,,UP,1
