ticker,PRU US Equity,PRU US Equity,PRU US Equity,PRU US Equity,PRU US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2002-04-18,31.85,32.3,32.25,31.3998,,UP,1
2002-04-19,31.9,31.85,32.128,31.4148,,UP,1
2002-04-22,32.75,32.0,32.264,31.4574,,DOWN,0
2002-04-23,32.6,32.75,32.264,31.4888,,UP,1
2002-04-24,32.9,32.5,32.4,31.5116,,DOWN,0
2002-04-25,32.48,32.4,32.526,31.5312,,DOWN,0
2002-04-26,31.77,32.48,32.5,31.5248,,UP,1
2002-04-29,32.0,31.85,32.35,31.5242,,UP,1
2002-04-30,32.1,32.0,32.25,31.5362,,DOWN,0
2002-05-01,32.1,32.15,32.09,31.573,,UP,1
2002-05-02,32.11,32.05,32.016,31.6022,,DOWN,0
2002-05-03,32.1,32.0,32.082,31.6274,,DOWN,0
2002-05-06,31.67,32.02,32.016,31.656,,DOWN,0
2002-05-07,31.16,31.6,31.828,31.6736,,UP,1
2002-05-08,33.27,32.5,32.062,31.729,,DOWN,0
2002-05-09,32.8,33.4,32.2,31.778,,UP,1
2002-05-10,32.99,32.85,32.378,31.8264,,UP,1
2002-05-13,33.16,33.1,32.676,31.8726,,UP,1
2002-05-14,33.9,33.55,33.224,31.9366,,DOWN,0
2002-05-15,33.65,33.5,33.3,31.9808,,DOWN,0
2002-05-16,33.52,33.85,33.444,32.0232,,UP,1
2002-05-17,34.13,33.4,33.672,32.0744,,DOWN,0
2002-05-20,33.95,33.6,33.83,32.1184,,DOWN,0
2002-05-21,33.7,34.1,33.79,32.1654,,DOWN,0
2002-05-22,33.29,33.65,33.718,32.2132,,UP,1
2002-05-23,34.05,32.8,33.824,32.2816,,DOWN,0
2002-05-24,33.8,34.05,33.758,32.3382,,DOWN,0
2002-05-28,33.76,33.95,33.72,32.3914,,DOWN,0
2002-05-29,33.3,33.55,33.64,32.4296,,UP,1
2002-05-30,33.75,33.25,33.732,32.4766,,UP,1
2002-05-31,34.49,34.0,33.82,32.5394,,DOWN,0
2002-06-03,34.4,34.49,33.94,32.6024,,DOWN,0
2002-06-04,34.31,34.4,34.05,32.6636,,UP,1
2002-06-05,35.6,34.6,34.51,32.7514,,UP,1
2002-06-06,35.75,35.55,34.91,32.8378,,DOWN,0
2002-06-07,35.31,35.8,35.074,32.9166,,UP,1
2002-06-10,35.55,35.5,35.304,33.0066,,DOWN,0
2002-06-11,34.3,35.45,35.302,33.0716,,UP,1
2002-06-12,35.2,34.3,35.222,33.1486,,DOWN,0
2002-06-13,33.65,35.06,34.802,33.1946,,UP,1
2002-06-14,33.94,33.41,34.528,33.2366,,UP,1
2002-06-17,34.0,34.0,34.218,33.2704,,DOWN,0
2002-06-18,33.9,34.25,34.138,33.294,,UP,1
2002-06-19,33.95,33.4,33.888,33.313,,DOWN,0
2002-06-20,33.88,33.8,33.934,33.3348,,DOWN,0
2002-06-21,33.15,33.95,33.776,33.3458,,DOWN,0
2002-06-24,32.5,33.1,33.476,33.3456,,UP,1
2002-06-25,32.73,32.5,33.242,33.3588,,DOWN,0
2002-06-26,32.25,31.0,32.902,33.3518,,UP,1
2002-06-27,32.5,32.75,32.626,33.3574,,UP,1
2002-06-28,33.36,34.0,32.668,33.3876,,DOWN,0
2002-07-01,32.7,32.95,32.708,33.4036,,DOWN,0
2002-07-02,31.83,32.46,32.528,33.3852,,DOWN,0
2002-07-03,30.4,31.7,32.158,33.3412,,UP,1
2002-07-05,31.34,31.0,31.926,33.31,,DOWN,0
2002-07-08,30.9,31.66,31.434,33.2784,,DOWN,0
2002-07-09,30.31,30.8,30.956,33.2492,,UP,1
2002-07-10,30.59,31.5,30.708,33.221,,UP,1
2002-07-11,30.95,30.65,30.818,33.198,,UP,1
2002-07-12,31.8,30.95,30.91,33.192,,DOWN,0
2002-07-15,31.8,31.7,31.09,33.1858,,DOWN,0
2002-07-16,31.55,31.55,31.338,33.1748,,DOWN,0
2002-07-17,31.42,31.95,31.504,33.1698,,DOWN,0
2002-07-18,31.39,32.1,31.592,33.1744,,UP,1
2002-07-19,32.45,31.0,31.722,33.158,,DOWN,0
2002-07-22,31.65,31.5,31.692,33.135,,DOWN,0
2002-07-23,29.6,31.84,31.302,33.0672,,UP,1
2002-07-24,30.21,28.7,31.06,33.0082,,DOWN,0
2002-07-25,29.0,29.75,30.582,32.9102,,UP,1
2002-07-26,30.25,28.4,30.142,32.8422,,UP,1
2002-07-29,32.2,30.65,30.252,32.8158,,DOWN,0
2002-07-30,32.15,31.7,30.762,32.7762,,UP,1
2002-07-31,32.99,32.15,31.318,32.757,,DOWN,0
2002-08-01,32.9,32.6,32.098,32.741,,DOWN,0
2002-08-02,31.29,32.4,32.306,32.701,,DOWN,0
2002-08-05,29.85,30.95,31.836,32.617,,UP,1
2002-08-06,30.38,30.6,31.482,32.5486,,UP,1
2002-08-07,30.6,30.7,31.004,32.4854,,UP,1
2002-08-08,32.15,30.6,30.854,32.4624,,UP,1
2002-08-09,32.88,31.9,31.172,32.445,,DOWN,0
2002-08-12,32.3,32.45,31.662,32.4012,,DOWN,0
2002-08-13,31.47,32.25,31.88,32.3426,,UP,1
2002-08-14,32.79,31.5,32.318,32.3122,,DOWN,0
2002-08-15,32.6,32.9,32.408,32.2522,,DOWN,0
2002-08-16,32.0,32.59,32.232,32.1772,,UP,1
2002-08-19,32.44,32.0,32.26,32.1198,,DOWN,0
2002-08-20,31.98,32.34,32.362,32.0484,,DOWN,0
2002-08-21,31.57,31.78,32.118,31.9938,,UP,1
2002-08-22,32.29,31.77,32.056,31.9356,,DOWN,0
2002-08-23,31.42,32.25,31.94,31.891,,UP,1
2002-08-26,31.52,31.66,31.756,31.8426,,DOWN,0
2002-08-27,30.16,31.95,31.392,31.7658,,DOWN,0
2002-08-28,30.07,30.19,31.092,31.6892,,DOWN,0
2002-08-29,30.0,29.5,30.634,31.6102,,UP,1
2002-08-30,30.2,30.0,30.39,31.5366,,DOWN,0
2002-09-03,28.76,29.7,29.838,31.4488,,UP,1
2002-09-04,28.8,28.6,29.566,31.3748,,DOWN,0
2002-09-05,28.75,28.7,29.302,31.2952,,UP,1
2002-09-06,29.73,29.1,29.248,31.2448,,UP,1
2002-09-09,30.32,29.72,29.272,31.2012,,DOWN,0
2002-09-10,30.18,30.32,29.556,31.1376,,DOWN,0
2002-09-11,30.15,30.99,29.826,31.0866,,DOWN,0
2002-09-12,29.6,29.7,29.996,31.042,,DOWN,0
2002-09-13,29.53,29.6,29.956,31.0246,,DOWN,0
2002-09-16,29.25,29.6,29.742,30.9828,,DOWN,0
2002-09-17,28.9,29.42,29.486,30.9428,,UP,1
2002-09-18,28.96,28.65,29.248,30.9158,,DOWN,0
2002-09-19,27.89,28.75,28.906,30.8618,,DOWN,0
2002-09-20,27.51,27.87,28.502,30.793,,UP,1
