ticker,KLAC US Equity,KLAC US Equity,KLAC US Equity,KLAC US Equity,KLAC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,69.75,68.875,38.6034,66.925,54.9075,DOWN,0
2000-02-09,67.8125,68.25,38.8076,67.575,55.3806,UP,1
2000-02-10,70.4375,67.6875,39.0298,68.425,55.9438,DOWN,0
2000-02-11,68.5,70.625,39.2452,68.9375,56.4081,DOWN,0
2000-02-14,67.625,68.0,39.4593,68.825,56.7794,UP,1
2000-02-15,69.6875,67.0,39.6827,68.8125,57.1975,UP,1
2000-02-16,71.75,71.0,39.9135,69.6,57.5938,UP,1
2000-02-17,74.0,72.375,40.1401,70.3125,58.0613,DOWN,0
2000-02-18,68.0,72.875,40.3485,70.2125,58.46,UP,1
2000-02-22,71.625,67.9375,40.5716,71.0125,58.9481,UP,1
2000-02-23,72.3125,71.375,40.8004,71.5375,59.485,UP,1
2000-02-24,72.8125,73.75,41.0348,71.75,60.0556,DOWN,0
2000-02-25,68.625,72.9375,41.2446,70.675,60.6025,UP,1
2000-02-28,69.8125,67.875,41.4616,71.0375,61.095,UP,1
2000-02-29,77.9375,71.625,41.7226,72.3,61.725,DOWN,0
2000-03-01,75.3125,78.875,41.9666,72.9,62.2656,DOWN,0
2000-03-02,72.125,77.125,42.1963,72.7625,62.7013,UP,1
2000-03-03,83.25,76.25,42.4726,75.6875,63.2875,UP,1
2000-03-06,83.9375,85.0,42.7632,78.5125,63.9581,UP,1
2000-03-07,84.0,84.875,43.0601,79.725,64.6094,DOWN,0
2000-03-08,79.0,83.875,43.3351,80.4625,65.1063,UP,1
2000-03-09,85.0,79.0625,43.6462,83.0375,65.7213,UP,1
2000-03-10,91.125,84.625,43.989,84.6125,66.4306,DOWN,0
2000-03-13,83.9375,86.25,44.2946,84.6125,67.0225,DOWN,0
2000-03-14,76.375,86.25,44.5627,83.0875,67.4363,DOWN,0
2000-03-15,75.125,77.1875,44.8291,82.3125,67.8538,DOWN,0
2000-03-16,75.125,76.875,45.0898,80.3375,68.3175,UP,1
2000-03-17,80.0,74.125,45.3757,78.1125,68.9306,DOWN,0
2000-03-20,77.0625,79.875,45.642,76.7375,69.4775,UP,1
2000-03-21,80.6875,77.875,45.9254,77.6,70.0381,UP,1
2000-03-22,83.5625,80.5,46.2196,79.2875,70.5438,UP,1
2000-03-23,86.75,84.875,46.5166,81.6125,71.1231,UP,1
2000-03-24,89.3125,87.4375,46.8274,83.475,71.7175,UP,1
2000-03-27,89.4375,89.4375,47.1404,85.95,72.3088,DOWN,0
2000-03-28,85.0,88.625,47.4295,86.8125,72.6288,DOWN,0
2000-03-29,77.8125,85.625,47.6801,85.6625,72.8788,UP,1
2000-03-30,79.25,76.75,47.932,84.1625,73.1775,UP,1
2000-03-31,84.25,80.4375,48.2082,83.15,73.5975,DOWN,0
2000-04-03,77.0625,84.125,48.4524,80.675,73.8538,UP,1
2000-04-04,79.625,78.5,48.6998,79.6,74.25,UP,1
2000-04-05,81.375,77.875,48.9566,80.3125,74.6388,UP,1
2000-04-06,89.125,83.3125,49.254,82.2875,75.2538,UP,1
2000-04-07,97.4375,89.6875,49.5984,84.925,76.0638,DOWN,0
2000-04-10,83.8125,97.3125,49.8724,86.275,76.6138,UP,1
2000-04-11,86.375,81.0,50.1543,87.625,77.1688,DOWN,0
2000-04-12,78.0,88.75,50.3901,86.95,77.5163,DOWN,0
2000-04-13,64.75,82.125,50.5516,82.075,77.52,DOWN,0
2000-04-14,57.625,63.5,50.6674,74.1125,77.3488,UP,1
2000-04-17,68.0,57.0,50.8352,70.95,77.39,UP,1
2000-04-18,72.0,67.75,51.0245,68.075,77.4663,DOWN,0
2000-04-19,64.5625,71.4375,51.186,65.3875,77.3625,UP,1
2000-04-20,65.125,65.125,51.3385,65.4625,77.3088,DOWN,0
2000-04-24,63.875,63.125,51.487,66.7125,77.1775,UP,1
2000-04-25,66.125,65.0,51.652,66.3375,77.13,DOWN,0
2000-04-26,63.6875,67.1875,51.803,64.675,77.0513,UP,1
2000-04-27,70.9375,61.375,51.9802,65.95,77.0763,UP,1
2000-04-28,74.875,72.4375,52.1807,67.9,77.1388,DOWN,0
2000-05-01,71.5625,76.2813,52.3598,69.4375,77.09,DOWN,0
2000-05-02,68.6875,71.0,52.5316,69.95,77.1038,DOWN,0
2000-05-03,62.4375,67.5,52.6849,69.7,76.92,UP,1
2000-05-04,63.0,64.0,52.8334,68.1125,76.7338,UP,1
2000-05-05,63.625,62.9219,52.9935,65.8625,76.55,DOWN,0
2000-05-08,59.9375,63.3125,53.1313,63.5375,76.3763,DOWN,0
2000-05-09,55.0,60.875,53.2496,60.8,76.08,DOWN,0
2000-05-10,49.0,54.0,53.3305,58.1125,75.5013,UP,1
2000-05-11,50.0625,49.75,53.4129,55.525,74.9963,UP,1
2000-05-12,51.8125,51.875,53.5065,53.1625,74.59,UP,1
2000-05-15,55.0,52.5625,53.6121,52.175,74.025,UP,1
2000-05-16,57.0,57.0,53.7265,52.575,73.4863,UP,1
2000-05-17,57.625,55.5625,53.8385,54.3,72.9588,DOWN,0
2000-05-18,56.625,58.25,53.9523,55.6125,72.5113,DOWN,0
2000-05-19,52.375,55.9375,54.0413,55.725,71.8588,DOWN,0
2000-05-22,52.0625,52.5625,54.1298,55.1375,71.0775,DOWN,0
2000-05-23,46.5,51.0,54.1895,53.0375,70.3288,UP,1
2000-05-24,48.0,46.0,54.2601,51.1125,69.7613,DOWN,0
2000-05-25,44.125,47.0,54.3057,48.6125,69.1413,UP,1
2000-05-26,45.4375,44.8125,54.3668,47.225,68.5475,UP,1
2000-05-30,52.75,47.0,54.4655,47.3625,68.0025,DOWN,0
2000-05-31,49.5625,52.375,54.5448,47.975,67.4525,UP,1
2000-06-01,54.875,51.625,54.6466,49.35,66.9363,UP,1
2000-06-02,61.5,59.125,54.7932,52.825,66.495,DOWN,0
2000-06-05,58.6875,59.625,54.9288,55.475,65.9338,DOWN,0
2000-06-06,54.5625,58.9375,55.0443,55.8375,65.2388,UP,1
2000-06-07,57.375,55.625,55.1687,57.4,64.5975,UP,1
2000-06-08,58.25,58.1875,55.2955,58.075,64.0625,DOWN,0
2000-06-09,57.9375,59.25,55.4224,57.3625,63.665,DOWN,0
2000-06-12,54.375,58.875,55.5343,56.5,63.1675,UP,1
2000-06-13,55.75,54.375,55.6535,56.7375,62.5975,DOWN,0
2000-06-14,53.125,56.25,55.7602,55.8875,62.1188,UP,1
2000-06-15,54.0,52.5625,55.8731,55.0375,61.6063,UP,1
2000-06-16,54.875,55.8125,55.9844,54.425,61.0763,UP,1
2000-06-19,61.5,54.25,56.1313,55.85,60.5238,UP,1
2000-06-20,63.4375,62.5,56.2772,57.3875,59.8438,DOWN,0
2000-06-21,62.9375,61.6875,56.4142,59.35,59.4263,DOWN,0
2000-06-22,61.625,64.1875,56.548,60.875,58.9313,DOWN,0
2000-06-23,59.1875,61.5,56.6652,61.7375,58.555,UP,1
2000-06-26,63.0625,59.8125,56.8014,62.05,58.5213,DOWN,0
2000-06-27,60.875,62.8125,56.9388,61.5375,58.5863,UP,1
2000-06-28,61.875,61.5,57.0647,61.325,58.4638,DOWN,0
2000-06-29,57.625,62.25,57.1783,60.525,58.1763,UP,1
2000-06-30,58.5625,58.5625,57.2914,60.4,58.0563,DOWN,0
2000-07-03,58.3125,58.125,57.4005,59.45,57.92,DOWN,0
2000-07-05,50.0625,56.25,57.4722,57.2875,57.6438,UP,1
2000-07-06,51.0,51.5,57.5598,55.1125,57.3413,UP,1
2000-07-07,53.75,52.9375,57.6531,54.3375,57.1425,DOWN,0
2000-07-10,52.875,54.0625,57.7522,53.2,56.7813,UP,1
2000-07-11,56.125,54.125,57.8661,52.7625,56.4063,UP,1
2000-07-12,60.0,57.25,57.9947,54.75,56.175,DOWN,0
2000-07-13,58.9375,61.625,58.1145,56.3375,55.98,UP,1
2000-07-14,62.0,60.875,58.2511,57.9875,55.9713,UP,1
2000-07-17,63.6875,63.6875,58.407,60.15,55.985,DOWN,0
2000-07-18,60.0625,62.2344,58.5417,60.9375,55.9138,DOWN,0
2000-07-19,54.75,59.4375,58.6411,59.8875,55.81,UP,1
2000-07-20,56.0625,55.875,58.7361,59.3125,55.8313,DOWN,0
2000-07-21,50.4375,54.0625,58.7996,57.0,55.86,UP,1
2000-07-24,52.375,51.125,58.881,54.7375,55.9063,UP,1
2000-07-25,55.1875,54.0625,58.9828,53.7625,55.9738,DOWN,0
2000-07-26,54.8125,54.25,59.0794,53.775,55.97,DOWN,0
2000-07-27,50.5,51.3125,59.1481,52.6625,55.84,UP,1
2000-07-28,50.9375,52.0,59.218,52.7625,55.7063,UP,1
2000-07-31,53.25,51.4375,59.3027,52.9375,55.6388,DOWN,0
2000-08-01,49.9375,53.3438,59.3702,51.8875,55.59,UP,1
2000-08-02,50.75,50.5,59.4445,51.075,55.5638,DOWN,0
2000-08-03,44.6875,45.375,59.4983,49.9125,55.5275,UP,1
2000-08-04,45.0,46.4375,59.5492,48.725,55.4675,UP,1
2000-08-07,47.4375,46.25,59.6108,47.5625,55.5338,DOWN,0
2000-08-08,45.75,47.5,59.6595,46.725,55.54,UP,1
2000-08-09,46.25,47.0625,59.7131,45.825,55.41,DOWN,0
2000-08-10,42.375,45.375,59.7505,45.3625,55.2663,UP,1
2000-08-11,44.6875,42.25,59.8052,45.3,55.0625,UP,1
2000-08-14,51.0,45.625,59.8777,46.0125,54.8525,UP,1
2000-08-15,52.75,52.0,59.9434,47.4125,54.7338,UP,1
2000-08-16,53.25,53.625,60.0123,48.8125,54.7075,UP,1
2000-08-17,54.8125,52.1875,60.0786,51.3,54.6563,UP,1
2000-08-18,55.0625,55.25,60.1397,53.375,54.5925,DOWN,0
2000-08-21,52.75,56.125,60.1945,53.725,54.4888,UP,1
2000-08-22,55.625,53.0938,60.2533,54.3,54.5138,UP,1
2000-08-23,60.3125,55.4375,60.3373,55.7125,54.605,DOWN,0
2000-08-24,58.8125,60.4375,60.4128,56.5125,54.7188,UP,1
2000-08-25,59.3125,59.1875,60.4881,57.3625,54.825,UP,1
2000-08-28,61.1875,59.3125,60.5613,59.05,54.9513,UP,1
2000-08-29,62.625,60.9844,60.6325,60.45,54.9738,UP,1
2000-08-30,65.1875,62.5,60.7261,61.425,55.0088,UP,1
2000-08-31,65.625,65.4375,60.8228,62.7875,55.0625,UP,1
2000-09-01,66.8125,65.875,60.9289,64.2875,55.1663,DOWN,0
2000-09-05,64.875,65.8125,61.0261,65.025,55.28,DOWN,0
2000-09-06,59.1719,62.875,61.0913,64.3344,55.2022,UP,1
2000-09-07,61.125,59.8125,61.1709,63.5219,55.2072,DOWN,0
2000-09-08,55.75,59.6875,61.2271,61.5469,55.0847,DOWN,0
2000-09-11,54.1875,55.25,61.2676,59.0219,55.0159,DOWN,0
2000-09-12,50.1875,54.1406,61.2937,56.0844,54.8484,UP,1
2000-09-13,51.5,49.4375,61.3304,54.55,54.7122,DOWN,0
2000-09-14,51.0,52.875,61.374,52.525,54.7309,DOWN,0
2000-09-15,49.875,49.8125,61.397,51.35,54.7084,DOWN,0
2000-09-18,49.1875,50.25,61.3976,50.35,54.6172,UP,1
2000-09-19,53.375,50.5625,61.4205,50.9875,54.6272,DOWN,0
2000-09-20,53.3125,53.25,61.4274,51.35,54.5709,DOWN,0
2000-09-21,49.3125,53.0938,61.4209,51.0125,54.3572,DOWN,0
2000-09-22,43.375,45.125,61.3974,49.7125,54.0459,DOWN,0
2000-09-25,42.25,44.875,61.3726,48.325,53.6509,DOWN,0
2000-09-26,39.8125,42.5,61.3443,45.6125,53.1734,UP,1
2000-09-27,40.875,40.6875,61.3273,43.125,52.7897,UP,1
2000-09-28,45.3125,40.5625,61.3474,42.325,52.6009,DOWN,0
2000-09-29,41.1875,44.0,61.3274,41.8875,52.3034,DOWN,0
2000-10-02,38.0,41.5,61.2852,41.0375,52.0547,DOWN,0
2000-10-03,37.6875,38.4375,61.2323,40.6125,51.7609,UP,1
2000-10-04,40.6875,37.3125,61.184,40.575,51.4709,DOWN,0
2000-10-05,38.1875,40.1875,61.1052,39.15,51.1384,DOWN,0
2000-10-06,35.3125,37.625,61.0298,37.975,50.8347,UP,1
