ticker,AVGO US Equity,AVGO US Equity,AVGO US Equity,AVGO US Equity,AVGO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2009-12-07,16.87,16.5,16.178,15.935,,DOWN,0
2009-12-08,16.75,16.61,16.336,15.917,,UP,1
2009-12-09,16.81,16.61,16.576,15.9126,,DOWN,0
2009-12-10,16.77,16.8,16.744,15.9066,,DOWN,0
2009-12-11,16.58,16.69,16.756,15.912,,UP,1
2009-12-14,16.85,16.74,16.752,15.9272,,DOWN,0
2009-12-15,16.74,16.85,16.75,15.9322,,UP,1
2009-12-16,17.0,16.88,16.788,15.9428,,DOWN,0
2009-12-17,16.31,16.91,16.696,15.9464,,UP,1
2009-12-18,16.39,16.3,16.658,15.954,,UP,1
2009-12-21,16.49,16.79,16.586,15.9588,,UP,1
2009-12-22,16.73,16.5,16.584,15.9666,,UP,1
2009-12-23,16.78,16.75,16.54,15.9716,,DOWN,0
2009-12-24,16.78,16.72,16.634,15.97,,UP,1
2009-12-28,17.38,16.75,16.832,15.9744,,UP,1
2009-12-29,17.53,17.52,17.04,15.9964,,UP,1
2009-12-30,17.69,17.31,17.232,16.0254,,UP,1
2009-12-31,18.29,17.61,17.534,16.0606,,UP,1
2010-01-04,18.86,18.3,17.95,16.108,,UP,1
2010-01-05,19.0,18.95,18.274,16.1624,,UP,1
2010-01-06,19.15,18.95,18.598,16.2244,,DOWN,0
2010-01-07,19.03,19.04,18.866,16.2882,,UP,1
2010-01-08,19.17,18.9,19.042,16.3626,,UP,1
2010-01-11,19.29,19.2,19.128,16.4498,,DOWN,0
2010-01-12,19.0,19.14,19.128,16.529,,DOWN,0
2010-01-13,18.42,18.96,18.982,16.5974,,UP,1
2010-01-14,18.43,18.48,18.862,16.6686,,DOWN,0
2010-01-15,18.24,18.56,18.676,16.7436,,DOWN,0
2010-01-19,17.81,17.9,18.38,16.8042,,UP,1
2010-01-20,17.96,17.71,18.172,16.857,,UP,1
2010-01-21,17.985,17.87,18.085,16.9109,,DOWN,0
2010-01-22,17.56,17.88,17.911,16.9489,,UP,1
2010-01-25,17.65,17.67,17.793,16.9929,,UP,1
2010-01-26,17.76,17.03,17.783,17.0409,,DOWN,0
2010-01-27,17.41,17.64,17.673,17.0771,,UP,1
2010-01-28,17.72,17.55,17.62,17.1199,,DOWN,0
2010-01-29,17.38,17.72,17.584,17.1473,,UP,1
2010-02-01,17.5,17.38,17.554,17.1759,,UP,1
2010-02-02,17.7,17.51,17.542,17.2093,,DOWN,0
2010-02-03,17.62,17.54,17.584,17.2503,,DOWN,0
2010-02-04,17.22,17.38,17.484,17.2859,,DOWN,0
