ticker,ZBH US Equity,ZBH US Equity,ZBH US Equity,ZBH US Equity,ZBH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2001-11-20,29.3365,29.1522,29.3346,28.0721,,UP,1
2001-11-21,29.6858,29.5402,29.2764,28.1373,,UP,1
2001-11-23,29.8798,29.6858,29.4277,28.2176,,UP,1
2001-11-26,31.7715,30.0738,29.9458,28.34,,DOWN,0
2001-11-27,31.5969,31.7618,30.4541,28.482,,DOWN,0
2001-11-28,31.5775,31.529,30.9023,28.6266,,UP,1
2001-11-29,31.626,31.1409,31.2903,28.7737,,DOWN,0
2001-11-30,31.2962,31.2865,31.5736,28.9,,DOWN,0
2001-12-03,31.238,31.3156,31.4669,29.0232,,UP,1
2001-12-04,31.626,30.9954,31.4727,29.1376,,UP,1
2001-12-05,31.7036,31.529,31.498,29.2614,,UP,1
2001-12-06,31.8685,31.723,31.5465,29.3788,,DOWN,0
2001-12-07,30.4619,31.4805,31.3796,29.4642,,DOWN,0
2001-12-10,30.394,30.3163,31.2108,29.5336,,DOWN,0
2001-12-11,29.4335,29.9089,30.7723,29.5769,,DOWN,0
2001-12-12,29.0455,29.3947,30.2407,29.6039,,UP,1
2001-12-13,29.6858,29.0067,29.8041,29.6388,,UP,1
2001-12-14,29.9865,29.4917,29.709,29.6786,,DOWN,0
2001-12-17,29.3462,29.6858,29.4995,29.7019,,UP,1
2001-12-18,29.3947,29.1522,29.4917,29.7325,,UP,1
2001-12-19,29.6567,29.3947,29.614,29.7686,,DOWN,0
2001-12-20,29.1328,29.5402,29.5034,29.7884,,UP,1
2001-12-21,29.4238,29.1231,29.3908,29.8061,,DOWN,0
2001-12-24,28.9097,29.2007,29.3035,29.8057,,UP,1
2001-12-26,28.9388,28.7156,29.2123,29.8068,,UP,1
2001-12-27,28.9679,29.1037,29.0746,29.8051,,DOWN,0
2001-12-28,28.8612,28.7253,29.0203,29.8008,,UP,1
2001-12-31,29.6276,28.7156,29.061,29.8342,,DOWN,0
2002-01-02,29.3268,29.385,29.1444,29.8507,,DOWN,0
2002-01-03,29.1425,29.2007,29.1852,29.8563,,DOWN,0
2002-01-04,28.6671,29.1231,29.125,29.8517,,DOWN,0
2002-01-07,28.6671,28.6186,29.0862,29.8439,,UP,1
2002-01-08,29.5888,28.6186,29.0785,29.8616,,UP,1
2002-01-09,29.7828,29.5402,29.1697,29.8943,,DOWN,0
2002-01-10,29.647,29.7828,29.2706,29.9207,,DOWN,0
2002-01-11,29.0358,29.7828,29.3443,29.9174,,UP,1
2002-01-14,30.8596,28.9097,29.7828,29.9349,,DOWN,0
2002-01-15,30.3163,30.7044,29.9283,29.9318,,UP,1
2002-01-16,30.3843,30.1708,30.0486,29.9244,,UP,1
2002-01-17,30.8499,30.1708,30.2892,29.9395,,DOWN,0
2002-01-18,30.2775,30.5395,30.5375,29.9283,,DOWN,0
2002-01-22,30.1223,30.0738,30.3901,29.9143,,UP,1
2002-01-23,30.782,29.8798,30.4832,29.9362,,UP,1
2002-01-24,31.1895,30.8014,30.6442,29.9778,,DOWN,0
2002-01-25,31.1409,31.0439,30.7025,30.0189,,UP,1
2002-01-28,31.1895,30.9954,30.8848,30.0556,,UP,1
2002-01-29,31.626,31.432,31.1856,30.0886,,UP,1
2002-01-30,31.8879,31.3835,31.4068,30.1439,,DOWN,0
2002-01-31,31.5581,31.6454,31.4805,30.1914,,DOWN,0
2002-02-01,31.432,31.432,31.5387,30.2389,,DOWN,0
2002-02-04,31.3447,31.3835,31.5697,30.2791,,UP,1
2002-02-05,31.917,30.0738,31.628,30.3237,,UP,1
2002-02-06,32.5961,32.7417,31.7696,30.378,,UP,1
2002-02-07,33.0618,32.5961,32.0703,30.4038,,DOWN,0
2002-02-08,33.0133,32.6931,32.3866,30.4322,,UP,1
2002-02-11,33.4692,33.0133,32.8115,30.47,,UP,1
2002-02-12,33.576,33.5663,33.1433,30.509,,DOWN,0
2002-02-13,33.4207,33.9543,33.3082,30.5515,,UP,1
2002-02-14,33.6633,33.3722,33.4285,30.6,,UP,1
2002-02-15,33.7603,33.8088,33.5779,30.6427,,UP,1
2002-02-19,33.9543,33.6633,33.6749,30.6877,,UP,1
2002-02-20,34.42,33.9543,33.8437,30.7387,,DOWN,0
2002-02-21,34.1968,34.4879,33.9989,30.8134,,DOWN,0
2002-02-22,34.0416,34.0513,34.0746,30.8864,,DOWN,0
2002-02-25,34.0222,34.0416,34.127,30.9782,,UP,1
2002-02-26,34.614,34.0222,34.2589,31.0895,,UP,1
2002-02-27,34.8274,34.4879,34.3404,31.1924,,DOWN,0
2002-02-28,34.6916,34.8759,34.4394,31.2865,,UP,1
2002-03-01,34.7304,34.9729,34.5771,31.3942,,UP,1
2002-03-04,35.2737,35.1185,34.8274,31.5117,,DOWN,0
2002-03-05,33.8379,35.0311,34.6722,31.5954,,DOWN,0
2002-03-06,33.1976,33.8379,34.3462,31.6767,,DOWN,0
2002-03-07,32.2566,32.7417,33.8592,31.7333,,UP,1
2002-03-08,32.732,32.2566,33.4595,31.8098,,UP,1
2002-03-11,33.4692,32.7417,33.0987,31.9004,,DOWN,0
2002-03-12,33.3819,33.4692,33.0075,31.9886,,DOWN,0
2002-03-13,33.3722,33.6245,33.0424,32.0789,,UP,1
2002-03-14,33.4595,33.4692,33.283,32.1555,,UP,1
