ticker,AZNCF US Equity,AZNCF US Equity,AZNCF US Equity,AZNCF US Equity,AZNCF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2001-01-10,46.5,46.5,47.7,46.1348,,DOWN,0
2001-01-11,46.5,46.5,47.3,46.1648,,UP,1
2001-01-16,47.25,47.25,47.45,46.2598,,DOWN,0
2001-01-17,46.25,47.25,46.75,46.3648,,UP,1
2001-01-18,46.375,46.375,46.575,46.4823,,DOWN,0
2001-01-19,46.375,46.375,46.55,46.5648,,DOWN,0
2001-01-30,43.25,43.25,45.9,46.6173,,UP,1
2001-01-31,43.75,43.75,45.2,46.6673,,UP,1
2001-02-01,44.5,44.5,44.85,46.7323,,UP,1
2001-02-02,46.25,46.25,44.825,46.8273,,DOWN,0
2001-02-20,42.125,42.125,43.975,46.8373,,UP,1
2001-02-22,45.625,45.625,44.45,46.8798,,DOWN,0
2001-02-23,45.125,45.625,44.725,46.8523,,DOWN,0
2001-02-26,45.125,45.125,44.85,46.8248,,DOWN,0
2001-02-27,44.0,44.0,44.4,46.7698,,UP,1
2001-02-28,45.0841,45.0841,44.9918,46.7265,,DOWN,0
2001-03-08,44.625,44.625,44.7918,46.6692,,UP,1
2001-03-09,46.0,46.0,44.9668,46.6717,,DOWN,0
2001-03-12,46.0,46.0,45.1418,46.7142,,UP,1
2001-03-26,46.75,46.75,45.6918,46.7792,,DOWN,0
2001-03-27,46.75,46.75,46.025,46.8442,,DOWN,0
2001-03-28,46.75,46.75,46.45,46.8842,,DOWN,0
2001-03-29,46.5,46.5,46.55,46.9242,,UP,1
2001-03-30,47.875,46.5,46.925,46.9917,,DOWN,0
2001-04-02,47.875,47.875,47.15,47.0617,,DOWN,0
2001-04-05,47.8036,47.8036,47.3607,47.0878,,DOWN,0
2001-04-06,47.8036,47.8036,47.5715,47.1313,,UP,1
2001-04-10,49.875,49.875,48.2465,47.2138,,DOWN,0
2001-04-16,47.755,47.755,48.2225,47.2139,,UP,1
2001-04-17,48.0,48.0,48.2475,47.1539,,DOWN,0
2001-04-18,47.45,48.25,48.1767,47.1029,,DOWN,0
2001-04-26,46.375,46.375,47.891,47.0129,,DOWN,0
2001-04-27,46.375,46.375,47.191,46.9204,,UP,1
2001-05-01,47.0,47.0,47.04,46.8304,,DOWN,0
2001-05-02,46.5,46.5,46.74,46.7554,,DOWN,0
2001-05-07,45.4375,45.4375,46.3375,46.7267,,UP,1
2001-05-14,47.0,47.0,46.4625,46.7117,,DOWN,0
2001-05-15,45.5,45.5,46.2875,46.6667,,UP,1
2001-05-23,48.0,48.0,46.4875,46.6617,,DOWN,0
2001-06-06,24.25,24.25,42.0375,46.1792,,UP,1
2001-06-08,49.0,49.0,42.75,46.1967,,DOWN,0
2001-06-13,48.25,48.25,43.0,46.2067,,UP,1
2001-06-14,49.5,49.5,43.8,46.2667,,DOWN,0
2001-06-18,49.5,49.5,44.1,46.3267,,DOWN,0
2001-06-20,48.3,48.3,48.91,46.3227,,DOWN,0
2001-07-11,46.67,46.67,48.444,46.2311,,UP,1
2001-07-13,47.25,47.25,48.244,46.2061,,UP,1
2001-07-19,49.75,49.75,48.294,46.2711,,DOWN,0
2001-07-23,47.1,47.1,47.814,46.2181,,UP,1
2001-08-06,49.34,49.34,48.022,46.2599,,UP,1
2001-08-07,49.634,49.634,48.6148,46.3226,,DOWN,0
2001-08-08,48.7,48.7,48.9048,46.3666,43.4609,DOWN,0
2001-08-09,48.5,48.5,48.6548,46.3916,43.4747,DOWN,0
2001-08-20,48.5,48.5,48.9348,46.4366,43.4978,UP,1
2001-08-29,49.0,49.0,48.8668,46.4891,43.5315,DOWN,0
2001-08-30,47.125,47.125,48.365,46.5041,43.5597,DOWN,0
2001-09-17,45.8,45.8,47.785,46.5551,43.5762,UP,1
2001-09-19,46.1,46.1,47.305,46.6021,43.5929,DOWN,0
2001-09-26,43.0,43.0,46.205,46.5721,43.6035,UP,1
2001-10-03,46.75,46.75,45.755,46.5821,43.6448,DOWN,0
2001-10-15,45.5,45.5,45.43,46.6496,43.6779,UP,1
2001-10-16,46.0,46.0,45.47,46.6571,43.7167,DOWN,0
2001-10-22,46.0,46.0,45.45,46.6746,43.7529,DOWN,0
2001-10-23,45.75,45.75,46.0,46.6871,43.7748,DOWN,0
2001-10-29,44.0,44.0,45.45,46.6871,43.8017,UP,1
2001-11-01,46.125,46.125,45.575,46.7079,43.8379,UP,1
2001-11-07,47.0,47.0,45.775,46.7554,43.8754,UP,1
2001-11-08,47.3438,47.3438,46.0438,46.7823,43.9115,DOWN,0
2001-11-12,44.0,44.0,45.6938,46.7423,43.929,UP,1
2001-11-20,44.6803,44.6803,45.8298,46.7009,43.9524,UP,1
2001-11-21,45.75,45.75,45.7548,46.6809,43.9836,UP,1
2001-11-27,45.875,45.875,45.5298,46.6634,44.0118,DOWN,0
2001-12-05,45.0,45.0,45.0611,46.6334,44.0311,DOWN,0
2001-12-06,44.96,44.96,45.2531,46.5751,44.0578,UP,1
2001-12-10,45.85,45.85,45.487,46.5346,44.0864,DOWN,0
2001-12-14,44.25,44.25,45.187,46.4635,44.1108,DOWN,0
2001-12-19,43.5,43.5,44.712,46.3774,44.1352,UP,1
2001-12-21,44.125,44.125,44.537,46.2624,44.1586,DOWN,0
2001-12-24,43.875,43.875,44.32,46.1848,44.1943,UP,1
2001-12-27,44.7,44.7,44.09,46.1188,44.239,UP,1
2002-01-04,45.125,45.125,44.265,46.0723,44.2871,UP,1
2002-01-24,45.4,45.4,44.645,46.0528,44.3379,DOWN,0
2002-01-25,44.125,44.125,44.645,46.0078,44.3766,DOWN,0
2002-01-30,44.125,44.125,44.695,45.9503,44.4148,UP,1
2002-02-05,47.8879,47.8879,45.3326,45.9781,44.4698,DOWN,0
2002-02-08,47.7,47.7,45.8476,46.0233,44.5243,UP,1
2002-02-22,50.5254,50.5254,46.8727,46.0938,44.5913,DOWN,0
2002-02-28,50.5,50.5,48.1477,46.1938,44.6426,UP,1
2002-03-01,51.5,51.5,49.6227,46.2638,44.7007,DOWN,0
2002-03-05,50.8539,50.8539,50.2159,46.7959,44.7562,DOWN,0
2002-03-25,48.58,48.58,50.3919,46.7875,44.801,UP,1
2002-04-02,49.75,49.75,50.2368,46.8175,44.8516,DOWN,0
2002-04-04,48.7,48.7,49.8768,46.8015,44.902,UP,1
2002-04-09,49.75,49.75,49.5268,46.8065,44.9526,UP,1
2002-04-10,50.9991,50.9991,49.5558,46.8605,44.9989,DOWN,0
2002-04-19,49.125,49.125,49.6648,46.9096,45.0364,DOWN,0
2002-04-25,48.6,48.6,49.4348,46.9366,45.0706,UP,1
2002-04-26,48.625,48.625,49.4198,46.9141,45.0944,DOWN,0
2002-05-02,48.1,48.1,49.0898,46.9341,45.1061,DOWN,0
2002-05-08,46.1,46.1,48.11,46.8693,45.1041,DOWN,0
2002-05-09,45.75,45.75,47.435,46.7916,45.1054,DOWN,0
2002-05-13,44.75,44.75,46.665,46.7126,45.096,UP,1
2002-05-14,45.25,45.25,45.99,46.6476,45.0854,UP,1
2002-05-16,46.9,46.9,45.75,46.6156,45.0849,DOWN,0
2002-05-17,46.25,46.25,45.78,46.5606,45.0861,DOWN,0
2002-06-06,42.2,42.2,45.07,46.4621,45.0634,DOWN,0
2002-06-11,42.15,42.15,44.55,46.3891,45.0429,DOWN,0
2002-06-12,41.0,41.0,43.7,46.2871,45.0179,DOWN,0
2002-07-05,39.5,39.5,42.22,46.2171,44.991,UP,1
2002-07-09,39.75,39.75,40.92,46.0771,44.9622,DOWN,0
2002-07-10,39.55,39.55,40.39,45.9581,44.9325,DOWN,0
2002-07-23,31.125,31.125,38.185,45.6606,44.8669,UP,1
2002-07-24,31.2,31.2,36.225,45.3646,44.8154,UP,1
2002-07-25,33.0,33.0,34.925,45.1096,44.771,UP,1
2002-07-26,33.7523,33.7523,33.7255,44.9047,44.7104,UP,1
2002-07-30,36.0,36.0,33.0155,44.7022,44.6698,DOWN,0
2002-08-06,21.1108,21.1108,31.0126,44.1844,44.5572,UP,1
2002-08-15,36.0,36.0,31.9726,43.9575,44.5309,DOWN,0
2002-08-19,30.75,30.75,31.5226,43.6925,44.4809,DOWN,0
2002-08-23,29.75,29.75,30.7222,43.3939,44.4241,UP,1
2002-08-26,30.6,30.6,29.6422,43.0909,44.3746,DOWN,0
2002-09-03,30.0,30.0,31.42,42.7734,44.3221,DOWN,0
2002-09-04,30.0,30.0,30.22,42.4734,44.2733,UP,1
2002-09-05,30.125,30.125,30.095,42.1767,44.2283,UP,1
2002-09-16,30.6503,30.6503,30.2751,41.8727,44.1853,DOWN,0
2002-09-23,29.75,29.75,30.1051,41.5827,44.1391,UP,1
2002-09-26,30.9,30.9,30.2851,41.3307,44.0886,UP,1
2002-09-27,31.75,31.75,30.6351,41.0832,44.0473,UP,1
2002-10-03,32.75,32.75,31.1601,40.8607,44.0217,DOWN,0
2002-10-07,31.5,31.5,31.33,40.5967,43.9892,DOWN,0
2002-10-08,30.45,30.45,31.47,40.3032,43.9546,UP,1
2002-10-15,36.5,36.5,32.59,40.1252,43.9427,DOWN,0
2002-10-16,22.3031,22.3031,30.7006,39.6888,43.8667,UP,1
