ticker,CTVA US Equity,CTVA US Equity,CTVA US Equity,CTVA US Equity,CTVA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2019-09-26,27.64,28.11,28.376,29.2056,,UP,1
2019-09-27,27.8,27.55,28.152,29.2286,,UP,1
2019-09-30,28.0,27.9,27.976,29.2408,,DOWN,0
2019-10-01,27.55,28.03,27.838,29.2366,,DOWN,0
2019-10-02,26.94,27.15,27.586,29.213,,DOWN,0
2019-10-03,26.88,26.91,27.434,29.1842,,DOWN,0
2019-10-04,25.89,27.0,27.052,29.1416,,UP,1
2019-10-07,26.0,26.0,26.652,29.092,,UP,1
2019-10-08,26.22,25.64,26.386,29.0408,,DOWN,0
2019-10-09,26.17,26.79,26.232,28.9816,,DOWN,0
2019-10-10,25.73,26.17,26.002,28.9062,,UP,1
2019-10-11,26.66,26.1,26.156,28.8144,,DOWN,0
2019-10-14,26.33,26.4,26.222,28.7118,,UP,1
2019-10-15,26.7,26.22,26.318,28.6478,,UP,1
2019-10-16,26.87,26.35,26.458,28.5842,,DOWN,0
2019-10-17,26.77,27.05,26.666,28.5068,,DOWN,0
2019-10-18,26.04,26.6,26.542,28.3954,,DOWN,0
2019-10-21,25.5,26.29,26.376,28.2728,,UP,1
2019-10-22,25.98,25.51,26.232,28.1998,,DOWN,0
2019-10-23,25.61,25.89,25.98,28.12,,UP,1
2019-10-24,26.37,25.63,25.9,28.0806,,UP,1
2019-10-25,26.73,26.37,26.038,28.0468,,UP,1
2019-10-28,26.77,26.79,26.292,27.9774,,UP,1
2019-10-29,26.78,26.51,26.452,27.9016,,UP,1
2019-10-30,27.48,27.05,26.826,27.846,,DOWN,0
2019-10-31,26.38,26.5,26.828,27.762,,DOWN,0
2019-11-01,26.18,26.18,26.718,27.6798,,DOWN,0
2019-11-04,25.74,26.17,26.512,27.6136,,DOWN,0
2019-11-05,25.66,25.48,26.288,27.5464,,UP,1
2019-11-06,26.13,25.82,26.018,27.4944,,UP,1
2019-11-07,26.15,26.47,25.972,27.434,,UP,1
2019-11-08,26.2,26.1,25.976,27.3638,,UP,1
2019-11-11,26.74,26.04,26.176,27.3122,,DOWN,0
2019-11-12,26.72,26.93,26.388,27.282,,DOWN,0
2019-11-13,25.72,26.5,26.306,27.2278,,UP,1
2019-11-14,26.38,25.71,26.352,27.1862,,DOWN,0
2019-11-15,25.48,26.57,26.208,27.128,,DOWN,0
2019-11-18,25.48,25.48,25.956,27.0626,,UP,1
2019-11-19,25.7,25.55,25.752,27.0054,,DOWN,0
2019-11-20,24.98,25.62,25.604,26.9196,,UP,1
2019-11-21,25.11,24.98,25.35,26.8238,,UP,1
2019-11-22,25.54,25.03,25.362,26.7322,,UP,1
2019-11-25,25.93,25.74,25.452,26.6628,,DOWN,0
2019-11-26,25.88,25.78,25.488,26.6008,,UP,1
2019-11-27,26.05,25.77,25.702,26.5388,,DOWN,0
2019-11-29,26.02,25.97,25.884,26.4764,,DOWN,0
2019-12-02,25.18,26.03,25.812,26.4016,,DOWN,0
2019-12-03,24.65,24.82,25.556,26.317,,UP,1
2019-12-04,24.84,24.9,25.348,26.249,,DOWN,0
2019-12-05,24.82,24.97,25.102,26.1814,,UP,1
2019-12-06,25.26,25.0,24.95,26.1338,,UP,1
2019-12-09,25.77,25.47,25.068,26.0932,,UP,1
2019-12-10,25.87,25.69,25.312,26.0506,,UP,1
2019-12-11,26.2,25.89,25.584,26.0236,,UP,1
2019-12-12,26.98,26.12,26.016,26.0244,,DOWN,0
2019-12-13,26.49,26.98,26.262,26.0166,,UP,1
2019-12-16,27.55,26.94,26.618,26.0498,,DOWN,0
2019-12-17,26.77,27.26,26.798,26.0652,,UP,1
2019-12-18,27.82,26.71,27.122,26.0972,,DOWN,0
2019-12-19,27.71,27.74,27.268,26.128,,UP,1
2019-12-20,28.18,27.68,27.606,26.177,,UP,1
2019-12-23,28.66,28.19,27.828,26.217,,UP,1
2019-12-24,28.81,28.6,28.236,26.2666,,UP,1
2019-12-26,29.19,28.68,28.51,26.3164,,DOWN,0
2019-12-27,29.14,29.2,28.796,26.3618,,DOWN,0
2019-12-30,28.86,29.13,28.932,26.4036,,UP,1
2019-12-31,29.56,28.85,29.112,26.474,,DOWN,0
2020-01-02,28.74,29.81,29.098,26.5388,,DOWN,0
2020-01-03,28.4,28.42,28.94,26.5872,,DOWN,0
2020-01-06,28.36,28.08,28.784,26.6422,,UP,1
2020-01-07,28.47,28.31,28.706,26.6842,,UP,1
2020-01-08,28.7,28.5,28.534,26.7236,,UP,1
2020-01-09,28.73,28.8,28.532,26.7628,,DOWN,0
2020-01-10,28.35,28.81,28.522,26.7942,,UP,1
2020-01-13,28.58,28.34,28.566,26.8162,,UP,1
2020-01-14,28.64,28.56,28.6,26.8614,,UP,1
2020-01-15,28.68,28.65,28.596,26.9114,,UP,1
2020-01-16,29.22,28.77,28.694,26.981,,DOWN,0
2020-01-17,28.3,28.46,28.684,27.0338,,DOWN,0
2020-01-21,27.82,28.06,28.532,27.0676,,UP,1
2020-01-22,28.16,27.82,28.436,27.1078,,UP,1
2020-01-23,28.45,28.01,28.39,27.1528,,DOWN,0
2020-01-24,27.95,28.31,28.136,27.177,,DOWN,0
2020-01-27,27.16,27.23,27.908,27.1858,,UP,1
2020-01-28,27.56,27.3,27.856,27.2226,,UP,1
2020-01-29,27.8,27.55,27.784,27.251,,UP,1
2020-01-30,29.24,27.94,27.942,27.3262,,DOWN,0
2020-01-31,28.92,28.78,28.136,27.395,,UP,1
2020-02-03,30.12,29.06,28.728,27.4834,,UP,1
2020-02-04,30.95,30.61,29.406,27.6028,,UP,1
2020-02-05,31.71,30.32,30.188,27.7348,,DOWN,0
2020-02-06,31.59,32.0,30.658,27.8558,,DOWN,0
2020-02-07,31.04,31.41,31.082,27.958,,DOWN,0
2020-02-10,30.6,30.74,31.178,28.0524,,DOWN,0
2020-02-11,30.51,30.66,31.09,28.1416,,UP,1
2020-02-12,30.94,30.74,30.936,28.24,,DOWN,0
2020-02-13,30.6,30.68,30.738,28.3484,,UP,1
2020-02-14,30.71,30.66,30.672,28.4696,,UP,1
2020-02-18,31.4,30.68,30.832,28.6008,,UP,1
2020-02-19,31.52,31.4,31.034,28.7348,,UP,1
2020-02-20,31.57,31.37,31.16,28.861,,DOWN,0
2020-02-21,31.22,31.35,31.284,28.97,,DOWN,0
2020-02-24,30.66,30.47,31.274,29.0658,,DOWN,0
2020-02-25,28.38,30.62,30.67,29.1094,,UP,1
2020-02-26,28.5,28.41,30.066,29.1398,,DOWN,0
2020-02-27,27.29,28.12,29.21,29.1558,,DOWN,0
2020-02-28,27.2,26.53,28.406,29.1488,,UP,1
2020-03-02,28.24,27.27,27.922,29.1782,,DOWN,0
2020-03-03,27.92,28.48,27.83,29.1802,,UP,1
2020-03-04,28.9,28.19,27.91,29.204,,DOWN,0
2020-03-05,27.31,28.0,27.914,29.1866,,DOWN,0
2020-03-06,25.3,26.52,27.534,29.1194,,DOWN,0
2020-03-09,23.07,23.28,26.5,29.0046,,UP,1
2020-03-10,25.91,24.4,26.098,28.939,27.9215,DOWN,0
2020-03-11,25.0,25.01,25.318,28.8562,27.9015,DOWN,0
2020-03-12,22.34,22.87,24.324,28.7258,27.8693,UP,1
2020-03-13,24.82,23.83,24.228,28.631,27.8509,DOWN,0
2020-03-16,20.74,21.51,23.762,28.471,27.8106,UP,1
2020-03-17,22.67,21.23,23.114,28.3564,27.7891,DOWN,0
2020-03-18,21.57,21.08,22.428,28.2206,27.7729,UP,1
2020-03-19,23.26,21.18,22.612,28.1164,27.7505,DOWN,0
2020-03-20,22.53,23.2,22.154,27.993,27.7231,DOWN,0
2020-03-23,21.92,22.22,22.39,27.8568,27.6982,UP,1
2020-03-24,22.33,23.01,22.322,27.7364,27.6783,UP,1
2020-03-25,23.4,22.75,22.688,27.6328,27.6687,UP,1
2020-03-26,24.14,23.11,22.864,27.5428,27.6647,DOWN,0
2020-03-27,23.21,23.11,23.0,27.4334,27.6554,UP,1
2020-03-30,24.09,23.28,23.434,27.3308,27.651,DOWN,0
2020-03-31,23.5,24.23,23.668,27.2348,27.6425,DOWN,0
2020-04-01,22.51,23.25,23.49,27.1286,27.6253,DOWN,0
2020-04-02,22.24,22.85,23.11,27.0102,27.6,UP,1
2020-04-03,22.62,22.21,22.992,26.8936,27.5774,UP,1
2020-04-06,24.26,23.5,23.026,26.8198,27.5629,UP,1
2020-04-07,24.53,25.0,23.232,26.7672,27.5495,UP,1
2020-04-08,26.05,24.55,23.94,26.737,27.5397,UP,1
2020-04-09,27.93,26.2,25.078,26.7396,27.541,DOWN,0
2020-04-13,26.56,27.32,25.866,26.686,27.5275,DOWN,0
2020-04-14,26.44,27.59,26.302,26.6364,27.5118,DOWN,0
2020-04-15,25.51,26.07,26.498,26.5442,27.4915,DOWN,0
2020-04-16,25.16,25.38,26.32,26.4284,27.4689,UP,1
2020-04-17,25.51,25.94,25.836,26.3044,27.4515,DOWN,0
2020-04-20,24.63,25.86,25.45,26.1652,27.4307,DOWN,0
2020-04-21,24.27,24.01,25.016,26.0298,27.4088,UP,1
2020-04-22,24.94,24.75,24.902,25.9166,27.3947,UP,1
2020-04-23,25.4,25.28,24.95,25.8144,27.3867,UP,1
2020-04-24,26.27,25.58,25.102,25.721,27.3856,DOWN,0
2020-04-27,25.56,26.33,25.288,25.6202,27.3812,UP,1
2020-04-28,26.19,26.15,25.672,25.5298,27.3742,UP,1
2020-04-29,27.05,26.82,26.094,25.4428,27.369,DOWN,0
2020-04-30,26.19,26.7,26.252,25.3362,27.3607,DOWN,0
2020-05-01,25.49,25.83,26.096,25.2146,27.3537,DOWN,0
2020-05-04,25.42,25.15,26.068,25.0986,27.3476,UP,1
2020-05-05,26.18,25.4,26.066,25.009,27.3415,DOWN,0
2020-05-06,25.01,26.19,25.658,24.9416,27.3278,UP,1
2020-05-07,26.45,25.97,25.71,24.9006,27.3194,DOWN,0
2020-05-08,25.98,26.72,25.808,24.8744,27.3077,DOWN,0
2020-05-11,24.38,25.1,25.6,24.818,27.2895,DOWN,0
2020-05-12,23.25,24.29,25.014,24.7182,27.2634,UP,1
2020-05-13,23.27,23.15,24.666,24.6252,27.2358,UP,1
2020-05-14,23.32,22.77,24.04,24.5136,27.2068,DOWN,0
2020-05-15,22.77,23.2,23.398,24.4228,27.1731,UP,1
2020-05-18,24.01,23.69,23.324,24.397,27.1369,DOWN,0
2020-05-19,23.99,24.11,23.472,24.4154,27.0996,UP,1
2020-05-20,25.09,24.68,23.836,24.399,27.0755,DOWN,0
2020-05-21,24.55,24.94,24.082,24.39,27.048,DOWN,0
2020-05-22,24.54,24.5,24.436,24.434,27.0175,UP,1
2020-05-26,25.64,25.43,24.762,24.4504,26.9877,UP,1
2020-05-27,25.8,25.89,25.124,24.5516,26.9585,UP,1
2020-05-28,26.99,26.26,25.504,24.638,26.9453,UP,1
2020-05-29,27.31,26.73,26.056,24.7528,26.9339,DOWN,0
2020-06-01,26.82,27.1,26.512,24.824,26.9263,UP,1
2020-06-02,28.01,26.93,26.986,24.9336,26.9242,UP,1
2020-06-03,28.5,28.17,27.526,25.0652,26.9155,UP,1
2020-06-04,30.17,28.8,28.162,25.222,26.9135,UP,1
2020-06-05,30.65,31.0,28.83,25.367,26.9155,DOWN,0
2020-06-08,30.01,29.69,29.468,25.4844,26.9126,DOWN,0
2020-06-09,29.59,29.64,29.784,25.612,26.9091,DOWN,0
2020-06-10,29.14,29.48,29.912,25.713,26.9096,DOWN,0
2020-06-11,27.1,28.43,29.298,25.785,26.9,UP,1
2020-06-12,27.54,28.44,28.676,25.8856,26.894,DOWN,0
2020-06-15,26.77,26.74,28.028,25.9762,26.882,UP,1
2020-06-16,27.82,28.38,27.674,26.0802,26.8726,DOWN,0
2020-06-17,27.35,27.77,27.316,26.142,26.8627,UP,1
2020-06-18,27.48,27.35,27.392,26.201,26.859,DOWN,0
2020-06-19,27.13,27.99,27.31,26.2226,26.8525,UP,1
2020-06-22,27.58,26.97,27.472,26.2156,26.8481,DOWN,0
2020-06-23,27.42,27.84,27.392,26.2328,26.8432,DOWN,0
2020-06-24,26.07,26.87,27.136,26.2254,26.8298,UP,1
2020-06-25,26.2,25.98,26.88,26.2392,26.818,DOWN,0
2020-06-26,25.92,26.11,26.638,26.2544,26.8013,UP,1
2020-06-29,26.14,26.35,26.35,26.267,26.7825,UP,1
2020-06-30,26.79,26.12,26.224,26.3102,26.7658,UP,1
2020-07-01,27.04,26.95,26.418,26.3656,26.754,UP,1
2020-07-02,27.57,27.38,26.692,26.4182,26.747,DOWN,0
2020-07-06,27.53,28.22,27.014,26.4608,26.7389,DOWN,0
2020-07-07,27.14,27.27,27.214,26.4782,26.7289,DOWN,0
2020-07-08,25.86,27.08,27.028,26.4842,26.7136,DOWN,0
2020-07-09,25.75,26.03,26.77,26.4754,26.6979,UP,1
2020-07-10,26.62,25.83,26.58,26.4668,26.6898,UP,1
2020-07-13,26.84,27.11,26.442,26.4798,26.683,UP,1
2020-07-14,27.08,26.67,26.43,26.5116,26.6802,UP,1
2020-07-15,27.94,27.86,26.846,26.562,26.6809,DOWN,0
2020-07-16,27.92,27.75,27.28,26.5968,26.6805,UP,1
2020-07-17,28.35,28.06,27.626,26.6636,26.6845,DOWN,0
2020-07-20,27.72,28.13,27.802,26.689,26.6884,UP,1
2020-07-21,28.35,27.86,28.056,26.7364,26.6958,UP,1
2020-07-22,28.66,28.04,28.2,26.822,26.7096,UP,1
2020-07-23,28.67,28.47,28.35,26.9304,26.723,DOWN,0
2020-07-24,28.52,28.74,28.384,27.0354,26.7345,UP,1
2020-07-27,28.81,28.56,28.602,27.1452,26.7477,DOWN,0
2020-07-28,28.19,28.66,28.57,27.2536,26.76,UP,1
2020-07-29,28.81,28.13,28.6,27.3496,26.7708,DOWN,0
2020-07-30,28.48,28.22,28.562,27.4394,26.7815,UP,1
2020-07-31,28.56,28.4,28.57,27.5088,26.7908,DOWN,0
2020-08-03,28.52,28.78,28.512,27.5882,26.7991,UP,1
2020-08-04,28.71,28.5,28.616,27.6716,26.8088,DOWN,0
2020-08-05,28.55,29.0,28.564,27.7298,26.8213,DOWN,0
2020-08-06,25.42,26.88,27.952,27.7222,26.8209,DOWN,0
2020-08-07,25.32,25.34,27.304,27.6888,26.8176,UP,1
2020-08-10,25.42,25.04,26.684,27.651,26.8167,UP,1
2020-08-11,26.78,25.89,26.298,27.6502,26.8187,DOWN,0
2020-08-12,26.36,27.2,25.86,27.6172,26.8169,UP,1
2020-08-13,26.92,26.33,26.16,27.5856,26.8176,UP,1
2020-08-14,27.87,26.75,26.67,27.5396,26.8231,DOWN,0
2020-08-17,27.77,27.89,27.14,27.482,26.8245,UP,1
2020-08-18,28.4,27.85,27.464,27.4498,26.8346,UP,1
2020-08-19,28.56,28.15,27.904,27.4292,26.8465,UP,1
2020-08-20,28.8,28.25,28.28,27.4224,26.8618,DOWN,0
2020-08-21,28.44,28.64,28.394,27.4492,26.8757,UP,1
2020-08-24,28.54,28.87,28.548,27.4692,26.8878,UP,1
2020-08-25,28.65,28.7,28.598,27.5068,26.9003,UP,1
2020-08-26,29.23,28.65,28.732,27.535,26.9154,UP,1
2020-08-27,29.29,29.24,28.83,27.5738,26.9282,UP,1
2020-08-28,29.52,29.4,29.046,27.6146,26.9422,DOWN,0
2020-08-31,28.55,29.43,29.048,27.643,26.9563,UP,1
2020-09-01,29.44,28.58,29.206,27.6802,26.9716,UP,1
2020-09-02,30.13,29.33,29.386,27.7344,26.9949,DOWN,0
2020-09-03,29.41,29.92,29.41,27.8012,27.0145,DOWN,0
2020-09-04,29.32,29.8,29.37,27.8636,27.0326,DOWN,0
2020-09-08,28.3,29.07,29.32,27.9112,27.0492,UP,1
2020-09-09,28.74,28.54,29.18,27.9632,27.0674,UP,1
2020-09-10,29.14,28.72,28.982,28.0102,27.0854,DOWN,0
2020-09-11,29.02,29.34,28.904,28.0498,27.1008,DOWN,0
2020-09-14,28.97,29.11,28.834,28.0778,27.1163,UP,1
2020-09-15,29.45,29.06,29.064,28.1162,27.1333,DOWN,0
2020-09-16,29.23,29.59,29.162,28.158,27.1493,UP,1
2020-09-17,29.58,28.9,29.25,28.2324,27.1713,DOWN,0
2020-09-18,28.99,29.63,29.244,28.2972,27.193,DOWN,0
2020-09-21,28.22,28.19,29.094,28.3292,27.2099,DOWN,0
2020-09-22,28.09,28.09,28.822,28.3542,27.2263,DOWN,0
2020-09-23,27.46,27.91,28.468,28.3618,27.2373,UP,1
2020-09-24,27.63,27.46,28.078,28.3556,27.2466,UP,1
2020-09-25,28.38,27.37,27.956,28.3648,27.2591,UP,1
2020-09-28,28.97,28.82,28.106,28.3772,27.273,DOWN,0
2020-09-29,28.59,28.77,28.206,28.3946,27.281,UP,1
2020-09-30,28.81,28.77,28.476,28.4038,27.2926,DOWN,0
2020-10-01,28.68,28.88,28.686,28.4042,27.2983,UP,1
2020-10-02,29.37,28.4,28.884,28.4182,27.3113,UP,1
2020-10-05,30.11,29.77,29.112,28.45,27.3227,DOWN,0
2020-10-06,30.09,30.34,29.412,28.4756,27.3346,UP,1
2020-10-07,30.53,30.41,29.756,28.5224,27.3464,UP,1
2020-10-08,32.33,31.785,30.486,28.5928,27.3647,UP,1
2020-10-09,33.43,32.45,31.298,28.6918,27.3878,UP,1
2020-10-12,33.59,33.61,31.994,28.7924,27.4098,UP,1
2020-10-13,33.7,33.31,32.716,28.896,27.4326,UP,1
2020-10-14,33.82,33.79,33.374,28.9982,27.4574,UP,1
2020-10-15,33.99,33.18,33.706,29.107,27.4796,UP,1
2020-10-16,34.08,34.33,33.836,29.2802,27.5063,DOWN,0
2020-10-19,33.52,34.26,33.822,29.4442,27.5319,DOWN,0
2020-10-20,33.07,33.74,33.696,29.5972,27.5554,DOWN,0
2020-10-21,32.9,33.1,33.512,29.7196,27.5776,UP,1
2020-10-22,33.13,32.94,33.34,29.855,27.5997,UP,1
2020-10-23,33.17,33.15,33.158,29.98,27.6219,DOWN,0
2020-10-26,32.71,32.83,32.996,30.0768,27.6437,DOWN,0
2020-10-27,32.34,32.78,32.85,30.1682,27.6625,DOWN,0
2020-10-28,31.86,31.46,32.642,30.2374,27.6786,UP,1
2020-10-29,32.5,31.6,32.516,30.3162,27.6977,UP,1
2020-10-30,32.98,32.39,32.478,30.3998,27.7165,UP,1
2020-11-02,33.48,33.28,32.632,30.5006,27.7424,DOWN,0
2020-11-03,32.93,33.4,32.75,30.5884,27.768,DOWN,0
2020-11-04,32.78,32.96,32.934,30.671,27.7911,UP,1
2020-11-05,33.94,33.15,33.222,30.7652,27.8185,DOWN,0
2020-11-06,33.7,34.19,33.366,30.8534,27.8473,UP,1
2020-11-09,34.64,34.99,33.598,30.9558,27.8847,UP,1
2020-11-10,36.23,34.75,34.258,31.1094,27.928,UP,1
2020-11-11,36.63,36.37,35.028,31.2532,27.9722,DOWN,0
2020-11-12,35.06,36.34,35.252,31.3518,28.0013,UP,1
2020-11-13,36.01,35.13,35.714,31.4838,28.0367,UP,1
2020-11-16,37.43,36.9,36.272,31.646,28.0733,DOWN,0
2020-11-17,37.02,37.01,36.43,31.8204,28.1036,DOWN,0
2020-11-18,36.69,37.24,36.442,31.9794,28.1285,UP,1
2020-11-19,36.96,36.64,36.822,32.1358,28.1554,UP,1
2020-11-20,37.16,36.935,37.052,32.2986,28.186,UP,1
2020-11-23,37.79,37.53,37.124,32.475,28.2219,UP,1
2020-11-24,38.9,38.16,37.5,32.664,28.2639,DOWN,0
2020-11-25,38.58,38.78,37.878,32.851,28.3021,DOWN,0
2020-11-27,38.41,38.54,38.168,33.0276,28.3411,DOWN,0
2020-11-30,38.32,38.41,38.4,33.2142,28.3792,DOWN,0
2020-12-01,38.31,38.7,38.504,33.416,28.4137,DOWN,0
2020-12-02,38.27,38.13,38.378,33.6196,28.4475,DOWN,0
2020-12-03,38.21,38.16,38.304,33.8346,28.4807,UP,1
2020-12-04,38.65,38.39,38.352,34.055,28.5178,DOWN,0
2020-12-07,37.94,38.49,38.276,34.2462,28.5542,UP,1
2020-12-08,38.42,37.76,38.298,34.4352,28.6044,UP,1
2020-12-09,39.01,38.47,38.446,34.6436,28.657,DOWN,0
2020-12-10,38.74,38.67,38.552,34.8422,28.7142,DOWN,0
2020-12-11,38.39,38.31,38.5,35.0364,28.7702,UP,1
2020-12-14,38.76,40.0,38.664,35.2242,28.8228,UP,1
2020-12-15,39.22,39.24,38.824,35.4064,28.8793,DOWN,0
2020-12-16,39.08,39.3,38.838,35.5862,28.9302,UP,1
2020-12-17,39.68,39.33,39.026,35.7692,28.992,DOWN,0
2020-12-18,39.41,39.42,39.23,35.9108,29.0626,UP,1
2020-12-21,39.55,38.66,39.388,36.0332,29.145,DOWN,0
2020-12-22,38.98,39.61,39.34,36.141,29.2103,UP,1
2020-12-23,39.18,39.11,39.36,36.2506,29.2812,UP,1
2020-12-24,39.5,39.03,39.324,36.3642,29.367,DOWN,0
2020-12-28,38.35,39.37,39.112,36.4514,29.4347,DOWN,0
2020-12-29,37.94,38.67,38.79,36.5286,29.5207,UP,1
2020-12-30,38.44,38.19,38.682,36.627,29.5995,UP,1
2020-12-31,38.72,38.66,38.59,36.74,29.6853,DOWN,0
2021-01-04,38.35,38.87,38.36,36.849,29.7607,UP,1
2021-01-05,38.82,38.28,38.454,36.9628,29.8422,UP,1
2021-01-06,41.07,39.32,39.08,37.1208,29.9379,UP,1
2021-01-07,41.8,41.65,39.752,37.3026,30.0353,UP,1
2021-01-08,43.25,42.52,40.658,37.5208,30.1345,UP,1
2021-01-11,43.62,42.64,41.712,37.756,30.2319,UP,1
2021-01-12,44.58,43.5,42.864,37.9976,30.3388,DOWN,0
