ticker,FMC US Equity,FMC US Equity,FMC US Equity,FMC US Equity,FMC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,6.0471,6.1345,6.7457,6.1637,6.2018,DOWN,0
2000-02-09,5.9014,6.0179,6.7372,6.0952,6.2094,DOWN,0
2000-02-10,5.8358,5.8285,6.7268,6.0092,6.213,DOWN,0
2000-02-11,5.7411,5.8649,6.7182,5.932,6.2154,UP,1
2000-02-14,5.8067,5.7411,6.7093,5.8664,6.2219,UP,1
2000-02-15,5.9451,5.8067,6.6984,5.846,6.2266,DOWN,0
2000-02-16,5.8285,5.9451,6.6869,5.8314,6.2305,UP,1
2000-02-17,5.9087,5.7994,6.6751,5.846,6.24,DOWN,0
2000-02-18,5.7338,5.8795,6.661,5.8445,6.2419,UP,1
2000-02-22,5.7994,5.6974,6.6467,5.8431,6.2501,DOWN,0
2000-02-23,5.6172,5.7994,6.6333,5.7775,6.2524,UP,1
2000-02-24,5.6537,5.6318,6.6198,5.7425,6.2547,DOWN,0
2000-02-25,5.4424,5.6537,6.6063,5.6493,6.2406,UP,1
2000-02-28,5.4788,5.4424,6.5927,5.5983,6.2337,UP,1
2000-02-29,5.6318,5.4934,6.5809,5.5648,6.2251,UP,1
2000-03-01,5.6682,5.7119,6.569,5.575,6.2152,DOWN,0
2000-03-02,5.6172,5.6682,6.5585,5.5677,6.2075,UP,1
2000-03-03,5.7411,5.6245,6.5479,5.6274,6.2014,DOWN,0
2000-03-06,5.5954,5.7484,6.5357,5.6507,6.1915,DOWN,0
2000-03-07,5.4715,5.6099,6.5224,5.6187,6.1744,UP,1
2000-03-08,5.6245,5.4497,6.5099,5.6099,6.1599,UP,1
2000-03-09,5.7047,5.7119,6.4981,5.6274,6.1441,DOWN,0
2000-03-10,5.6099,5.6682,6.4859,5.6012,6.1252,UP,1
2000-03-13,5.6245,5.5954,6.4756,5.607,6.1067,UP,1
2000-03-14,5.7338,5.5954,6.4656,5.6595,6.0877,UP,1
2000-03-15,6.1272,5.7119,6.4568,5.76,6.0821,UP,1
2000-03-16,6.5425,6.1345,6.4498,5.9276,6.0863,DOWN,0
2000-03-17,6.1491,6.4114,6.441,6.0354,6.0803,UP,1
2000-03-20,6.2074,6.1782,6.4324,6.152,6.0756,UP,1
2000-03-21,6.3167,6.2219,6.4242,6.2686,6.0733,DOWN,0
2000-03-22,6.1782,6.2948,6.4158,6.2788,6.0634,UP,1
2000-03-23,6.2365,6.0617,6.4076,6.2176,6.0533,DOWN,0
2000-03-24,6.2365,6.2147,6.3997,6.2351,6.0405,DOWN,0
2000-03-27,6.1345,6.2948,6.3909,6.2205,6.0245,UP,1
2000-03-28,6.4114,6.1345,6.383,6.2394,6.0137,UP,1
2000-03-29,6.4624,6.3968,6.3751,6.2963,6.0061,UP,1
2000-03-30,6.6008,6.4915,6.3676,6.3691,6.0053,DOWN,0
2000-03-31,6.5862,6.6445,6.3599,6.4391,6.0074,UP,1
2000-04-03,6.7101,6.5862,6.3527,6.5542,6.013,UP,1
2000-04-04,6.7174,6.6882,6.3469,6.6154,6.0197,DOWN,0
2000-04-05,6.6518,6.6736,6.3409,6.6532,6.0286,UP,1
2000-04-06,6.8121,6.6736,6.336,6.6955,6.0372,DOWN,0
2000-04-07,6.7319,6.7902,6.3316,6.7246,6.043,DOWN,0
2000-04-10,6.5935,6.7392,6.3265,6.7013,6.0499,UP,1
2000-04-11,6.8485,6.6445,6.3219,6.7276,6.0615,UP,1
2000-04-12,7.0088,6.8776,6.3181,6.799,6.0759,DOWN,0
2000-04-13,6.8631,7.0379,6.3126,6.8092,6.0883,DOWN,0
2000-04-14,6.6736,6.8485,6.3068,6.7975,6.0965,DOWN,0
