ticker,LHX US Equity,LHX US Equity,LHX US Equity,LHX US Equity,LHX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,15.0574,15.0574,12.5622,14.9393,12.3772,UP,1
2000-02-09,15.7069,15.0574,12.5712,15.1696,12.4929,DOWN,0
2000-02-10,15.5298,15.766,12.5786,15.27,12.6051,DOWN,0
2000-02-11,14.9688,15.3526,12.5835,15.2404,12.7013,UP,1
2000-02-14,15.146,15.0279,12.5892,15.2818,12.797,UP,1
2000-02-15,15.3526,15.205,12.594,15.3408,12.8927,DOWN,0
2000-02-16,15.0869,15.3526,12.594,15.2168,12.9824,DOWN,0
2000-02-17,14.9393,15.0279,12.5899,15.0987,13.0716,DOWN,0
2000-02-18,14.8802,14.9098,12.5889,15.081,13.1519,DOWN,0
2000-02-22,14.4964,14.585,12.5869,14.9511,13.2245,DOWN,0
2000-02-23,14.2898,14.3783,12.5809,14.7385,13.2907,UP,1
2000-02-24,14.9393,14.4374,12.5762,14.709,13.3615,DOWN,0
2000-02-25,14.9098,14.8802,12.5716,14.7031,13.4377,DOWN,0
2000-02-28,14.6736,14.8802,12.5653,14.6618,13.5091,UP,1
2000-02-29,15.0574,14.8802,12.5629,14.774,13.5853,DOWN,0
2000-03-01,14.6145,14.9983,12.5581,14.8389,13.6473,UP,1
2000-03-02,16.1203,14.4964,12.5587,15.0751,13.743,DOWN,0
2000-03-03,16.0022,16.0907,12.5576,15.2936,13.8315,UP,1
2000-03-06,16.3565,15.8841,12.5582,15.6302,13.9272,DOWN,0
2000-03-07,15.766,16.3565,12.5555,15.7719,13.9975,DOWN,0
2000-03-08,15.7364,15.766,12.5555,15.9963,14.0807,UP,1
2000-03-09,17.006,15.825,12.564,16.1734,14.1864,UP,1
2000-03-10,17.3012,17.006,12.5735,16.4332,14.2868,UP,1
2000-03-13,17.8917,16.9469,12.5874,16.7403,14.3954,DOWN,0
2000-03-14,16.8584,18.246,12.595,16.9587,14.4805,UP,1
2000-03-15,17.9212,17.065,12.6082,17.3957,14.5939,UP,1
2000-03-16,18.4232,18.1279,12.6219,17.6791,14.7267,DOWN,0
2000-03-17,17.5079,17.9508,12.6328,17.7205,14.8436,DOWN,0
2000-03-20,17.1831,17.626,12.639,17.5788,14.9558,DOWN,0
2000-03-21,16.9469,17.006,12.643,17.5965,15.0586,UP,1
2000-03-22,17.685,17.006,12.655,17.5492,15.1761,UP,1
2000-03-23,18.4232,17.6555,12.6684,17.5492,15.3142,DOWN,0
2000-03-24,17.8622,18.3936,12.6779,17.6201,15.4347,DOWN,0
2000-03-27,16.9174,17.8327,12.6858,17.5669,15.5132,DOWN,0
2000-03-28,16.4745,16.8879,12.6908,17.4725,15.5664,DOWN,0
2000-03-29,15.7364,16.1793,12.6916,17.0827,15.6148,UP,1
2000-03-30,15.8545,15.6774,12.6929,16.569,15.6697,UP,1
2000-03-31,16.3269,15.8841,12.6978,16.262,15.7223,DOWN,0
2000-04-03,15.1164,16.2088,12.6972,15.9018,15.7524,DOWN,0
2000-04-04,14.2898,15.5888,12.6919,15.4648,15.7695,UP,1
2000-04-05,14.6736,14.2602,12.6874,15.2522,15.7878,DOWN,0
2000-04-06,14.644,14.6736,12.6827,15.0101,15.7784,UP,1
2000-04-07,15.0279,14.8802,12.6829,14.7503,15.7701,DOWN,0
2000-04-10,14.4374,14.7326,12.679,14.6145,15.7666,DOWN,0
2000-04-11,14.2602,14.7031,12.6736,14.6086,15.7778,DOWN,0
2000-04-12,13.6402,14.0536,12.6641,14.4019,15.7536,DOWN,0
2000-04-13,13.6107,13.7583,12.6527,14.1953,15.7347,DOWN,0
2000-04-14,13.1678,13.3155,12.6383,13.8233,15.6975,UP,1
2000-04-17,13.1974,13.1678,12.6244,13.5753,15.6591,UP,1
2000-04-18,13.3155,13.1974,12.6115,13.3863,15.6266,UP,1
2000-04-19,13.3745,13.4335,12.6003,13.3332,15.593,UP,1
2000-04-20,13.4926,13.6993,12.5903,13.3095,15.5487,DOWN,0
2000-04-24,13.0497,13.4335,12.578,13.2859,15.4991,UP,1
2000-04-25,13.404,13.2269,12.5674,13.3273,15.4678,UP,1
2000-04-26,14.7031,13.2859,12.5644,13.6048,15.4589,DOWN,0
2000-04-27,14.4669,14.4669,12.5598,13.8233,15.4412,UP,1
2000-04-28,15.2641,14.2898,12.5588,14.1776,15.4447,DOWN,0
2000-05-01,15.2641,15.146,12.5578,14.6204,15.4512,DOWN,0
2000-05-02,14.9393,15.205,12.556,14.9275,15.4524,DOWN,0
2000-05-03,14.7917,14.644,12.5563,14.9452,15.4583,UP,1
2000-05-04,16.2679,14.8507,12.5637,15.3054,15.4979,UP,1
2000-05-05,16.9174,16.1498,12.5767,15.6361,15.5374,DOWN,0
2000-05-08,16.7698,17.006,12.5888,15.9372,15.5746,DOWN,0
2000-05-09,16.1498,16.4155,12.5978,16.1793,15.6042,DOWN,0
2000-05-10,15.0574,15.8841,12.6017,16.2324,15.6042,UP,1
2000-05-11,15.3526,15.1755,12.6099,16.0494,15.6189,UP,1
2000-05-12,15.5593,15.5298,12.6249,15.7778,15.6077,DOWN,0
2000-05-15,15.1164,15.4412,12.6391,15.4471,15.59,UP,1
2000-05-16,15.2936,15.3526,12.6536,15.2759,15.5687,DOWN,0
2000-05-17,15.0574,15.1755,12.667,15.2759,15.5546,DOWN,0
2000-05-18,14.9393,15.0869,12.6797,15.1932,15.5386,DOWN,0
2000-05-19,14.1717,14.7621,12.6899,14.9157,15.4819,DOWN,0
2000-05-22,13.8764,14.1717,12.6982,14.6677,15.4134,DOWN,0
2000-05-23,13.6402,13.9945,12.7077,14.337,15.3284,DOWN,0
2000-05-24,13.5221,13.6402,12.7178,14.0299,15.2617,UP,1
2000-05-25,13.9059,13.1088,12.7269,13.8233,15.1814,DOWN,0
2000-05-26,13.6255,13.8764,12.735,13.714,15.0854,UP,1
2000-05-30,14.0831,13.6402,12.7466,13.7554,15.0169,UP,1
2000-05-31,14.4374,14.1717,12.7602,13.9148,14.962,UP,1
2000-06-01,15.0869,14.3488,12.778,14.2278,14.9248,UP,1
2000-06-02,15.5298,15.9431,12.7988,14.5525,14.8817,DOWN,0
2000-06-05,14.8802,15.4117,12.8167,14.8035,14.8109,UP,1
2000-06-06,15.0869,14.9983,12.8359,15.0042,14.7554,DOWN,0
2000-06-07,14.9688,15.146,12.8544,15.1105,14.7164,DOWN,0
2000-06-08,14.9393,15.146,12.8712,15.081,14.6857,UP,1
2000-06-09,15.0574,14.9098,12.8905,14.9865,14.6721,DOWN,0
2000-06-12,14.4374,15.0869,12.9087,14.898,14.6437,UP,1
2000-06-13,14.4521,14.3488,12.9258,14.771,14.6063,DOWN,0
2000-06-14,14.2159,14.7326,12.9433,14.6204,14.5882,UP,1
2000-06-15,14.3488,14.0831,12.9618,14.5023,14.5894,UP,1
2000-06-16,14.4078,14.2898,12.9799,14.3724,14.5841,DOWN,0
2000-06-19,14.2602,14.3193,12.9966,14.337,14.5764,UP,1
2000-06-20,14.4964,14.2602,13.014,14.3458,14.5658,UP,1
