ticker,WRB US Equity,WRB US Equity,WRB US Equity,WRB US Equity,WRB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,1.454,1.4486,2.0319,1.4881,1.7348,DOWN,0
2000-02-09,1.3882,1.4486,2.0267,1.4628,1.7246,DOWN,0
2000-02-10,1.3608,1.3827,2.0215,1.4332,1.7143,DOWN,0
2000-02-11,1.3443,1.3278,2.0157,1.4036,1.7033,DOWN,0
2000-02-14,1.3388,1.4047,2.0104,1.3772,1.6923,DOWN,0
2000-02-15,1.3169,1.3717,2.0054,1.3498,1.6801,DOWN,0
2000-02-16,1.3169,1.3498,2.0,1.3355,1.668,UP,1
2000-02-17,1.3388,1.3498,1.9948,1.3311,1.657,UP,1
2000-02-18,1.3443,1.3333,1.9895,1.3311,1.6464,UP,1
2000-02-22,1.4102,1.3388,1.9847,1.3454,1.6366,DOWN,0
2000-02-23,1.3827,1.4376,1.9798,1.3586,1.6263,DOWN,0
2000-02-24,1.3827,1.3772,1.9749,1.3717,1.6166,UP,1
2000-02-25,1.4376,1.3882,1.9703,1.3915,1.6087,DOWN,0
2000-02-28,1.4102,1.4431,1.9656,1.4047,1.6001,DOWN,0
2000-02-29,1.4102,1.4266,1.9609,1.4047,1.5917,DOWN,0
2000-03-01,1.3717,1.4047,1.9563,1.4025,1.5824,DOWN,0
2000-03-02,1.3717,1.4047,1.9516,1.4003,1.573,DOWN,0
2000-03-03,1.3498,1.3553,1.9468,1.3827,1.5639,DOWN,0
2000-03-06,1.3498,1.3608,1.9419,1.3706,1.5541,DOWN,0
2000-03-07,1.3141,1.3608,1.9369,1.3514,1.5445,DOWN,0
2000-03-08,1.284,1.3114,1.9317,1.3339,1.5347,UP,1
2000-03-09,1.2949,1.2949,1.9267,1.3185,1.5254,UP,1
2000-03-10,1.3169,1.3388,1.9219,1.3119,1.5162,DOWN,0
2000-03-13,1.2949,1.2894,1.917,1.301,1.5062,UP,1
2000-03-14,1.3059,1.3278,1.9124,1.2993,1.4957,UP,1
2000-03-15,1.3114,1.2894,1.9076,1.3048,1.4863,UP,1
2000-03-16,1.4047,1.3004,1.9034,1.3267,1.4798,DOWN,0
2000-03-17,1.3827,1.3827,1.8992,1.3399,1.4734,UP,1
2000-03-20,1.3992,1.3827,1.8949,1.3608,1.4654,UP,1
2000-03-21,1.4376,1.3827,1.8907,1.3871,1.4587,DOWN,0
2000-03-22,1.4376,1.3827,1.8866,1.4123,1.4523,UP,1
2000-03-23,1.4815,1.4705,1.8828,1.4277,1.4474,UP,1
2000-03-24,1.5528,1.5364,1.8792,1.4617,1.444,UP,1
2000-03-27,1.5693,1.5802,1.8759,1.4957,1.4412,DOWN,0
2000-03-28,1.5693,1.5473,1.8727,1.5221,1.439,UP,1
2000-03-29,1.6845,1.6461,1.8701,1.5715,1.4385,UP,1
2000-03-30,1.9534,1.6571,1.8687,1.6658,1.4431,UP,1
2000-03-31,2.0247,1.9863,1.8678,1.7602,1.451,DOWN,0
2000-04-03,2.0192,1.9534,1.8669,1.8502,1.4596,DOWN,0
2000-04-04,1.9863,2.0357,1.8658,1.9336,1.4668,DOWN,0
2000-04-05,1.9314,1.9424,1.8644,1.983,1.4756,UP,1
2000-04-06,1.9369,1.9369,1.8629,1.9797,1.4829,UP,1
2000-04-07,1.9575,1.9314,1.8616,1.9663,1.49,DOWN,0
2000-04-10,1.9424,1.904,1.8603,1.9509,1.498,DOWN,0
2000-04-11,1.9369,1.9095,1.8589,1.941,1.5062,DOWN,0
2000-04-12,1.904,1.9314,1.8573,1.9355,1.514,DOWN,0
2000-04-13,1.8985,1.915,1.8559,1.9278,1.5217,DOWN,0
2000-04-14,1.8052,1.8875,1.8538,1.8974,1.5276,UP,1
2000-04-17,1.8491,1.8436,1.8521,1.8787,1.5347,DOWN,0
2000-04-18,1.8436,1.8217,1.8502,1.8601,1.5422,DOWN,0
2000-04-19,1.8217,1.8244,1.8473,1.8436,1.5495,UP,1
2000-04-20,1.8272,1.8217,1.8447,1.8294,1.5583,UP,1
2000-04-24,1.8326,1.7997,1.842,1.8348,1.5678,UP,1
2000-04-25,1.8875,1.8546,1.8396,1.8425,1.5786,DOWN,0
2000-04-26,1.8601,1.8875,1.8374,1.8458,1.5891,DOWN,0
2000-04-27,1.8436,1.8765,1.835,1.8502,1.5996,UP,1
2000-04-28,1.8546,1.8326,1.8326,1.8557,1.6103,UP,1
2000-05-01,1.9314,1.8546,1.8311,1.8754,1.6222,UP,1
2000-05-02,1.9479,1.915,1.8293,1.8875,1.6343,DOWN,0
2000-05-03,1.9369,1.9424,1.8274,1.9029,1.6448,DOWN,0
2000-05-04,1.9204,1.8656,1.8255,1.9182,1.6556,UP,1
2000-05-05,1.9424,1.8985,1.8239,1.9358,1.6667,DOWN,0
2000-05-08,1.893,1.9314,1.8224,1.9281,1.6759,DOWN,0
2000-05-09,1.893,1.915,1.821,1.9171,1.6855,DOWN,0
2000-05-10,1.8436,1.8875,1.8192,1.8985,1.6942,UP,1
2000-05-11,1.882,1.8656,1.8176,1.8908,1.7044,UP,1
2000-05-12,1.9314,1.9095,1.8165,1.8886,1.7156,UP,1
