ticker,MRK US Equity,MRK US Equity,MRK US Equity,MRK US Equity,MRK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,68.0802,68.1366,64.3568,68.3848,65.1739,DOWN,0
2000-02-09,64.4139,66.8957,64.3469,67.392,65.0183,DOWN,0
2000-02-10,62.2705,63.173,64.339,66.0835,64.8434,DOWN,0
2000-02-11,58.8863,61.0296,64.3159,64.3124,64.6424,UP,1
2000-02-14,59.6195,59.1119,64.2964,62.6541,64.4743,DOWN,0
2000-02-15,59.2247,59.3375,64.2736,60.883,64.2622,DOWN,0
2000-02-16,59.1119,59.1119,64.2493,59.8226,64.0786,DOWN,0
2000-02-17,57.0813,59.9015,64.2062,58.7847,63.8993,DOWN,0
2000-02-18,55.9532,57.2505,64.1503,58.1981,63.6953,UP,1
2000-02-22,59.1119,56.4045,64.1097,58.0966,63.5926,DOWN,0
2000-02-23,56.9685,59.5631,64.0691,57.6454,63.4426,DOWN,0
2000-02-24,55.9532,57.1377,64.026,57.0136,63.3298,DOWN,0
2000-02-25,54.3175,55.1072,63.9746,56.4609,63.1583,UP,1
2000-02-28,55.5584,54.3175,63.923,56.3819,62.9756,DOWN,0
2000-02-29,55.5584,56.3481,63.8793,55.6712,62.8334,DOWN,0
2000-03-01,54.1483,55.502,63.8255,55.1072,62.715,DOWN,0
2000-03-02,53.4714,54.2047,63.7755,54.6108,62.5819,DOWN,0
2000-03-03,51.8921,54.2047,63.7169,54.1257,62.4273,DOWN,0
2000-03-06,50.9896,51.8357,63.6458,53.212,62.2344,DOWN,0
2000-03-07,48.677,50.5384,63.5674,51.8357,61.949,UP,1
2000-03-08,51.2717,48.677,63.5085,51.2604,61.702,UP,1
2000-03-09,55.1636,52.7946,63.4763,51.5988,61.5463,DOWN,0
2000-03-10,53.7535,55.7276,63.4413,51.9711,61.3895,DOWN,0
2000-03-13,51.4409,50.8768,63.4007,52.0613,61.1943,DOWN,0
2000-03-14,50.9896,50.4256,63.3505,52.5238,61.0014,UP,1
2000-03-15,53.9791,50.764,63.313,53.0653,60.8604,UP,1
2000-03-16,58.6606,54.5431,63.3051,53.7647,60.8559,DOWN,0
2000-03-17,56.6301,58.6042,63.28,54.3401,60.7645,DOWN,0
2000-03-20,55.6148,55.6148,63.2394,55.1748,60.6427,UP,1
2000-03-21,57.7018,55.6148,63.2152,56.5173,60.4441,UP,1
2000-03-22,58.153,56.9121,63.1963,57.3521,60.2941,DOWN,0
2000-03-23,56.7429,57.3633,63.1647,56.9685,60.1114,DOWN,0
2000-03-24,55.7276,56.7429,63.137,56.788,59.8824,DOWN,0
2000-03-27,55.1636,54.9379,63.1125,56.6978,59.6364,UP,1
2000-03-28,55.5584,53.9227,63.0913,56.2691,59.4097,UP,1
2000-03-29,57.7547,56.7993,63.075,56.1894,59.2867,UP,1
2000-03-30,57.8146,57.7582,63.0544,56.4038,59.1524,DOWN,0
2000-03-31,56.066,57.589,63.0211,56.4714,58.9573,UP,1
2000-04-03,60.24,56.2917,63.011,57.4867,58.8546,UP,1
2000-04-04,61.086,61.6501,63.0031,58.5923,58.8083,UP,1
2000-04-05,61.5937,61.3116,62.9963,59.3601,58.761,DOWN,0
2000-04-06,59.1683,60.4656,62.9859,59.6308,58.6301,DOWN,0
2000-04-07,59.1119,58.9991,62.9703,60.24,58.4744,UP,1
2000-04-10,59.9015,58.717,62.9591,60.1723,58.2939,UP,1
2000-04-11,60.7476,59.9579,62.9467,60.1046,58.0898,DOWN,0
2000-04-12,58.5478,60.9732,62.9168,59.4954,57.8743,UP,1
2000-04-13,59.3939,58.9991,62.8815,59.5405,57.6746,DOWN,0
2000-04-14,57.3633,58.6042,62.8288,59.1908,57.4456,UP,1
2000-04-17,58.153,57.5325,62.78,58.8411,57.2538,UP,1
2000-04-18,59.7887,57.9838,62.7453,58.6494,57.0914,UP,1
2000-04-19,62.2705,59.5631,62.7196,59.3939,56.9752,UP,1
2000-04-20,62.9474,62.2705,62.6945,60.1046,56.9459,UP,1
