ticker,LYB US Equity,LYB US Equity,LYB US Equity,LYB US Equity,LYB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2010-08-30,20.22,20.4,20.116,17.5228,,UP,1
2010-08-31,20.5,20.22,20.218,17.5908,,UP,1
2010-09-01,21.02,20.5,20.436,17.6744,,DOWN,0
2010-09-02,20.95,21.05,20.626,17.7604,,UP,1
2010-09-03,21.13,20.99,20.764,17.847,,DOWN,0
2010-09-07,20.96,21.12,20.912,17.9298,,UP,1
2010-09-08,20.99,20.95,21.01,18.0122,,DOWN,0
2010-09-09,20.7,21.0,20.946,18.1012,,UP,1
2010-09-10,20.79,20.71,20.914,18.194,,UP,1
2010-09-13,21.38,20.78,20.964,18.3106,,UP,1
2010-09-14,21.51,21.39,21.074,18.4312,,UP,1
2010-09-15,21.56,21.51,21.188,18.5612,,UP,1
2010-09-16,21.85,21.75,21.418,18.6982,,UP,1
2010-09-17,22.25,22.19,21.71,18.8422,,DOWN,0
2010-09-20,22.2,22.25,21.874,18.9702,,UP,1
2010-09-21,22.21,22.21,22.014,19.098,,DOWN,0
2010-09-22,21.94,22.24,22.09,19.2088,,DOWN,0
2010-09-23,21.85,21.85,22.09,19.3178,,UP,1
2010-09-24,22.46,22.0,22.132,19.4396,,UP,1
2010-09-27,23.1,22.69,22.312,19.5776,,UP,1
2010-09-28,23.445,23.1,22.559,19.7175,,UP,1
2010-09-29,23.62,23.38,22.895,19.8661,,UP,1
2010-09-30,23.9,23.65,23.305,20.0193,,DOWN,0
2010-10-01,23.87,23.92,23.587,20.1657,,UP,1
2010-10-04,24.09,24.03,23.785,20.3119,,UP,1
2010-10-05,24.79,24.04,24.054,20.4547,,DOWN,0
2010-10-06,24.22,24.85,24.174,20.5745,,UP,1
2010-10-07,24.45,24.26,24.284,20.7049,,UP,1
2010-10-08,25.25,24.7,24.56,20.8511,,UP,1
2010-10-11,26.16,25.19,24.974,21.0143,,UP,1
2010-10-12,26.3,26.1,25.276,21.1791,,UP,1
2010-10-13,26.97,26.4,25.826,21.3605,,UP,1
2010-10-14,27.02,26.97,26.34,21.5349,,DOWN,0
2010-10-15,26.5,27.1,26.59,21.7001,,UP,1
2010-10-18,26.75,26.6,26.708,21.8751,,DOWN,0
2010-10-19,26.52,26.99,26.752,22.0445,,UP,1
2010-10-20,27.13,26.7,26.784,22.2273,,UP,1
2010-10-21,27.56,27.19,26.892,22.4263,,DOWN,0
2010-10-22,27.55,27.6,27.102,22.6273,,UP,1
2010-10-25,27.96,27.835,27.344,22.8261,,DOWN,0
2010-10-26,27.72,28.07,27.584,23.0065,,DOWN,0
2010-10-27,27.21,27.83,27.6,23.1693,,UP,1
2010-10-28,27.51,27.38,27.59,23.3235,,DOWN,0
2010-10-29,26.86,27.85,27.452,23.4647,,DOWN,0
2010-11-01,26.0,26.76,27.06,23.5869,,UP,1
2010-11-02,26.63,26.3,26.842,23.7183,,UP,1
2010-11-03,26.95,26.91,26.79,23.8575,,UP,1
2010-11-04,27.41,27.25,26.77,24.0071,,UP,1
2010-11-05,28.35,27.45,27.068,24.1741,,UP,1
2010-11-08,28.85,28.5,27.638,24.3423,,DOWN,0
2010-11-09,28.44,29.02,28.0,24.5067,,DOWN,0
2010-11-10,28.34,28.4,28.278,24.6635,,DOWN,0
2010-11-11,28.29,28.12,28.454,24.8089,,DOWN,0
2010-11-12,27.4,28.32,28.264,24.9379,,UP,1
2010-11-15,27.66,27.25,28.026,25.0685,,DOWN,0
2010-11-16,26.7,27.57,27.678,25.1833,,UP,1
2010-11-17,27.23,26.74,27.456,25.3081,,UP,1
2010-11-18,27.69,28.06,27.336,25.4479,,UP,1
2010-11-19,28.75,27.77,27.606,25.6071,,UP,1
2010-11-22,29.68,28.63,28.01,25.7731,,DOWN,0
2010-11-23,28.95,29.25,28.46,25.9219,,UP,1
2010-11-24,29.5,29.1,28.914,26.0807,,DOWN,0
2010-11-26,29.38,29.2,29.252,26.2313,,UP,1
2010-11-29,29.75,29.9,29.452,26.3813,,DOWN,0
2010-11-30,29.21,29.23,29.358,26.5215,,UP,1
2010-12-01,29.88,29.69,29.544,26.6749,,UP,1
2010-12-02,30.49,30.21,29.742,26.8459,,UP,1
2010-12-03,30.52,30.04,29.97,27.0193,,UP,1
2010-12-06,31.08,30.62,30.236,27.1917,,UP,1
2010-12-07,31.6,31.5,30.714,27.3617,,DOWN,0
2010-12-08,30.86,31.6,30.91,27.51,,DOWN,0
2010-12-09,30.61,31.23,30.934,27.6498,,UP,1
2010-12-10,31.1,30.56,31.05,27.7938,,UP,1
2010-12-13,31.86,31.08,31.206,27.9536,,UP,1
2010-12-14,31.99,31.61,31.284,28.1116,,DOWN,0
2010-12-15,31.75,31.99,31.462,28.2508,,DOWN,0
2010-12-16,31.2,32.01,31.58,28.3904,,UP,1
2010-12-17,31.87,31.14,31.734,28.5388,,UP,1
2010-12-20,32.1,31.91,31.782,28.6758,,UP,1
2010-12-21,32.55,32.0,31.894,28.8036,,UP,1
2010-12-22,32.95,32.34,32.134,28.9366,,DOWN,0
2010-12-23,32.93,32.95,32.48,29.0558,,UP,1
2010-12-27,32.96,32.67,32.698,29.1746,,UP,1
2010-12-28,33.28,32.94,32.934,29.3102,,UP,1
2010-12-29,33.4,33.21,33.104,29.4432,,UP,1
2010-12-30,33.76,33.43,33.266,29.588,,UP,1
2010-12-31,34.4,33.85,33.56,29.7334,,UP,1
2011-01-03,34.56,34.75,33.88,29.8734,,UP,1
2011-01-04,34.87,34.8,34.198,30.0198,,DOWN,0
2011-01-05,34.85,34.68,34.488,30.1576,,UP,1
2011-01-06,34.97,34.93,34.73,30.3026,,DOWN,0
2011-01-07,34.62,35.18,34.774,30.4508,,UP,1
2011-01-10,35.24,34.92,34.91,30.6054,,UP,1
2011-01-11,36.47,35.6,35.23,30.7976,,UP,1
2011-01-12,36.74,36.66,35.608,31.0124,,DOWN,0
2011-01-13,36.4,36.84,35.894,31.2078,,UP,1
2011-01-14,36.61,36.28,36.292,31.401,,DOWN,0
2011-01-18,36.5,36.95,36.544,31.5828,,DOWN,0
