ticker,WDC US Equity,WDC US Equity,WDC US Equity,WDC US Equity,WDC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,5.0,5.125,5.2313,5.1,4.4175,DOWN,0
2000-02-10,4.8125,5.0,5.2144,5.05,4.4363,UP,1
2000-02-11,4.9375,4.8125,5.1975,5.025,4.4588,DOWN,0
2000-02-14,4.6875,4.6875,5.1806,4.9125,4.4763,DOWN,0
2000-02-15,4.5,4.625,5.1638,4.7875,4.4913,DOWN,0
2000-02-16,4.5,4.625,5.1481,4.6875,4.5063,DOWN,0
2000-02-17,4.5,4.5625,5.1322,4.625,4.5225,DOWN,0
2000-02-18,4.3125,4.5625,5.1159,4.5,4.5375,DOWN,0
2000-02-22,4.25,4.3125,5.0994,4.4125,4.5525,UP,1
2000-02-23,4.3125,4.3125,5.0791,4.375,4.5663,DOWN,0
2000-02-24,4.25,4.1875,5.0584,4.325,4.5825,DOWN,0
2000-02-25,3.9375,4.125,5.0347,4.2125,4.5888,DOWN,0
2000-02-28,3.9375,4.0,5.0094,4.1375,4.5975,UP,1
2000-02-29,4.5,4.0625,4.9869,4.1875,4.6075,UP,1
2000-03-01,4.6875,4.5,4.9656,4.2625,4.6175,UP,1
2000-03-02,4.75,4.5625,4.945,4.3625,4.6338,DOWN,0
2000-03-03,4.5,4.875,4.9234,4.475,4.6463,UP,1
2000-03-06,4.8125,4.625,4.9009,4.65,4.665,DOWN,0
2000-03-07,4.5625,4.75,4.8794,4.6625,4.6813,DOWN,0
2000-03-08,4.5625,4.5625,4.8591,4.6375,4.6988,UP,1
2000-03-09,6.0,4.5625,4.8478,4.8875,4.7475,DOWN,0
2000-03-10,5.1875,5.625,4.8347,5.025,4.7775,UP,1
2000-03-13,7.25,5.5,4.8322,5.5125,4.8463,DOWN,0
2000-03-14,6.5,7.25,4.8247,5.9,4.8925,DOWN,0
2000-03-15,6.5,6.9375,4.8175,6.2875,4.9438,UP,1
2000-03-16,7.625,7.4375,4.8172,6.6125,5.0025,DOWN,0
2000-03-17,7.5,7.5,4.8159,7.075,5.065,DOWN,0
2000-03-20,6.9375,7.5,4.8128,7.0125,5.1125,UP,1
2000-03-21,7.125,6.8125,4.8094,7.1375,5.1425,UP,1
2000-03-22,8.0,7.25,4.8122,7.4375,5.2025,UP,1
2000-03-23,8.75,8.0,4.8175,7.6625,5.2775,DOWN,0
2000-03-24,8.625,8.25,4.8231,7.8875,5.3588,DOWN,0
2000-03-27,8.25,8.625,4.8272,8.15,5.4375,DOWN,0
2000-03-28,7.6875,8.125,4.83,8.2625,5.5013,UP,1
2000-03-29,7.75,7.6875,4.8344,8.2125,5.5538,DOWN,0
2000-03-30,6.875,7.4375,4.8344,7.8375,5.5575,UP,1
2000-03-31,7.4375,7.0625,4.8391,7.6,5.595,DOWN,0
2000-04-03,7.125,7.4375,4.8412,7.375,5.635,DOWN,0
2000-04-04,6.4375,7.0625,4.8403,7.125,5.6688,UP,1
2000-04-05,7.6875,6.9375,4.8459,7.1125,5.7125,UP,1
2000-04-06,7.75,7.8125,4.8519,7.2875,5.7525,DOWN,0
