ticker,CDW US Equity,CDW US Equity,CDW US Equity,CDW US Equity,CDW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2013-10-28,22.05,22.26,22.346,23.0165,,DOWN,0
2013-10-29,21.95,22.17,22.176,22.9937,,UP,1
2013-10-30,22.1,21.92,22.052,22.9735,,DOWN,0
2013-10-31,21.99,22.0,22.048,22.9527,,UP,1
2013-11-01,22.05,23.0,22.028,22.9335,,UP,1
2013-11-04,22.94,21.8,22.206,22.9269,,UP,1
2013-11-05,23.0,22.76,22.416,22.9273,,DOWN,0
2013-11-06,22.99,23.0,22.594,22.9427,,DOWN,0
2013-11-07,22.98,22.96,22.792,22.9627,,DOWN,0
2013-11-08,22.95,22.96,22.972,22.9801,,DOWN,0
2013-11-11,21.72,22.39,22.728,22.9759,,DOWN,0
2013-11-12,21.09,21.59,22.346,22.9471,,DOWN,0
2013-11-13,20.788,20.72,21.9056,22.9027,,DOWN,0
2013-11-14,20.66,21.02,21.4416,22.8495,,UP,1
2013-11-15,21.58,20.65,21.1676,22.8163,,DOWN,0
2013-11-18,21.32,21.52,21.0876,22.7835,,DOWN,0
2013-11-19,21.26,21.24,21.1216,22.7481,,UP,1
2013-11-20,21.73,21.22,21.31,22.7143,,UP,1
2013-11-21,21.99,21.68,21.576,22.6923,,UP,1
2013-11-22,22.17,22.01,21.694,22.6657,,UP,1
2013-11-25,22.3,22.54,21.89,22.6343,,DOWN,0
2013-11-26,22.21,22.32,22.08,22.6139,,DOWN,0
2013-11-27,22.2,22.19,22.174,22.5821,,UP,1
2013-11-29,22.3,22.25,22.236,22.5589,,UP,1
2013-12-02,22.46,22.22,22.294,22.5503,,DOWN,0
2013-12-03,22.46,22.3,22.326,22.5224,,UP,1
2013-12-04,22.9,22.35,22.464,22.4944,,DOWN,0
2013-12-05,22.51,22.78,22.526,22.462,,UP,1
2013-12-06,22.59,22.63,22.584,22.434,,UP,1
2013-12-09,22.62,22.56,22.616,22.4068,,DOWN,0
2013-12-10,22.49,22.48,22.622,22.4,,DOWN,0
2013-12-11,22.35,22.52,22.512,22.383,,UP,1
2013-12-12,22.55,22.25,22.52,22.3784,,DOWN,0
2013-12-13,22.25,22.48,22.452,22.357,,UP,1
2013-12-16,22.45,22.26,22.418,22.339,,DOWN,0
2013-12-17,22.15,22.35,22.35,22.321,,UP,1
2013-12-18,22.39,22.13,22.358,22.3064,,DOWN,0
2013-12-19,22.06,22.33,22.26,22.294,,UP,1
2013-12-20,22.365,22.01,22.283,22.2803,,DOWN,0
2013-12-23,22.29,22.44,22.251,22.2663,,UP,1
2013-12-24,22.62,22.38,22.345,22.2631,,UP,1
2013-12-26,22.9,22.64,22.447,22.2681,,UP,1
2013-12-27,23.0,22.98,22.635,22.2747,,UP,1
2013-12-30,23.22,22.91,22.806,22.2835,,UP,1
2013-12-31,23.36,23.35,23.02,22.2909,,UP,1
2014-01-02,23.38,23.36,23.172,22.3073,,DOWN,0
2014-01-03,23.37,23.48,23.266,22.3187,,UP,1
2014-01-06,23.75,23.49,23.416,22.3393,,UP,1
2014-01-07,23.98,23.76,23.568,22.3787,,DOWN,0
2014-01-08,23.98,23.9,23.692,22.4153,,UP,1
2014-01-09,24.5,24.1,23.916,22.4643,,UP,1
2014-01-10,24.88,24.4,24.218,22.5229,,DOWN,0
2014-01-13,24.69,24.77,24.406,22.5747,,DOWN,0
2014-01-14,24.48,24.75,24.506,22.6245,,DOWN,0
2014-01-15,24.46,24.43,24.602,22.6727,,UP,1
2014-01-16,24.47,24.44,24.596,22.7033,,DOWN,0
2014-01-17,24.44,24.34,24.508,22.7321,,UP,1
2014-01-21,24.8,24.62,24.53,22.7683,,DOWN,0
2014-01-22,24.5,24.86,24.534,22.7987,,DOWN,0
2014-01-23,24.35,24.49,24.512,22.8267,,DOWN,0
2014-01-24,23.62,24.23,24.342,22.8647,,DOWN,0
2014-01-27,23.3,23.65,24.114,22.9089,,UP,1
2014-01-28,23.7,23.43,23.894,22.9671,,DOWN,0
2014-01-29,22.98,23.39,23.59,23.0135,,UP,1
2014-01-30,23.57,23.07,23.434,23.0533,,UP,1
2014-01-31,23.67,23.36,23.444,23.1003,,DOWN,0
2014-02-03,23.08,23.67,23.4,23.1367,,UP,1
2014-02-04,23.37,23.2,23.334,23.1695,,DOWN,0
2014-02-05,23.3,23.32,23.398,23.1957,,UP,1
2014-02-06,23.4,23.31,23.364,23.2203,,UP,1
2014-02-07,23.55,23.42,23.34,23.2453,,DOWN,0
2014-02-10,23.14,23.56,23.352,23.2639,,DOWN,0
2014-02-11,23.08,23.13,23.294,23.2815,,UP,1
2014-02-12,23.67,23.15,23.368,23.3089,,UP,1
2014-02-13,24.84,23.85,23.656,23.3565,,DOWN,0
2014-02-14,24.31,23.15,23.808,23.3935,,UP,1
2014-02-18,24.66,24.24,24.112,23.4287,,UP,1
2014-02-19,24.7,24.56,24.436,23.4725,,UP,1
2014-02-20,24.76,24.64,24.654,23.5159,,DOWN,0
2014-02-21,24.65,24.64,24.616,23.5565,,DOWN,0
2014-02-24,24.64,24.61,24.682,23.5995,,DOWN,0
2014-02-25,24.29,24.54,24.608,23.6383,,UP,1
2014-02-26,24.73,24.41,24.614,23.6819,,UP,1
2014-02-27,25.54,24.71,24.77,23.7477,,UP,1
2014-02-28,26.17,25.49,25.074,23.8221,,DOWN,0
2014-03-03,25.93,25.91,25.332,23.8977,,UP,1
2014-03-04,26.14,26.16,25.702,23.9727,,UP,1
2014-03-05,26.7,26.25,26.096,24.0655,,UP,1
2014-03-06,26.8,26.64,26.348,24.1542,,DOWN,0
2014-03-07,25.75,26.01,26.264,24.2234,,DOWN,0
2014-03-10,25.68,25.77,26.214,24.2846,,DOWN,0
2014-03-11,25.59,26.25,26.104,24.3384,,DOWN,0
2014-03-12,25.39,25.62,25.842,24.3862,,DOWN,0
2014-03-13,24.85,25.46,25.452,24.4188,,DOWN,0
2014-03-14,24.79,24.77,25.26,24.4474,,UP,1
2014-03-17,25.47,24.9,25.218,24.4892,,DOWN,0
2014-03-18,25.44,25.41,25.188,24.5306,,UP,1
2014-03-19,25.5,25.34,25.21,24.5656,,DOWN,0
2014-03-20,25.39,25.34,25.318,24.5938,,DOWN,0
2014-03-21,25.32,25.42,25.424,24.6206,,DOWN,0
2014-03-24,25.29,25.3,25.388,24.6364,,UP,1
2014-03-25,26.25,25.37,25.55,24.6638,,UP,1
2014-03-26,26.32,26.27,25.714,24.6964,,UP,1
2014-03-27,26.36,26.24,25.908,24.734,,UP,1
2014-03-28,26.71,26.55,26.186,24.779,,UP,1
2014-03-31,27.44,26.86,26.616,24.8384,,UP,1
2014-04-01,28.43,27.54,27.052,24.9182,,UP,1
2014-04-02,28.6,28.37,27.508,24.9942,,DOWN,0
2014-04-03,28.06,28.69,27.848,25.0654,,DOWN,0
2014-04-04,27.97,28.4,28.1,25.1378,,DOWN,0
2014-04-07,27.56,27.73,28.124,25.2166,,DOWN,0
2014-04-08,27.37,27.5,27.912,25.298,,UP,1
2014-04-09,28.26,27.47,27.844,25.3892,,DOWN,0
2014-04-10,27.93,28.26,27.818,25.4882,23.1791,DOWN,0
2014-04-11,27.39,27.73,27.702,25.5646,23.231,UP,1
2014-04-14,27.55,27.67,27.7,25.6422,23.2769,UP,1
2014-04-15,27.82,27.85,27.79,25.737,23.3229,UP,1
2014-04-16,28.35,27.99,27.808,25.8366,23.373,UP,1
2014-04-17,28.44,28.31,27.91,25.9394,23.4191,DOWN,0
2014-04-21,28.41,28.52,28.114,26.0396,23.4657,UP,1
2014-04-22,28.66,28.46,28.336,26.1418,23.5129,DOWN,0
2014-04-23,28.56,28.71,28.484,26.2502,23.5596,DOWN,0
2014-04-24,28.4,28.74,28.494,26.3566,23.6041,DOWN,0
2014-04-25,27.84,28.33,28.374,26.44,23.6478,UP,1
2014-04-28,27.96,27.9,28.284,26.5024,23.6897,DOWN,0
2014-04-29,27.89,28.1,28.13,26.574,23.7316,UP,1
2014-04-30,28.19,27.94,28.056,26.6446,23.7747,UP,1
2014-05-01,28.21,27.94,28.018,26.7148,23.8153,UP,1
2014-05-02,28.34,28.19,28.118,26.7864,23.8551,UP,1
2014-05-05,28.54,28.23,28.234,26.8642,23.8937,DOWN,0
2014-05-06,28.14,28.54,28.284,26.9342,23.9302,DOWN,0
2014-05-07,27.75,28.12,28.196,27.0034,23.9672,UP,1
2014-05-08,28.68,28.1,28.29,27.0824,24.0095,UP,1
2014-05-09,29.3,28.72,28.482,27.1576,24.0532,UP,1
2014-05-12,30.02,29.2,28.778,27.2346,24.0934,DOWN,0
2014-05-13,29.89,30.01,29.128,27.3138,24.1349,DOWN,0
2014-05-14,29.65,29.72,29.508,27.384,24.1746,UP,1
2014-05-15,29.71,29.49,29.714,27.4442,24.2152,UP,1
2014-05-16,29.84,29.83,29.822,27.505,24.2569,DOWN,0
2014-05-19,29.42,29.65,29.702,27.5784,24.2957,DOWN,0
2014-05-20,29.24,29.36,29.572,27.6496,24.3297,UP,1
2014-05-21,29.64,29.42,29.57,27.7306,24.364,DOWN,0
2014-05-22,28.11,28.1,29.25,27.785,24.3905,UP,1
2014-05-23,28.45,28.22,28.972,27.857,24.418,UP,1
2014-05-27,28.82,28.7,28.852,27.9376,24.4467,UP,1
2014-05-28,28.99,28.94,28.802,28.008,24.4764,UP,1
2014-05-29,29.12,29.15,28.698,28.0816,24.5062,UP,1
2014-05-30,29.41,29.04,28.958,28.1598,24.5363,UP,1
2014-06-02,29.49,29.47,29.166,28.2418,24.5669,UP,1
2014-06-03,29.57,29.33,29.316,28.3268,24.5998,UP,1
2014-06-04,29.77,29.57,29.472,28.4164,24.6334,UP,1
2014-06-05,29.98,29.92,29.644,28.491,24.6678,UP,1
2014-06-06,30.07,30.1,29.776,28.566,24.7026,UP,1
2014-06-09,30.28,30.09,29.934,28.6444,24.7389,UP,1
2014-06-10,30.46,30.34,30.112,28.7194,24.7761,DOWN,0
2014-06-11,30.46,30.38,30.25,28.7798,24.8121,DOWN,0
2014-06-12,30.3,30.41,30.314,28.8172,24.8487,UP,1
2014-06-13,30.5,30.56,30.4,28.8552,24.8901,UP,1
2014-06-16,30.72,30.38,30.488,28.9084,24.9338,UP,1
2014-06-17,31.33,30.72,30.662,28.9756,24.98,DOWN,0
2014-06-18,31.32,31.24,30.834,29.0508,25.027,UP,1
2014-06-19,31.75,31.5,31.124,29.1384,25.0731,UP,1
2014-06-20,32.1,31.8,31.444,29.2152,25.1185,DOWN,0
2014-06-23,31.98,32.03,31.696,29.2962,25.1618,DOWN,0
2014-06-24,31.76,31.95,31.782,29.3836,25.2044,UP,1
2014-06-25,32.22,31.65,31.962,29.477,25.2507,DOWN,0
2014-06-26,32.05,32.3,32.022,29.5616,25.2958,DOWN,0
2014-06-27,31.68,32.02,31.938,29.6282,25.3371,UP,1
2014-06-30,31.88,31.8,31.918,29.697,25.3811,UP,1
2014-07-01,32.05,31.94,31.976,29.7698,25.4238,UP,1
2014-07-02,32.35,32.12,32.002,29.8436,25.4662,UP,1
2014-07-03,32.5,32.55,32.092,29.9224,25.5126,DOWN,0
2014-07-07,31.56,31.83,32.068,29.9856,25.5515,UP,1
2014-07-08,31.7,31.52,32.032,30.0628,25.5927,UP,1
2014-07-09,32.005,31.73,32.023,30.1437,25.6382,DOWN,0
2014-07-10,31.89,31.67,31.931,30.2237,25.6784,DOWN,0
2014-07-11,31.48,31.86,31.727,30.2895,25.7143,UP,1
2014-07-14,31.5,31.65,31.715,30.3553,25.7511,DOWN,0
2014-07-15,31.17,31.45,31.609,30.4119,25.787,UP,1
2014-07-16,31.35,31.18,31.478,30.4681,25.8239,DOWN,0
2014-07-17,31.21,31.24,31.342,30.5295,25.8658,UP,1
2014-07-18,31.275,31.29,31.301,30.6,25.9062,DOWN,0
2014-07-21,31.11,31.11,31.223,30.6486,25.9478,UP,1
2014-07-22,31.17,31.28,31.223,30.686,25.9871,UP,1
2014-07-23,31.18,31.21,31.189,30.7092,26.0262,UP,1
2014-07-24,31.34,31.22,31.215,30.7382,26.0677,DOWN,0
2014-07-25,31.01,31.29,31.162,30.7654,26.1071,DOWN,0
2014-07-28,31.0,31.0,31.14,30.7912,26.1487,UP,1
2014-07-29,31.12,31.01,31.13,30.8168,26.1891,UP,1
2014-07-30,31.28,31.2,31.15,30.854,26.2305,DOWN,0
2014-07-31,30.89,31.18,31.06,30.887,26.2711,UP,1
2014-08-01,30.98,30.9,31.054,30.9138,26.3127,DOWN,0
2014-08-04,30.74,30.98,31.002,30.9664,26.3531,UP,1
2014-08-05,31.02,30.53,30.982,31.0178,26.3943,UP,1
2014-08-06,31.11,30.84,30.948,31.0636,26.4349,DOWN,0
2014-08-07,30.64,31.22,30.898,31.0966,26.4753,UP,1
2014-08-08,30.85,30.68,30.872,31.1312,26.5155,UP,1
2014-08-11,31.04,31.0,30.932,31.1638,26.5571,UP,1
2014-08-12,31.27,31.01,30.982,31.1994,26.6034,UP,1
2014-08-13,31.64,31.38,31.088,31.2408,26.6509,UP,1
2014-08-14,31.94,31.82,31.348,31.2842,26.7003,UP,1
2014-08-15,32.07,32.08,31.592,31.326,26.7509,UP,1
2014-08-18,32.69,32.35,31.922,31.3784,26.8039,UP,1
2014-08-19,33.0,32.9,32.268,31.4328,26.8589,DOWN,0
2014-08-20,32.9,32.99,32.52,31.4816,26.9132,UP,1
2014-08-21,33.16,32.94,32.764,31.5356,26.9643,DOWN,0
2014-08-22,33.12,33.14,32.974,31.592,27.0149,UP,1
2014-08-25,33.24,33.33,33.084,31.6468,27.0661,UP,1
2014-08-26,33.48,33.41,33.18,31.702,27.1186,DOWN,0
2014-08-27,33.37,33.67,33.274,31.7428,27.1707,DOWN,0
2014-08-28,32.95,33.27,33.232,31.7754,27.2269,UP,1
2014-08-29,33.04,33.09,33.216,31.8012,27.2866,UP,1
2014-09-02,33.14,33.0,33.196,31.822,27.3484,DOWN,0
2014-09-03,31.69,32.17,32.838,31.8162,27.4035,DOWN,0
2014-09-04,31.37,31.75,32.438,31.8084,27.4525,UP,1
2014-09-05,31.66,31.48,32.18,31.7972,27.5042,DOWN,0
2014-09-08,31.64,31.58,31.9,31.789,27.5561,DOWN,0
2014-09-09,31.42,31.55,31.556,31.7838,27.6045,DOWN,0
2014-09-10,31.36,31.44,31.49,31.7734,27.6514,DOWN,0
2014-09-11,31.23,31.13,31.462,31.757,27.6967,UP,1
2014-09-12,31.375,31.31,31.405,31.7375,27.7421,DOWN,0
2014-09-15,30.82,31.36,31.241,31.7039,27.7851,UP,1
2014-09-16,31.0,30.7,31.157,31.6927,27.8291,UP,1
2014-09-17,31.33,31.02,31.151,31.6853,27.8743,UP,1
2014-09-18,31.78,31.37,31.261,31.6808,27.9209,UP,1
2014-09-19,31.81,31.88,31.348,31.6792,27.9676,DOWN,0
2014-09-22,31.3,31.6,31.444,31.6756,28.0096,DOWN,0
2014-09-23,30.49,31.17,31.342,31.6554,28.0495,UP,1
2014-09-24,30.97,30.57,31.27,31.6514,28.0914,DOWN,0
2014-09-25,30.34,30.95,30.982,31.6312,28.13,UP,1
2014-09-26,30.57,30.42,30.734,31.6184,28.1704,UP,1
2014-09-29,30.65,30.28,30.604,31.6059,28.2119,UP,1
2014-09-30,31.05,31.07,30.716,31.6047,28.2544,DOWN,0
2014-10-01,30.36,31.05,30.594,31.5885,28.295,DOWN,0
2014-10-02,30.1,30.36,30.546,31.5669,28.3332,UP,1
2014-10-03,30.72,31.0,30.576,31.5545,28.3761,DOWN,0
2014-10-06,30.57,30.98,30.56,31.5457,28.417,DOWN,0
2014-10-07,30.14,30.51,30.378,31.5285,28.4574,UP,1
2014-10-08,30.16,30.18,30.338,31.5093,28.4963,DOWN,0
2014-10-09,29.8,30.16,30.278,31.4797,28.5339,DOWN,0
2014-10-10,29.01,29.54,29.936,31.4421,28.5658,DOWN,0
2014-10-13,28.355,29.13,29.493,31.3896,28.5931,UP,1
2014-10-14,28.42,28.43,29.149,31.3432,28.6202,UP,1
2014-10-15,28.43,28.04,28.803,31.2914,28.6463,DOWN,0
2014-10-16,28.25,28.08,28.493,31.2342,28.6707,UP,1
2014-10-17,29.05,28.53,28.501,31.2024,28.6991,DOWN,0
2014-10-20,28.95,29.05,28.62,31.1644,28.727,UP,1
2014-10-21,29.79,29.06,28.894,31.1394,28.7572,DOWN,0
2014-10-22,29.52,29.9,29.112,31.1044,28.7849,UP,1
2014-10-23,29.88,29.86,29.438,31.0692,28.8144,UP,1
2014-10-24,29.96,29.97,29.62,31.0296,28.8417,DOWN,0
2014-10-27,29.87,29.93,29.804,30.9856,28.8666,UP,1
2014-10-28,30.34,30.05,29.914,30.9386,28.8949,DOWN,0
2014-10-29,30.0,30.3,30.01,30.8786,28.9225,UP,1
2014-10-30,30.13,30.02,30.06,30.8232,28.9508,UP,1
2014-10-31,30.84,30.57,30.236,30.7768,28.9827,UP,1
2014-11-03,31.06,31.01,30.474,30.7356,29.0158,DOWN,0
2014-11-04,31.04,30.96,30.614,30.6916,29.047,UP,1
2014-11-05,31.33,31.28,30.88,30.6486,29.0811,UP,1
2014-11-06,32.48,33.35,31.35,30.6308,29.1218,UP,1
2014-11-07,32.59,32.64,31.7,30.6236,29.1666,UP,1
2014-11-10,32.75,32.8,32.038,30.6178,29.2139,DOWN,0
2014-11-11,32.59,32.73,32.348,30.6068,29.2583,DOWN,0
2014-11-12,32.47,32.56,32.576,30.6224,29.3058,UP,1
2014-11-13,32.57,33.0,32.594,30.6464,29.3508,UP,1
2014-11-14,32.95,32.45,32.666,30.6722,29.3972,DOWN,0
2014-11-17,32.87,32.93,32.69,30.6968,29.4461,UP,1
2014-11-18,33.24,32.85,32.82,30.7332,29.4955,DOWN,0
2014-11-19,32.9,33.32,32.906,30.764,29.5435,UP,1
2014-11-20,32.91,32.74,32.974,30.7976,29.591,UP,1
2014-11-21,33.51,33.28,33.086,30.8403,29.6408,UP,1
2014-11-24,34.91,34.0,33.494,30.9221,29.6997,UP,1
2014-11-25,34.92,35.18,33.83,31.0005,29.7589,UP,1
2014-11-26,35.08,34.96,34.266,31.0755,29.8159,DOWN,0
2014-11-28,35.08,34.98,34.7,31.1415,29.8671,DOWN,0
2014-12-01,34.43,35.13,34.884,31.1939,29.9177,DOWN,0
2014-12-02,34.39,34.37,34.78,31.2557,29.9664,DOWN,0
2014-12-03,33.58,33.3,34.512,31.3175,30.0108,UP,1
2014-12-04,34.14,33.72,34.324,31.3809,30.0577,UP,1
2014-12-05,34.36,34.58,34.18,31.4613,30.1062,DOWN,0
2014-12-08,33.95,34.36,34.084,31.5289,30.1528,UP,1
2014-12-09,34.15,33.3,34.036,31.5989,30.2021,DOWN,0
2014-12-10,34.0,34.14,34.12,31.6579,30.2484,UP,1
2014-12-11,34.11,34.08,34.114,31.7329,30.2913,UP,1
2014-12-12,34.33,34.0,34.108,31.8175,30.3321,DOWN,0
2014-12-15,33.21,34.62,33.96,31.8673,30.3685,UP,1
2014-12-16,33.26,32.71,33.782,31.9211,30.4041,UP,1
2014-12-17,33.88,33.43,33.758,31.9959,30.44,UP,1
2014-12-18,34.66,34.0,33.868,32.0859,30.4793,UP,1
2014-12-19,34.86,34.49,33.974,32.1871,30.5248,UP,1
2014-12-22,35.08,34.94,34.348,32.3085,30.5718,UP,1
2014-12-23,35.61,35.21,34.818,32.4536,30.6219,UP,1
2014-12-24,35.75,35.62,35.192,32.6002,30.6737,UP,1
2014-12-26,35.92,35.81,35.444,32.75,30.7291,DOWN,0
2014-12-29,35.73,35.98,35.618,32.8996,30.7838,DOWN,0
2014-12-30,35.34,35.58,35.67,33.0254,30.8331,DOWN,0
2014-12-31,35.17,35.51,35.582,33.1498,30.8818,DOWN,0
2015-01-02,34.86,35.26,35.404,33.2512,30.9286,DOWN,0
2015-01-05,34.49,34.72,35.118,33.3506,30.9741,DOWN,0
2015-01-06,33.99,34.49,34.77,33.4328,31.0174,UP,1
2015-01-07,34.7,34.29,34.642,33.5276,31.0645,UP,1
2015-01-08,35.57,35.07,34.722,33.6416,31.1111,UP,1
2015-01-09,35.71,35.76,34.892,33.749,31.158,DOWN,0
2015-01-12,35.71,35.75,35.136,33.8632,31.2048,UP,1
2015-01-13,36.28,35.98,35.594,33.9862,31.2526,DOWN,0
2015-01-14,35.51,35.14,35.756,34.0796,31.293,DOWN,0
2015-01-15,35.38,35.74,35.718,34.166,31.3277,UP,1
2015-01-16,35.77,35.18,35.73,34.2606,31.3636,DOWN,0
2015-01-20,35.51,35.99,35.69,34.3442,31.4008,DOWN,0
2015-01-21,35.45,35.33,35.524,34.4036,31.4382,UP,1
2015-01-22,35.74,35.54,35.57,34.4666,31.4791,DOWN,0
2015-01-23,35.74,35.61,35.642,34.5264,31.521,DOWN,0
2015-01-26,35.69,35.84,35.626,34.5884,31.5581,DOWN,0
2015-01-27,34.61,35.33,35.446,34.6312,31.5915,DOWN,0
2015-01-28,34.57,35.01,35.27,34.6712,31.6274,UP,1
2015-01-29,34.76,34.55,35.074,34.7074,31.6634,DOWN,0
2015-01-30,34.26,34.61,34.778,34.7352,31.6956,UP,1
2015-02-02,34.27,34.2,34.494,34.7558,31.7252,UP,1
2015-02-03,35.27,34.41,34.626,34.8032,31.7594,DOWN,0
2015-02-04,35.13,35.14,34.738,34.8476,31.793,UP,1
2015-02-05,35.46,35.24,34.878,34.8866,31.827,UP,1
2015-02-06,35.98,35.64,35.222,34.908,31.8641,UP,1
2015-02-09,36.05,35.77,35.578,34.9306,31.9024,UP,1
2015-02-10,36.4,36.78,35.804,34.957,31.9452,DOWN,0
2015-02-11,35.99,36.26,35.976,34.9752,31.9853,UP,1
2015-02-12,36.4,36.2,36.164,35.0146,32.0278,UP,1
2015-02-13,37.03,36.32,36.374,35.0674,32.0721,UP,1
2015-02-17,37.69,36.97,36.702,35.1496,32.1194,UP,1
2015-02-18,37.94,37.8,37.01,35.2256,32.1674,DOWN,0
2015-02-19,37.79,38.0,37.37,35.2942,32.2137,DOWN,0
2015-02-20,37.75,37.63,37.64,35.3702,32.2617,UP,1
2015-02-23,37.98,37.85,37.83,35.4468,32.3129,UP,1
2015-02-24,38.09,38.08,37.91,35.5286,32.3599,DOWN,0
2015-02-25,38.03,38.36,37.928,35.607,32.4036,UP,1
2015-02-26,38.17,38.41,38.004,35.6838,32.4443,DOWN,0
2015-02-27,37.63,37.97,37.98,35.7722,32.483,UP,1
2015-03-02,38.0,37.56,37.984,35.867,32.5248,UP,1
2015-03-03,38.18,37.98,38.002,35.953,32.5671,DOWN,0
